beco||sem denominacao 2|sao vicente|37132038|278,-2143219,-4595311;282,-19,-9;286,37,8
rodovia||br 369|br 369|37138899|18,-2131000,-4584478;980,-7546,-9489;998,1310,311;1000,71,25;1010,-1340,-323;1050,89,45;1065,35,25;1070,263,65;1075,-136,-16;1100,1288,236;1120,-1224,-223
rodovia||br 369|fazenda vista alegre|37138899|14,-2134217,-4587788
rodovia||br 369|gaspar lopes|37138899|421,-2136559,-4592603
rodovia||br 369|gaspar lopes|37139000|154,-2136542,-4593448;155,-3,-8;156,-12,6;162,-10,1;172,-7,-1;192,-24,0;250,-22,0
rodovia||br 369|sitio lagoinha|37138899|996,-2137262,-4593659
rodovia||br 491|aterro do cabo verde|37138899|22,-2143419,-4614803
rodovia||br 491|aterro do muzambo|37130001|15,-2141999,-4607986
rodovia||br 491|bela vista|37138899|16,-2143596,-4609155
rodovia||br 491|br 491|37138899|22,-2146337,-4611809;491,2761,2633;495,-19,26
rodovia||br 491|estiva ou rodeio|37130001|3,-2145089,-4600054;11,-92,371;12,-5,53
rodovia||br 491|laje|37130001|4,-2147498,-4594354
rodovia||br 491|vila teixeira|37132340|491,-2144318,-4595860;500,-68,441;550,19,-128
rodovia||br 491|vila teixeira|37132411|491,-2144666,-4594550
rodovia||br 491|vila teixeira|37132414|17,-2144508,-4595006;57,4,-60
rodovia||lmg 879|paineiras|37130001|19,-2146918,-4602234
rodovia||lmg 880|brauna|37138899|20,-2146322,-4614026
rodovia||mg 179|laje|37130001|3,-2147493,-4594356
rua||1|harmonia|37138899|1,-2135520,-4597605;2,3,11;3,3,23;4,2,16;5,0,0;6,3,11;7,6,19;8,0,17;9,-7,0;10,2,-5;11,-1,-28;12,0,-16;13,-3,-12;14,-3,-11;15,-2,-5
rua||2|harmonia|37138899|6,-2135565,-4597529
rua||3|harmonia|37138899|1,-2135637,-4597584;2,3,10;3,2,15;4,-1,18;5,3,5;6,6,17;7,0,5;8,0,15;10,0,22;11,6,27;13,9,6;14,-4,-25;15,-3,-3;16,-4,-21;18,-1,-26;19,1,-3;20,-2,-21;21,-2,-5;22,-4,-18;23,-1,-13
rua||sem denominacao 16|distrito industrial|37136030|305,-2141374,-4596344
rua||sem denominacao 20|residencial cidade universitaria|37135420|99,-2141704,-4598482
rua||sem denominacao 3|condominio recanto verde|37139000|5,-2136794,-4592719
travessa||sem denominacao 1|santos reis|37130334|8,-2142648,-4593753;10,-22,4;26,32,0;32,0,-5
