acesso||ao condominio|chacaras de lazer|37138899|1,-2144876,-4605580;2,-12,-1;3,-675,-101;4,629,84;5,0,0;6,-15,-3;7,-19,3;8,-21,-7;9,-36,-3;10,0,0;11,-19,-5;12,-34,3;13,-8,4;14,-46,8;15,-19,4;16,-19,2;17,-26,8;18,-19,-8;19,-15,8;21,-34,2;22,-12,-1;23,-6,-2;25,-26,1;26,-13,-5;27,-35,3;28,-26,-4;29,-10,-7;30,-24,-7;31,-18,-2;32,-11,-4;33,-9,-4;35,-44,4;36,-7,-39;37,-14,-2;38,-22,-15;39,-14,17;40,-14,-33;42,-41,-31;43,1,0;53,649,104;54,1,-1;55,-21,-7;57,-60,-1;58,-12,-4;59,-12,-5;60,-16,8;62,-53,11;63,-31,2;64,-10,-3;65,-19,9;66,-28,3;67,-29,1;69,-22,-2;70,-10,-5;71,-2,10;72,-29,-3;73,-23,-3;76,-47,-2;79,-57,-27;80,-15,-7;84,-76,-40;85,25,-38
alameda||carvalho|jardim da colina|37133622|3,-2143216,-4595917;27,-51,-58;135,-8,31;182,-18,-31
alameda||do cafe|nova floresta|37130362|185,-2142351,-4593399;200,12,11;232,20,0;242,19,2;290,37,-5;338,90,-3;346,-37,8;374,24,-6;388,14,1;401,16,-10;402,-5,10;416,17,5;430,16,-8
alameda||marcio paulino da costa|jardim da colina|37133626|6,-2143332,-4595979;8,38,-112;37,-4,76;38,1,25;55,2,-58;56,4,38;84,0,-25;98,4,-11;138,3,-25;164,-2,-61;200,-84,-218;256,83,195;276,-5,-25;284,-4,-17;300,-13,-43;309,-7,-2;316,8,-1;340,-23,-78;346,5,22;356,-3,-10;445,-43,-33;460,-26,12;482,0,0;548,-52,46;719,84,169;872,8,99;921,12,8;946,-12,15;978,25,21;996,-14,-13;1000,43,22;1011,-67,-146
avenida|dona|conceicao|jardim panorama|37132268|15,-2143877,-4594964;65,6,-35;79,-3,-11;169,-16,-74;175,2,-3;181,-5,-33;185,0,-6;195,0,-11;235,0,-5;241,-5,-20;249,-1,-15;255,-2,-19;265,-2,-42;285,0,0;297,-5,-19
avenida|dona|conceicao|jardim santa ines|37132268|30,-2143871,-4594960;40,-5,-8;42,-3,-16;46,0,-10;50,7,-14;80,-1,-6;90,-3,-26;162,-9,-64;166,-2,-4;178,-1,-18;230,-8,-38;240,-6,-13;264,9,-57;284,-5,-22;286,-2,-9;320,-3,-33;360,-1,-35;382,-3,-17;392,1,-23;396,-4,-10;400,1,-14;408,1,-11;410,-2,-13;420,-5,-12;430,5,-9
avenida|dona|conceicao|residencial alda caetani|37132290|456,-2143896,-4595460;460,-13,-24;478,4,-15;492,1,-28;496,0,-15;518,1,-17;534,3,-23;546,2,-13
avenida|dona|conceicao|santa maria|37132280|391,-2143912,-4595332;393,-3,-8;403,-1,-8;409,-1,-8;433,8,-23;463,-4,-36;473,0,-11;477,-1,-2;483,3,-4;487,1,-6;493,-1,-3;503,-5,-11
avenida||antonio ivo de carvalho|pinheirinho|37133812|27,-2142289,-4598159;31,0,-1;37,-7,-2;47,-18,5;57,-9,-5;67,-16,-3;77,-6,-1;87,-10,-3;97,-10,-2;107,-14,-2;117,-6,0;127,-3,-2;137,-11,-3;147,-16,-1;157,-10,1;167,-5,-6;177,-13,-2;179,-11,3;187,-7,-9;197,-6,4;207,-9,-5;217,-12,-1;227,-12,1;237,-5,-5;247,-19,0;257,5,-10
avenida||jose paulino da costa|campinho|37130105|5,-2143486,-4594844;11,-16,5;37,-7,-1;45,-25,10;53,-7,-4;77,-14,-9;81,-9,-3;85,-13,8;111,-10,-10;131,-9,5;161,-14,1;163,-13,10;197,-49,-21;205,-7,18;217,-3,-5;219,-4,-11;231,-18,15;235,11,-7;255,-22,10
avenida||jose paulino da costa|cruz preta|37132204|581,-2144116,-4594846;595,-17,0;617,-14,0;621,0,2;627,-8,-2;637,-27,-6;639,-7,-2;659,-23,7;679,-28,-4;693,-23,2;695,-12,-1;777,-49,0;929,-15,2;931,-17,1;945,-12,-6;961,-22,1;995,-28,1
avenida||jose paulino da costa|cruz preta|37132206|315,-2143832,-4594836;321,-11,2;327,-3,4;333,-5,-11;339,-6,-2;349,-11,9;353,-7,0;357,-7,3;363,-1,4;367,0,1;373,-6,-8;377,-5,4;381,-10,23;389,-8,-10;391,0,-15;395,5,6;397,3,-5;409,-4,5;419,-25,-15;433,25,6;435,-7,2;439,10,6;459,-3,10;461,-10,-2;473,11,-4;479,1,-5;485,0,-11;497,-7,-3;499,10,1;535,-143,-4;545,133,35;551,-162,-32;555,-3,-1
avenida||jose paulino da costa|jardim panorama|37132208|264,-2143731,-4594852;284,-47,0;290,-12,-5
avenida||jose paulino da costa|jardim vista alegre|37132168|18,-2143489,-4594859;32,-15,13;52,-20,10;60,-4,0;64,3,-1;82,-17,-9;90,-14,-7;106,-10,-2;110,-15,7;120,-16,-2;140,-5,-4;146,-11,5;150,2,3;168,-15,-14;170,3,21;176,-18,-11;200,-26,-5;230,-16,3;234,2,11
avenida||jose paulino da costa|vila teixeira|37132168|930,-2144361,-4594868;950,-7,0;960,-25,-2
avenida||jose paulino da costa|vila teixeira|37132208|344,-2143854,-4594841;350,-9,-7;370,-11,4;398,-25,-12;404,-44,3;410,-5,-7;444,-45,-6;506,-22,4;514,-12,4;518,-11,-12;528,-5,24;540,-15,9;550,-10,-15;560,-5,-6;570,-12,-1
estrada||alfenas a fazenda conquista|gaspar lopes|37130001|17,-2135745,-4594418;18,0,-16;19,27,9;21,30,19
estrada||para captacao da copasa|estiva ou rodeio|37130001|1,-2145669,-4599514;2,8,-66;3,12,2;4,24,30;5,34,36;6,-7,-37;7,22,64;8,-9,-8;9,32,75;10,-8,-60;11,0,15;12,45,-42;13,-3,17;14,6,26
praca|professora|teresa de carvalho|aparecida|37135042|14,-2142556,-4595424;24,17,0;36,9,8;46,-2,-7;155,-18,-5
rua|conego|jose carlos|centro|37130071|3,-2142732,-4594756;5,-14,-8;11,18,8;15,6,0;18,8,-2;22,-8,7;25,0,-5;36,12,-10;40,6,9;41,7,-7;42,-13,14;46,9,-10;47,4,-4;53,7,6;54,-42,2;56,30,-7;57,58,-5;60,-42,1;64,-1,8;70,22,-3;71,-12,5;77,-5,-27;79,21,26;80,-4,-5;86,12,6;88,8,3;91,-7,-14;93,-89,7;103,116,17;108,0,-11;113,7,10;119,0,0;125,-3,-1;126,4,-6;137,5,5;139,3,1;140,5,-13;141,0,9;143,2,2;150,6,-14;154,12,-2;159,-9,7;164,15,-6;167,5,12;180,5,-12;181,6,16;185,4,-2;187,2,-1
