alameda||dos flamboyants|jardim primavera|37137692|20,-2140135,-4594656;30,13,14;40,9,4;50,-2,10;56,6,5;57,-7,-13;59,1,12;70,14,17;76,1,2;77,-4,-13;80,9,22;83,-11,-15;86,12,12;93,-2,-4;100,14,19;110,0,4;111,2,5;119,0,2;120,3,1;125,5,5;129,4,9;130,-11,-1;135,11,4;136,-7,5;148,17,2;151,-6,-6;153,7,5;156,-4,9;159,-2,10;160,2,-9;175,12,18;219,16,24;228,-2,15;231,12,4;232,-6,0;241,5,2;248,1,13;251,6,5;258,8,-2;261,-5,4;265,6,17;269,2,-9;280,4,6;290,5,16;291,1,-6;295,-1,5;300,0,2;301,6,7;302,-1,8;306,-3,-6;309,9,-2;310,0,8;316,-6,1;321,15,6;330,-4,3;339,14,8;350,-8,13;360,9,1;366,-5,12;380,10,12;386,1,2;417,22,29;423,7,12;428,-1,-2;438,0,5;443,7,9;452,-5,-3;453,14,16;454,-13,-9;458,5,7;464,8,0;470,0,10;474,0,-1;494,3,9;503,20,16;510,-6,3;513,10,5;516,-4,10;525,9,-7;533,0,6;534,1,3;544,0,14;545,10,-4;555,1,8;558,-6,0;562,11,8;565,3,-3;566,-12,9;570,15,-2;573,0,-1;575,-1,3;578,2,6;579,-2,-4;582,5,10;592,-1,6;635,21,31;640,-1,15;641,8,-1;648,-8,-6;658,6,10;661,15,9;664,-17,-9;665,10,-1;668,2,4;672,3,5;675,9,9;682,-6,-4;685,10,13;686,-7,-9;695,2,17;4573,-99,-174
avenida||antonio marcial de faria|jardim vista alegre|37132067|25,-2143470,-4595159;35,-6,-7;45,-4,-10;46,5,-14;49,-16,-3;50,14,2;55,-12,-5;56,5,11;57,-24,-3;60,25,-11;63,-21,12;67,7,-9;70,9,-16;72,1,-16;73,-17,19;85,-4,-8;95,-15,-10;101,-2,-9;145,-11,-18;166,-6,-31;190,-14,-23
estrada||para condominio recanto de fama|fazenda corrego fundo|37138899|62,-2146130,-4583929;439,73,-45;461,-17,6
estrada||velha de fama|alto do aeroporto|37130001|20,-2143078,-4592109
estrada||velha de fama|fama a fundos da ponte alta|37138899|7,-2142112,-4586368
estrada||vianas a nova fama|condominio nova fama|37138899|3,-2140101,-4584511;11,385,74;16,39,47;19,244,163;20,18,5;22,-190,-91;26,271,-249;28,19,21;38,-120,321;40,31,-1;42,34,18;44,22,-3;707,-100,-10
estrada||volta da ferradura|volta da ferradura|37130001|67,-2136105,-4597033;1998,42,5
rua|doutor|miguel vieira ferreira|residencial dona anita|37136322|39,-2140900,-4596707;63,11,-19
rua|engenheiro|paulo frontin|campos eliseos|37137514|240,-2141049,-4594083;270,9,-1;274,-3,-5;280,7,5;286,0,0;290,4,4;300,11,-1;340,25,-4
rua|engenheiro|paulo frontin|vila santa edwirges|37137514|65,-2141353,-4594084;67,0,7;69,-1,-8;91,57,1;99,7,2;103,-5,11;109,7,-18;113,16,-40;119,6,-51;123,7,70;135,10,24;143,10,6;150,32,-11;159,18,56;160,1,-111;163,-55,73;164,69,-10;166,0,0;167,-23,1;168,13,-2;169,-21,-11;171,52,34;172,-19,-21;177,9,-13;184,-3,10;189,40,21;190,4,-24;195,-13,3;197,-4,-1;200,17,14;201,8,0;205,-5,-18;209,8,4;211,0,-2;213,-1,-18;215,19,13;217,5,-1;220,-12,-22;221,-6,-28;229,26,53;305,93,1;315,5,-2
rua|ministro|salgado filho|aparecida|37135030|738,-2142675,-4595660;760,-4,-7;768,11,-14;772,-16,-7;778,9,8;790,-4,-17;804,16,-11;814,3,-9;826,4,-4;838,7,-8;854,6,-10
