alameda||dos hibiscos|jardim primavera|37137712|12,-2139578,-4594557;15,3,-4;19,3,4;25,7,13;26,-6,-2;35,11,6;36,-7,4;45,10,2;46,-4,5;55,6,23;56,-4,-21;60,4,7;65,8,2;70,-8,3;80,10,11;90,1,6;100,4,8;104,2,7;114,4,12;134,10,16;175,33,35
estrada||acesso a balsa da harmonia|cascalho|37130001|3,-2138576,-4597075;75,2712,-231;80,-84,-179;101,2544,-263;116,-2460,231;120,2462,-230;135,-2428,354;614,2402,-386
estrada||fazenda santa helena|fazenda santa helena|37130001|28,-2138295,-4601779
estrada||harmonia|baguari|37130275|11,-2137853,-4602700;31,722,-810
estrada||harmonia|baguari|37138899|14,-2137854,-4602694;15,90,-165;21,269,-311;25,17,-410;1001,-389,926;1002,1,0;1401,62,-114;2101,307,-399;2301,-80,-195
estrada||harmonia|fazenda santa helena|37130001|2,-2136939,-4602128;3,-288,-716;4,280,732;5,6,-7;6,7,-6;8,1,-3;10,455,202;12,-15,0;13,1,-3;22,-442,-195
estrada||harmonia|harmonia|37130001|1,-2133971,-4598550;2,-2,-3;3,-13,-5;4,-9,-2;5,-14,2;6,-5,-9;7,-3,1;8,3,9;72,1502,477
estrada||harmonia|morro do pito|37130001|4,-2136865,-4601945;10,-648,-1615
rua|doutor|david pedro hanemann|morada do sol|37136024|15,-2141528,-4596159;30,-4,-13;35,-7,4;39,2,1;40,2,-18;45,-3,14;54,-5,-6;55,-2,-2;57,-3,1;58,1,-8;60,-7,-2;61,-6,3;66,3,-3;70,-6,-5;75,-4,4;80,-10,-4;109,-25,-14;113,-6,-6;114,13,1;118,2,-2;125,-21,-2;126,12,-4;128,-6,-4;130,-9,-7;140,5,13;141,-14,-12;156,2,10;165,-14,-16;166,2,1;168,-1,-9;169,-5,6;170,0,-12;175,-5,10;177,-1,-2;181,-7,-2;185,-3,-5;190,-2,-11;195,-1,9;198,2,-9;199,-3,6;206,-9,-10;209,-1,4;210,1,-10;211,-8,7;217,-9,-9;220,9,-3;221,-9,-4;227,-2,-7;230,0,7;231,-12,-9;240,5,3;241,-10,-2;246,5,-1;250,-1,0;251,-10,-3;252,5,-1;256,-5,-4;267,-7,5;268,0,-11;277,-5,6;280,-4,-7;283,-2,7;285,-1,-3
rua|padre|cornelio hans|aparecida|37135040|1726,-2142564,-4595480;1730,3,-16;1734,-5,-13;1746,2,-4;1752,4,-5;1790,7,-28;1802,0,-8;1804,0,-7;1808,1,-6;1812,0,3;1822,2,-12;1826,-5,-3;1828,-1,-1;1830,-2,2;1832,0,-5;1836,28,14;1838,-6,-9;1842,-13,-22;1846,2,-14;1848,-2,6;1850,1,1;1856,0,-14;1860,-2,-2;1870,-3,-7;1933,5,-15;1953,8,-29
rua|padre|cornelio hans|aparecida|37135058|1924,-2142540,-4595678;1930,0,-3;1936,-1,-9;1968,-2,-28;2006,5,-45;2019,-3,25;2025,1,-3;2039,16,-23;2042,-9,-32;2052,-2,-5;2056,10,-6;2065,-9,15;2093,7,-35;2100,7,-15
