alameda||oliveira|jardim da colina|37133630|11,-2143330,-4596209;50,-42,-18
avenida||americo de oliveira|jardim olimpia|37136088|76,-2141184,-4595987;92,15,-21;134,14,-23;142,7,-9;208,28,-39;220,12,-11
avenida||americo de oliveira|jardim olimpia|37136112|926,-2140723,-4596606;930,-1,3;1166,81,-175
avenida||americo de oliveira|jardim olimpia|37136414|1018,-2140707,-4596644;1046,2,-20;1216,94,-154
avenida||americo de oliveira|residencial oliveira|37136088|37,-2141214,-4595975;101,38,-44;109,7,-1;117,16,-18;125,4,-10;139,4,-2;149,3,-11;153,3,3;193,25,-39;199,1,5;251,17,-24;255,2,-4;259,12,2;263,-5,-10;295,70,-97;297,-32,49;303,29,-44;307,-29,34
avenida||americo de oliveira|residencial oliveira|37136112|357,-2140970,-4596290;365,5,-7;371,2,-1;373,8,-13;375,1,-1;380,-72,113;390,10,-10;402,4,-10;417,84,-120;423,3,-8;438,-67,116;442,-6,-9;448,8,-5;452,4,-1;518,53,-40;540,-9,-27;546,3,-4;560,6,-7;564,2,-10;622,33,-36;628,-1,3;662,25,-37;680,7,-7;780,56,-64;790,3,-5;796,-2,-9;808,3,-4;836,19,-18;846,5,-2;854,2,-15;858,1,0;866,23,-6;886,1,-20;890,6,0;894,5,-5;912,-7,-9;924,14,-9;1979,-32,25
avenida||americo de oliveira|residencial oliveira|37136414|1102,-2140681,-4596728;1116,14,-13;1128,4,-3
avenida||carlos de oliveira|jardim olimpia|37136096|360,-2141016,-4596065;382,11,21;390,7,6;394,0,5;400,4,11;420,12,9;468,26,26
avenida||carlos de oliveira|residencial julio alves|37136260|506,-2140917,-4595967
avenida||carlos de oliveira|residencial oliveira|37136096|30,-2141254,-4596178;36,6,11;40,3,-8;50,4,-11;60,13,3;64,4,-6;72,6,0;76,4,-1;86,9,-4;90,12,1;98,1,-4;116,8,1;124,5,-1;128,7,-1;138,12,-3;144,4,5;147,1,-13;150,10,15;151,-8,-13;157,5,2;164,18,12;167,-9,-10;176,15,9;177,-8,-9;180,10,9;185,-2,-5;190,17,15;202,-3,0;208,8,12;216,8,4;228,15,-8;232,-5,16;233,-5,-15;237,4,3;243,6,4;257,12,6;275,8,21;305,10,15;315,2,5;325,7,12;335,7,9;345,7,7;355,10,7;365,5,7;375,4,9;385,2,2;395,8,19;405,5,6;415,7,10;465,-31,-47
avenida||carlos de oliveira|residencial oliveira|37136260|475,-2140942,-4595992
avenida||quinze de outubro|residencial dona anita|37135520|160,-2141352,-4596417
rua|dona|guiomar de oliveira|residencial oliveira|37136048|17,-2141242,-4595946;21,-2,-2;25,-14,5;27,-5,2;29,0,-4;31,-5,-3;33,-2,0;35,-5,4;68,-1,-2;72,-3,-2;126,-53,-16;190,-58,2;206,0,2;230,-36,4;240,-7,-5;282,-39,-3;286,-3,8;290,-5,-4;299,-7,3;329,-23,-3;359,-25,2;375,-15,2;379,-1,-6;383,-4,2;405,-21,-6
rua|pastor|ananias ruela olivera|residencial dona anita|37136318|61,-2141025,-4596658
