alameda||tucano|residencial chacaras tangara|37130275|81,-2131752,-4597706
avenida||manoel alves taveira|jardim aeroporto 3|37130872|1490,-2143834,-4593608;1530,-43,-8
avenida||manoel alves taveira|jardim aeroporto|37130770|46,-2142575,-4593396;120,-14,2;133,9,10;140,-44,-1;150,-4,2;200,-6,1;201,-4,12;211,-22,3;220,-1,-9;221,-9,14;222,14,-17;231,-24,18;234,5,-11;241,-9,12;242,5,-7;250,-18,-5;253,-8,15;258,8,-9;260,-12,-1;270,-5,-2;277,-10,16;280,-6,-10;297,-18,15;350,-57,3;384,-41,11;390,-6,3;426,-43,8;430,-14,5;440,-6,-2;682,-225,-20;700,-23,-5;732,-32,-8;756,-18,-9;3698,341,35
avenida||manoel alves taveira|jardim aeroporto|37130822|792,-2143273,-4593388;802,-4,-5;830,-51,-8;850,-20,-12;900,-43,-7;930,-30,-25;940,-18,-9;950,5,14;960,-37,-27;970,5,17;980,-2,-12;984,-19,-4;990,3,2;1000,-10,1;1022,-58,-34;1066,-16,-11;1074,-12,2;1080,-11,-8;1100,-9,7;1108,0,-17;1114,-22,-7;1122,-24,-9;1132,-12,3;1142,-2,-1;1152,-29,-10;1190,-69,-32;1384,0,2
avenida||manoel alves taveira|montserrat|37131593|1665,-2143946,-4593702;1683,-6,-18;1697,-12,-9;1699,11,39;1711,-15,-47;1717,-6,-1;1735,-18,-18;1747,-1,0;1759,-11,-13;1773,-10,-9;1805,-12,-9;1823,-16,-15;1887,-56,-33;1899,-7,-8;1911,-13,-9;1917,-6,-1;1921,-6,-10;1923,1,-1;1935,-8,1;1941,-4,-4;1963,-29,-13;1985,-6,-11;1995,-6,-9;2021,-28,-9;2041,-7,-3
avenida||manoel alves taveira|residencial sao lucas|37131593|1660,-2143943,-4593709;1816,-107,-111;1854,-29,-27;1858,-16,1;1874,-8,-8;1898,-6,-15;1904,-1,-8;1910,-18,3;1916,-4,-1;1922,-6,0;1934,-4,-5;1940,-3,-6;1942,-5,2;1946,-8,-6;1958,-7,-3;1970,-8,-2;1974,-4,-12;1982,-13,2;1994,3,-8;1996,-1,-1;1998,-4,0;2000,-2,-3;2010,-10,4
estrada||para sao tome|sao tome|37132000|5,-2148234,-4600925
estrada||sao tome|sao tome|37130001|12,-2148890,-4599685
loteamento|sao|tome|loteamento sao tome|37130001|16,-2146376,-4599785
rua||americo totti|campinho|37130111|960,-2143758,-4594526;970,2,-8;1004,0,-29;1008,0,0;1024,2,-14;1026,-1,-7;1052,8,-37;1066,-11,-3;1074,7,-14;1084,5,-4;1106,-3,-12;1112,7,-17;1118,-1,-3;1128,-1,-7;1130,-2,-6;1140,1,-3;1150,8,-16;1190,-6,-46;1206,-4,-8;1210,11,-17;1220,1,-5;1224,3,0;1228,1,-9;1238,-14,-2;1244,1,-9;1250,8,4
rua||americo totti|campinho|37131488|969,-2143764,-4594534;977,1,-11
rua||americo totti|centro|37130111|1001,-2143770,-4594560;1011,14,-14;1019,0,-12;1031,11,-10;1055,-9,-24;1063,1,3;1075,5,-17;1083,-7,-12;1103,0,-18;1113,10,-12;1117,1,1;1121,-33,-8;1127,30,11;1135,2,-30;1147,4,-8;1163,-19,-111;1229,22,29
rua||americo totti|centro|37132170|1428,-2143743,-4595063;1440,23,74;1452,9,-10;1464,-14,-15;1476,1,-6;1510,-16,-44;1522,-2,-6;1686,-14,-145;1712,-13,-35;1724,1,-23;1780,4,3;1800,-11,-69;1810,-2,-24;1816,0,-55;1818,13,148;1840,-19,-157;1878,-2,3;1884,8,-2;1898,-6,-9;1900,6,17
rua||americo totti|jardim aeroporto 3|37130864|30,-2143881,-4593658;84,20,-46;110,9,-13;134,29,-16;146,-14,-15;158,6,-18;196,29,-25;222,0,-30;266,20,-45;286,4,-26;384,11,-93;396,-6,-9;414,-6,-8;424,6,-6;434,5,-10;481,-8,85
rua||americo totti|jardim santa ines|37132152|1693,-2143776,-4595234;1705,0,-19;1747,0,-12;1757,-5,-35;1779,1,-14;1791,-4,-23;1803,-1,-5;1807,0,0;1823,-3,-22;1827,0,0;1831,-7,-10;1861,6,-29;1891,-3,-35
rua||americo totti|jardim santa ines|37132252|1387,-2143725,-4594951;1391,0,0;1401,-5,7;1409,5,-7;1415,1,-23;1427,0,0;1451,-10,-46;1513,-8,-37;1523,0,-17;1527,2,-5;1541,-5,-11;1593,-93,-85
rua||americo totti|jardim sao lucas iii|37131528|276,-2143783,-4594340;704,-2,57;710,-2,-2;724,5,-4;727,-14,-8;736,13,-13;737,-2,5;776,9,-60;777,-24,18;786,20,-6;792,0,-9;793,0,1;803,-13,-6
rua||americo totti|jardim sao lucas iii|37131563|620,-2143903,-4593644
rua||americo totti|jardim vista alegre|37132170|1300,-2143718,-4594878;1304,-3,0;1306,0,-8;1310,-1,3;1316,1,-9;1318,0,0;1320,3,-7;1322,-5,-4;1330,-4,-13;1332,4,5;1442,-4,0
rua||americo totti|vila formosa|37131460|821,-2143787,-4594401;822,9,16;831,-2,-20;832,4,14;839,-7,-18;840,4,4;847,-7,-8;863,14,-23;871,3,-10;875,0,-13;878,-6,18;886,0,-10;889,4,-8;895,-1,-4;896,6,5;899,-3,-12;902,-3,7
rua||antonio tiburcio|pinheirinho|37133798|16,-2142309,-4597879;20,-11,-1;30,-11,0;35,12,9;40,-32,-13;45,31,9;50,-43,-8;57,33,7;60,-43,-11;65,25,8;70,-30,-9;75,22,14;80,-38,-16;85,17,12;90,-28,-14;95,24,14;100,-24,-14;105,10,12;110,-32,-13;115,26,11;120,-33,-14;125,23,9;130,-38,-14;135,22,13;140,-34,-11;145,29,10;150,-33,-11;155,16,7;157,0,0;160,-30,-9;170,-12,-3;175,32,11;180,-43,-13;185,30,11;190,-36,-10;195,30,10;200,-40,-18;205,34,12;210,-48,-14;215,32,12;220,-39,-12;225,26,14;230,-42,-18;235,30,16;245,-9,-1;255,-2,0;265,-16,3;275,-7,-8;285,-15,-6;312,13,-5;335,-68,-5;345,-16,3;355,-2,-15;365,-11,6;375,-16,-7;385,-13,5
rua||benedito tercetti|jardim tropical|37133592|10,-2143043,-4596234;20,20,0;44,15,0;60,20,-1;65,-6,-12;85,7,3;94,10,6;95,11,-7;96,-5,0;105,8,0;110,21,2;130,24,3;141,-18,-6;145,6,1;148,18,5;151,-9,-7;154,16,7;160,6,-3;161,-13,-4;168,16,5;190,14,0;197,-6,-6;201,5,2;233,20,-2;235,-4,-4;239,18,2;252,8,8;266,15,0;269,0,-11;277,9,1;281,9,0;287,4,5;293,2,-5
rua||donato francisco terra|jardim eunice|37137626|20,-2140166,-4594240;32,8,-7;50,18,-9;56,2,-1;60,12,-7;80,13,-14;88,1,8;98,11,-15;108,1,-2;112,6,-5;116,7,0;118,7,-6;134,8,-5;154,10,-13;164,9,-4;170,4,-8;180,9,-5;184,4,-3;188,-1,-3;198,9,-11
rua||irene de souza totti|vila formosa|37130798|64,-2143183,-4593942;74,10,4;81,15,0;91,7,1;96,-1,3;111,39,14;116,-24,-10;138,10,5;160,34,9;184,10,1;258,25,7
rua||joao alves taveira|jardim aeroporto|37130794|15,-2142857,-4593811;16,-11,-7;30,-11,1;35,-13,7;42,-8,-3;45,2,5;76,-18,-6;83,-6,18;84,-12,-10;95,-3,6;99,-6,7;107,1,-3;115,-11,1;125,-13,9
rua||joao brasiliano terra|jardim elite|37133548|10,-2142577,-4595991;14,-11,1;18,-6,-3;22,-6,-14;77,-30,-10;82,3,-13;87,-7,7;99,-34,-13;101,-9,-7;111,-3,-4;118,22,7;142,-18,-8;151,-8,-2;152,2,-2;155,-12,0;164,0,-4;184,-21,-12;185,20,15;194,-25,-17;195,15,11;197,-4,-5;200,-16,-8;204,-2,0;207,16,10;221,-11,-1;224,-23,-23;225,15,18;233,-12,-4;234,-9,-13;241,1,10;245,-4,-6;251,-2,-1;257,-15,-9;265,-3,-2
rua||joao paulo terra|colinas park|37133650|16,-2143192,-4596350;42,6,-25;57,-12,-46;63,3,-8;66,10,23;69,-9,-36;78,9,27;81,-11,-39;92,8,29;102,2,-13;121,-7,-22;136,10,15;150,-3,-10;180,-1,-64;181,-6,41;191,0,-6;217,2,-34;220,5,-18;221,-3,3;231,-1,-7
rua||joaquim araujo terra|vila betania|37137080|30,-2142071,-4595509;46,-4,-5;76,-13,-12
rua||jose tomaz terra|colinas park|37133644|26,-2143311,-4596523;37,-6,-23;50,4,1;51,0,-17;56,2,4;61,-9,-7;66,9,-7;358,4,55
rua||juvencior batista terra|jardim elite|37133542|7,-2142681,-4595980;8,2,-11;19,-7,-2;20,2,-1;23,-18,20;30,7,-25;41,-7,1;46,-7,-6;50,-6,2;58,-3,-3;61,4,5;66,-12,-11;68,-4,3;70,-5,-5;71,11,6;75,-5,0;76,-15,-7;81,10,5;82,-13,-7;95,4,1;100,-10,-5;101,2,-2;106,-12,2;107,1,2;111,0,-3;112,-2,-7;120,-7,3;121,0,1;123,-10,-3;125,-6,-6;130,5,0;137,-9,3;140,2,-9;141,-5,3;150,2,-2
rua||maria deolinda terra|santa maria|37132282|50,-2144039,-4595408
rua||maria deolinda terra|vila santa maria|37132282|25,-2144026,-4595403;27,-1,7;31,-6,4;39,1,7;51,-2,4;54,2,-3;65,-9,9;109,-3,11;119,-6,10;125,-3,2
rua||nova triangulo|chapada|37130248|16,-2141944,-4594406;19,6,7;20,-7,-4;28,-4,-2;41,18,17;53,2,17;63,-1,16;64,-10,-5;73,10,6;81,-1,7;91,3,11;97,0,5;101,8,9;104,2,-8;108,-9,14;113,12,1
rua||pedro tercetti|distrito industrial|37136030|167,-2141563,-4596324
rua||pedro tercetti|morada do sol|37136030|8,-2141690,-4596340;12,9,4;14,-25,-8;16,26,9;18,-24,-7;20,28,10;24,6,6;28,-29,-15;40,36,17;118,36,0;142,16,5;152,27,1;160,21,7;170,14,4;180,7,-4;230,36,10;252,17,13;268,4,3;270,-1,14;276,12,-8;278,3,3;282,0,0;302,17,10
rua||tamandare|vila teixeira|37132402|3,-2144356,-4595235;25,17,-72;46,-11,55;56,1,-5;61,1,-19;66,2,4;85,8,-36;105,-8,2;127,9,-28;135,0,-5;156,5,-22;168,4,-10;178,-1,-6;219,5,-44;236,2,0
rua||tamares|vila teixeira|37132400|13,-2144391,-4594962;31,-6,-19;43,2,-5;55,3,-11;60,6,17;66,-1,-5;67,-9,-25;70,5,24;79,-4,-35;80,6,23;86,9,-12;88,-6,2;92,3,-2;96,-3,-10;99,-3,-9;100,-4,-4;110,7,-5;115,-7,-7;120,7,-2;130,0,-14;140,-2,-7;156,3,-54;165,-5,18;177,-4,-2;196,4,-59;215,4,0;251,-2,-32;261,4,-9;266,-5,1
rua||tapajos|vila teixeira|37132391|16,-2144108,-4594870;20,-18,22;28,-4,-14;30,-9,-5;36,1,6;60,-27,-14;70,-22,-5;90,-2,17;98,-11,-11;120,-4,23;124,1,-29;140,-17,12;170,-35,-3;200,-33,-1;206,-8,-1;220,-9,2;230,-24,-6
rua||tapiranas|vila teixeira|37132398|8,-2144338,-4594899;18,3,-9;28,0,-11;50,1,-11;56,-1,3;67,-6,-23;68,8,2;77,-13,-9;78,12,-1;87,-9,-16;88,9,4;97,-10,-6;98,5,-4;107,-3,-8;108,7,-4;117,-5,-5;118,5,2;127,-4,-15;128,3,-2;137,-3,2;138,5,-8;147,-4,-9;148,4,1;157,-6,-9;158,7,1;167,-7,-9;168,10,2;177,-9,-13;178,7,1;182,1,-3;187,-7,-5;188,6,1;199,-5,-30;200,3,0;209,-12,-4;210,13,0;219,-1,-25;220,5,11;229,-7,-9;230,7,2;239,-8,-9;242,1,2;250,4,-12;260,5,-9;265,-3,-9;267,-3,9;269,-3,-17;270,3,9;273,5,-13;274,-5,5;276,1,-1;280,0,-10;290,1,-9;300,-2,-15;308,1,-6;333,3,11
rua||tatuim|residencial teixeira|37132346|590,-2144461,-4595642;600,0,0;656,3,-49;683,0,0;700,11,-49
rua||tatuim|vila teixeira|37132346|305,-2144511,-4595408;447,9,-93;459,3,-9;491,7,-31;501,2,-11;513,3,-15;523,0,0;535,3,-20;545,-1,-9;557,3,-12;579,6,-9;691,17,-111;725,6,-31;787,31,-43
rua||tiradentes|campinho|37131479|61,-2143746,-4594509;76,-5,2;81,23,-1;83,2,-1;86,-6,0;94,7,3;103,5,-8;104,1,6;115,15,-3;116,-4,8;121,15,-8;122,3,7;123,10,-2;144,14,2;145,-8,-7;155,10,9;158,-2,-4;161,7,-1;165,4,-4;168,3,8;169,3,-4;170,3,-6;177,8,5;180,-2,3;186,0,-1;189,10,12;192,1,-11;193,1,1;200,2,-2;219,30,2;226,1,4;233,9,2;235,-5,-6;238,-1,3;245,8,-4;249,6,3;250,-3,0;255,15,11;257,0,-21;259,-9,5;260,1,3;264,9,-2;265,-2,-16;272,11,21;273,1,3;281,10,-11;282,2,11;285,-4,-4;292,7,1;295,-1,-7;296,10,11;298,4,0;305,0,-9;308,6,6;315,1,-4;317,2,5;318,4,3;323,6,-4;324,-4,2;327,8,7;333,4,-10;335,0,-5;338,7,12;350,2,-10;358,4,1
rua||tiradentes|centro|37130137|440,-2143377,-4594502;443,-21,-7;446,5,6;448,-1,7;456,9,0;459,-1,2;466,11,-1;469,5,-2;475,-2,1;476,-4,4;482,17,-2;485,-6,-12;490,11,12;491,8,-11;494,-9,7;500,6,1;501,6,5;507,11,-6;510,-6,5;514,6,-2;526,0,2;548,27,-5;552,6,4;558,9,-1;559,1,-3;566,0,5;567,15,-7;572,-10,8;575,10,-6;580,8,10;585,-8,-7;588,12,1;589,-1,2;610,8,-3;615,15,-4;618,-1,12;658,42,-9;664,7,1;679,13,2;680,2,-6;685,5,5;686,0,-3;695,14,-2;715,12,5;725,7,0;730,15,-5;732,-2,-1;734,0,1;735,3,2;736,0,3;738,1,-6;740,1,1;745,-1,-5;772,30,9;782,3,-1;792,8,-1;809,13,-6;812,6,-1;813,11,-2;818,0,2;830,4,2;831,16,-1;847,12,-1;850,3,6;860,11,-9
rua||tiradentes|centro|37130163|872,-2142984,-4594519;876,-4,10;884,0,-5;885,-4,1;900,14,7;901,5,2;916,9,0;923,14,-12;926,2,6;930,-5,0;937,19,4;941,5,0;944,-21,-14;947,21,9;958,2,-3;961,15,6;968,3,-8;969,-4,-3;977,8,2;978,3,12;982,4,-2;987,9,-9;988,-8,-9;993,14,5;994,-6,0;997,27,-2;1014,-14,8;1016,8,-22;1018,-2,-27;1036,18,46;1056,13,1;1066,10,-2;1074,11,0;1075,4,-16;1088,10,14;1089,3,-5;1099,7,3;1100,5,6;1109,11,-17;1149,33,8;1168,12,-3;1182,16,0;1209,35,-14;1215,0,1;1221,4,0;1224,-4,12;1232,10,0;1238,10,-7
rua||tiradentes|centro|37130175|1265,-2142632,-4594542;1275,7,6;1281,15,-2;1294,-4,-1;1301,12,-7;1304,1,6;1305,3,-6;1319,15,-5;1324,-5,10;1327,10,-9;1328,-5,10;1335,18,-9;1340,6,4;1362,14,-1;1372,12,0;1382,9,4;1393,1,-11;1394,0,8;1397,11,-5;1400,1,3;1407,0,-12;1410,5,8;1415,3,-8;1417,4,1;1422,-3,6;1423,2,-10;1433,26,2;1434,-12,10;1446,8,-7;1449,9,-5;1456,5,9
