alameda||vezuvio|guilhermina vieira chaer|38184336|30,-1960225,-4695314;35,6,-10;40,5,15;45,4,-11;50,9,11;55,-4,-11;60,20,6;65,-6,-6;70,19,8;75,-10,-13;80,28,9;85,-17,-8;90,27,8;95,-17,1;100,28,-5;105,-18,-9;115,12,4;125,11,2
avenida||antonio afonso vale|urciano lemos|38181136|5,-1957552,-4693900;10,-11,-10;15,16,14;20,-10,0;25,20,8;30,-20,-9;35,26,14;40,-12,-6;45,28,17;50,-22,-14;55,23,15;60,-15,-8;65,23,12;70,-13,1;75,21,10;80,-6,-6;85,23,13;90,-21,-5;95,20,7;100,-6,5;110,1,5;130,26,16;140,-2,1;150,13,7;160,13,4;170,-1,6;180,9,0;190,2,5;200,8,2;210,0,2;220,6,9;230,11,9;240,2,-1;250,7,5;260,6,3;270,3,3;280,7,6;290,11,7;295,40,24;300,-42,-19;305,57,42;310,-48,-36;315,49,32;320,-47,-31;325,258,190;330,-253,-185;335,65,43;340,-50,-36;345,58,41;350,-54,-34;355,57,40;360,-42,-29;365,52,33;370,-41,-27;375,43,31;380,-40,-28;385,61,41;390,-50,-27;395,55,28;400,-45,-30;405,53,40;410,-47,-34;415,53,38;420,-40,-26;425,50,33;430,-50,-35;440,19,10;445,58,43;450,-58,-35;455,60,43;460,-47,-34;465,50,39;470,-41,-36;475,56,42;480,-47,-26;485,59,32;490,-50,-31;495,55,40;500,-35,-33;505,42,40;510,-42,-34;515,54,38;520,-41,-18;525,49,32;535,13,2;540,-46,-33;545,53,38;550,-47,-31;555,62,38;560,-55,-34;570,9,8;575,62,48;595,27,20;600,-58,-44;610,5,5;615,60,46;620,-43,-35;625,51,38;630,-42,-21;635,52,27;650,-44,-30;658,5,8;660,15,10;675,0,-15
avenida||antonio jorge vieira|pao de acucar|38181579|10,-1956249,-4692623;12,567,153;155,-346,-256;165,-108,59
avenida||getulio vargas|centro|38183192|36,-1959339,-4694063;38,-1,9;40,-4,0;42,-15,7;52,-11,12;62,-5,13;70,-12,3;75,8,8;84,-20,3;120,-6,13;137,10,1;148,-31,21;163,16,-11;165,-3,13;205,-30,43;227,-20,24;231,-5,4;249,-4,3;255,-13,10;279,0,3;281,-5,7;289,1,5;295,-10,6;301,-6,12;317,-12,12;319,10,-9;321,-32,32;336,-9,-1;338,-17,13;353,17,5;365,-5,10;381,-43,44;385,17,-22;391,-22,30;399,-11,8;407,-8,12;411,-21,14;427,-14,15;489,-12,11;500,5,3;501,-19,10;513,-3,10;519,-13,8;527,-4,24;622,-14,1;632,-4,46;652,-11,-13;655,-9,18;664,-9,-9;665,-5,21;675,-7,14;698,3,-8;715,-8,16;716,-9,10;723,-3,1;726,-18,-5;729,26,22;735,-20,-10;751,-14,3;755,1,10;759,-5,0;763,-5,1;764,8,2;775,-7,3;781,-9,13;795,0,11;810,2,-30;826,-21,42;850,-28,19;880,-4,30;885,36,-37;909,-5,6;912,-51,31;921,35,-28;929,-2,9;938,-36,36;943,27,-29;946,-38,33;947,39,-22;959,-8,2;969,-7,10;977,-6,10;991,-7,10;1001,-9,12;1006,-10,-6;1009,7,8;1021,-4,4;1045,-14,14;1059,8,18;1077,-32,13;1089,-4,6;1099,1,3;1107,-11,10;1125,-3,6;1135,-6,5;1147,-17,18;1157,-4,8;1257,-50,44;1265,49,-43;1267,-40,39;1287,11,-16;1297,-29,41
avenida||getulio vargas|centro|38183224|166,-1959451,-4693956;170,-14,25;216,-5,16;234,-13,10;250,-11,16;258,-6,13;274,-15,12;286,-3,4;320,-10,12
avenida||getulio vargas|sao vicente|38183192|1150,-1959984,-4693300;1190,-9,19;1194,-5,9;1266,-62,61;1276,-10,13;1414,-1,5
avenida||lorena simeao valle|bela vista|38184899|70,-1961992,-4691844
avenida||therezinha teixeira valle|mangabeiras|38182524|30,-1961789,-4691942;50,-10,-9;125,-489,-308;135,417,242;140,-270,-140;160,211,73;185,-5,15;200,-45,-21;280,-94,-40;300,-19,-5;340,-50,-27;395,-52,-4;400,-6,-20;485,-88,-39;500,-34,-38;510,-17,-9;530,-31,-4;540,-8,0;570,-47,-17;580,-12,9;590,-12,-10;650,-84,-16;695,-54,-9;715,-25,-25;720,27,-11;750,-29,-42;770,-19,-29;780,-8,-2;805,-32,3;810,2,-45;840,-18,-26
estrada||bela vista|corrego grande|38180001|1,-1955263,-4696374;2,7,-11
fazenda||boa vista|corrego feio|38184550|57,-1958484,-4688208
