beco||sem denominacao 1|nossa senhora aparecida|36202038|417,-2121133,-4378922;425,4,2;427,28,2;437,-17,12;449,6,1
estrada||br 040|guarani|36204760|199,-2119968,-4374989
estrada||br 040|sao pedro|36200001|8,-2121153,-4374915
estrada||br 040|trevo|36205666|40,-2121050,-4374918;700,-185,15
estrada||br 265|br 265|36205899|205,-2119923,-4381334;207,-229,-519
estrada||br 265|br 265|36208000|205,-2119611,-4380535
estrada||br 265|grogoto|36202630|293,-2119774,-4377752;3773,54,-431
estrada||br 265|guarani|36202630|955,-2119686,-4375257;1113,81,-112
rodovia||265|cabeca branca|36201601|5,-2119538,-4376829
rodovia||br 040 km 704|galego|36206100|33,-2124234,-4372734
rodovia||br 040|caicaras|36205666|17,-2121919,-4374503;697,-36,-15;699,-28,112
rodovia||br 040|correia de almeida|36205666|30,-2129855,-4362753;69,-137,230;763,122,-290
rodovia||br 040|galego|36200001|705,-2123998,-4372552
rodovia||br 040|galego|36206100|704,-2123533,-4372309;705,-1350,74;706,571,751;707,272,348
rodovia||br 040|pinheiro grosso|36207500|701,-2121816,-4374401
rodovia||br 040|pombal|36205899|710,-2124898,-4368056
rodovia||br 040|pombal|36206100|711,-2125015,-4367242;712,140,312
rodovia||br 040|sao pedro|36200001|48,-2121100,-4374915
rodovia||br 040|sao sebastiao dos torres|36200001|708,-2123908,-4370204
rodovia||br 040|sitio dos borges|36202179|696,-2118713,-4375116
rodovia||br 040|sitio dos borges|36205666|701,-2121874,-4373983;702,1,84
rodovia||br 040|sitio dos borges|36207500|699,-2120654,-4374710;700,-1033,132;701,-153,422
rodovia||br 040|trevo|36205666|2,-2121109,-4374918;13,-19,11;48,49,-11;700,-152,20;701,-643,926;702,-129,527
rodovia||br 040|vilela|36204514|697,-2121316,-4374982
rodovia||br 265 km 5|floresta|36205899|1501,-2120276,-4379000
rodovia||br 265|greenville|36202630|184,-2119472,-4376106;194,2,-8;206,5,-4;246,45,17;274,20,2;1425,52,215
rodovia||br 265|grogoto|36205899|1936,-2119691,-4378241;3480,-5,180
rodovia||br 265|nove de marco|36202630|117,-2119938,-4379654;137,36,-51;155,-12,-18;165,14,-12
rodovia||br 265|sao francisco|36205899|3133,-2119783,-4377565;3145,-10,-44
rodovia||br 338|colonia rodrigo silva|36201143|18,-2125697,-4380546;20,-18,-21;22,-5,-21;25,-76,-125;126,62,107;128,-15,-19;1395,-139,-210;3011,246,453;3013,16,-22;3015,5,5;3019,-10,-1;3021,16,-21;3023,-9,-11;3025,-4,-8;3051,-14,-21;3063,-10,-16;3077,-14,-29;3295,-157,-234;3309,-7,-11;3317,1,-13;3325,-8,10;3341,-11,-24;3351,-5,-10;3361,-10,-13;3371,-9,-17;3407,-15,-34;3429,-16,-22;3447,-6,-14;3521,-60,-82;4700,-83,-132;4803,-26,-35;4805,-43,-69
rodovia||mg 265|pinheiro grosso|36207500|13,-2119363,-4371133;15,15,17;17,11,0;30,19,18
rodovia||mg 338|colonia rodrigo silva|36200001|3000,-2125579,-4380386;3012,-319,-621;3074,271,549;3080,-10,-15;3092,-8,-14;3102,-14,-28;3110,-47,-72;3200,-70,-115;3650,-166,-276;3660,-11,-25
rodovia||mg 338|ponto chique|36206500|1,-2135405,-4393438;2,-32,6
rodovia||mgt 265|pinheiro grosso|36207500|63,-2120017,-4372153;192,1126,1850;193,-24,-521
rodovia||mgt 265|trevo|36202360|104,-2119568,-4373917;197,-180,-189
rodovia||mgt 265|trevo|36207500|10,-2119895,-4374599
rua||11|monte mario|36201331|33,-2122759,-4380066;53,-11,19;93,-25,28
rua||11|monte mario|36201480|40,-2122764,-4380070;691,33,-16
rua||18|vista alegre|36202875|4,-2120481,-4376820;52,11,1;60,4,2;64,-1,-2;76,11,3
rua||3|monte mario|36200001|11,-2122442,-4379658
rua||mg 135|aeroporto|36200001|207,-2128188,-4375220
rua||mg 135|margens da rodovia|36207000|177,-2128239,-4375178;203,35,-31
rua||mg 135|mg 135|36207000|203,-2128207,-4375213;3920,-53,71
rua||mg 338|colonia rodrigo silva|36200001|15,-2127259,-4381749
rua||sem denominacao 2|guarani|36204760|33,-2120029,-4374990;76,-42,-1;96,-26,-12;108,-37,-1;122,-16,8;199,152,7;230,-30,-2
rua||sem denominacao 2|nossa senhora do carmo|36205899|471,-2124617,-4376760;523,-111,6;571,-42,23;581,-3,35;601,-37,-6
sitio||pombal 2|pombal|36206100|8,-2125150,-4367567
trevo||br 040|sao pedro|36205899|110,-2120869,-4375008;239,-16,2
