alameda||mauro delben|roman|36201147|20,-2124571,-4378770;25,161,-13;37,-31,-12;40,-3,22;115,93,152;188,-186,-150
avenida||eurico gaspar dutra|grogoto|36202376|374,-2121054,-4377385
avenida||olinda de moura cruz demae|grogoto|36202836|122,-2120420,-4377518;128,5,14;140,8,-16;160,40,-16;172,7,-4;202,0,-17;208,23,-10;214,11,6;226,18,10;238,22,-26;250,-10,1;262,13,14;274,11,-18;378,-123,89
beco||dois|nossa senhora aparecida|36202030|9,-2121530,-4378756;25,30,18;32,-2,0
beco||sem denominacao|colonia rodrigo silva|36201150|31,-2126322,-4380974;313,-73,28;5017,288,210;5025,22,-15;5029,-5,9;5035,5,-40;5039,-6,12;5045,-28,-33;5075,1,-4;5079,-26,22;5111,10,-30;5263,-220,-139
beco||sem denominacao|colonia rodrigo silva|36201158|11,-2125714,-4380295;33,1,45;132,-85,67;145,-2,4;344,-29,-10;350,180,-118;405,-53,10;415,6,5;603,-65,16
beco||sem denominacao|grogoto|36202380|646,-2120578,-4377694;658,-3,-2;664,-19,-15;668,6,9
beco||sem denominacao|guarani|36204496|307,-2119956,-4375237
beco||sem denominacao|padre brito|36209000|252,-2129121,-4398076
beco||sem denominacao|palmital|36206972|3,-2128049,-4368314
beco||sem denominacao|pinheiro grosso|36207500|11,-2119906,-4370876;50,31,-3;59,23,-24
caminho||sem denominacao|colonia rodrigo silva|36200001|3560,-2125876,-4380916;3570,6,-15;3580,-4,5
estrada||campestre senhora das dores|senhora das dores|36200001|189,-2119740,-4364328;309,-76,13
estrada||sem denominacao|campestre|36205666|3,-2122978,-4365870
estrada||sem denominacao|comunidade jaco|36205899|10,-2118938,-4383011
estrada||sem denominacao|ponto chique|36206500|3,-2135461,-4393441;8,231,-478;339,-37,7
largo|marechal|deodoro|centro|36200054|6,-2121720,-4377055;86,-12,-55;88,-4,0;104,36,-4;120,10,-13
praca||santos dumont|campo|36200327|1,-2123319,-4377234;3,9,-64;9,-12,27;11,-2,35;17,15,-44;19,-13,29;27,-6,-6
praca||santos dumont|centro|36200086|9,-2123304,-4377292;10,-17,-10;42,11,13;66,-26,-56
rua|doutor|joaquim dutra|grogoto|36202374|113,-2121304,-4376802;117,-3,-8
