avenida|dom|pedro ii|sao pedro|36204190|660,-2121303,-4375975;664,4,16;671,4,6;675,-6,1;690,-3,24;700,-5,5;707,-4,3;720,19,21;730,0,19;731,-18,-33;740,-8,28;750,2,20;762,-8,-3;800,13,3;805,6,-2;817,-3,15;831,-3,25;832,-15,27;839,3,-17;840,-12,49;843,18,-33;846,-15,47;849,9,-36;851,-3,17;856,-9,31;868,-2,12;869,9,-17;875,-3,4;880,-11,18;885,19,-4;892,-20,17;897,2,3;913,6,25;914,-8,-5;921,38,1;927,-34,5;986,-1,8;991,5,3;997,15,25;998,-20,-12;1009,20,15;1013,4,12;1015,-3,0;1023,46,63;1024,-62,-84;1025,34,51;1037,4,6;1043,22,8;1073,-2,22;1106,12,41;1109,18,-7;1112,-10,19;1113,-9,-1;1125,-26,-84;1136,42,105;1157,22,25;1160,-16,-14;1163,8,-7;1172,-2,12;1196,-1,3;1208,9,21;1210,-1,7;1215,19,32;1222,-16,-10;1227,3,-11;1230,-1,17;1234,11,24;1239,-11,-37;1251,19,13;1263,-13,14;1275,4,12;1276,-7,0;1294,15,21;1301,-6,-13;1315,4,-6;1316,-15,38;1323,23,9;1329,6,16;1335,5,15;1370,-24,31;1400,31,107;1480,14,32
beco||joao paulo ii|nossa senhora aparecida|36202034|46,-2121177,-4378935;58,-6,8;62,16,-20;68,10,-9;82,10,-11;84,6,-8
condominio||porto seguro i|colonia rodrigo silva|36201143|6,-2125076,-4380001;13,222,-325;15,-16,39;27,-193,268;33,80,-539;36,82,184;55,-54,320;57,-27,-540;61,81,235;67,-30,144;72,-1,-93;84,-4,-67;85,-9,-117;108,-42,259;111,128,-287;166,-1,380;195,-154,73;217,67,-76;252,93,-288;266,-65,279;276,67,-303;297,-110,321;330,96,-86
distrito||industrial|caicaras|36205899|131,-2122166,-4374073
rodovia||dos imigrantes|colonia rodrigo silva|36200001|1795,-2124557,-4379224;2001,-307,-389;2103,-2,-95;2411,-266,-256;2715,-62,-52;2725,-3,-7;7100,7,10
rua|santa|inez|santa luzia|36202400|12,-2120832,-4377338;69,-42,12;75,4,-1;80,25,-11;81,-19,12;90,10,-6;93,-10,6;100,3,-10;122,9,2;141,-11,-2;165,-16,6;172,-8,9;175,0,-10;184,-12,9;187,-1,-5
rua|santa|isabel|santa luzia|36202397|12,-2120750,-4377138;24,2,7;34,8,19;35,-3,-10;37,1,12;43,6,12;44,-6,-5;60,1,18
rua||da inconfidencia|andorinhas|36205075|48,-2122293,-4376267;49,13,-5;61,-2,10;84,-20,20;97,13,9
rua||dos ipes|chacreamento viva vida|36205899|10,-2119905,-4374247;16,-217,96;18,-126,-29;22,395,-85;25,-75,39;27,-79,32;30,-105,47;31,-44,21;35,-129,78
rua||dos ipes|chacreamento viva vida|36207500|20,-2120316,-4374148;33,110,52;35,-93,31
rua||ibertioga|santa tereza ii|36201096|12,-2123048,-4378659;20,3,-5;80,32,-26;100,17,-11;114,12,-11
rua||ibertioga|santa tereza|36201096|25,-2123055,-4378667;55,24,-10;71,9,-14;75,12,-5;91,9,0;97,9,-9;109,7,-9;132,31,-15;142,19,-20;145,-19,13;152,18,-5;157,-7,-2;158,20,-13;163,-15,5;164,20,3;169,-6,-14;170,13,0;181,-7,1;182,58,-43;187,-44,26;191,22,-21;204,33,-14;216,8,-15
rua||iguacu|caicaras|36205424|6,-2121818,-4374710;10,-11,-9;15,-12,-1;20,-1,-7;25,6,5;33,7,1;78,50,6;90,7,4
rua||imperial|andorinhas|36205071|24,-2122340,-4376462;38,-6,9;50,-4,16;53,11,-3;62,-17,13;65,12,-4;74,-12,19;86,-7,4;101,-1,21;205,-39,81;210,-12,1
rua||inconfidentes|santa tereza ii|36201108|9,-2122767,-4379308;23,-30,0;35,49,-8;48,-25,-3;59,-24,-6;64,16,3;70,-13,-6;75,-12,0;85,-16,-3;100,-12,4;117,-28,-9;125,-15,-8;148,10,0;155,-40,-3;176,21,-11;195,-32,4;206,9,-5;232,-20,-2;246,-10,-4
rua||indaia|caicaras|36205394|22,-2121973,-4375108;29,-12,-5;32,3,7;41,18,-6;65,-36,-2
rua||ipiranga|nova cidade|36204039|15,-2123378,-4373948;43,37,-19;50,-12,2;60,-13,1;69,4,7;70,-6,-11;99,-18,23
rua||ipiranga|novo horizonte|36204039|23,-2120983,-4377071;26,14,11;35,-23,1;46,28,-5;47,-34,12;57,-4,7;60,5,-3;72,-5,9;73,-7,4;81,-10,6;84,2,-3;93,-5,11;96,-3,5;101,-1,5;191,51,-59
rua||itabirito|novo horizonte|36204041|10,-2120724,-4376870;22,6,4;34,6,1;48,12,2;54,7,-13;60,8,5;72,7,-1;84,10,-1;96,9,-1;107,16,6;108,-7,-6
rua||itajai|caicaras|36205376|21,-2121588,-4374963;29,-1,10;35,9,12;38,-7,-21;45,5,26;48,-12,-27;50,10,17;62,-4,7;72,-3,13;75,12,8;81,0,13;82,-12,-4;86,9,16;90,-4,5;131,4,-26
rua||itutinga|nova cidade|36205713|3,-2123094,-4373705;9,30,-43;16,-40,37;18,72,-90;19,2,4;28,-10,7;29,6,1;34,-82,83;38,68,-86;39,12,7;42,-79,89;48,65,-84;49,7,3;58,-13,5;59,8,2;63,-72,102;68,60,-99;69,0,4;72,-78,97;73,12,3;79,70,-92;80,-72,95;88,20,-39;90,-46,58;104,9,-8;112,-10,8;120,-1,4;134,-15,1;138,44,-46;144,-43,65;148,33,-45;158,14,-16;168,-3,0;223,11,-2;231,-5,7;263,-18,19;265,-12,16;271,2,-3;291,-4,2;303,-7,17;329,-2,2
rua||i|grogoto|36202406|100,-2119960,-4377668;114,-10,15;178,59,-59;180,-13,6;182,-5,-3
