alameda||dos jacarandas|sao luiz|31275060|22,-1985667,-4396207;23,-8,26;33,-19,-30;40,7,3;65,-15,-30;80,9,-12;85,-15,-2;95,-6,-25;100,11,15;120,-2,-15;140,-1,-20;145,-14,-12;160,3,-11;180,-1,-11;185,-16,-14;200,10,3;205,-17,-24;242,13,0;245,-24,-24;250,10,-15;260,-2,-3;265,-15,0;270,20,-26;285,-26,-1;323,-13,-47;345,-10,-32;363,-4,-8;381,-13,-24;431,14,-37;441,-25,-13;461,-1,-14;481,-9,-26;501,-8,-19;521,-9,-21;600,-11,-71;620,-6,-17;625,-1,31;640,-3,-49;653,-6,15;660,2,-34;661,-11,7;671,-5,-10;680,4,-12;691,-12,-13;700,8,-12;711,-11,2;720,5,-13;740,-14,-34;751,-2,12;835,-22,-68;840,19,7;868,-10,-26;879,-17,-14;898,6,-5;905,-8,-2;918,6,-17;925,-19,-16;942,104,528;945,-99,-531;966,8,-24;985,-6,13;1000,6,-48;1012,0,-4;1145,0,-124;1165,4,-24;1185,-7,-18;1196,8,16;1205,-9,-57;1210,21,13;1225,-13,-29;1230,14,14;1250,1,-28;1265,-12,-15;1300,9,-5;1315,-5,-27;1326,9,-5;1345,-12,-10;1369,8,-30;1389,3,-51
avenida||dos jardins|lindeia|30690050|23,-1998159,-4404297;35,21,-5;37,14,12;40,-12,3;45,22,-17;49,13,4;50,-11,-1;62,10,-6;63,4,-25;75,5,-1;78,19,0;85,-11,4;90,29,-1;91,-25,-7;105,12,-2;114,25,0;117,-18,-1;126,53,-23;129,-42,8;132,26,1;135,-31,-7;138,41,9;143,-31,-11;150,72,-32;153,-60,27;162,34,-2;174,11,-11;186,7,-7;198,13,3;209,-56,11;211,20,-16;212,39,6;221,-35,-1;226,42,-13;236,8,-5;237,-47,12;247,12,-6;248,61,-23;257,-56,13;270,67,-26;286,6,-14;295,-30,24;297,5,-12;315,14,-7;339,10,-15;355,15,-4;367,17,-5;379,0,-2;391,5,-12;403,15,-3;409,1,1;415,23,-1;427,0,-9;439,-1,-4;451,21,-9;461,8,-3;465,3,-8;467,3,0;470,-55,32;474,41,4;475,27,-33;476,-29,19;480,-44,31;481,83,-66;482,-36,30;486,7,0;488,17,-7;493,15,-33;494,-13,28;500,0,-9;512,22,-1;524,4,-3;536,14,-6;548,6,-6;553,27,-30;560,-18,24;565,24,-34;567,5,1;572,-20,28;577,28,-36;583,3,-3;584,-20,26;589,22,-37;596,-17,35;608,16,0;612,4,-4;616,10,-16;618,-5,-5;622,17,10;634,10,-12;646,10,-3;649,-25,-12;658,40,11;670,22,-6;673,0,-9;676,8,15;700,17,-6;718,9,-3;730,55,39;747,1,1;752,-29,2;770,9,-20;782,4,21
avenida||jacaranda|granja werneck|31748560|13,-1980528,-4390634;19,-12,-29;24,-66,-123;25,27,-17;35,-105,-181;38,148,311;39,-103,-254;40,31,62;42,-44,-92;44,132,394;46,-43,-188;47,-444,-409;49,232,167;54,130,64;63,-188,-137;77,-154,-114;89,252,120;90,-233,-120;148,414,441;150,39,130;160,-399,-575;179,10,6;180,11,13;190,3,7;193,2,-9;200,331,401;203,-323,-393;233,10,3;240,24,10;243,-2,-2;260,22,8;273,5,-2;280,12,11;299,26,-4;350,16,16;353,17,12;370,0,8;375,-175,-97;384,-42,4;387,25,1;547,256,199;610,47,91;630,-7,14;653,32,11;670,0,17;673,6,3;683,13,11;703,2,15;723,12,18;763,9,41;813,20,39;823,4,4;893,25,88;933,10,20;940,-16,4;950,-1,7;953,13,12;983,-1,22
avenida||jequitinhonha|alto vera cruz|30285130|9,-1990547,-4389495;13,-3,-28;15,-5,7;17,-1,20;23,-8,4;33,-8,-22;43,0,-6;53,-8,9;63,-1,-1;133,-59,10;145,-34,9;155,-7,-3;161,-2,17;175,-18,-2;191,-15,-9;195,-8,12;215,-43,9;229,-3,1;231,-17,-8;235,-3,11;297,-9,1;307,-7,6;315,-12,-4;317,4,2;319,-15,2;327,6,-2;335,2,8;337,-17,2;347,-10,-6;369,-4,23;371,-1,-16;373,-12,6;385,-10,-7;435,-33,13;437,-831,334;453,815,-328;455,20,-3;457,-30,7;459,57,-15;471,-61,9;477,-7,2;481,8,-2;491,-27,9;501,-15,7;509,0,-1;535,-15,-4;539,-7,13;545,-11,-3;549,2,1;567,-49,9;577,-1,22;587,-16,-12;597,-5,9;621,-16,-10;627,-7,27;637,-15,-24;647,-1,6;649,-12,-3;657,-9,7;730,-31,-2;731,-4,14;738,7,-4;739,-2,3;741,-14,-4;743,1,7;745,-19,-8;753,1,1;757,-1,1;765,-9,8;771,-8,2;775,-16,1;783,-4,-5;785,2,0;795,-10,6;797,9,0;799,-10,6;801,-12,-2;810,-67,14;820,-7,11;822,-1,-5;830,-8,-2;840,-15,8;850,-9,5;860,-5,0;867,73,-10;870,-80,8;871,69,-16;878,-71,15;888,-20,9;890,-9,11;908,-35,16;910,-9,7;912,-12,-6;914,-21,44;916,-16,-8;918,-7,-5;929,-19,15;1009,268,-110;1020,-297,133;1026,-8,1;1030,-7,4;1045,-25,-1;1051,-2,2;1054,-3,7;1056,-9,-9;1058,2,1;1091,-22,1;1094,-10,-2;1100,-9,7;1106,-1,3;1204,-48,70;1206,-2,20;1208,-5,6;1210,5,11;1230,-17,-10;1239,26,-45;1251,221,-133;1291,-253,182;1303,-5,-3;1350,34,-36
avenida||jequitinhonha|jonas veiga|30285130|1023,-1991576,-4389228;1027,-2,6;1033,-15,1;1049,-35,-4;1060,-22,5;1220,-52,30;1234,0,29;1290,-18,34;1334,0,-2
avenida||jequitinhonha|vera cruz|30285130|140,-1990635,-4389520;168,-43,13;170,0,6;200,-17,-1;210,-8,4;212,-9,2;218,-12,2;220,5,4;222,-23,-8;288,-49,19;290,-19,-3;294,14,15;314,-21,-9;324,-11,-2;334,-4,15;340,-9,-15;344,-17,17;350,12,4;354,-15,-6;364,-9,11;380,-16,-4;454,-61,16;464,4,-3;474,-10,7;496,-14,5;504,-23,8;512,1,0;520,-13,-3;532,-7,6;690,-209,46;700,-142,36;915,-104,52;917,-18,2;919,-28,19;930,9,-3;937,-12,11;947,-10,-1;986,-17,10
avenida||olavo brasil junior|nova pampulha|31370680|21,-1983354,-4401697;23,10,15;35,18,7;47,4,0;59,12,9;71,9,9;83,9,7;95,11,2;107,7,13;119,11,2;171,28,36;183,14,7;195,4,0;207,17,16;211,-3,6;219,4,3;231,10,3;243,10,18;255,6,7;267,14,-11;279,4,-5
avenida||olavo brasil junior|trevo|31370680|9,-1983419,-4401744;11,0,1;13,8,9;18,-72,2;19,75,1;25,4,-12;27,12,22;31,-2,9;33,-7,4;38,-70,-24;51,96,17;58,-89,31;80,34,-8;114,25,8;134,6,6;140,114,73;154,-2,9;164,17,0;168,7,-3;170,17,-10;172,9,-3;176,3,13;180,-6,-5;182,3,-4;184,23,24;194,12,12;226,-2,-3;230,20,18
beco|dom|joaquim|jardim leblon|31540401|10,-1982733,-4398979;18,-11,-14;31,5,-1;45,31,-14;50,-68,-37;65,71,39;70,-77,-17;115,88,-6;120,-60,28;272,69,-20;274,9,-7;294,1,-2;455,-27,0
beco|dom|joaquim|vila ecologica|30670575|3,-2001017,-4401887;6,1,-8;9,0,17
beco|dom|joaquim|vila ecologica|30670580|4,-2001016,-4401892;5,0,1;28,-15,14;39,17,-5
beco|dona|joana|nossa senhora de fatima|30230290|29,-1993805,-4390671;30,-4,1;31,-6,-3;35,6,3;40,9,9;50,-1,-7;52,6,14;60,3,-9;65,-18,-12;75,-5,-5
beco|menino|jesus|santo antonio|30330230|25,-1994775,-4394203;50,-3,16
beco|pai|joaquim|cabana do pai tomas|31615550|299,-1994856,-4400059;309,-12,-7;315,14,-4;322,-14,-17;325,7,6
beco|sao|jeronimo|vila atila de paiva|30640431|8,-1997891,-4403092;15,6,-2;18,-3,0;30,-6,-5;31,-6,1;40,-3,-5;48,17,-17;50,-6,5;53,-13,2;55,-7,-8;60,12,16
beco|sao|joao|acaba mundo|30240107|10,-1996086,-4392890;11,-4,-2;17,-6,4;19,-6,0;20,5,0;21,-11,2;27,-30,12;28,4,-20;30,6,-11;31,6,11;32,6,-6;47,13,-9;53,-22,12;63,36,5
beco|sao|joao|cabana do pai tomas|30240107|75,-1995229,-4399690;79,6,-1;80,3,-19;83,-5,16;87,-3,-2;89,12,6;90,-11,-19;99,9,18;108,-2,9;465,-7,-21;475,-4,-12
beco|sao|joao|estrela|30330296|30,-1994849,-4394115;67,-32,28;87,37,-30;90,-27,8;100,-2,16;102,-17,-15;104,0,-1;106,-2,2;110,-8,4;120,15,9;143,1,12;148,-18,-15;155,26,3
beco|sao|joao|nossa senhora da conceicao|30240074|16,-1993620,-4391644
beco|sao|joao|nossa senhora da conceicao|30240107|20,-1993635,-4391669;21,-24,-1;23,11,5;25,4,4;27,1,0;29,-9,-4;30,-10,-10;33,23,8;35,4,-3;40,-21,2
beco|sao|joao|nossa senhora de fatima|30230620|1775,-1993731,-4390329
beco|sao|joao|nossa senhora de fatima|30230625|1735,-1993703,-4390329;1769,-7,9
beco|sao|joao|nossa senhora de fatima|30250450|19,-1993711,-4390310;22,-13,9;45,54,-20
beco|sao|joaquim|goiania|31950436|7,-1987042,-4389765;10,2,-14;16,-1,9;20,3,8;21,3,-5;25,-8,4;30,21,19;35,-9,-14;42,12,10;45,-3,-4;55,-1,5;65,2,-2;75,4,8
beco|sao|joaquim|jardim leblon|31580290|156,-1982001,-4399547;180,7,-6;183,2,-6
beco|sao|joaquim|santa rita de cassia|30335112|15,-1995066,-4393998;25,-61,-32;34,45,34;35,-54,-49;38,-29,13;39,99,24;40,-14,7;41,-32,-11;42,-51,-20;44,37,32;45,-22,-38;46,19,29;49,-27,-25;50,47,13;53,23,17;55,-73,-26;60,9,5;62,-6,-5;64,29,6;70,-7,11;90,20,1;305,62,27;310,7,-5;317,-12,-6;325,4,-3
beco|sao|jorge|alto vera cruz|30285160|46,-1991002,-4389136;90,-37,-4;95,9,-5;110,-6,-9;120,17,-17;150,-2,-1;156,0,5;160,4,-6;170,-7,14;190,-24,-2
beco|sao|jorge|alto vera cruz|30285169|45,-1990995,-4389125;65,-30,-12;66,0,3;85,-2,-3;95,-2,3;99,-11,-7;105,3,-3;125,-13,-7;145,5,-7;165,-8,-8;195,4,-15;833,2,-8;835,1,-7
beco|sao|jorge|andiroba|31910080|48,-1986593,-4392631;50,15,7;60,-8,-1
beco|sao|jorge|cabana do pai tomas|30335160|13,-1994968,-4400143;15,-103,288;18,-114,275;20,0,2;30,5,-2;36,228,-557;43,-235,557
beco|sao|jorge|jardim leblon|31540242|6,-1982760,-4399305;10,13,5;20,-1,1;28,-14,-3;35,15,-1;45,11,4;65,-4,15
beco|sao|jorge|primeiro de maio|31810543|2,-1986078,-4393150;8,4,-3;25,-5,-7;30,8,-5;40,4,9;43,-8,13;76,5,-11;174,6,-20;176,0,0;177,-11,4;213,-5,33
beco|sao|jorge|santa rita de cassia|30330530|5,-1995333,-4394093;7,-51,23;13,34,-9;21,-2,9;22,-1,-3
beco|sao|jorge|santa rita de cassia|30335160|2,-1995334,-4394088;8,-4,5;10,-7,-6;20,0,21;22,-6,-8;25,-8,0;29,-5,33;30,0,-13;37,-1,12;39,-3,-4;44,4,6;45,-12,-5;47,4,4;48,5,6;53,-13,-4
beco|sao|jorge|ventosa|30421765|184,-1995005,-4397447
beco|sao|jorge|vila barragem santa lucia|30335160|20,-1995577,-4394362;34,-26,67;37,7,-34;40,13,-2;41,-15,18;42,2,7;46,15,18;48,-31,2;50,36,-52;57,-31,39;60,30,-28;68,-24,27;80,10,-27;110,-16,36;755,31,-62
beco|sao|jorge|vila santa lucia|30335160|25,-1995587,-4394369;35,10,24;36,-11,9;38,-6,8;51,-3,8;56,11,-15;721,9,-30;741,-2,-6
beco|sao|jorge|vila santa monica primeira secao|30335160|1,-1981879,-4399185;2,13,-12;3,-14,-5;4,0,22;5,-6,-14;6,15,8;7,-21,-21;8,18,17;10,8,-3;12,4,2;14,-4,-4;15,6,-5;16,0,13;18,11,-20;19,11,-6;35,-36,23;41,11,-4;45,2,-4;48,18,7;52,2,-6;55,-16,-5;57,-34,-13;60,50,18;65,-3,-6;70,6,-2;75,1,-12;85,3,1;95,-4,7;100,-1,-20;155,-10,-36;157,-3,-1;165,2,-16;167,12,37;169,-28,7;170,14,-33;171,-4,30;179,12,-6;180,-10,-26;183,2,7;187,0,-14;205,6,30
beco|sao|jorge|vila suzana ii|30335160|80,-1986596,-4393313
beco|sao|jose|alto vera cruz|30290651|55,-1991164,-4389210;64,4,-8;65,-1,-14;70,-4,27;904,12,6;906,-2,-4;910,8,6;1320,-14,-5
beco|sao|jose|andiroba|31910182|6,-1986611,-4392655;10,4,24;20,-19,-23;22,20,6;30,-13,19;50,11,-3;80,-11,7;90,0,3;100,1,0
beco|sao|jose|cabana do pai tomas|30512350|1,-1995272,-4399476;2,8,1;3,17,11;4,-7,-6;5,-5,1;6,-1,6;7,20,9;9,-9,-5;12,6,-18;14,-9,-5;15,15,8;16,7,-1;17,-3,-6;18,-8,16;19,-5,-8;22,-18,2;25,38,-12;30,-26,12;31,25,7;36,-12,-12;58,11,-10;68,3,-4;148,9,-22;150,-66,30;151,11,26;152,1,-6;156,10,4;157,0,1
beco|sao|jose|dom silverio|31985000|330,-1985246,-4390250;336,-23,-13;657,15,8
beco|sao|jose|dom silverio|31985495|25,-1985281,-4390257;35,10,-2
beco|sao|jose|goiania|31950435|21,-1987063,-4389768;22,-4,-3;25,5,11;26,-1,6;27,3,21;30,-4,-37;34,4,16;36,-60,33;38,66,-15;45,-3,-5;55,-4,3;65,30,-22;74,-36,32;190,5,4
beco|sao|jose|jardim leblon|31580271|5,-1981958,-4399523;12,-6,3;14,8,0;15,-23,2;25,4,-6;26,2,-1;28,-3,-2;30,0,12;31,-13,4;32,9,-3;35,-6,5;36,0,-1;37,-6,-1;40,28,-9;45,-33,8;55,-43,-3;56,40,6;59,-8,1;60,3,0;65,-7,10;70,1,-8;80,-4,3;85,-3,8;90,-6,-4;92,4,10;94,-2,-6;95,-10,11;96,15,-10;98,-4,1;100,-6,-1;105,-13,10;109,-4,-4;119,0,8;120,5,-3;130,-12,3
beco|sao|jose|nossa senhora do rosario|30260456|10,-1993340,-4391022;46,4,-12;48,-5,-19;54,0,8;60,-5,-19;64,-7,-12;72,13,9;73,0,7;86,-2,-3;87,8,-15;425,-18,17
beco|sao|jose|santa rita de cassia|30335072|12,-1995391,-4394043;13,9,21;19,20,-18;23,-12,-16;27,-3,-28;29,10,-15;41,-10,26;43,1,-8;45,1,-2;47,8,-2
beco|sao|jose|sao goncalo|31970006|17,-1984858,-4392175;20,8,5;27,3,-2;30,20,5;37,-11,-6;42,8,7;47,4,-2;51,8,3;55,0,-1;57,8,-6;59,2,-1;67,6,11;75,0,-30;82,0,10;83,6,3
beco|sao|jose|taquaril|30290613|10,-1992125,-4387275;11,3,4;14,-2,-5;15,2,5;16,30,10;20,-29,-11;25,-2,-4;28,21,9;35,-21,-9;36,-7,2;43,60,8;45,-56,-11
beco|sao|jose|tupi|31970006|20,-1983553,-4392842;25,-4,-12;30,-10,14;35,34,-9;40,-41,8;45,37,-5;53,-30,39;63,32,-40;64,-29,53;65,28,-52;72,-34,33;74,-2,17;82,5,4
beco|sao|jose|ventosa|30421780|15,-1994998,-4397440;25,12,10;70,-2,1;72,-1,5;80,-12,2;85,16,-19;90,-2,10
beco|sao|jose|vila antena|30451530|10,-1994964,-4396156;21,5,-7;23,5,-4;25,-15,-13;35,17,-5;45,7,-9;57,4,-3;59,0,-9;61,-4,-16;63,15,-5;67,4,-25
beco|sao|jose|vila atila de paiva|30512350|10,-1997854,-4403132;15,1,1;18,4,-5;20,-1,-2;30,2,-1
