alameda||violetas|sumare|31250148|3,-1988815,-4396515;4,-5,-12;11,18,-9;15,-7,6;26,10,-12;28,6,-1;34,-13,4;38,4,-16
avenida|dom|joao vi|betania|30580270|24,-1995666,-4398634;48,71,15;100,-49,25;140,-131,28;230,-39,41;250,-8,-51;270,-22,12;290,-12,22;330,-22,7;532,-113,178;586,-29,64;602,-47,3
avenida|dom|joao vi|cinquentenario|30570063|25,-1995568,-4398625;37,-16,4;49,-6,1;61,-10,-5;85,-27,-3;131,-55,35;141,-6,-11;151,-13,8;161,-11,20;171,-9,-7;183,-16,-3;185,-67,58;191,58,-53;201,-13,5;211,-2,4;221,1,23;231,-15,-16;235,-103,47;241,84,-44;251,1,4;252,-8,-20;253,6,17;255,-18,-13;261,-72,53;263,71,-31;271,-65,51;273,47,-61;305,-82,59;341,12,-7;353,-9,12;361,5,18;381,-8,5;387,-5,-17;391,-15,16;405,-9,7;413,-1,18;421,8,18;423,-10,-9;441,-9,24;451,-8,11;461,-3,8;465,5,5;481,1,8;501,-5,40;532,-332,139;700,181,-57;710,-9,4;720,-22,9;730,-21,13;740,-29,-36;752,3,-27;760,-10,67;770,-10,-18;780,-11,-37;790,-15,74;880,-22,11;910,-62,-1;920,-2,-3;942,-35,-12;962,-14,-2;982,-4,-6;1002,-30,-4;1030,-18,2;1040,-15,2;1050,-13,5;1060,-13,-1;1082,-15,6;1102,-5,1
avenida|dom|joao vi|cinquentenario|30570066|375,-1996079,-4398263;531,107,-52;541,-26,12;551,-6,9;561,-25,-7;621,-63,44;681,-46,18;691,39,-10;701,-39,2;721,-30,25;781,-33,8;801,-39,13;841,-18,12;861,-21,1;871,-14,0;981,-89,-18;1001,-26,-9;1021,-10,-9;1031,-28,16;1041,0,6;1051,-67,10;1063,43,-14;1081,-6,3;1101,-14,5
avenida|dom|joao vi|palmeiras|30575460|103,-1997130,-4397920;1170,173,-170;1190,374,-99;1200,-18,9;1220,-25,8;1230,-5,-3;1240,-14,-20;1250,-11,33;1260,-15,2;1278,-9,-2;1282,-9,4;1290,-6,2;1300,-15,8;1330,-16,-8;1342,-16,17;1350,-11,1;1360,-13,12;1361,0,2;1370,-10,-13;1371,-2,18;1380,-13,-9;1386,-10,9;1390,-5,-2;1391,-4,13;1400,-6,-8;1421,-43,12;1431,-2,-2;1440,17,-10;1441,-19,16;1443,1,6;1449,-10,6;1452,-5,-25;1460,-11,6;1461,9,20;1472,-31,-26;1481,15,21;1491,-31,11;1500,54,25;1503,-67,-22;1506,41,21;1511,-45,-25;1512,7,1;1520,-20,-3;1521,1,-9;1525,-11,30;1530,3,-17;1531,3,18;1581,-34,33;1590,-17,-14;1600,-8,18;1601,-4,14;1610,-3,-13;1620,-6,17;1630,-13,5;1650,-10,10;1651,-2,14;1670,-11,-9;1672,5,-6;1676,-1,12;1681,0,9;1690,-36,10;1700,-14,15;1701,16,8;1710,-17,5;1711,-16,38;1720,3,-30;1730,-11,9;1740,-4,9;1741,11,7;1750,-23,-5;1760,-5,18;1770,-5,9;1780,-20,5;1800,-10,16;1801,3,7;1810,-12,-7;1820,-10,10;1821,9,9;1822,-16,2;1840,-23,-3;1841,16,-3;1851,-17,-9;1863,-7,9;1880,-10,-15;1883,-3,8;1890,-12,-16;1911,-6,24;1914,-67,-51;1918,5,2;1930,-9,22;1931,26,25;1940,-29,-14;1941,2,17;1950,2,5;1951,3,20;1960,-6,-24;1961,-5,30;1980,-2,-2;1981,9,14;2021,2,2
avenida|dom|joao vi|parque sao jose|30570522|1181,-1996586,-4398168;1191,-24,6;1201,-14,-4;1207,-6,10;1211,1,0;1221,-15,-5;1241,-20,10;1251,-4,3;1281,-22,5;1283,-7,3;1301,-1,-1
avenida|governador|benedicto valadares|jardinopolis|30532000|1258,-1993831,-4400121;1260,15,-2;1262,-12,-19;1272,61,-4;2855,-461,-357;7768,0,0
avenida|governador|benedicto valadares|vila oeste|30532000|95,-1993665,-4400070;105,8,0;107,-8,-9;115,8,-10;125,-4,-4;135,-2,-6;137,9,-3;143,-5,2;145,0,-18;147,-5,-2;153,4,-1;155,-3,-4;165,3,-1;175,2,-7;203,-2,-4;205,3,-12;209,-3,4;211,4,-8;213,4,-7;215,-5,14;217,19,-26;219,-16,-18;223,10,-14;225,-2,4;231,1,-6;250,27,-30;263,3,4;273,-6,-9;283,2,-6;293,7,3;297,-6,-13;301,0,-9;305,14,-14;311,-4,2;315,0,-5;329,4,-1;331,16,-21;333,8,6;335,-3,-18;337,-3,-2;339,-15,26;340,28,-28;347,-4,-1
avenida|governador|benedicto valladares|joao pinheiro|30510115|940,-1993321,-4399398;966,-32,-55;970,-89,-98;971,-14,-15;972,81,109;973,-55,-79;975,-22,-24;982,56,59;984,-8,-11;986,9,11;988,9,19;990,6,6;1000,56,53
avenida|governador|benedicto valladares|joao pinheiro|30532000|304,-1993384,-4399569;310,-26,-22;490,-8,-14;509,-6,-1;510,36,53;540,-8,-16;550,-5,-4;590,-34,-39;628,-17,-18;632,-20,-16;646,-2,-1;660,-8,-11;674,-7,-9;690,-7,-6;720,-26,-26
avenida|governador|benedicto valladares|oeste|30530570|9,-1993606,-4399991;812,2,143;822,-1,-4;830,12,-14;832,2,0;834,-15,-8;835,0,1;836,6,-5;838,4,-8;840,1,-1;842,-15,-22;848,10,-18;849,-5,-1;850,-2,-22;860,-7,-2;870,8,-16;880,-3,-9;882,9,5
avenida|governador|benedicto valladares|oeste|30532000|520,-1993164,-4399260;552,-16,-20;560,-1,-1;576,-388,-512;701,-86,-75;720,135,170;740,-50,-98;750,36,72;780,-33,-49;790,-6,-11;820,-4,-25;824,-2,-3;826,15,-2;828,-23,1;910,14,-8;977,-9,111
avenida|padre|vieira|minas brasil|30730240|15,-1991662,-4398862;27,10,-12;41,7,-11;59,-5,-9;71,9,-6;83,10,-2;95,-3,-27;115,14,-14;125,-4,-3;135,3,-27;145,14,-9;165,-5,-12;189,15,-18;201,1,-32;225,5,-3;241,-7,-20;255,7,-12;258,-6,81;265,7,-95;295,-8,-11;301,-9,-22;315,7,1;319,-7,-16
avenida|padre|vieira|padre eustaquio|30730240|30,-1991639,-4398858;50,13,-38;80,0,-4;100,4,-23;120,7,-28;130,1,0;150,15,-30;200,9,-39;210,-6,0;218,9,-20;230,3,-4;250,13,-33;270,-11,1;280,6,-13;296,2,-16;316,-16,-15
avenida|professora|gabriela varela|jardim felicidade|31742173|578,-1983124,-4393163;580,-16,11
avenida|professor|sylvio de vasconcellos|sao bento|30350530|40,-1995834,-4395488;60,7,30;64,-4,-59;90,-8,-23;98,-13,-15;105,1,-57;120,10,43;136,17,-29;156,-7,1;168,-9,-17;186,7,-16;200,-5,-11
avenida||americo vespucio|aparecida setima secao|31230240|866,-1988992,-4395734;878,-129,-30;890,-67,-25;902,-6,-10;914,-13,-15;926,-8,-5;942,-9,-10;954,-21,-15;956,-17,-23;964,12,18;978,-10,1;990,0,-18;1000,-7,-11;1010,-11,9;1016,0,-8;1022,-4,-20;1046,-9,-3
avenida||americo vespucio|aparecida|31230240|47,-1988715,-4395195;49,0,3;51,-4,-9;131,-36,-75;189,-13,-37;201,4,-10;211,3,-15;213,5,-7;271,3,-53;285,-18,-15;305,-4,-7;335,-6,-6;343,-15,0;345,2,-10;355,-20,-24;365,-9,-7;379,-8,-13;391,5,-9;417,-40,-49;429,4,11;435,-37,-35;501,-27,-12;599,-64,-61;627,-28,-11;647,16,8;657,-13,-5;667,-13,-4;675,-2,-17;727,-16,-7;737,-12,-6;747,-24,-16;759,-14,-13;777,-24,-3;795,-97,-74;853,28,14;865,-16,2;895,-8,-12;913,-3,-9;917,-18,-14;919,0,1;929,-13,-3;943,-5,-6;955,11,30;1001,-37,-80;1003,-1,2;1029,-8,-14;1033,-24,-17;1039,-20,-21;1049,-2,-6;1056,22,-14;1057,-21,8;1059,0,2;1062,7,-16;1072,-6,-12;1085,-10,20;1089,-6,4;1092,-8,-26;1096,-6,-5;1099,15,22;1100,-20,-35;1109,7,26;1123,-24,-10;1137,-3,-5;1138,6,-26;1143,-8,21;1144,-1,-14;1148,15,-27
avenida||americo vespucio|aparecida|31230250|1150,-1989428,-4396009;1158,-10,-6;1162,-4,0;1176,-15,-9;1218,-22,-16;1220,-11,-6;1800,-598,-460;2000,-17,217;2040,13,4
avenida||americo vespucio|caicaras|31230240|2289,-1990124,-4396487;2345,11,-103
avenida||americo vespucio|caicaras|31230250|2045,-1990103,-4396384;2885,-40,-12
avenida||americo vespucio|ermelinda|31230240|598,-1989024,-4395678;600,69,21;620,0,-1;698,-67,-23;712,-14,-8;714,3,-1;716,-8,-1;726,-5,-10;738,-9,5;750,-13,-13;754,-19,-5;756,0,-16;780,-26,-10;800,-11,-5;810,-8,-17;820,30,23
