alameda||da saudade 55e|citrolandia|32641352|41,-2003730,-4422411;47,10,-4;49,0,-10;53,-12,-10;55,13,-4;57,7,-18;69,-7,20
avenida||3|distrito industrial bandeirinhas|32657030|100,-1999050,-4417671;425,40,31;477,36,19;535,80,74;575,9,17;611,-1,11;650,53,94;663,-5,-43
avenida||br 381|citrolandia|32641805|70,-2002410,-4422993;503,-54,-44;507,-8,-4;511,-4,6;607,-14,-19;753,-5,-10;757,-9,7;777,-12,-13;795,-24,-15;799,16,17;807,-18,-16;815,-9,-10;817,-4,-7;827,-10,-1;837,-10,-8
avenida||lateral br 381|morada do trevo|32600836|7,-1997989,-4420099;17,-59,-10;18,88,25;30,-46,-58;40,-92,12;45,21,9;167,305,52;497,-450,-110
avenida||rodovia 262|aroeiras|32673532|64,-1998304,-4422770;358,38,-171
avenida||rodovia 381|citrolandia|32639350|52,-2002724,-4423333
avenida||sanitaria 2|sao caetano|32677518|15,-1993977,-4411485;19,23,-40;25,-10,12;32,28,-25;34,-25,14;36,4,7;42,-18,19;46,-3,-6;47,23,8;49,-9,-12;50,-11,15;227,26,-43
avenida||sanitaria 2|sao caetano|32677524|5,-1993905,-4411570;8,-29,22;15,20,3;18,-7,-7;21,14,-5;22,-1,5;23,-16,-2;24,11,4;30,-35,13;31,-4,-8;33,-4,3;34,-7,-25;37,14,33;38,3,-34;372,3,34
beco||da paty 1|vila presidente kennedy|32699899|146,-1997034,-4414216;147,6,6;149,-10,-9;152,10,26
beco||da paz 3|vila presidente kennedy|32699899|200,-1997079,-4414230;201,-1,3;202,9,-17;204,-5,1
beco||imbe 1|jardim terezopolis|32681784|20,-1995093,-4411470;72,-32,-2;74,-1,-1;168,7,5;170,-4,-1;172,32,6;173,7,-13;174,-7,0;175,5,4;176,-5,8;180,-14,-6;182,-7,0;184,-5,1;185,3,-1
beco||ipe ou vilela 13|jardim terezopolis|32699899|32,-1994755,-4411572;50,20,33;52,-24,-12;54,14,-1;56,-1,-2;59,-3,-12;63,-10,4;64,8,4;65,-13,1;72,3,-8;73,4,10;84,13,4;94,-3,0
beco||sao caetano 2|santo antonio|32684075|1605,-1995267,-4410971;1625,7,9
beco||sem denominaca 1|conjunto habitacional celso alves pedrosa|32699899|528,-1993610,-4414094;555,-4,28
beco||sem denominacao 10|conjunto habitacional homero gil|32699899|106,-1993201,-4419075
beco||sem denominacao 1|campos eliseos|32661780|25,-1997936,-4413921;26,6,5;27,6,-4;29,23,2;33,9,-6;45,25,-7;55,16,-4;59,10,1
beco||sem denominacao 1|citrolandia|32641834|334,-2002644,-4423052;335,24,-20;340,-19,10;342,24,-19;346,-15,-2
beco||sem denominacao 1|colonia santa izabel|32699899|23,-2004354,-4421434;26,-4,-4;68,221,-10;89,-11,-20;90,-1,0;92,6,13;97,5,1;99,-8,-2;102,-4,-20
beco||sem denominacao 1|conjunto habitacional homero gil|32699899|28,-1992832,-4418992;34,17,-12;36,-15,12;79,-425,-50;80,-9,5;81,39,-32;82,3,0;91,-55,40;92,11,-6;93,33,-28;155,401,75;167,-26,6;312,-203,96;322,3,-6;324,-7,9;337,-17,12;349,0,0;367,-56,112;380,-25,20;384,30,-24;385,-16,16;389,-18,11;390,7,-8;391,-2,1;392,14,-5;396,13,-11;397,-5,5;398,-7,0;413,118,-60;414,2,-8;423,-19,6;425,10,3;426,17,-15;1189,9,-155;1630,45,109;1638,-3,-3;1934,-208,150;1953,-8,3;1962,1,-2
beco||sem denominacao 1|cruzeiro|32661314|40,-1998744,-4414983;54,3,-4;61,-7,-13;70,5,7;75,-12,-11
beco||sem denominacao 1|filadelfia|32670110|89,-1997251,-4418474;91,-2,-10
beco||sem denominacao 1|guanabara|32667038|132,-1997505,-4414018
beco||sem denominacao 1|guanabara|32667090|62,-1996951,-4414035;63,9,-5
beco||sem denominacao 1|jardim alterosas segunda secao|32699899|12,-1994552,-4417092
beco||sem denominacao 1|jardim terezopolis|32681342|93,-1995363,-4411463;95,-14,-6;97,-4,5;99,-3,8
beco||sem denominacao 1|jardim terezopolis|32699899|33,-1995156,-4411615;35,-253,-233;36,4,1;37,-12,-2
beco||sem denominacao 1|santa cruz|32667342|1,-1996357,-4413731;127,0,0;137,22,8;140,-21,-1;148,2,6;149,0,-11
beco||sem denominacao 1|santo antonio|32684094|160,-1995248,-4410840;161,1,2;163,-2,-1
beco||sem denominacao 1|sao joao|32655564|1,-1997186,-4417157;6,192,206;12,-210,58;14,22,-266;31,-41,24
