acesso||a rua doze e rua dez|cruzeiro do sul|32672802|8,-1993481,-4416114;371,-19,-15
avenida|sao|diniz|alvorada|32685102|2,-1993920,-4409940;3,298,209;6,-280,-197;290,29,23;298,-14,1;306,-1,-8;314,-2,-7;318,-26,-5;320,2,-16;330,-7,1;342,-12,-14;1584,186,93;1650,108,59;1694,-24,-13;1704,31,36;1706,18,18
avenida|sao|diniz|alvorada|32687012|1480,-1993832,-4409879;1508,9,6;1510,21,-3;1518,-11,4
avenida|sao|diniz|amazonas|32685102|421,-1994379,-4410384;433,-10,-18;457,-15,1;469,-5,-9;481,-2,-4;503,-57,-77;513,13,9
avenida||dois|amarante|32605445|21,-1994140,-4413462;1776,-26,-4
avenida||dois|chacaras sao sebastiao|32655450|120,-1991985,-4417760
avenida||dois|conjunto habitacional celso alves pedrosa|32655450|198,-1994145,-4412977;210,-3,8;360,1,-301;370,-2,16;380,-3,8;388,0,5;389,-10,88;400,12,-74;410,-4,9;414,1,7;422,45,-80;426,-29,-39;477,-27,277;485,29,-299;487,-29,276;489,-2,11;495,3,-24;497,-3,-25;499,1,-2;500,30,-249;501,-28,241;502,24,-247;503,-22,241;504,1,-11;505,1,-17;506,3,-15;507,-3,9;509,4,-11;510,0,-11;511,-6,10;512,7,-24;540,-23,181;555,14,-4;556,21,47;558,1,13;565,-22,-46;567,14,10
avenida||dois|sao joao|32655450|71,-1997661,-4416683;85,-15,6;171,-65,50
avenida||dois|vila alpina|32655450|16,-1997758,-4416623;62,101,-64;84,-17,11
avenida||dois|vila cristina|32654804|141,-1994188,-4413029;194,18,-15;613,1,-110
avenida||dois|vila das flores|32605230|17,-1992811,-4418235;41,-17,-31;53,-16,-15;54,5,-1;96,-271,-187;97,4,-6;98,-1,-9;100,68,92;101,-17,-6;104,-42,-56;108,-16,-15;117,84,82;120,-41,-6;151,49,14;152,22,6;200,49,23;210,-3,-1;220,9,14;234,12,1;245,213,202;256,-192,-187;266,0,-6;278,22,11;290,3,5;320,20,9;344,18,21;350,6,-3;362,9,14;408,12,25;422,16,15;440,5,4;442,5,13;446,2,-3;448,10,7;450,28,35;460,-8,-18;461,-5,-2;462,-11,-4;473,1,4;492,17,18;520,25,22;538,-7,-8;540,15,19;552,-7,-4
