alameda||dos hibiscos|gentileza|32618060|45,-1992491,-4425682;46,56,-77;55,-68,75;333,71,-59;367,-10,11
avenida|dom|afonso henriques|jardim alterosas primeira secao|32670654|14,-1995522,-4416338;30,13,11;56,20,17;76,8,5;108,37,26;130,10,3;142,17,12;154,1,6;166,11,6;180,4,7
avenida|engenheiro|victor hasparyk|sitio de papai|32625052|26,-1994080,-4423064;260,-34,-11
avenida||belo horizonte|chacara|32672105|1604,-1996078,-4418815;1860,2,6;1872,-8,11;1878,-3,4
avenida||belo horizonte|cruzeiro do sul|32672755|22,-1992877,-4416840;80,-1,11;101,-6,90;107,-17,54;110,13,-49;147,-33,76;185,-15,34;225,-11,12;238,14,-30;239,-16,62;245,2,10;255,-6,-18;259,-4,29;265,-2,7;275,-5,11;315,-15,35;317,0,-12;331,-5,25;335,113,-324;371,-119,350;373,-12,21;377,12,-18;379,-5,9;385,-2,3;391,-31,86;397,14,-45;409,8,-18;461,-17,42;626,142,-475
avenida||belo horizonte|cruzeiro do sul|32672758|26,-1992895,-4416779;44,-8,15;52,4,17;154,-30,64;156,-8,24;158,14,1;164,-35,-6;170,19,9;174,7,0;186,-15,29;200,-7,19;220,-7,2;242,1,13;312,-26,64;314,-3,10;332,-4,13;334,1,15;386,-20,33;392,-2,12;410,-2,15;418,5,-6
avenida||belo horizonte|cruzeiro do sul|32672776|398,-1993041,-4416374;444,7,-19;450,5,2;458,0,-9;500,-8,33;527,-11,45;538,-14,0;550,3,16;551,10,1;560,-16,4;563,11,3;588,-24,22;600,-5,9;612,5,6;614,-20,2;626,5,17;636,0,7;670,-18,28;680,5,20;692,-11,18;730,-7,15;756,-4,23;800,-32,65;816,0,-4;832,21,-62;846,-27,85
avenida||belo horizonte|cruzeiro do sul|32672805|945,-1993191,-4415954;967,-17,1;975,-31,11;979,13,-5;1021,61,-53
avenida||belo horizonte|cruzeiro do sul|32672806|868,-1993173,-4416029;884,-7,29;902,0,-9;908,-4,14;920,-6,12;968,-34,25;970,-18,4;974,-6,0;998,-11,-1;1000,-10,3;1012,-12,5;1044,-10,3
avenida||belo horizonte|cruzeiro do sul|32672815|359,-1993107,-4416165;597,39,-87;623,-3,8;635,-13,22;657,-6,20;667,1,-2;683,-14,32;729,-19,41;741,-1,1;765,-2,20;775,-10,8;813,-1,27;814,-6,4;817,3,13;837,-8,13;845,-5,10
avenida||belo horizonte|espirito santo|32671645|8,-1995290,-4417910;44,5,-41;56,-2,-1;79,100,-584;82,-92,543;118,-3,-38;159,95,-419;202,-79,348;230,7,-13;238,0,-8;262,8,-24;340,16,-93;344,-5,-5;348,11,-3;392,-11,26;394,9,-4;396,5,-4;398,-9,1;440,22,-92;452,-1,-9;464,1,-4;547,-58,255;549,1,2;551,-4,7;553,2,0;566,81,-475;570,0,105;579,-92,391;587,95,-412;588,-4,-7;589,3,15;593,-84,421;611,75,-383
avenida||belo horizonte|jardim brasilia|32671504|11,-1995221,-4418381;144,-16,-227;168,31,165;180,-5,17;184,0,4;188,0,5;240,-11,45;511,18,-109;519,1,-18;537,5,-11
avenida||belo horizonte|jardim terezopolis|32681360|1036,-1995263,-4411631;1040,0,15;1050,-1,13;1060,-20,51;1068,22,-41;1070,5,8;1080,-4,8;1090,-15,15;1100,-9,12;1110,3,15;1114,-5,7;1120,-1,10;1130,-6,8;1140,0,4;1150,-15,3;1160,4,9;1162,-26,6;1164,-7,-4;1170,23,15;1180,-11,44;1186,12,-22;1190,-19,-5;1192,0,-6;1194,-7,-9;1200,1,10;1202,21,11;1206,4,-11;1210,-6,26;1212,1,-2;1220,-7,9;1222,-7,15;1226,-2,2;1230,0,6;1240,-3,6;1248,-7,5;1252,-2,17;1254,3,-5;1260,-2,4;1268,-6,6;1270,2,8;1278,-2,6;1280,37,-102;1290,-48,116;1292,-5,3;1308,12,0;1310,-10,3;1312,2,17;1330,-8,19;1332,-2,-4
avenida||belo horizonte|jardim terezopolis|32681366|330,-1995238,-4411744;610,44,-197;612,0,-2;616,3,-27;618,-8,38;620,3,-22;622,-8,1;624,12,1;712,-26,27;720,26,3;722,-12,47;726,-2,-2;736,4,13;738,-16,36;742,3,-10;744,9,-19;746,-17,8;750,12,3;768,-11,12;776,8,15;778,1,0;780,0,14;820,-23,53;830,8,11;840,-6,7;842,-9,13;844,9,-2;846,0,-1;855,-3,-12;860,5,12;867,-18,8;879,19,12;880,-9,-4;889,-6,18;890,7,-23;895,-9,12;897,-7,16;900,-10,-5;904,2,8;906,-25,96;908,39,-83;910,-5,-9;914,3,6;917,-2,15;918,-3,-13;920,-3,4;928,0,12;955,14,-80;1020,-5,71;1026,-4,5;1038,-5,7
avenida||belo horizonte|jardim terezopolis|32681426|238,-1994957,-4412206;240,-4,0;256,-1,3;260,-14,20;272,-5,-7;284,-3,12;288,-37,52;290,21,-44;296,6,-4;300,-38,50;304,-50,14;308,78,-58;312,-41,42;314,-13,6;316,11,2;318,27,-33;320,-117,104;322,118,-109;344,-116,112;350,79,-76;352,-5,8;354,-14,9;356,-7,5;358,1,4;360,-8,2;364,-7,16;366,24,-25;368,-29,27;370,-58,45;372,63,-68;374,-75,68;376,9,8;380,69,-74;382,-74,79;394,-2,2;474,56,-46;476,-12,7;572,-50,52;628,-14,31;630,4,-3;632,7,-7;712,-25,68;714,5,5;716,0,3;718,-5,17;724,15,-32;728,-10,3
avenida||belo horizonte|jardim terezopolis|32681505|8,-1995289,-4411531;12,463,-798;15,20,16;16,-24,-4;58,-19,29;59,2,-7;154,-12,-5;166,-48,49;178,-10,6;180,14,2;190,-25,6;191,-1,14;211,-10,-2;213,6,4;237,-23,17;245,-4,8;253,-5,2;257,-3,1;269,-10,9;277,-8,8;287,-2,3;331,-32,23;345,3,11;359,4,31;361,-18,-29;389,-35,28;401,7,23;421,-16,-8;425,-16,18;475,-26,21;535,-15,22;595,-38,31;605,-7,1;607,5,6;615,-2,-2;625,-11,21;627,4,-6;633,0,26;635,-11,-4;645,2,-13;655,-5,19;663,-1,15;665,1,-5;675,-3,19;701,-5,13;711,1,7;713,-3,6;715,-7,13;725,2,3;737,-3,4;739,-3,9;743,3,13;747,0,7;759,6,23;781,-15,19;792,-2,11;799,2,3;817,-3,13;818,0,5;819,-14,15;822,20,-17;951,-29,138;953,-9,13;955,-3,-9;975,-2,14;987,-8,3;999,-1,6;1019,1,8;1033,6,11;1035,-10,-4;1039,-3,26;1049,-10,8;1059,-1,-1;1069,-7,14;1079,8,18;1089,6,6;1091,-14,19;1099,1,-4;1109,2,3;1119,-15,10;1139,-2,41;1161,-17,3;1179,3,12;1189,-9,13;1199,-1,4;1201,5,-10;1215,-5,3;1219,15,32;1221,-4,2;1225,-13,-4;1231,-6,23;1247,-7,1;1249,6,-7;1259,-5,15;1269,-6,13;1279,4,7;1289,-8,8;1295,-6,6;1297,7,-9;1299,-6,17;1309,-3,10;1319,-3,13;1349,-7,19;1359,-8,4;1369,2,3;1377,-3,11;1379,-1,4;1385,2,9;1399,-13,17;1409,2,19;1411,-4,-10;1415,-9,3;1419,1,15;1421,6,2;1429,-3,5;1435,-1,12;1439,-2,11;1455,-4,6;1471,4,12;1475,6,22;1479,-2,1;1483,21,14;1484,-10,16;1485,-1,-7;1495,5,12;1497,4,-6;1991,59,-348
avenida||belo horizonte|jardim terezopolis|32681885|1350,-1995385,-4411300;1360,4,19;1370,-7,10;1374,0,0;1380,-16,11;1384,19,5;1390,-7,3;1394,-5,9;1400,-3,3;1402,2,3;1410,-9,1;1420,4,8;1430,-3,14;1440,-2,0;1448,-1,15;1450,8,7;1486,-9,16;1488,17,-1;1490,2,2;1494,-32,8;1498,22,9;1500,11,22;1504,0,15;1506,-13,23;1508,11,-16;1516,0,-4
avenida||belo horizonte|niteroi|32672055|44,-1994171,-4417961;1516,-570,153;1518,26,-4;1520,15,-6;1536,8,-9;1548,7,2;1560,9,1;1572,11,-6;1584,19,-4;1620,30,-9;1656,9,-14;1658,45,-4;2088,373,-109;2116,-32,14;2120,17,-26;2122,44,26;2124,-39,-20;2132,65,11;2140,18,8;3018,28,44;3054,2,11;3062,8,7
avenida||belo horizonte|niteroi|32672085|716,-1994857,-4417784;1331,-33,12;1335,-20,4;1353,34,-6;1357,1,-6;1365,11,2;1401,32,-8;1413,7,-5;1425,18,-5;1437,9,2;1449,11,-1;1515,20,-12
avenida||belo horizonte|niteroi|32672088|8,-1994242,-4417965;71,-48,20;140,-474,143;1098,477,-147;1330,-594,185;1376,27,-20;1388,20,17;1400,13,-7;1424,13,-27;1436,11,20;1446,2,-10;1470,-21,10;1618,370,-117;1700,-51,20;1771,38,-7;1772,-12,-12;1775,-6,5;1795,9,-7;1806,10,-6;1807,1,4;1819,13,-8;1820,7,9;1824,7,7;1831,-6,-16;1832,11,8;1842,6,-8;1843,-8,1;1848,12,3;1852,-4,-25;1855,7,11;1856,5,11;1858,0,-10;1860,-1,10;1864,10,-5;1867,-9,-9;1885,24,-6;1920,28,5;1931,8,-7;1932,4,3;1951,16,-15;1960,2,15;1970,4,-18;1972,7,-2;1982,6,2;1987,8,5;1991,-22,-3;2001,-18,6;2019,69,-19;2031,12,0;2036,-20,11;2048,16,5;2050,10,-21;2109,43,-7
avenida||belo horizonte|niteroi|32672105|5,-1995278,-4417882;91,6,76;117,13,24;131,-5,-44;145,24,74;841,-23,-73;919,32,84;1007,44,38;1035,42,0;1111,64,-7;1125,6,-2;1135,10,-6;1147,11,0;1159,13,-11;1171,7,3;1181,7,-4;1219,36,-5;1231,10,-2;1243,8,-8;1267,32,-4;1277,17,-1;1505,210,-72;1561,37,-13;1585,23,3;1595,-31,5;1597,48,-17;1607,-24,2;1633,53,-15;1639,7,-3;1644,-23,-7;1645,21,9;1657,22,-7
avenida||belo horizonte|niteroi|32672108|785,-1994954,-4417745;850,-398,-27;917,324,53;955,-27,21;979,-25,-1;1000,-221,-9;1010,135,28;1022,7,-7;1046,12,5;1088,49,-15;1120,39,-10;1144,12,-9;1150,5,1;1180,29,3;1192,11,-15;1204,3,1;1216,16,-1;1228,4,-4;1240,7,1;1252,16,-6;1280,16,-12;1284,5,2;1290,8,0;1302,1,-4
avenida||belo horizonte|santo antonio|32684075|1503,-1995351,-4411062;1513,-3,2;1515,0,6;1517,9,3;1519,-4,9;1521,15,7;1525,-2,4;1527,4,-1;1529,23,7;1563,-10,17;1565,11,0;1569,1,10;1579,6,7;1583,7,-1;1585,67,3;1603,-47,-8;1607,-15,5;1609,-4,27;1611,5,7;1613,8,9;1627,14,20;1629,7,18;1631,-23,-32;1633,14,-7;1635,3,0;1637,-15,21;1641,18,6;1659,9,14;1669,-8,-16;1679,21,34;1687,3,10;1691,8,6;1695,3,12;1697,15,4;1743,23,12;1761,18,26;1763,-8,-14;1765,21,14;1766,8,-1
avenida||belo horizonte|santo antonio|32684084|1556,-1995366,-4411073;1560,5,-2;1562,10,15;1564,32,42;1578,14,42;1580,8,1;1584,-12,-15;1586,-9,-14;1588,11,3;1592,-42,-54;1594,10,8;1596,-3,11;1598,49,68;1608,10,14;1610,4,11;1612,-18,1;1620,22,3;1626,4,4;1628,-14,-16;1630,8,20;1640,16,13;1650,7,17;1654,-3,-9;1660,7,10;1662,1,12;1678,8,7;1680,4,9;1690,7,7;1692,-2,-6;1694,0,7;1696,2,-1;1700,7,6;1706,12,3;1730,4,4;1750,17,11
avenida||de havana|duque de caxias|32673478|31,-1993955,-4415082;36,-19,2;61,188,-49;169,-88,32;179,6,-8;221,34,-8;303,-91,23;305,-1,-1;317,-8,-6;327,0,30;329,-4,-1;359,-44,-13;365,-11,6;375,-4,4;391,-8,6;393,-3,-1;395,-4,0;399,-7,4;401,-3,-3
avenida||hibisco|alto das flores|32605114|28,-1993208,-4418687;40,-5,10;52,-7,6;62,0,2;66,-12,11;76,-6,2;80,1,5;90,-9,16;94,-5,5;112,-9,-2;124,-5,12;182,-34,38;194,-13,13;206,-7,8;218,-5,14;230,-3,1;242,-11,11;254,-4,7;266,-11,6;278,-12,13;290,-8,9;350,-30,35;362,-14,7;374,-2,4;386,-11,13;398,-4,9;410,-8,9;422,-8,3;434,-4,12
avenida||hibisco|alto das flores|32605155|15,-1993224,-4418654;165,-84,76;177,-6,13;193,-37,51;271,-42,56;305,-37,30;395,-12,12;1900,236,-262
beco|santa|helena|jardim terezopolis|32681678|41,-1994707,-4411534
beco||belo horizonte|santo antonio|32684046|507,-1995089,-4410974;513,-5,-7;514,-7,-1;518,-5,-15
extensao||da rua havana|duque de caxias|32673478|200,-1994074,-4414981
fazenda|santa|helena|serra negra|32605800|2,-1987087,-4420814;3,121,13;5,-69,37;12,31,-67
