acampamento||2 de julho|assentamento dois de julho|32600001|52,-1994766,-4430344
alameda||das jaboticabeiras|parque ipiranga|32642420|1,-2001607,-4420450;2,14,15;7,10,-43;11,29,31;12,95,-303;13,-75,146;25,30,-83;33,-31,63;204,-25,61;238,-10,20
alameda||dos jacarandas|citrolandia|32635180|16,-2000274,-4422549;17,-8,0;125,-104,135;127,13,-15;195,27,-42;200,16,-11;215,0,-16;220,18,1;222,-103,117;223,-1,-4;225,115,-144;233,-8,20;240,2,-1;250,-79,98;260,23,-33;280,94,-106;340,1,-13;360,29,-39;371,15,-72;385,-28,-3;397,46,14;399,8,-23;400,-20,1
alameda||dos jacarandas|gentileza|32657336|1,-1992226,-4425539;2,-35,99;3,-42,49;4,-81,106;5,-64,82;6,-43,64;7,-72,93;8,-69,95;10,50,-86;24,-13,54;25,277,-430;27,107,-167;28,-24,-70;45,-36,1
alameda||maria turibia de jesus|centro|32600042|20,-1996661,-4420144;43,-4,19;44,-72,12;55,70,-2;56,-5,5;69,4,16;76,12,-39;85,-17,50;88,-6,-11;90,-1,1;92,4,6;94,-2,7;96,-2,5;97,-1,-3;98,-2,11;100,-8,11;109,1,-16;111,-8,5;151,-8,16;175,5,-7
avenida||jacarandas|monte verde|32653396|8,-1997795,-4416766;101,7,19;185,-58,-196;187,18,12;214,3,232;235,-4,-193;254,26,14;277,-15,11;282,1,15;302,6,21;303,0,5;350,15,36;353,0,5;365,1,5;372,-3,18;381,9,3;397,6,17;428,-39,20;438,3,15;447,2,6;450,-94,-213;460,78,227;469,8,-4;470,-167,-441;480,167,439;490,-177,-418
avenida||jacarandas|monte verde|32653398|16,-1997892,-4417157;17,7,-171;31,-3,22;73,11,35;133,-17,57;135,4,0;145,-4,6;155,0,14
avenida||jacarandas|monte verde|32653605|105,-1997898,-4417155;118,-3,-72;150,3,10;162,-2,24;172,2,12;184,2,11
avenida||jerusalem|teixeirinha|32607690|861,-1994665,-4422782;904,-74,37;1061,-46,81;1364,-179,241;1383,-5,17;1725,109,293;1731,-2,-2
avenida||maria dos anjos ribeiro de jesus|senhora das gracas|32604610|170,-1994150,-4419132;388,76,-158;390,-4,2;410,2,10;412,-4,10;416,-3,8;422,-3,7;434,-6,12;500,-37,57;520,0,0;540,-7,25;552,1,5;562,-17,22;588,-5,10;616,-15,31
avenida||rita humbelina de jesus|centro|32600190|5,-1997484,-4419526;9,-12,-14;11,5,6;13,-23,-123;23,-2,-13;35,5,107;43,1,-69;1245,9,-67;1247,-9,6
beco|sao|joao|laranjeiras|32676345|30,-1994835,-4412936;38,-10,1;46,4,-4;51,-3,0;52,-11,7;54,9,-8;55,3,0;59,6,-3;60,2,1;75,-13,5
beco|sao|jose|jardim terezopolis|32681750|42,-1995121,-4411333;64,3,11;66,-9,-17;70,0,-7;88,-10,-1;96,11,1
beco|sao|jose|paulo camilo|32676314|10,-1996460,-4413337
beco|sao|jose|santo antonio|32684144|160,-1995118,-4410594;248,7,1;250,-4,-8;252,-10,2;254,8,10
beco||bom jesus|imbirucu|32677406|25,-1994002,-4411195;34,2,9;35,-6,0;37,12,15;43,-8,-13
beco||bom jesus|jardim terezopolis|32681326|224,-1994936,-4411927;242,3,9;247,-8,-5;306,11,1
beco||jequie|jardim terezopolis|32681674|82,-1994664,-4411678;86,-17,-13;88,5,1;89,-16,-11;92,19,11
beco||j|imbirucu|32677224|42,-1994231,-4411190;43,-9,0;44,13,-25;46,-2,18;58,-5,-24;84,2,-5;121,-5,23;139,7,-22;479,-6,-7
beco||rio de janeiro|santa cruz|32667342|79,-1996353,-4413679;85,-1,-19;95,-6,16;97,10,-9;105,-1,-4;110,6,1;115,-10,-21;120,-5,12;125,-6,-23;128,8,7;130,0,0;135,8,-9;145,-10,-11;147,4,-5;150,-5,11;152,9,-69;153,-4,17;155,0,-3;158,-8,36;262,26,53
beco||roberto jones|santa cruz|32667338|13,-1996368,-4413577;19,12,24;20,-3,-6;315,5,13
beco||roberto jones|santa cruz|32667368|26,-1996357,-4413541;32,-8,-32;33,-1,-13
estrada||de acesso fazenda sao judas|colonia santa izabel|32600001|5,-2003915,-4420578
estrada||de acesso fazenda sao judas|colonia santa izabel|32699899|2,-2004116,-4420770;56,312,83;77,-219,-43;200,59,32
estrada||para fazenda sao joao|sao joao|32600002|432,-1995634,-4414688
praca||do cemiterio jardins|sitio de papai|32625050|177,-1994460,-4423247
rua|capitao|jose|charneca|32636100|87,-2001982,-4424199;99,106,10;340,-271,391;342,-32,81;777,81,-418;796,-2,20;805,20,-26;1228,328,-13;1259,-28,-144;1270,228,-78;1321,-218,-4;1484,81,-128;1634,70,-110;1652,17,-16;1700,27,-18;1800,-3,254
rua|capitao|jose|charneca|32677102|340,-2002146,-4423755;482,28,-189;490,44,-15;564,-57,-86;1313,882,-600;1750,-276,-19
rua|dona|luzia coracao de jesus|amarante|32676050|40,-1994764,-4413810;41,2,-8;42,1,40;46,3,-32;51,-1,-14;79,12,-58;80,-1,2;100,-2,6;104,-1,-9;105,0,22;115,11,-17;130,-2,-29;135,4,3
rua|doutor|hermano lott junior|bom retiro|32606470|8,-1993395,-4420209;15,9,9;21,16,0;22,-6,2;33,16,4;37,2,-3;50,7,12;53,2,-2;85,28,12;86,-1,16;91,2,-10;95,-6,6;105,15,6;110,-1,5;146,33,20;158,7,4;160,4,-8;174,9,16;200,32,27;215,20,1;227,7,10;232,-18,-13;242,12,9;244,6,5;259,9,4;866,-136,-93;875,77,53
