alameda||dos tinhoroes|bandeirinhas|32657334|9,-2000191,-4416740;10,-25,12;14,60,-12;17,-140,15;26,137,-29;42,98,-13;44,-10,-5;46,-284,68;50,256,-57;51,-26,-20;52,25,11;53,-33,15;62,41,-9;71,-249,50;86,286,-52;96,-158,25;102,-112,31;113,46,-14;175,42,-18;199,-131,38;250,206,-41;310,-145,34;324,193,-46;340,-257,57;345,-8,2;360,23,-10
avenida|professor|jossei toda|bandeirinhas|32657368|61,-2000115,-4417488;100,8,24;400,56,68;413,0,-1;434,78,161;515,-165,-318;523,14,44;545,4,1;555,52,71;619,40,90;621,39,57;673,16,31
avenida||artur trindade|inga|32604475|7,-1995455,-4419982;13,-5,16;37,10,16;65,5,23;115,12,45;127,7,17;143,7,4;147,3,3;151,5,6;155,3,-6;203,2,48;215,10,1;227,8,27;249,2,13;277,5,21;281,18,4;285,-19,9;295,26,-3;299,6,-1;303,-14,14;307,2,9;311,0,4
avenida||artur trindade|jardim alterosas segunda secao|32672015|12,-1993955,-4416299;20,-22,17;30,-3,4;49,30,-46;55,-73,71;77,-29,-1;95,-4,17;99,-3,2;161,-39,7;183,-116,47;193,92,-32;205,-13,4;225,-30,9;281,-32,16;290,265,-437;305,-244,428;309,-49,13;311,32,-8;357,-81,20;361,-11,-6;362,356,-376;373,-358,375;387,-18,7;392,381,-353;395,-334,347;416,328,-340;444,0,9;460,8,31;462,-1,20;466,-1,0;470,2,13;504,-5,31;532,-4,24;562,-140,157;564,-8,0;566,-13,2;580,163,-119;588,-7,-15;638,-100,107;1602,109,-360;1622,-12,17;1644,13,24;1666,-8,33;1716,7,56;1830,1,55
avenida||artur trindade|jardim alterosas segunda secao|32699899|264,-1993933,-4416642;1530,13,-51;1566,6,31;1567,-1,7;1568,-10,0;1570,2,-26
avenida||artur trindade|niteroi|32672015|271,-1993920,-4417902
avenida||artur trindade|niteroi|32672055|234,-1994028,-4417720;3166,-14,-62;3170,3,10;3182,3,17;3194,-6,2;3212,7,20;3246,12,27
avenida||artur trindade|niteroi|32672188|228,-1994058,-4417840;2320,-8,-23;3090,4,7;3122,3,29;3134,5,17
avenida||artur trindade|senhora de fatima|32672015|97,-1994022,-4417154;576,-14,30;588,-2,23;1020,9,-37
avenida||artur trindade|senhora de fatima|32672228|180,-1993933,-4417476;184,-3,2;188,7,11;200,7,9;210,-4,18;228,-8,21;270,1,32;316,-14,28;326,-5,15;350,-9,18;362,-5,30;370,-2,-2;688,41,-138;750,-11,56;766,-3,3
avenida||artur trindade|senhora de fatima|32672235|466,-1993998,-4417219;480,-7,16;500,-7,14
avenida||artur trindade|senhora de fatima|32672288|600,-1994040,-4417083;620,-5,8;632,-8,28;652,20,-4;680,-30,29;720,-12,46
avenida||artur trindade|senhora de fatima|32672315|48,-1993977,-4417580;484,-15,-11;498,6,8;546,24,34;562,11,-3;580,-58,599;586,63,-564;690,-88,529;702,7,-12;874,27,-268;892,16,26;904,-4,0;1200,-28,274;3882,-23,-43
avenida||artur trindade|senhora de fatima|32699899|80,-1993924,-4416820;94,2,5;104,-1,17;164,1,59;283,-8,-633;319,-14,31;333,-5,14;339,-11,31;343,12,-22;355,-3,2;367,-1,19;372,15,-59;374,-3,8;379,-21,64;405,-18,56;427,4,-13;437,-41,131;455,22,-86;463,9,-17;540,51,350;547,-96,-157;550,91,170;565,-91,-158;567,2,11;571,5,12;599,-3,-109;600,62,170;605,-57,-127;611,-4,-20;612,75,190;625,-83,-174;649,2,14;709,33,-135;777,58,310;808,-54,-66;823,41,-373;859,-11,40;943,-24,66;971,-8,25;1003,-12,33;1075,-20,66;1169,11,105;1185,2,5;1426,96,179;1438,-1,12;1450,0,12;1456,2,14;1484,6,-5;1488,2,25
avenida||coletora arthur trindade|niteroi|32672015|215,-1994045,-4417865;271,57,166;2101,-116,-248;2105,-39,-30;2107,21,13;3025,48,63
avenida||coletora artur trindade|jardim alterosas primeira secao|32672015|15,-1994608,-4416196;35,23,-3;66,43,20;67,-12,-15;100,42,15;112,12,-12;168,32,10;204,-1,23;261,90,-23;441,7,5;450,17,-4;470,-1,-4;483,-22,7;486,-22,-14;495,9,16;496,-4,-9;497,-14,7;508,-6,-5;511,-1,4;513,-4,-9;520,-11,4;523,-4,1;528,13,-2;544,-50,-28;545,546,-175;555,-520,206;557,514,-213;565,-521,202;581,526,-164;583,-565,182;585,10,0;590,-11,-8;612,-18,-8;615,-57,-1;617,49,0;630,-6,3;631,-3,-6;646,-7,6;662,-28,-4;676,16,-19;700,-24,19;800,-26,-4;1819,676,-214;1875,-12,51;5574,7,-65
avenida||coletora artur trindade|jardim alterosas segunda secao|32672015|177,-1993910,-4416763;179,-1,5;181,0,13;183,-5,9;185,-2,16;203,15,22;241,-20,22;257,0,42;315,-5,38;317,14,23;667,-25,-300;681,7,14;683,12,26;1237,-30,-55;1315,4,0;1319,-12,-8;1501,40,187;1583,-16,71;1605,18,-17;1617,-14,41;1645,17,23;1653,-6,28;1657,-1,1;1661,-5,6;1665,6,-1;1669,2,5;1755,3,108
avenida||coletora artur trindade|senhora de fatima|32672015|200,-1993925,-4417596;219,12,158;221,-3,10;231,-5,16
avenida||coletora artur trindade|senhora de fatima|32681360|1237,-1993980,-4416930
avenida||jose santana trigueiro|amazonas|32685126|5,-1994222,-4410068
avenida||tapajos|amarante|32676040|6,-1994511,-4413621;355,-583,-526;395,64,119;1846,588,528;1900,-40,-74;2576,84,145;2582,12,67;2584,4,10;2586,-224,-337;2634,317,249;2756,-147,-46;2768,32,50;2780,-2,-5;2790,-9,-14;2808,-6,-4;2820,-40,-90;2890,-44,-38;2892,68,65;2950,-27,-42;2960,-39,-26;2970,-8,-15;2980,26,30;2994,-19,-40;3070,-135,-97;3250,87,61;3266,-36,-24;3334,-56,-32;3342,-9,-6;3358,-9,-1;3716,-298,-201;3730,-82,-130;4416,88,145;4530,-11,-23;4640,-50,-78;28808,591,545
avenida||tapajos|amarante|32676044|222,-1994713,-4413745;234,-17,-13;246,-4,1;360,-116,-80;376,-1,16;3328,6,2;3390,156,84;3408,-12,-6;3420,-5,-1;3470,-48,-25;4202,-125,-65;4286,97,53;4300,-19,-14;4312,-12,-10;4340,-22,-8;4390,-43,-15;4402,-8,-7;4414,-6,-7;4426,-8,-9;4438,-15,-7;4440,-14,-22
avenida||tapajos|conjunto habitacional celso alves pedrosa|32677595|2204,-1994315,-4412909;2210,-26,-30;2218,16,-9;2220,-1,-5;2222,15,-22;2300,-45,-16;2400,0,-2;2524,-23,-284;2600,-2,-24
avenida||tapajos|industrial sao luiz|32677595|1020,-1993597,-4412208;1030,14,1;1038,-29,-19;1050,1,3;1080,48,39;1084,-102,-71;1094,-8,-14;1132,-14,9;1148,-23,-12;1154,15,8;1156,-11,-6
avenida||tapajos|jardim alterosas primeira secao|32677595|4160,-1995314,-4414403
