arraial||jatobazinho|jatobazinho|35621000|207,-1880346,-4559444;220,-13,31;245,-46,-77;275,-69,-2;405,22,22
estrada||biquinhas pocoes|extrema|35621000|48,-1881718,-4545887
fazenda||matinha|matinha|35621000|9,-1871040,-4568929
povoado||cacimba de cima|cacimbas|35621000|5,-1886474,-4545131
rodovia||mg 415 saida para morada nova de minas|centro|35621000|1121,-1877604,-4549677;1137,-2,7;1139,3,3;1157,-5,28;1158,-28,-51;1181,28,68;1183,-1,-19;1207,-1,50;1212,-4,-100;1219,19,119;1220,-19,-116;1228,-4,29;1231,15,84;1239,1,-78;1240,-15,-1;1241,0,20;1246,3,-4;1249,9,-33;1270,-11,53;1282,-2,9
rua|prefeito|airton xavier|centro|35621000|304,-1878255,-4550190;311,16,-7;329,15,14;354,-10,6;427,84,31;432,16,29;445,-10,-21;455,-2,-4;464,26,25;465,1,-3;480,-10,64;483,23,-53;497,18,13;500,-3,7;575,65,32;585,7,8;598,7,17;601,8,-10;608,2,15;611,7,-8;621,5,-15;629,4,15;641,12,14;642,-8,11;651,19,-1;662,11,-7;684,-184,247;685,196,-225;706,6,20;719,22,1;720,-19,4;741,40,5;755,11,6;760,-27,-5;793,31,16;808,28,15;809,-77,-56;814,82,61;823,12,5;831,8,8;853,28,18;855,-21,-13;867,-7,16;883,33,-1;891,17,15;909,16,8;917,3,5;941,16,8;945,-326,-221
rua|presidente|getulio vargas|centro|35621000|30,-1878395,-4550452;66,45,-9;72,-60,128;74,-11,27;82,3,5;96,17,3;112,11,13;146,13,1;167,20,14;175,-50,131;184,63,-117;188,1,14;190,4,-18;195,-41,126;210,49,-114;213,-40,116;223,63,-99;226,-10,-4;234,10,2;248,8,6;325,-51,119
rua|santa|catarina|centro|35621000|236,-1878338,-4549853;244,-2,1;378,100,-168;479,-90,173;492,0,-17;508,3,-14;511,48,-45;526,-41,36;534,6,-10;556,7,-12;567,53,-61;577,1,-3;586,-33,38;608,11,-23;621,76,-105;633,5,-8;641,8,-11;648,-77,94;658,9,-14;663,82,-99;664,-74,94;666,109,-180;684,12,-9;712,-82,138;771,84,-128;791,1,-4;801,8,-17;802,-8,-5;809,19,-8;814,-14,-5;861,31,-30;877,-1,-14;881,1,-9;889,10,-4;905,9,-23;915,2,-5;945,12,-14;976,11,-18;1003,23,-21;1007,5,-9;1012,-12,-3;1013,21,-9;1020,-17,0;1027,20,-2;1041,5,-10;1046,-10,-9;1056,11,-19;1057,7,10;1069,17,-22;1086,-17,-11;1087,17,6;1103,9,-15;1141,18,-29;1157,-2,-6;1169,-8,-29;1175,26,19;1181,-3,-7;1192,-4,-11;1193,14,-3;1203,-12,-11
rua|sao|paulo|centro|35621000|73,-1878476,-4550591;99,14,-15;111,9,-15;141,36,-63;197,24,-41;205,1,16;255,21,-44;277,9,-5;284,24,-35;290,-5,16;298,-1,-3;299,-11,1;300,34,-34;307,-24,19;315,0,0;325,5,-11;337,2,-4;407,42,-67;422,12,-1;432,5,-14;433,-3,-21;446,13,14;453,-14,-8;455,6,-10;458,8,6;466,9,-8;469,-5,-11;485,6,-6;490,7,-1;493,-4,-11;533,12,-22;540,21,-1;543,-18,-13;557,12,-11;560,12,-8;576,11,-6;589,-5,-13;590,13,2;599,-3,-17;600,2,3;615,10,-10
rua||afonso pena|centro|35621000|27,-1878163,-4551057;35,9,5;53,23,27;71,10,-1;85,14,11;95,0,2;103,-24,-18;113,44,30;115,25,9;129,-10,-3
rua||alagoas|centro|35621000|36,-1878456,-4550835;52,7,-10;66,10,-19;187,-25,17;192,-11,17;200,17,-29;411,4,-6;423,6,-7;431,11,-16;438,9,7;451,2,-20;547,29,-58;561,14,-18;573,5,-3;576,7,4;587,0,-21;601,7,-7;602,6,5;603,-1,-10;607,5,-14
rua||armando mendes de souza|centro|35621000|25,-1878483,-4550510;33,15,6;43,4,2;55,14,14;67,3,3;81,12,6;82,-10,2;253,157,101;267,11,2;289,21,5;290,-10,19;305,13,2;310,-7,2;319,30,-10;326,-8,19;335,9,6;340,-7,9;347,25,-8;350,-13,1;351,13,0;385,29,20;398,6,30;400,7,-14;403,1,-7;410,14,24;420,12,6;434,4,3;435,-5,-19;445,6,-1;450,12,29;453,-3,-18;457,11,7;464,7,17;469,5,-8;500,30,34
rua||armando mendes souza|centro|35621000|137,-1878378,-4550440;151,11,14;155,5,3;169,9,-2;195,14,8;203,7,4;225,12,21;515,256,158
