acesso||ao bar do lago|lago dos encantos|37170000|675,-2108787,-4556281
aglomerado||cajuru dos francisco|cajuro francisco|37170000|2,-2123032,-4556839;65,301,39
alameda||das alfazemas|jardim das acasias|37170000|57,-2110111,-4554531;64,-3,-9;230,-141,-42;232,195,62;235,0,8;242,-8,-11;249,-5,6;251,-17,-5;253,8,2;267,-26,-7;291,-18,-7;292,2,-3;300,-8,0;301,-2,-1;311,-7,-2;312,-1,-9;321,-14,11;322,-7,-11;325,2,1;332,8,-4;342,-17,-4;345,1,7;352,-6,-5;355,1,3;361,-14,-6;370,3,-1;376,-9,-3;380,-9,-2;385,0,2;395,-16,-1;406,4,-8;435,-38,-4;440,8,-5;445,-14,-5;455,-8,1;460,4,1;465,-12,0;470,5,-1;490,-17,-8;495,-14,0;500,9,-5;510,-19,-5;515,-6,4;520,-6,-5;525,0,7;530,-4,-10;535,-9,5;540,-2,-5;545,-8,3;557,-11,-7;580,-21,-13;590,-5,0;600,-14,-4;610,-7,-4;620,-8,-8;625,-5,13;626,-2,-7;645,-16,0;663,14,4;669,-11,-2;700,-73,-32;705,0,7;715,-6,-3;725,-6,-5;730,-10,-4;735,-2,3;747,-11,2;760,-18,-16;770,-4,0;774,-4,2;775,-1,-1;780,-9,-7;785,3,7;790,-12,-6;795,8,3;800,-17,-7;805,3,8;810,-7,-13;815,6,9;820,-12,-6;825,6,4;835,-17,-4;1490,577,180
alameda||das azaleas|belvederi|37170000|65,-2109917,-4554513;70,-11,-12;125,-35,-6;135,-5,2;145,-12,-6;155,-9,-5;157,-3,4
alameda||das azaleas|jardim das acasias|37170000|210,-2110041,-4554563;215,-6,2;225,-10,-3;228,11,-4;230,-6,-2;240,-8,-3;245,-9,4;265,-265,-83;290,238,70;295,-14,0;300,-1,-4;303,55,21;305,-59,-17;315,-22,-6;320,8,-3;325,13,11;330,-17,-16;335,-2,7;340,-9,-7;345,1,0;350,-11,-3;355,0,1;360,-22,-7;362,8,-4;365,8,15;375,-12,-6;380,-14,-6;385,5,4;390,-10,-10;395,-3,3;400,-4,1;419,6,1;470,-56,-24;473,-15,-2;480,0,-6;490,-1,-2;500,-14,-3;503,-14,4;504,6,-4;511,-16,2;516,10,-9;521,-9,9;530,-18,-9;531,9,1;540,-15,-3;541,1,4;552,-14,-11;596,-38,-14;599,0,6;609,-8,-4;610,4,-2;620,-8,-3;629,-20,4;630,12,-7;647,-17,1;660,-29,-15;670,-15,-2;673,14,4;675,-8,-2;680,-12,-7;685,9,3;695,-7,1;700,-46,29;705,35,-29;715,-58,-13;725,37,4;730,-13,-11;735,5,5;741,-10,0;745,-11,-4;760,-6,-5;765,2,8;770,-10,-11;775,10,14;780,-17,-14;785,29,18;790,-41,-21;795,1,1;800,-10,-8;805,-1,12;809,-5,-5;810,-19,5;815,10,-6;825,-2,-6
alameda||das begonias|belvederi|37170000|39,-2109870,-4554558;49,-19,-5;59,-7,2;61,-1,-1
alameda||das begonias|jardim das acasias|37170000|34,-2109874,-4554563;44,-3,-7;54,-9,8;64,-14,-4;76,-5,-6;209,-122,-38;215,-2,1;219,-304,-89;220,306,85;229,-25,-6;230,21,4;239,-15,1;250,-6,-11;285,-33,-3;288,1,-3;296,-10,-10;297,-8,11;306,-2,-8;309,-5,3;315,-5,1;316,3,-12;329,-9,7;336,-8,-13;339,-9,10;349,-6,-7;350,7,-2;359,-16,-1;360,6,-3;363,24,10;369,-38,-9;370,4,1;380,-5,-7;381,-9,10;389,-7,-4;390,-1,-6;435,-42,-16;445,-8,-2;450,1,1;455,-12,0;460,2,-7;465,-10,-2;468,-1,2;475,-8,5;478,2,-10;488,-11,-2;495,-11,1;498,5,0;500,-3,-1;501,221,73;508,-231,-76;520,-2,-4;525,-15,0;528,4,-1;530,-2,0;535,-58,-13;538,52,6;542,-10,0;545,-49,-11;555,-8,-5;565,-8,-3;590,22,-2;600,-8,10;610,-13,-8;630,-31,-12;634,-5,0;635,-14,2;650,-3,-7;655,-17,0;660,13,-1;665,-16,-2;675,-14,-2;678,28,6;682,-6,-6;686,-13,0;690,-10,-2;694,-2,-2;695,27,8;699,-40,-7;700,5,-4;709,-16,-3;710,10,7;720,-3,-6;725,-23,-15;730,11,8;735,-22,0;740,12,-1;745,-18,-1;758,6,-5;759,-16,-1;768,9,-3;769,-22,-1;779,2,-11;781,-8,9;794,3,-4
alameda||das buganvilias|jardim das acasias|37170000|203,-2110003,-4554642;213,-6,-15;220,-9,-12;222,-5,6;223,8,-6;230,-19,1;240,-3,-7;243,7,13;282,-39,-16;289,-2,7;292,-12,-17;299,-1,9;309,-12,-1;314,4,-8;320,-10,-2;330,-7,-2;331,-6,6;334,1,-12;336,-6,4;339,3,2;344,-17,-5;345,-179,-53;356,177,48;364,-11,-4;369,4,9;370,-8,-9;379,-5,6;389,-6,-4;429,-133,-42;431,86,27;441,-9,-8;450,-3,-3;455,-5,4;464,-9,-5;465,-1,3;470,-4,-6;475,-3,2;480,-2,-8;485,-5,4;495,-9,7;499,-10,-7;510,-6,-9;522,-13,-5;530,-10,1;539,-5,0;595,-59,-14;623,-14,-15;640,-12,-9;641,-4,13;645,-13,-5;647,-3,-2;650,12,-2;659,267,88;660,-278,-89;675,-24,-2;680,19,2;695,-35,-9;700,12,-4;710,-9,0;715,-16,-1;717,-10,-5;720,15,2;725,-17,0;730,6,-3;735,-25,0;740,19,-1;745,-21,-2;750,11,-1;755,-18,-2;760,10,-3;775,-29,2;780,13,-7;785,-21,3
alameda||das hortencias|aeroporto|37170000|560,-2110292,-4554910;570,-12,-2;580,-7,-6;590,-15,2;595,13,6;600,-17,-9;610,-9,-6;615,6,18;620,-9,-19;629,0,9;630,-10,-8;639,2,11;642,-12,-15;649,2,13;652,-12,-16;659,10,12;662,-16,-13;669,6,13;672,-14,-17;679,6,8;682,-12,-11;689,2,7;700,-14,-11;701,3,13;710,-9,-11;711,5,10;721,-9,-14;729,-8,6;730,-10,-14;740,-13,-2;741,7,10;749,-14,-4
alameda||das hortencias|jardim das acasias|37170000|80,-2110035,-4554827;210,63,18;219,-10,6;220,-2,-8;229,-5,6;230,-9,-10;240,0,0;250,-12,-11;275,-205,-47;279,183,53;289,-10,-5;299,-13,2;300,2,-3;309,-9,-3;310,4,-6;320,-9,-4;321,-3,9;330,-3,-10;331,-2,9;340,-3,-10;351,-20,-4;360,5,-4;361,-12,6;370,-1,-9;371,-5,6;380,-4,-12;385,-137,-268;395,122,275;444,-31,-14;445,-19,0;452,-1,-9;455,-4,7;464,-4,-10;474,-7,4;475,4,1;484,-15,-8;485,-1,14;494,-9,-15;495,-5,3;504,-2,-6;505,-6,4;515,-9,-6;516,10,1;524,-18,-12;544,-11,2;554,-10,-8
alameda||das palmeiras|aeroporto|37170000|214,-2110255,-4554983;278,-18,44;290,-3,3;300,-5,13
