alameda|tabeliao|antonio morais|centro|37165000|269,-2110694,-4582892;272,-6,-3;274,0,-4;312,-4,-20;320,4,-22;321,-4,21;324,-12,-30;334,-1,-11
avenida|deputado|renato azeredo|centro|37165000|2,-2110576,-4582853;200,107,-225;288,4,13;299,-2,6;2067,-656,511;2523,462,-92;2571,14,-43;2707,41,-118;2719,7,-17;2731,6,-4;2735,-2,-2;2747,6,-4;2779,21,-33;2787,5,-8;2793,1,-1;2875,40,-67;2877,10,-12;2889,3,2;2895,4,-9;2965,32,-73;3015,9,-30;3035,0,-16;3055,2,-24;3259,-8,-209;3291,-2,14;3333,2,-47
avenida|deputado|renato azeredo|juscelino kubitschek|37165000|1,-2111421,-4583050;13,56,-92;26,-15,6;40,0,16;52,-8,-5;63,15,10;66,-14,7;73,11,4;88,-17,2;93,13,1;101,-4,-27;142,-25,63;143,9,1;205,3,399;420,-4,-391;435,-23,20;995,85,-133;1003,-97,394;1010,-5,-11;1030,46,-279;1055,-30,240;1061,-20,16;1069,9,-21;1081,-6,133;1110,17,17;1140,-18,-113;1218,24,-213;1236,-11,20;1263,1,45;1271,-1,5;1405,-28,158;1497,11,68;1589,59,54;1603,-54,-158
avenida|deputado|renato azeredo|padre chico|37165000|277,-2110699,-4582592;287,11,-8;303,-14,14;890,-20,22;2171,-188,92;2189,27,2;2213,14,-2;2223,12,-4;2277,45,-20;2299,13,-4;2315,20,-13;2319,5,-1;2389,37,-44;2415,23,-15
avenida||alagoas|lagoinha|37165000|6,-2110705,-4583504;8,8,9
avenida||francisco de abreu araujo|parque do lago|37165000|460,-2111127,-4582127
avenida||geraldo luiz de oliveira|vila nova|37165000|145,-2110534,-4583624;151,155,-577;158,-95,315;166,-70,254;168,212,-720;170,-169,541;178,3,-6;218,166,-586;225,-203,681;226,197,-695;264,-146,568;530,-24,42;944,109,-337;949,11,-33;950,-7,24;951,3,-8;952,2,-7;974,8,-21;984,1,-4
avenida||joaquim quintino rocha|centro|37165000|91,-2110531,-4583327;121,-29,3;131,-16,4;132,1,-1;144,80,-13;155,-87,14;176,-22,6;187,-14,3;197,-4,5;219,-31,-4;245,-13,4;251,-5,4;347,-103,19;401,-41,4;413,-14,9;417,-2,1;423,-6,1;425,-10,-1;437,-5,3;580,165,-37;589,-295,63;590,7,-11;595,-15,14;596,7,-11;600,-2,-2;605,-14,14;606,-2,-12;616,-5,2;621,-109,28;626,102,-21;630,-64,16;631,53,-13;636,-4,-1;641,2,6;645,-30,-5;648,18,-2;668,-24,5;683,-8,8;684,-2,-7;694,-4,-3;704,-5,4;714,-3,-3;718,-8,7;727,38,-5;737,-72,17;747,-5,1;755,-12,5;765,-17,4
avenida||joaquim quintino rocha|juscelino kubitschek|37165000|811,-2111197,-4583204;819,-1,10;853,-23,2;859,-13,-1;873,-3,-1;897,-29,7;921,-15,7;937,-9,9;944,-14,-7;959,-10,6
avenida||joaquim quintino rocha|lagoinha|37165000|12,-2110458,-4583354;16,-13,3;22,-2,-1;202,-158,34
avenida||joaquim quintino rocha|santa luisa|37165000|94,-2111314,-4583184;643,193,-33;710,-8,1;730,-9,-9;740,-7,8;760,13,-5;780,-33,13;790,-8,-2;796,-7,3;808,-6,0;818,-14,-2;836,-10,2;848,-10,7;858,-9,-6;866,-10,8;884,-13,6;894,-8,3;916,-26,3;956,-28,4;966,-10,1
avenida||joaquim quintino rocha|santana|37165000|284,-2110711,-4583305;298,-7,1;336,-40,10;346,-11,1;356,-5,1;407,-48,7;428,-17,5;444,-16,0;454,-11,14;485,-31,4;494,-5,-4;499,7,5;504,-21,0;507,-3,5;517,-5,4;524,-12,-7;527,2,9;537,-6,0
avenida||manoel alves de azevedo filho|juscelino kubitschek|37165000|18,-2111370,-4583159;210,-27,-169;360,19,143
avenida||manoel alves de azevedo filho|santa luisa|37165000|4,-2111292,-4583446;8,-8,5;9,-17,3;11,27,0;23,-17,19;56,-27,-3;68,-8,7;92,-17,11;112,-14,7;133,163,-173;137,-6,3;145,-7,3;151,1,2;161,-10,-2;177,-11,0
avenida||noe azevedo|das maes|37165000|54,-2110702,-4581237
avenida||noe azevedo|sao jose ii|37165000|6,-2110716,-4581282;14,2,8;22,9,13
avenida||noe azevedo|sao jose i|37165000|12,-2110723,-4582036;24,-47,96;25,2,-8;36,-29,55;37,10,-11;51,-18,42;64,-21,148;66,1,13;67,2,17;81,3,63;82,3,2;83,4,11;84,1,16;85,-1,7;86,1,9;153,0,10;161,54,-403;163,67,-154
estrada||antiga para boa esperanca|fortaleza|37165000|3,-2109266,-4580296
estrada||nova para boa esperanca|amargoso|37165000|2,-2110540,-4580916
estrada||para acampamento girassol|acampamento girassol|37165000|5,-2111240,-4583871;18,1145,-1530;20,-288,161;25,-845,1321
estrada||para acampamento girassol|acampamento resistencia|37165000|1071,-2110358,-4584280
estrada||para acampamento girassol|girassol|37165000|14,-2109937,-4585641;21,122,304;25,93,249;28,121,-66;32,156,-191
estrada||para acampamento girassol|girassol|37165959|2,-2109583,-4586382;6,339,610;7,-82,149;9,-297,-98;11,-239,-40;12,-36,63;13,-39,55;16,-125,93;24,225,306;26,93,239;27,72,-181;29,95,-22;31,-18,-180;32,-9,23;35,-266,697;36,-291,-561;39,49,228;42,-2,121;43,9,132;44,8,16;45,75,107;46,89,-745
estrada||para acampamento girassol|potrero|37165959|40,-2110116,-4584922
estrada||para acampamento girassol|santana|37165000|63,-2111082,-4583997;115,-67,49;165,28,-59;180,20,51;193,24,-24
estrada||para antigo cafe campinho|cafe campinho|37165000|7,-2108443,-4587390
estrada||para campo das flores|campo das flores|37165000|8,-2107654,-4583030
estrada||para fazenda jatoba|fazenda jatoba|37165000|3,-2112280,-4592874;4,-33,-63;41,104,235;61,-70,-195
estrada||para usina|acampamento rosa luxemburgo|37165000|66,-2111789,-4588150;70,166,-526;72,70,-352
estrada||para usina|coloninha|37165000|30,-2111227,-4583913;75,42,-21;175,73,-77
estrada||para usina|santa luisa|37165000|7,-2111290,-4583732;134,73,152;1125,-11,-101;1251,-30,-64;1281,-7,-23
estrada||para usina|santana|37165000|24,-2111068,-4583958;25,-2,13;30,-455,-1604;45,328,1669;63,111,-126;65,-103,77;75,17,41;85,8,-5;95,98,4;110,11,-22;115,-122,-76;130,50,93;138,-38,-145;160,20,-8;190,82,101;195,-2,19
estrada||para usina|santana|37165959|80,-2111736,-4586748
estrada||pedra branca|pedra branca|37165000|89,-2115343,-4581165
estrada||taboao|parque do lago|37165000|1,-2110306,-4581960;152,-570,397;512,-47,-433
