acesso||trevo|corrego conquista|38195000|900,-1992782,-4756312
alameda||das acacias|aguas da ribalta|38195000|10,-1998175,-4774285;15,-27,7;20,15,-6;25,-26,6;30,11,-6;40,-8,-2;50,-10,-4
alameda||das aroeiras|aguas da ribalta|38195000|25,-1998317,-4774984
alameda||das cerejeiras|aguas da ribalta|38195000|15,-1998193,-4774170;20,-7,-8;30,-11,1;40,-18,-2
alameda||das perobas|aguas da ribalta|38195000|30,-1998156,-4774932;90,66,94;150,46,65
alameda||dos balsamos|aguas da ribalta|38195000|10,-1998160,-4774394;15,-12,9;20,-5,-10;30,-22,3;35,-23,3;40,1,-6;45,-14,11;55,-14,-4;65,-8,0;70,-7,-10;75,-28,0;120,-198,1;125,12,9;205,34,-6
alameda||dos cedros|aguas da ribalta|38195000|8,-1998189,-4774494;10,-2,0;11,9,-9;12,-32,8;20,21,-10;45,-25,10
alameda||dos mognos|aguas da ribalta|38195000|5,-1998471,-4774492;10,3,-11
alameda||italo guardieiro|distrito industrial|38195000|99,-1992973,-4756068;109,6,5;115,17,-9
alameda||italo guardieiro|nova conquista|38195000|115,-1992948,-4756091
avenida|capitao|domingos vilela|nova conquista|38195000|600,-1993258,-4754540
avenida|presidente|antonio carlos|sao jorge|38195000|1,-1992992,-4754092;625,-108,-42;627,28,18;633,-24,-19;637,34,11;643,15,-3;647,7,4;653,18,5;663,-2,1;664,-63,1;667,72,27;710,-80,-24;715,131,2;720,-128,-3;730,6,2;764,44,-4;774,5,15;800,57,6;810,8,1;820,9,11
avenida||antonio carlos|centro|38195000|1,-1993711,-4754222;5,24,2;7,3,3;11,-17,-3;27,30,4;41,60,8;43,12,6;47,3,-4;48,-90,14;50,51,-5;51,40,-13;61,7,4;71,5,5;73,-83,-18;81,92,25;100,-58,9;116,17,0;130,10,2;140,3,7;150,13,0;158,17,-14;168,4,10
avenida||antonio carlos|jardim jatoba|38195000|177,-1993544,-4754201;184,3,27;187,6,-23;188,33,27;197,-23,-26;198,-8,26;204,23,0;206,-14,-4;225,6,-23;226,19,3;237,84,16;247,-23,-9;250,-58,22;257,8,-22;259,62,-5;260,-60,26;267,-2,-17;279,-35,17;289,15,-23;302,49,23;309,14,-19;319,7,4;332,15,24;343,17,-24;350,30,34;370,13,-3;380,21,33;390,-4,5;400,13,-24;404,4,21;425,10,-55;433,-1,2;457,4,0
avenida||antonio carlos|sao jorge|38195000|463,-1993275,-4754158;473,8,3;484,-12,17;485,19,-17;493,15,0;494,-27,14;503,32,-13;513,13,6;532,-11,24;533,24,-23;534,-14,12;543,41,-14;546,-40,16;553,52,-14;563,13,2;573,8,3;586,-66,10;614,25,19;616,12,-13;621,51,-12;626,-48,13
avenida||caricio borges|sao jorge|38195000|2,-1993199,-4754206;4,1,12;5,5,3;6,-7,4;9,0,76;10,-12,-1;15,22,-72;20,-21,89;25,22,-79;35,-26,167;50,0,-57;60,5,10;70,-2,9;80,-4,10;90,-5,14;100,-2,19;110,5,17;120,-9,11;130,4,7;140,3,14;150,-5,19;160,-5,4;170,0,0;180,1,14;190,-3,14;579,31,-186;593,0,13;617,0,-19
avenida||das candiuvas|aguas da ribalta|38195000|10,-1998324,-4774597;21,12,234;22,5,-67;25,9,-130;30,-7,16;40,-6,38;60,1,34;80,-4,28;95,8,73;105,-11,19;115,3,21;125,8,44;150,-9,-11;170,-5,36;175,1,84;180,-3,-72
avenida||das goiabeiras|aguas da ribalta|38195000|5,-1998008,-4774077;25,-3,-36;55,6,-67;95,-5,-54;155,2,-134;165,1,-28;185,-3,-26;235,3,-100;245,3,-10
avenida||domingos vilela|bisinoto|38195000|10,-1993652,-4754609;20,11,10;26,56,23;33,-50,-18;35,9,1;36,51,16;44,6,1;54,5,8;60,26,25;62,-11,-15;64,-4,-3;74,50,14;84,17,2;94,5,3;104,7,-1;114,13,4;124,11,5;136,12,2
avenida||domingos vilela|centro|38195000|98,-1993751,-4754629;255,207,77;265,-5,1;275,23,-1;285,-7,8;341,-87,-35;351,-7,-14;468,-104,-37;469,-4,13;479,-10,-6;489,-13,-3;557,-62,0;563,-1,6;567,-3,-3;571,-4,-4;573,-3,-4;575,-11,7;577,6,0;583,-13,19;597,0,-11;600,11,-10;602,-8,0;604,0,-2;608,-2,3
avenida||domingos vilela|jardim jatoba|38195000|69,-1993375,-4754513;87,3,-3;121,-121,-28;131,15,2;135,23,10;145,-16,-6;149,112,23;151,-107,-17;171,-3,-8;219,5,4
avenida||dos angicos|aguas da ribalta|38195000|10,-1998092,-4774016
avenida||dos buritis|aguas da ribalta|38195000|105,-1998470,-4774106;115,28,-62;130,23,-559;150,-4,521;155,-9,-58;160,18,33;165,-10,-62;170,13,36;175,-15,-53;180,14,47;185,-15,-65;195,8,-41;200,18,64;210,-1,-7;215,-16,-104;225,-1,-36;230,24,89;240,0,-4;255,-49,-155;260,47,85;270,1,-21;275,-25,-102;285,3,-17;290,19,76;330,4,-68
avenida||dos ipes|aguas da ribalta|38195000|20,-1998158,-4774625;60,-59,1;77,-320,0;80,255,4;100,-33,-4;110,-21,-2;115,-160,24;125,-11,-2;130,147,-21;135,-219,35;145,-3,8;155,6,20;165,4,27;175,11,28;180,83,-113;200,-46,-7;225,-13,228;245,10,74;275,14,43;285,2,15;290,-79,-274;295,137,-65;300,69,-22;305,-123,430;320,-71,-292;325,67,338;355,-2,102;365,6,20;375,3,27;380,-47,-366;390,4,25;400,2,19;420,9,38;470,8,103;480,-5,13;490,-3,19;530,8,83;540,-18,28;560,27,41;580,11,57;590,1,-2;675,-65,-497;843,12,-35
avenida||dos jacarandas|aguas da ribalta|38195000|1,-1998194,-4774977;25,-42,102;30,-39,-24;35,51,36;75,48,71;95,-46,-66;105,1,1;120,15,76;135,82,69;160,5,172;165,15,20;220,-16,92;225,16,20;235,-1,19;240,-9,33;260,-2,26;270,0,16;280,-1,30;295,9,10;300,-13,32;315,16,20;325,-1,22;345,0,36;355,2,8;365,-2,14;370,-15,53;385,15,-6;395,-4,17;1000,6,43
avenida||harif wazir|sao jorge|38195000|830,-1992924,-4754091;840,23,2;850,-4,0;860,19,4;870,9,-2;880,6,5;890,9,-1;900,11,2;910,2,-2;920,23,2;930,10,18;935,27,-29;940,-8,11;945,10,-10;950,-13,13;955,33,-8;960,-30,2;965,30,1;970,-14,17;980,8,-7;985,16,-10;990,-4,9;1000,9,2;1005,0,-11;1015,30,2;1020,-13,14;1025,26,-13;1035,7,2;1040,-9,17;1045,13,-16;1050,-3,16;1055,5,-12;1065,16,0;1075,15,-1;2005,25,9
avenida||herminio canassa|nova conquista|38195000|5,-1993302,-4754578;8,-4,5;10,32,-33;12,4,-4;14,13,-14;16,18,-20;18,24,-18;20,6,-10;25,14,-10;26,2,-6;27,5,-5;29,13,-13;52,-85,87;80,24,-28;90,9,-8;113,55,-52;115,11,-12;117,2,-3;124,68,-64;127,-64,54;134,63,-57;137,-54,53;144,67,-58;147,-58,52;165,5,-2;166,59,-61;167,-42,40;176,49,-50;180,14,-14;188,-1,-12;210,16,-7;250,31,-30;310,-14,10
avenida||janete clair|conjunto maricota rezende|38195000|164,-1992944,-4753952;174,5,0;184,11,0;233,38,-2;264,28,10;273,-13,0;274,44,12;313,20,-6;323,1,-1;333,23,0;343,8,2;378,54,14;473,76,3
avenida||janete clair|sao jorge|38195000|119,-1993198,-4753995;121,9,3;122,19,0;123,-5,-2;124,25,11;125,-13,-6;126,19,9;127,-5,-13;128,10,15;129,7,-7;130,16,15;131,28,-23;132,-21,16;133,-14,-11;134,21,17;135,-21,1;136,31,-2;137,0,-3;138,14,6;139,1,-9;140,8,11;141,1,-10;142,4,14;143,12,-14;144,2,11;145,1,-6;146,17,3;147,3,-2;148,1,6;149,7,-1;150,14,8;151,-2,-6;152,10,4;153,7,-6;154,-25,-145
avenida||joao luiz de oliveira|nova conquista|38195000|1,-1993209,-4754932
avenida||jose bisinoto|cruzeiro|38195000|1845,-1992743,-4754244;1855,3,-3;1865,-3,4;1895,35,-2;1900,58,17;1910,5,-1;1915,-54,-10;1920,63,8;1925,-54,-10;1930,62,12;1940,18,-1;1945,-70,-11;1950,83,11;1960,2,4;1970,10,-4;1980,8,1;1985,-74,-12;1990,89,15;2000,3,-7;2001,-82,-7;2005,11,5;2010,82,5;2015,-69,-12;2020,77,12;2025,-63,-8;2030,73,6;2035,-65,-3;2045,20,-5;2050,53,10;2055,-43,-12;2060,54,12;2065,-37,-13;2070,45,11;2075,-28,-6;2080,45,11;2085,-33,-15;2090,42,11;2095,-30,-11;2100,32,11;2105,-24,-5;2110,36,4;2115,-13,-6;2120,22,7;2125,-8,-9;2130,17,6;2135,-7,-4;2140,14,6;2145,2,-8;2147,8,2;2150,6,8;2155,5,-11;2157,2,1;2160,-6,9;2165,15,-9;2170,0,9;2175,18,-6;2180,-15,5;2185,26,-6;2190,-9,7;2195,20,-11;2200,-12,12;2205,23,-9;2210,-13,7;2215,36,-5;2220,-36,5;2225,44,-7;2230,-33,8;2235,51,-4;2240,-128,4;2245,145,-7;2260,-48,5;2263,60,-3;2265,8,-1;2270,-52,6;2275,71,-8;2280,-62,7;2285,81,-8;2290,-72,8;2295,81,-8;2297,6,-2;2300,-76,9;2305,87,-10;2310,-72,12;2313,84,-9;2315,18,-1;2320,-94,11;2325,103,-12;2327,5,-4;2330,-103,14;2335,125,-17;2337,12,4;2340,-123,15;2345,133,-15;2350,-123,14;2355,129,-10;2360,-122,9;2362,198,-16;2363,-66,0;2364,24,3;2365,-4,-5;2366,-21,6;2367,25,-6;2385,5,2;2390,13,-5;2395,14,-2;2396,-45,14;2400,60,-11;2415,-1,-3;2425,20,-3;2431,6,-2;2435,5,1;2437,4,0;2439,7,1;2445,7,0;2520,-129,19
avenida||jose mendonca|centro|38195000|193,-1993777,-4754326;347,-197,-16;590,6,2;600,8,1;607,99,15;610,-97,-15;619,73,1;620,-61,2;668,53,3;678,2,7;686,-1,0;698,19,-1;715,22,-3;716,-2,8;736,17,1;754,137,19;783,-138,-15;793,53,-12;800,95,34;802,-88,-18;813,7,-9;863,54,1;864,3,10;869,4,-7;875,3,-1;883,11,-1;895,7,1;899,5,13;900,4,7;907,12,-3;910,-18,5;915,10,-7;926,13,10;933,40,8;973,6,-17;980,5,11;989,7,2;990,-7,-1;998,14,4;1003,1,1;1008,16,-2;1013,-4,5;1018,8,-9
avenida||jose mendonca|jardim jatoba|38195000|1062,-1993537,-4754276;1070,12,1;1078,12,1;1080,11,2;1100,8,-6;1107,0,-11;1108,4,17;1111,0,-6;1121,-42,-16;1126,56,20;1127,4,-6;1155,30,-4;1165,19,7;1170,-6,15;1176,-1,-7;1180,13,-4;1190,-6,10;1194,11,5;1196,12,3;1215,10,-19;1222,5,16;1237,-20,-30;1253,51,21;1262,8,12;1308,29,9;1310,24,3;1329,-4,-13;1349,-20,-3;1379,32,7;1396,-6,-9
