estrada||casa numero 34|caete|36400001|36,-2063312,-4389217
loteamento||sem denomnacao 1|sao jorge|36405251|30,-2069269,-4377648
rodovia||br 040|areal|36407330|24,-2065634,-4380414;30,-1,9;34,2,6;485,2,-19;505,4,-17
rodovia||br 040|barreira|36407330|668,-2064396,-4381103;1122,446,-286;1400,202,10;3665,-496,181;22275,1169,146;22285,-22,-20;22315,-41,-19;22321,-24,-25;22325,-19,-10;22331,-7,-7;22337,-5,-7;22343,-13,0;22349,-14,-10;22351,-5,-5;22361,-13,-13;22385,-40,-17;22395,-9,-13;22405,0,0;22425,-28,-2;22435,-7,-17;22455,-10,-7;22465,-10,-7;22475,-3,-4;22553,-26,-17;22595,-36,-25;22665,-85,-18;22685,-15,-5;22705,-5,-5;22744,-46,-12;22745,-11,-4;22825,-94,-23;22835,63,16;22857,-19,-11;22887,-16,-3;22957,-54,3;22967,-16,-13;22977,-29,-21;23015,-40,-14;23035,-8,-16;23055,-23,-8;23065,-18,4;23093,-59,-1;23183,-16,4;23255,-51,15;23333,-55,36;23497,-132,76;23555,-42,33;23645,-144,89;23653,82,-48;23669,-31,16;23695,-37,26;23733,-21,17;23759,-30,8;23855,55,-29;23865,-114,76;23905,-48,20;23923,0,9;23965,-47,10;23995,-11,28;24210,-192,29;24230,-18,-15;24240,-4,7;24276,-47,-2;24336,-56,22
rodovia||br 040|barreira|36407435|266,-2064454,-4381064;298,-12,-90;302,48,8;314,-24,0;410,-70,-142;447,209,42;22000,1331,193;22260,-125,-117;22280,-50,-14;22300,-15,-4;22600,-171,-123;22640,-60,-27;22660,-43,-14;22700,-10,3;22750,-50,-21;23000,-232,-70;23030,10,6;23230,-223,-13;23360,-132,50;23389,-14,19;23428,-26,23;23438,-17,2;23448,-10,7;23660,-159,93;23664,7,6;23840,-88,73
rodovia||br 040|buarque|36408899|9999,-2072059,-4379679
rodovia||br 040|buarque|36409000|15,-2073666,-4380859;18,0,51;23,518,836;40,-254,188;95,239,-132;140,-40,165;150,-325,-63;151,245,12;160,72,53;230,-454,-903
rodovia||br 040|carijos|36406080|27055,-2066870,-4380201;27065,-34,39;27075,23,-22;27125,-40,38;27145,-5,14;28235,-313,344
rodovia||br 040|fazendinha|36400001|636,-2071107,-4379409
rodovia||br 040|gage|36409800|40,-2060647,-4380686;45,23,-6;300,1421,287;619,-1476,-336
rodovia||br 040|sao benedito|36408195|262,-2064672,-4380943;282,1,-9;286,6,-12;288,0,0;294,19,-11;306,5,-2;331,21,-7;343,7,-6;624,-593,104;4117,574,-95;24035,62,-21;24075,-16,11;24111,-33,3;24407,-265,72
rodovia||br 040|sao dimas|36407330|4,-2066715,-4380337;32,667,145
