praca|barao|de queluz|centro|36400041|11,-2066069,-4378712;22,-32,61;27,53,-40;30,-50,39;35,66,-25;42,-51,37;47,35,-41;50,-25,61;68,6,-3;72,3,-5;77,32,-29;90,-23,47;91,34,-45;94,-30,56;97,26,-42;100,-19,47;113,29,-39;116,-19,48;117,39,-15;120,-31,19;133,22,-33;136,-3,56;142,-16,-2;150,0,2;155,30,-41;169,6,15;197,-58,-99
rua|doutor|candido de queiroz|barreira|36407332|11,-2065041,-4381134;19,81,128;31,-9,-16;33,-55,-122;49,48,123;65,-2,-12;83,-16,-10;95,-17,-31;114,14,27;115,2,-3;139,-12,-32;157,3,-6;164,-7,-3;174,-5,-3;175,-8,-15;185,-13,-14;195,-3,-1
rua|doutor|candido de queiroz|santa cruz|36407332|70,-2064987,-4381033;108,8,1
rua||alexandrina nogueira de queiroz|sao joao|36404127|25,-2067619,-4378079;75,188,-137;80,8,5;85,-11,-8;93,-1,14;101,-4,-11;107,-8,11;110,-164,122;120,161,-118;138,-19,10;158,-8,2;165,-17,12;166,3,-3;176,-12,-11;188,-10,12;198,-17,-4;242,-20,27;260,-13,8;266,3,10;275,12,-3;280,-4,20;292,-15,-5;302,-19,15;303,-8,-18;308,1,34;309,31,-14;312,-36,19;313,11,-14;360,-38,28;375,-7,10;387,-6,0;390,12,-14;399,-22,27;434,-33,18;444,-25,13;449,24,-16;453,0,3;454,-9,16;455,-8,0;460,-6,0;464,3,0;465,7,-4;475,-5,9;487,-10,1;488,1,-5;496,-9,8;497,-4,6;498,5,1;507,-11,0;511,-2,20;514,-6,-4;566,-22,13;575,-16,20;576,-1,2;585,-6,7;586,2,-5;597,-4,18;598,-9,-14;600,1,4;607,-3,6;608,-20,14;618,9,-7;627,-1,-2;628,5,14;637,-10,2;638,-12,-1;648,-2,1;658,-3,14;667,-10,2;668,5,0;677,-9,7;678,-5,-10;687,-12,13;688,9,-5;689,-8,5;697,-4,12;698,5,-8;718,-17,18;724,3,-7;727,1,-2;730,-18,12;737,4,-16;738,6,-15;742,0,17;743,-1,19;746,-29,1;748,-5,12;749,33,-15;756,-36,3;759,21,5;769,-1,10;781,-27,10;793,-8,8;801,-12,13;808,-2,-8;811,3,14;818,-18,2;832,-8,9;860,-27,-24;865,5,37;866,-1,6;875,-4,4;876,2,-8;886,-3,17;899,-1,-4;900,-15,6;909,4,0;918,-11,8;919,2,2;935,-14,8;945,-1,7;946,-8,-1;948,-3,-3;960,-2,22;967,-4,-1;970,-3,10;977,-18,11;980,15,-18;987,-6,3;990,-16,5;997,6,8;998,-15,-10;1005,11,18;1010,-11,4;1015,9,0;1020,-11,5;1028,-6,0;1270,-162,86;1333,-60,20;1455,-50,6;1475,-121,72;1585,-14,11;1845,-8,-2;1905,-17,4
rua||antonio queiros|centro|36400083|10,-2066017,-4379535;18,8,-4;48,11,-12;52,0,2;56,6,-8;60,2,-3;64,2,4;77,16,3;89,6,0
rua||eca de queiroz|queluz|36405042|3,-2066691,-4378927;4,1,-5;11,3,-5;18,3,-7;39,4,-14;40,3,-7;46,1,1;50,-1,-8;57,0,3;60,0,-8;66,5,-36;90,-4,1;95,15,-3;101,-3,4;105,5,-7;115,-4,-10;116,-1,9;125,9,-10;135,9,1;139,2,-1;143,6,-6;144,-8,-2;154,6,2;155,14,-3;175,8,-5
rua||horacio de queiros|centro|36400050|3,-2066009,-4378764;37,0,-46;38,-21,15;48,-4,4;50,10,-15;57,-15,3;71,-10,-1;78,-5,-13;92,-23,-6;96,5,-19;103,0,13;115,-15,-7;127,-15,-12;128,12,9;132,-12,-3;138,-2,5;142,12,-11;149,-23,-6;150,24,18;156,-34,-24;178,-21,3;195,-2,-21;199,-6,-7;200,-1,13;205,-1,-9;215,-6,1;222,-2,7;225,-19,-12;230,8,-6;237,-8,3;244,-1,-3;246,-12,0;257,-4,-6;262,-5,-5;271,-9,-4;276,-7,-5;290,-2,1;306,8,-10
rua||horacio de queiros|rosario|36400007|317,-2066251,-4378925;327,-1,-5;332,-9,6;335,-17,-13;340,10,16;342,4,2;345,-10,-23;379,-35,1;383,-6,-1;395,-2,2;403,-13,-6;415,-4,-7
rua||horacio de queiroz|rosario|36400007|380,-2066304,-4378947;388,-8,-4;390,6,4;402,-11,-6;414,-16,-9;424,1,3;436,-6,-4;470,-17,-8;486,-10,-9
rua||jose nicolau de queiroz|centro|36400073|9,-2065952,-4379194;10,7,-50;11,-7,18;21,4,3;22,-8,195;29,8,-178;30,8,-19;33,-8,19;37,-3,7;45,13,59;46,-13,8;49,1,-58;60,13,10;70,-13,6;72,-6,-93;77,1,95;87,-1,87;97,2,-57;110,12,-8;145,-7,35;150,9,5;156,-20,107;178,18,-89;188,4,14;189,7,-16;198,-17,33;199,3,-9;202,-2,22;207,-3,0;214,6,11;215,1,0;222,-8,14;225,5,-3;237,-63,136;245,63,-124;255,4,9;256,-5,2;266,-5,9;276,-4,7;286,2,9;287,5,-8;296,-26,16;300,20,0;301,14,-9;306,-9,9;310,-11,2;314,-9,5;315,32,14;371,5,42;385,-17,13;407,10,-60;408,-14,95;420,1,5;425,11,-11
rua||luciano de queiroz|sao judas tadeu|36401378|6,-2065116,-4376478;10,3,-4;15,13,-14;20,0,4;100,58,-3;101,12,4;111,6,-11;121,4,-4;130,18,7;140,3,-4;141,-5,-5;150,22,4;160,6,2;161,7,-9;180,4,1;190,13,8;192,6,-10;195,-1,-1;200,7,-6;210,9,3;225,15,-3;226,-1,3;235,10,-4;236,0,0;242,4,-1;245,6,0;250,8,-4;255,-7,0;260,15,-4;270,8,-4;271,-2,9;295,23,-12;300,13,6;305,15,2;315,0,-5;320,13,-1;327,10,3;330,-16,-3;339,21,3;360,14,0;361,0,-2;367,11,2;370,-2,-7;377,2,11;391,25,-3;401,2,-1;402,-17,-1;412,4,-1;424,16,6;426,-2,-8;431,4,4;435,2,3;436,11,1;441,1,-6;446,0,5;453,4,-2;469,20,-2;508,34,9;520,8,1;530,12,0;535,5,-7;540,10,8;545,1,-8;550,13,5;558,3,4;560,10,-4;565,-3,-3;590,13,7;596,12,-1;600,7,-3;625,8,1;635,9,6
