alameda||dandara|sao joaquim|32113480|12,-1988468,-4402324;22,6,-14;50,-6,-10
avenida|doutor|antonio chagas diniz|cidade industrial|32210150|1500,-1995724,-4402403
avenida|doutor|antonio chagas diniz|cidade industrial|32210160|1537,-1995766,-4402363;1539,16,-39
avenida|doutor|antonio chagas diniz|parque industrial|32210160|56,-1995785,-4402302;67,-5,-3;80,0,28;90,8,-32;92,1,-15;196,482,-737;390,-57,92;555,-81,91;579,19,-39;625,-109,165;655,-17,28;666,94,-104;804,12,-16;988,125,-214;1010,17,-11;1014,-5,-6;1122,8,4;1140,4,-23;1142,-2,99;1146,8,-108;1148,3,-5;1158,11,-5;1164,3,4;1174,13,-24;1176,-6,12;1182,8,-13;1188,-6,-2;1190,7,-11;1192,2,4;1194,4,-11;1232,52,-70;1282,16,-49;1284,6,10;1292,-5,-8
avenida|prefeito|gil diniz|alvorada|32050171|10,-1991237,-4407570;12,-7,-4;22,-117,-130;26,-1,-5;27,-20,-15;28,7,6;300,-27,-36
avenida|prefeito|gil diniz|arcadia|32050171|11,-1991309,-4407527;21,-32,-62;117,19,79;181,-68,-187;185,2,2;216,-44,-397;229,67,429;237,3,-9;241,-9,-8;245,-3,-2;249,-4,2;253,-6,15;257,11,-20;325,51,181;335,-17,-10;345,8,4;347,-5,1;353,-77,-458;373,-25,-93;375,28,77;385,-78,-201;401,21,49;521,117,518;525,10,35;548,-66,-441;580,-16,-43;604,-5,-17;674,-28,-47
avenida|prefeito|gil diniz|canada|32050171|2398,-1992580,-4409103;2400,6,9;2410,-19,-44;2460,-34,-41
avenida|prefeito|gil diniz|centro|32050171|38,-1991426,-4407892;50,32,-42;60,7,-2;80,2,-13;100,4,-10;120,-9,-15;136,6,-20;526,-8,-11
avenida|prefeito|gil diniz|fonte grande|32050171|26,-1992513,-4408823;36,-7,-12;46,5,-5;56,-9,-12;70,-12,-18;86,4,-4;98,-7,-14;108,6,-7;150,184,-87;162,-193,33;175,65,201;176,-60,-207;186,20,130;194,6,70;199,35,2;202,-40,-16;206,-5,-15;208,-2,3;210,1,-3;212,-1,4;260,-29,-64;370,297,230;395,132,82;410,-265,-128;422,9,-12;423,10,-3;433,99,51;460,0,1;703,-174,-87;774,14,18;1200,530,339;1201,-1,-9;1279,-53,-5;1287,-18,-12;1325,-21,-7;1342,-15,-33;1365,-30,-3;1385,-8,-8;1390,4,-36;1405,-16,30;1461,-37,-27;1521,-31,-64;1535,39,61;1585,-82,-94;1591,-12,-6;1655,-47,-26;1675,-15,0;1696,-27,-20;1745,-39,-4;1750,3,-27;1765,-28,30;1778,-4,-44;1782,-1,-2;1787,-10,17;1880,-60,-58;1885,-7,21;2003,-80,-97
avenida||adutora william douglas|fonte grande|32143330|126,-1993246,-4409054;138,-2,-6;148,27,-49;160,5,-10;170,-4,2;190,6,-19;204,8,-15;206,-5,-3;226,9,-7;234,8,-10;246,8,-2;258,-1,-15;270,1,-8;292,9,-13;300,2,-6
avenida||antonio dias|jardim laguna|32140310|25,-1989487,-4403306;64,17,18;109,40,31;118,-58,-23;121,-4,-31;122,3,21;135,-1,-11;138,13,16;145,1,1;155,3,2;209,42,33;221,8,-1;247,7,8;253,12,12;259,7,11;267,4,6;279,9,8;280,-13,18;286,2,16;291,13,-27;300,-18,47;313,16,-31;314,-7,40;325,6,-26;337,8,8;349,-9,16;359,-1,1;391,-24,27;400,-11,12;405,11,-1;406,-7,1;410,-19,19;419,23,-11;433,-11,12;438,-23,17;461,4,0;470,-16,3;479,6,11;493,-13,13;497,0,12;500,6,-32;522,-3,41;533,-22,10;544,-1,-4;549,-1,53;556,-3,-45;563,-14,21;568,5,-1;570,-20,-12;580,2,17;600,10,13;601,-22,11;619,-2,11;630,-11,-5;632,-8,13;639,13,4;640,-7,-15;654,-15,13;655,5,9;670,-15,24;677,-10,3;678,5,12;689,-10,0;700,-2,3;715,-2,10
