alameda||dos flamingos|cabral|32146036|45,-1987934,-4403812;132,87,-122;205,-20,-26;209,6,-8;213,3,-15;305,51,-47;329,4,-27;353,5,-8;355,2,-6;365,-2,-4;369,0,-7;375,0,-15;380,33,-11;385,-27,2;399,13,-26;409,-8,8;437,16,-32;445,2,-1;449,10,-7;455,-17,-4;570,53,-110
avenida|nossa senhora|de fatima|nacional|32041680|493,-1985300,-4402463;495,-20,7;497,-5,0;499,1,1;515,-9,1;1797,-17,5
avenida|nossa senhora|de fatima|pedra azul|32041680|134,-1984967,-4402626;150,-7,7;290,-107,49;310,-12,8;356,-33,10;360,-17,4;370,-13,3;402,-41,23;420,-4,-1;442,-3,4;468,-59,26;480,0,-3;492,-9,9;496,-10,1;530,-45,20;538,-10,9;551,-19,15;563,-22,8;568,-2,-16;575,-8,17;587,-14,7;590,12,-17;599,-17,20;600,7,-17;606,-4,11;610,-11,-3;612,434,-192;617,-450,210;620,2,-14;629,-8,18;634,-5,-11;652,-24,25;653,16,6;668,-8,-24;670,-4,-5;836,516,-209
avenida|nossa senhora|de fatima|pedra azul|32185100|55,-1984873,-4402623;65,-22,16;79,-1,-29;95,-17,9;145,-39,10;147,1,0;155,-11,2;165,1,3;177,-16,4;325,-118,54;343,-34,20;361,-8,2;379,-20,-15;385,-9,23;421,-29,11;445,-7,6;465,-20,5;477,-23,9;489,2,-19;501,-14,28;860,345,-162;866,18,-8;870,-5,-3
avenida|nossa senhora|de fatima|pedra azul|32185230|851,-1984921,-4402673;852,7,-2;854,-18,-29;856,8,18;858,-6,-28
avenida|nossa senhora|de fatima|pedra azul|32185560|215,-1985021,-4402592
avenida||adutora varzea das flores|bernardo monteiro|32072030|48,-1993249,-4408050;49,2,6;50,-35,-947;63,32,932;72,104,-917;73,-97,930;84,-14,-16;100,90,-710;110,89,-698;150,-15,22;220,-174,425;299,199,-459;301,1,-1;321,1,-9;323,7,-6;324,-17,0;331,27,-10;351,11,-14;361,4,-6;396,-94,194;398,-1,4;408,6,-5;420,-2,-18
avenida||adutora varzea das flores|bernardo monteiro|32143330|491,-1992961,-4409621
avenida||adutora varzea das flores|canada|32072030|452,-1992964,-4409630;531,64,-120;539,3,-7;547,2,-12;551,1,-11
avenida||adutora varzea das flores|fonte grande|32072030|208,-1993095,-4409407;218,1,-14;260,7,-21;266,-6,11;280,11,-16;288,2,-7;290,1,-10;302,9,-18;318,17,-13;326,12,-10;336,6,-12;348,0,-6
avenida||adutora varzea das flores|industrial sao luiz|32072030|1265,-1992722,-4412395;1832,40,-95;2232,-40,90;12165,28,-20;12245,11,-78
avenida||adutora varzea das flores|petrolandia|32072000|1008,-1992701,-4411307;1077,-2,-26;1116,9,-22;1141,-17,-51;1157,1,66;1165,-1,-10;1169,9,9;1181,-10,-21;1227,0,-28;1229,9,-6;1241,-3,-27;1253,-7,-7;1265,10,-5;1267,-2,-11
avenida||adutora varzea das flores|petrolandia|32072030|71,-1992702,-4411905;279,-3,1103;473,-33,26;521,24,-33;533,-1,-4;545,-1,-18;581,6,-37;593,-3,-2;605,-1,-18;629,1,-24;635,-6,1;641,2,-7;647,4,63;653,-2,-67;677,3,-5;695,-1,34;719,1,-98;731,5,-13;750,-12,5;783,9,-70;795,-2,14;807,3,-38;825,1,-20;837,-1,-9;899,1,-42;911,8,-15;921,-12,1;923,2,-5;1001,2,-50;1029,17,-919;1089,-15,888;1109,-7,12;1117,27,-1019;1119,-1,1;1121,-2,25;1133,5,-30;1249,-17,765;1255,5,-3;1257,-7,-6;1260,12,-16;1262,-17,-21;1313,21,-55;1357,-13,-12;1371,1,-17;1383,-6,-14;1397,2,-10;1449,3,-5;1465,1,-46;1477,1,-29;1487,2,-9;1489,-1,48;1501,-2,-51;1525,3,-11;1549,0,-28;1561,2,-17;1573,3,-7;1575,-6,-4;1585,11,-20;1597,-12,-7;1603,1,-7;1609,4,-6;1616,8,169;1621,5,-178;1625,-16,-29;1783,-8,-32;1795,12,-6;1853,1,-57;1861,-4,-68;1868,-2,51;1873,0,-7;1901,-1,-41;1940,3,-29;1955,-6,568;11463,-1,-207;11521,5,-49;11795,1,-260;11841,-2,-39;11989,14,-153
