alameda||dos hibiscos|granja ouro branco|32060310|68,-1988030,-4409977;71,-16,17;73,35,-38;89,-8,9;91,-60,56;190,-27,20;196,-12,8;206,-13,7;216,-13,8;230,-12,9;236,-9,6;246,-17,7;256,-8,4
beco||dos holandeses|bandeirantes|32240590|19,-1996577,-4405569;20,5,20;21,-2,-21;22,-7,-16;25,7,26;26,-4,4;27,5,7;28,6,4;29,-12,-23;31,20,3;32,-15,-5;33,-12,1;35,5,4
beco||honduras|novo boa vista|32145360|38,-1988097,-4405015;124,62,-7;128,-11,23;130,5,-14;132,29,-14;134,-48,32;135,26,-46;136,-28,47;138,-13,-3;142,-12,-1;150,47,-38;160,-2,-1
beco||horizonte|bandeirantes|32240360|69,-1996819,-4405323;71,6,-1
beco||h|parque industrial|32230303|10,-1997500,-4403007;11,-4,1;13,6,1;14,5,-13;15,13,1;17,6,0;20,-17,-7;35,11,1;36,60,31;91,-93,-10
beco||h|vila barroquinha|32044357|10,-1989363,-4409221;20,10,1;30,4,-1;31,2,-2
beco||novo horizonte|nova contagem|32185300|1847,-1982618,-4415830
beco||novo horizonte|vila renascer|32185300|80,-1982919,-4415796;81,3,-1;82,5,-1;85,-7,0
rua|dona|herculina|nossa senhora do carmo|32183818|32,-1991830,-4408846;44,-8,-18;50,-5,-3;55,-1,2;56,6,4;57,-3,13;68,-1,-29;80,-1,-8;81,-9,6;94,5,-14;102,-16,-17;104,7,7;116,-3,-21;125,-10,1;134,5,0;140,-9,-18;144,-4,-18;145,-1,13;157,-10,-23;170,1,-8;180,-24,-40;181,0,0;251,4,-7;268,-3,-26;270,2,5;280,-22,-35;317,-7,-4;364,-10,-28;896,0,0;920,-6,-18;932,-5,-6
rua|monsenhor|horta|vila sao paulo|32050200|20,-1995317,-4400834;23,-14,-7;29,-3,0;43,-10,2;45,-10,-3;50,7,5;61,-20,3;71,-28,-10;73,-5,14;85,-1,0;120,-66,-24;153,17,-20;155,-6,10;167,9,3;179,8,10;190,-40,-15;193,2,5;205,-14,1;213,-1,-3;217,-11,2;218,-4,-14;219,-1,13;220,-5,-11;225,84,24;229,-64,-23;253,38,15
rua|primo|horacio|contagem|32260450|44,-1991472,-4406946;49,-17,19;51,6,-7;63,6,-3;115,-61,32;131,-17,9;235,40,-18;280,-12,-2
rua|primo|horacio|tres barras|32260450|14,-1991338,-4406890;26,-8,18;50,-11,-3
rua|professor|alves horta|linda vista|32041680|4,-1991195,-4406834;5,-13,-9;6,90,47;12,-146,-127;16,52,76;22,-49,-74;23,52,76;25,292,133;26,13,-11;28,-314,-130;30,-1,0;36,-36,-59;42,341,191;45,-302,-138;49,294,153;54,-7,-6;55,-145,36;60,137,-34;67,-148,21;69,-1,5;70,144,-24;76,-8,4;79,-299,-184;91,292,187;92,5,1;98,-24,15;103,7,-1;108,3,-7;111,-10,11;114,-17,1;120,-4,5;160,-28,11;164,-12,8;170,9,-1;240,-163,-122;340,57,84
rua|santa|helena|central parque|32042010|221,-1991610,-4408756;271,-18,0;283,-25,-6;301,63,22;303,-83,-24;323,-20,-5;335,-15,-15
rua|santa|helena|centro|32042010|35,-1991456,-4408706;103,-59,-22;113,-17,3;117,-15,-5;204,105,30
rua|santa|helena|centro|32050610|50,-1991442,-4408704;62,-17,-5;64,-4,-3;74,-24,-6;84,-2,-3;140,-29,-14;218,-96,-15
rua|santa|helena|nossa senhora do carmo|32042010|202,-1991858,-4408956;214,4,4;226,6,12;232,5,8;234,-22,-40;236,-10,2;238,46,52;242,-42,-56;276,212,203;280,3,9;300,-12,-10;314,-15,-3;320,-12,-3;328,-16,-3;338,-4,-3;340,-4,2;342,-6,-4;344,-6,-2;393,-33,-9;408,2,-9;432,-13,-21;460,-8,-15;465,-8,-4;467,-5,-21;475,0,-1;479,-7,-12;490,5,3;532,-23,-33;539,10,18;570,-2,-6;573,2,-12;823,-12,-5
rua|sargento|zacarias celestino homem|kennedy|32145020|20,-1988675,-4404090;30,-2,14;40,-5,1;50,-16,5;60,-6,-4;70,-6,7;96,-31,4;113,-7,4;123,-11,4;133,-9,-1;137,4,19;143,-9,-13
rua||alexandre herculano|jardim industrial|32370280|35,-1995590,-4401436;56,10,-1;90,31,-32;120,18,-25
rua||arthur hermeto|parque maracana|32110360|15,-1990475,-4407469;21,28,-164;27,-63,414;32,11,0;33,51,-410;36,-2,-6;43,-9,25;44,-44,383;46,0,5;47,-3,-1;49,29,-244;54,-25,219;57,-9,-4;103,12,-22;105,11,-16;106,-5,8;205,-7,37;231,28,-276;235,23,49;243,-24,-19;253,-1,4;263,-1,4;271,34,-164;303,-38,199;304,-6,74;306,-4,-5;312,-1,22;313,-1,15;314,7,-19;315,-8,-11;316,7,24;317,-4,0;318,-1,8;319,6,-84;320,-20,132;325,15,-62;327,5,-64;331,4,-15;337,-14,106;413,-4,25
