acesso||avenida rio negro|riacho|32280000|817,-1995489,-4405150
avenida|coronel|jove soares nogueira|inconfidentes|32260100|8,-1996009,-4404639;18,-10,-3;26,-6,-12;40,85,1230;51,-66,-1237;54,2,-1;66,-19,-18;71,-15,24;78,15,-28;83,-10,-28;90,21,306;102,-12,-300;114,-1,-15;121,-6,-29;126,7,17;131,-16,-31;132,92,1284;135,1,7;138,-77,-1274;143,-13,-27;150,5,28;155,-7,-30;162,12,17;174,-5,-17;179,-42,-323;186,39,308;202,91,1235;207,-106,-1293;214,100,1283;219,-98,-1290;232,97,1243;252,10,3;273,-111,-1262;281,-2,-37;300,102,1245;312,-4,-11;361,-21,-49;374,23,-2;381,-27,-32;386,19,5;398,-4,-9;410,-2,-14;422,-2,-12;458,-3,-36;470,-1,-14;483,-8,-20;484,9,6;485,-15,-14;496,18,1;505,-7,-15;509,-2,2;515,-5,6;520,7,-24;522,0,-20;532,-1,-11;535,-8,21;547,-8,-9;561,12,-8;575,-14,-10;577,3,3;611,3,-19;614,10,-15;616,3,21;624,0,-43;629,-6,15;634,5,-23;651,-8,20;665,-15,-60;677,-1,-6;689,3,-19;707,1,-25;708,24,5;722,-16,-17;725,-15,6;734,15,-25;746,-2,-10;758,6,-18;761,-8,31;782,-1,-39;794,15,-12;799,-21,-20;806,17,-5;818,23,-16;819,-39,2;821,-2,4;830,8,-2;841,-9,-12;843,1,-8;855,-3,-17;860,13,-20;883,11,32;905,-33,-55;912,20,2;917,-20,-5;923,0,-12;924,19,5;929,-20,-5;936,18,-14;941,-20,-1;948,19,-6;955,-17,-12;960,17,1;967,-20,-23;971,-2,-16;1016,13,-30;1031,-10,-38;1036,14,39;1043,-13,-22;1045,0,8;1055,-8,-2;1136,57,-86;1140,6,-18
avenida|coronel|jove soares nogueira|riacho das pedras|32260100|1230,-1995998,-4404528;1234,-25,-8;1238,16,-4;1240,-17,-10;1248,1,0;1260,12,-6;1290,-9,-23;1300,-1,-13
avenida|coronel|jove soares nogueira|riacho|32260100|242,-1996044,-4404863;250,6,12;262,2,-12;274,-1,-23;286,3,-11;330,-4,-38;360,1,3;406,-20,-172;416,-1,0
avenida|doutor|paulo ribeiro nunes|candida ferreira|32186450|88,-1987385,-4404931;220,82,130
avenida|presidente|tancredo neves|maria da conceicao|32371160|381,-1985334,-4403670
avenida|presidente|tancredo neves|vale das amendoeiras|32040216|12,-1985198,-4403343;22,-9,-11;32,-4,-10;48,-2,-9;64,0,-13;66,-5,-9;76,-17,-10;88,4,-7;92,-3,-12;94,-5,-12;96,-6,-9;100,-9,-33;108,8,35;112,-16,-51;136,-65,-157;156,75,177
avenida|presidente|tancredo neves|vale das amendoeiras|32371160|59,-1985215,-4403352;61,-3,-19;63,-5,-14;65,-7,-5;69,1,-16;89,-16,-16;93,-6,-17;95,-8,-8;99,-5,-27;101,-7,-7;115,25,55;137,-85,-210;169,68,170;205,-8,-31;217,-3,-5;229,-6,-14;235,-1,-12;241,1,-13;247,-4,-6;259,-7,-19;299,-8,-7;303,6,-11;315,-12,-9;327,-3,-9;339,-8,-16;351,-10,-7
avenida||das nascentes|contagem|32140300|537,-1992273,-4405198;539,0,-3;547,5,-8;549,8,-6
avenida||das nascentes|parque sao joao|32140300|2,-1991934,-4405396;3,84,-95;4,-96,101;5,86,-79;6,-85,73;7,74,-67;9,6,-5;16,-88,72;69,55,-41;126,-24,19;135,-9,13;136,0,-1
avenida||das nascentes|parque sao joao|32342252|65,-1992005,-4405358;75,-1,4;222,14,-3;230,-71,47;242,46,-39;250,-1,-3;264,-10,9;272,-9,5;278,-4,5;284,-3,0;320,-30,30;328,-3,6;338,-6,2;344,3,3;348,-5,9;354,-12,-1;362,-4,-1;368,2,-2;372,-9,3;376,2,-1;380,-6,0;384,-4,6;394,-12,12;400,0,1;410,-4,16;420,-5,5;426,-2,1;430,-13,-4;432,3,9;442,-7,-7;445,-11,11;449,-6,-20;450,13,13;460,-11,3;496,-23,10;500,-12,5;510,-12,-6;514,-9,11;522,1,1;534,-20,9;548,-15,11;558,-3,-8;570,-7,22;576,-14,-6;584,-4,0;624,-25,8
avenida||nacional|nacional|32010375|70,-1984467,-4402219;72,-1,-4;80,21,9;90,1,-9;92,9,-4;94,12,-10;105,-333,148;160,350,-149;180,4,5;190,29,-2;382,222,-217;394,-10,24;406,-11,9;418,-6,12;432,-9,5;444,-5,9;445,69,-73;453,-6,10;454,-66,69;455,74,-70;456,-82,77;459,78,-67;465,-10,13;475,-13,-10;476,-73,58;493,1,34;505,168,-251;512,-179,261;567,161,-209;610,-170,221;635,130,-153;740,-127,174;763,150,-194;771,-82,123;775,-10,9;785,-8,13;797,-11,22;890,-63,16;1009,-340,120;1010,26,7;1011,-8,-4;1013,-7,5;1015,32,-7;1017,-51,-1;1018,7,19;1019,-14,-2;1021,-7,-5;1023,-11,4;1025,-8,10;1027,-18,7;1029,44,12;1031,-23,-21;1035,-26,13;1038,-53,31;1040,-12,14;1041,8,-9;1058,-16,15;1070,14,-16;1108,646,-406;1152,16,-28;1164,8,-34;1166,-2,7;1168,16,-32;1170,7,-18;1171,3,-3
avenida||nacional|nacional|32185540|93,-1984818,-4402026;95,-12,-14
avenida||nacional|parque xangrila|32010375|326,-1984009,-4402758;340,-2,5;354,1,14;416,-30,53;428,2,8;500,117,-243;604,-189,403;608,-2,-1;612,-3,12;640,-9,10;650,-9,18;1059,4,-2;1135,56,-99;1145,0,-18;1157,6,-10;1205,9,-51;1208,41,-25;1210,3,-8;1217,-26,21;1220,26,-28;1221,-22,6;1223,12,-8;1225,3,-21;1227,-4,13;1255,23,-41
avenida||n|tupa|32060120|96,-1987741,-4414426;109,5,12;120,4,5;124,-5,-7;126,1,-22;128,11,-10;132,-34,48;160,7,27;172,8,15;186,-17,18;200,-2,1;210,-62,390;212,57,-378;224,-2,6;236,-3,12;248,-3,12;250,-1,16;252,2,8;255,6,-12;262,-15,15;269,12,-4;297,-3,33;311,-10,10;333,25,-67;388,-42,131;406,-6,18;422,4,15;436,-2,11;444,-1,2;456,-2,35;468,7,-8;470,-2,4;550,-12,126;554,11,-30;556,-5,-12;580,-4,13
