acesso||rodovia br 135|santa rita|35790879|228,-1874659,-4444477
avenida||integracao 1|centro|35790198|100,-1875971,-4443079
avenida||integracao 2|centro|35790039|140,-1875999,-4443120
estrada||acesso br 135|angicos|35797899|300,-1887922,-4446861;312,-25,-34;350,9,-18;400,-18,-9;406,-4,-8;410,-8,-18;420,-12,-35;440,-32,-97;480,-24,-46;520,54,68;528,-38,0;536,31,61;814,6,13
estrada||para a rodovia br 040|anguereta|35790536|404,-1907323,-4465497;410,-5088,1658;415,-1173,1896
estrada||para a rodovia br 040|anguereta|35796250|412,-1913583,-4461944
estrada||para a rodovia br 135|angicos|35789001|631,-1884543,-4449428
fazenda||currais 3|currais|35798000|12,-1846871,-4425032;13,-37,-1;14,12,520;41,17,-453;102,-42,-169;113,269,420;340,-42,39
fazenda||manino 1|santa rita do cedro|35797899|11,-1889485,-4422914
fazenda||manino 6|fazenda manino|35789001|14,-1889918,-4422797
fazenda||manino 7|fazenda manino|35789001|13,-1889584,-4422756
rodovia||br 040|br 040|35790536|2,-1907528,-4465496;4,0,2
rodovia||br 040|br 040|35790559|387,-1892597,-4468030
rodovia||br 040|br 040|35797899|3,-1907781,-4465447
rodovia||br 040|jk|35789001|1,-1915811,-4452845;5,86,111;26,-17,-199;64,-15,23;70,-55,57;90,-7,-22;98,19,14;99,68,39;103,0,0;115,18,-38;117,2,-5;127,40,-15;139,-48,52;145,-108,9;147,88,45;148,-87,-61;152,-9,3;154,13,-6;156,-9,30;157,-18,-3;158,-4,20;160,123,-30;162,-139,50;164,59,-84;168,0,0;172,-88,108;270,-11,27;320,-21,28;347,122,48;423,607,-973;424,-564,826
rodovia||br 040|mucanbinho|35790559|388,-1893221,-4468502
rodovia||br 135|alto bom jesus|35790879|1,-1870882,-4444289;2,46,7;5,-55,-23;6,-17,-26;7,0,0
rodovia||br 135|bananal|35790536|651,-1902035,-4450234
rodovia||br 135|bananal|35797899|1,-1902583,-4451669;13,-603,845;17,120,-992;43,-32,-16
rodovia||br 135|boa esperanca|35790536|1848,-1879625,-4446163
rodovia||br 135|bom jesus|35790879|938,-1874042,-4442343
rodovia||br 135|chale da prata|35790536|4,-1892154,-4450284
rodovia||br 135|do barro|35797899|13,-1903178,-4450784;14,1,8
rodovia||br 135|falcao|35797899|620,-1880069,-4446582;1700,3165,1072;2020,-2546,-818
rodovia||br 135|flores|35796700|30,-1860101,-4445824
rodovia||br 135|jockey club|35792495|4910,-1874641,-4441883;4950,-9,-10;4990,7,9;5000,-1,-4
rodovia||br 135|santa cruz|35790725|540,-1874048,-4442324
rodovia||br 135|sao geraldo|35790725|260,-1872940,-4442865;888,-968,538
rodovia||br 135|tizil|35789001|35,-1885429,-4449634;633,-26,-102
rodovia||br 259|passaginha|35792360|4100,-1874520,-4440775
rodovia||br 259|vale dos pinheiros|35790559|544,-1874434,-4440843;1107,-125,-183;1121,4,22
rodovia||mg 420|anguereta|35798400|2,-1914745,-4464781;3,206,718;4,-119,-391;6,96,339;8,-223,-766;10,113,397;11,-205,-699;12,99,318;20,-1,-17;21,15,56;22,9,30;44,-172,-414;48,23,3;50,218,702;54,-235,-704;56,31,71;58,1,-7;60,97,294;64,-101,-309;67,43,60;73,-20,-56;82,-7,43;83,-42,-223;84,45,220;100,36,172;104,27,50;106,-29,-48;110,44,80;1700,275,856;2185,10,36;2300,-10,-117;2400,-16,30;2500,0,0;2700,-21,-2;2788,80,91;2800,-4,-16;2806,-24,-36;2810,28,37;2812,-34,-46;2814,-3,-11;2820,-14,-27;2876,64,111
rua||sem denominacao 1|bela vista ii|35796231|78,-1876454,-4444433;80,-15,11;84,21,-14;88,7,-10
rua||sem denominacao 1|tomas gonzaga|35798000|350,-1843781,-4432030
rua||sem denominacao 2|bela vista ii|35796231|8,-1876503,-4444389;12,0,0;16,2,-2
rua||sem denominacao 2|sao geraldo do jatai|35797899|11,-1889981,-4418858
rua||sem denominacao 36|cachoeira do choro|35797899|20,-1901278,-4471893
rua||sem denominacao 5|tomas gonzaga|35798000|200,-1844083,-4432493;215,2,17
rua||sem denominacao 62|cachoeira do choro|35797899|6,-1901896,-4473128;8,6,0;12,-25,-1
rua||sem denominacao 6|angicos|35797899|10,-1887004,-4446827;19,-95,-74
rua||sem denominacao 6|tomas gonzaga|35798000|255,-1844146,-4432542
rua||sem denominacao 7|tomas gonzaga|35798000|50,-1844049,-4432278;107,3,2
