alameda|sao|geraldo boulevard|vale das aroeiras|35797899|74,-1874223,-4438853;75,2,-37;78,7,-131;95,17,80
avenida||bahamas|residencial lourdes|35794314|2,-1878165,-4443831;4,-2,-1;6,-14,16;8,-3,2;10,10,-6;16,-14,5;22,-5,11;31,-2,11;34,-1,-9;35,-1,10;36,41,-46;38,6,-11;40,-56,52;42,57,-53;44,-62,62;46,-4,3;50,69,-71;51,-127,106;53,54,-34;55,-61,43;59,13,-13;60,128,-108;61,-146,126;65,-7,0;70,150,-133;78,7,-5;86,4,-8;94,2,-4;95,-13,2;97,-97,130;98,-6,-9;107,-14,15;111,116,-140;115,-115,140;120,-2,-7;121,-6,17;135,-10,6;141,-1,3;200,-44,18;212,-7,11;228,-6,3
avenida||bauru|santa rita|35790671|9,-1874772,-4445727;12,-1,2;27,19,-5;85,4,-7;86,-3,10;91,10,-17;114,19,-1;125,18,-9;128,0,4;131,6,-4;136,-1,3;137,5,-10;147,12,-1;161,20,-10;167,7,-6;174,-23,19;186,8,-4;192,14,-10;198,7,1;210,13,-7;215,2,-14;217,34,-5;250,14,-2;262,67,-28;264,-54,24;276,8,-5;287,8,-9;291,31,-18;298,-21,20;301,96,-50;304,-96,49;316,7,-2;319,-6,1;322,24,-5;331,-16,-12;367,29,-3;378,15,1;379,-9,-9;390,18,5;400,11,-6;410,15,-8;414,8,0;415,-17,-3;418,23,-2;427,-33,7;445,16,-8;451,8,0;529,62,-31;535,6,2;541,7,-7;547,4,1;559,10,-4;562,18,1;568,4,-5;580,9,-5;586,4,-1;592,2,-9;600,18,3;612,2,-3;626,12,-5;632,2,-4;638,6,0;644,4,-2;656,7,-6;711,-230,104;717,317,-153;720,-33,30;1027,40,-28
avenida||birmania|residencial lourdes|35794312|20,-1878124,-4443749;38,-9,7;46,-6,5;64,-15,12;72,-9,-1;82,-3,7;100,-14,7;106,-13,11
avenida||brasil|ipiranga|35794592|210,-1878144,-4442349;214,-20,11;300,-32,16;314,-13,1;324,-8,5;327,-31,13;344,80,-27
avenida||brasil|ponte nova|35794553|217,-1878284,-4442231;401,12,-9;415,45,-16;431,-83,29;515,-35,18;517,-21,0;529,-39,9;1022,507,-248;1027,-17,9;1039,-10,8;1307,-310,177;1837,-549,185;1963,-131,27
avenida||brasil|ponte nova|35794589|14,-1878005,-4442356;42,-29,1;59,37,-23;79,-12,-5;85,-7,7;91,-4,12;99,-31,19;205,-105,59;215,-20,6;223,53,-38;225,0,18;227,-62,23;245,46,-15;345,54,-27;1719,-556,199;1723,-12,0
avenida||brasil|ponte nova|35794592|100,-1878062,-4442394;140,-28,15;1180,37,-21
avenida||brasil|santa filomena|35790045|715,-1877602,-4442674;725,-27,25;733,1,2;737,1,-2;739,11,-11
avenida||brasil|santa filomena|35794216|199,-1877233,-4442920;205,-8,-2;235,-14,6;265,-38,12;275,-9,4;287,-5,1;295,-5,10;351,-42,32;361,-9,3;371,-1,4;373,-3,2;405,-93,67;419,-8,5;421,-6,8;429,-12,9;495,-53,47;663,-33,17;669,-4,1
avenida||brasil|santa filomena|35794218|311,-1877050,-4442898;323,-64,-46;335,-12,9
avenida||corpo de baile|guimaraes rosa|35792658|20,-1873138,-4442845;30,1,-12;40,4,-12;50,-1,-7;60,-3,-3;70,4,-13;80,1,-13;90,6,-15;100,4,-5;110,-5,-7;120,-3,-9;130,2,-9;140,-6,-7;150,6,-11;160,-6,-15;170,5,-7;180,-2,-7;190,1,-8;198,1,-10;214,0,-33;220,0,-6;224,0,-4;234,0,-11;244,2,-4;254,-1,-11;264,-4,-9;274,0,-12;284,4,-4;294,2,-9;304,-2,-10;314,3,-11;324,-7,-8;334,8,-10;344,-3,-9
avenida||geralda de lima barbosa|cachoeira do choro|35797899|4,-1901338,-4472938;7,-16,14;9,-28,54;20,-16,9;21,30,-30;30,-45,63;32,-16,38;33,-1,-4;34,49,-90;35,-7,29;61,-4,1
avenida||jk rodovia br135|jk|35789001|76,-1914438,-4453845;100,-11,13;130,33,-23;134,19,-17;136,9,-3;203,88,-61;218,103,-63;222,11,-10;227,-56,43;234,102,-68;236,-16,14;238,-36,13;239,-22,20;266,-118,71;272,227,-147;274,11,-4;360,-415,270;380,-21,19
beco||ze bilico|vila nova|35792148|240,-1875026,-4442045;241,2,8;242,-2,-5;244,1,-7
cabeceira||paiol de baixo|sumidouro|35798400|15,-1874934,-4457666
estrada||capim branco|capim branco|35789001|5,-1879471,-4419912;16,-2201,-3757
estrada||para bananal|fazenda olhos dagua|35790536|4,-1901202,-4446288
estrada||para o sitio buriti|sitio buriti|35789001|14,-1876644,-4418261;15,-64,162;17,-348,296
estrada||para o sitio vaca branca|vaca branca|35789001|5,-1878356,-4421819
fazenda|santa|barbara|beira corrego canoas|35789001|2,-1891814,-4435977
fazenda||bananal|bananal|35790536|135,-1902398,-4448716
fazenda||bananal|bananal|35797899|1,-1902700,-4451824;2,-19,-5;3,-12,-15;135,31,6
fazenda||barra do barreiro|fazenda barra do barreiro|35789001|12,-1891323,-4426850
fazenda||barreiro|chale da prata|35790536|8,-1892091,-4449520
fazenda||baru|rocinha|35789001|17,-1849116,-4432258
fazenda||bovespa|sumidouro|35790644|1,-1873537,-4459597;18,-45,59
fazenda||campo belo|moura|35790536|17,-1890210,-4437291
fazenda||capim branco|mascarenhas|35790536|4,-1898189,-4438186
fazenda||do brejo|fazenda do brejo|35789001|10,-1853081,-4438704;21,0,0
fazenda||rancho do bugre|bananal|35797899|2,-1899392,-4452129
fazenda||ribeirao do boi|meleiros|35789001|1,-1883739,-4468026
fazenda||saco do buraco|gustavo da silveira|35789001|38,-1885223,-4443702
fazenda||saco dos buracos|gustavo da silveira|35790536|17,-1885433,-4443256
fazenda||vaca branca|fazenda vaca branca|35789001|256,-1877686,-4421320
rua|almirante|barroso|bela vista|35796282|17,-1876922,-4443872;29,1,-31;39,-4,-5;44,12,-8;45,2,6;49,-9,-13;50,4,-1;51,0,-9;53,4,0;59,-5,2;60,7,-5;71,-14,-11;74,6,-5;75,-3,5;76,6,-10;79,-21,9;81,14,-6;83,0,3;93,-7,-14;99,5,5;121,11,-25;127,-5,-11;131,-1,6;141,-3,-12;143,0,-6;147,4,-25;158,9,16;164,0,-5;178,-2,-10;205,-9,-10
rua|barao|do rio branco|centro|35790168|2,-1875373,-4443338;3,8,8;4,5,6;5,-2,-4;6,-8,5;7,-5,3;8,1,9;10,9,9;13,-1,-1;15,-6,6;16,6,11;17,-3,2;18,2,4;196,5,226;202,-12,-16;209,6,-22;210,-12,13;213,11,-5;217,-5,-8;219,8,-8;224,-5,-1;228,-9,5;238,7,-10;243,-8,-5;244,6,-7;248,6,2;261,-12,-16;262,13,13;264,-5,-15;278,6,-4;279,-6,-16;292,4,8;296,-2,-15;298,-1,1;299,-2,52;301,2,7;303,-5,-63;316,3,-4;317,2,0;323,1,-24;326,-2,16;333,-1,-31;334,-1,1;336,-10,8;338,21,-10;345,-13,-2;353,1,-16;354,6,10;364,2,-24;371,-7,8;380,7,4;384,-3,-15;399,-4,-10;422,0,-23;430,-8,-12;438,10,-15;456,4,-9;458,-1,-5;460,-7,-2;472,11,-19;490,2,-12;494,-5,1;496,1,-2;498,-6,0;504,-1,-5;510,1,-8;514,8,-11;518,-8,4;524,1,-9
rua|coronel|jose brigido|bela vista|35790075|75,-1876318,-4443411;122,-34,-28;140,-14,-4;150,-7,-9;160,-11,-6
rua|coronel|jose brigido|bela vista|35796117|10,-1876276,-4443357;16,2,-29;20,-8,12;30,0,-16;36,-1,-10;44,-11,-8;52,-9,-1;58,-5,0;76,-18,-3;117,-29,-18;129,-12,-8;145,-13,-7;159,-5,-5;169,-4,-4;200,-23,-27;210,-15,0;214,3,-4;239,-16,-11;240,-4,-7;243,-9,3;249,-5,-2;250,7,-4;259,-10,-5;269,0,-11;270,1,8;344,35,25
rua|coronel|jose brigido|centro|35790075|12,-1876238,-4443356;14,-1,-16;23,19,26;24,10,1;25,-8,-3;32,52,26;37,-24,-16;42,17,14;57,-13,-12;122,-43,-19
rua|desembargador|barata|centro|35790303|10,-1875176,-4442771;11,15,5;12,6,29;13,-6,8;19,-4,-30;25,13,14;32,-7,7;41,-1,2;45,7,-5;58,-11,33;61,1,-5;81,-6,23;84,6,2;86,-1,15;90,-3,16;93,-1,-9;97,2,5;100,-3,4;110,-2,3;120,4,9;126,-3,8;161,-97,191;165,92,-160;169,3,2;181,-109,160;218,103,-134;220,-11,10;222,-9,6;248,-6,14;260,-10,10;272,-5,7;275,26,-22;282,-35,35;298,-8,8;304,-4,9;309,5,6;321,-11,6;334,-27,41;357,9,-17;393,-21,29
rua|professora|diva pinto de barros|lucio cardoso|35792744|268,-1872149,-4443501
rua|santa|barbara|cachoeira do choro|35797899|18,-1901896,-4472479;21,-68,-16;29,-31,44
rua|santa|barbara|vila nova|35792158|8,-1875312,-4441924;20,3,-8;29,6,-9;36,10,9;38,-10,-4;39,0,-12;46,7,7;48,-2,-7;49,1,-5;50,4,13;59,5,-16;65,2,-7;67,8,-7;70,-6,12;74,8,-8;76,-5,10;79,12,-16;84,3,8;91,0,0;601,-50,30
