alameda||rio negro|tiete|35501185|10,-2014220,-4491246;14,-207,-35;21,7,5;31,11,1;41,209,56;47,-14,-9;93,-55,-46;100,35,7;106,-14,-15;110,-7,2;113,3,9;120,-8,-11;122,-6,-2;123,22,-3;125,11,19;130,-42,-14;171,-44,8;180,8,-10;181,-5,12;190,-2,-11;191,-6,8;200,-5,-6;201,-8,11;204,5,-13;210,-10,-2;211,-2,10;220,2,-4;221,-5,9;230,-12,-10;231,0,9;241,-10,-1;270,-28,-13;290,-22,0;300,-10,-1;306,-16,2
anel||rodoviario presidente tancredo neves|alvorada|35500423|2,-2011652,-4490160;4,-8,17;8,16,14
anel||rodoviario presidente tancredo neves|alvorada|35500680|5455,-2011527,-4489299;5555,-10,-133
anel||rodoviario presidente tancredo neves|alvorada|35502226|1551,-2011528,-4489616;6301,0,32;6305,2,-20
anel||rodoviario presidente tancredo neves|anchieta|35504404|21,-2011727,-4490455;6050,-106,-232
anel||rodoviario presidente tancredo neves|bom pastor|35500680|5105,-2011516,-4488881;5231,-6,-100
anel||rodoviario presidente tancredo neves|casa nova|35501000|12100,-2015962,-4491607
anel||rodoviario presidente tancredo neves|icarai|35500221|4535,-2011316,-4485317;4549,12,21;4555,11,8;4631,4,23;4675,86,97
anel||rodoviario presidente tancredo neves|icarai|35500680|710,-2011288,-4485236;4500,-87,-120;4630,87,123;4660,34,42;4670,8,16;4700,23,34;4720,12,7
anel||rodoviario presidente tancredo neves|liberdade|35500423|90,-2011770,-4490388
anel||rodoviario presidente tancredo neves|orion|35504404|50,-2013905,-4491492;3135,-39,4
anel||rodoviario presidente tancredo neves|orion|35504899|171,-2013637,-4491466;2001,-22,-5;2003,-6,4;2013,-35,-1
anel||rodoviario presidente tancredo neves|padre liberio|35500001|260,-2011449,-4487840;270,-15,-34
anel||rodoviario presidente tancredo neves|prolongamento bom pastor|35502067|390,-2011391,-4487959;399,0,-17;402,-4,-5;406,0,-10;410,-1,-5
anel||rodoviario presidente tancredo neves|vila romana|35500001|2200,-2011311,-4486261;2300,72,-109;2450,80,-869;2700,2,693;2720,5,-11;2740,2,-10
anel||rodoviario presidente tancredo neves|vila romana|35500680|2301,-2011332,-4486409
anel||rodoviario presidente tancredo neves|xavante|35503229|6545,-2012306,-4491234;6551,0,0;6585,7,7
avenida|conselheiro|antonio nascimento|danilo passos|35500316|80,-2012300,-4487316;81,-41,-31;619,-128,37
avenida|presidente|tancredo neves|santa cruz|35505000|8071,-2010422,-4497879
