alameda||umbu|furnastur|35570001|34,-2054437,-4561249;44,-6,-32;164,-2,-359;290,10,119;300,-1,34;310,-2,6;350,-1,25;600,-5,285;602,-2,45;606,1,-67;610,2,33;618,-3,34
avenida||um|alvorada|35572378|868,-2047894,-4541611;878,-7,9
avenida||um|centro|35572378|26,-2047927,-4541593;36,-41,-31;46,26,44;56,-16,-18;66,-10,32;76,1,-6;86,-3,0;96,-6,19;102,-6,0;108,-6,9;116,-1,8;126,-10,7;136,-11,3;146,1,-1;180,-35,27;190,9,2;200,-12,13;206,-2,3;216,-3,4;226,-10,4;236,-4,7;246,-12,11;256,-2,0;262,-10,4;270,-2,3
avenida||um|nossa senhora de lourdes|35572378|101,-2047978,-4541539;111,-6,7;121,-13,-4;131,1,7;141,-7,4;151,-9,11;161,-7,7;171,-4,9;175,-5,2;177,4,-3;181,-8,12;191,-15,1;201,-3,1;211,-26,51;221,17,-31;231,-3,16;241,-13,0;251,0,-2;261,-6,11;271,-9,5
avenida||um|ouro verde|35572378|25,-2047915,-4541588;37,-15,0;39,2,4;41,-8,2;55,-4,4;69,-21,22;75,2,-2;891,47,-33
avenida||um|ponte vila|35572390|60,-2053599,-4558720;139,86,28;145,31,92;190,12,57
rua||dos universitarios|nossa senhora de lourdes|35574750|925,-2045134,-4545452;955,2,-12
rua||dos universitarios|santa luzia|35574750|13,-2045274,-4544960;33,14,-40;37,17,-167;77,-7,147;85,8,-24;123,13,-24;125,-7,-12;209,20,-83;217,-7,-7;225,17,-21;233,4,-7;253,1,-12
rua||dos universitarios|vila carmelita|35574750|415,-2045154,-4545403
rua||uberaba|alto dos pinheiros|35572218|89,-2048402,-4542498;90,-2,-8;95,-11,16;96,2,-4;100,-1,1;108,-4,3;163,-29,31;165,1,6;196,-18,12;202,-27,8;205,14,1;208,-2,8;211,-5,-1;220,6,1;225,-3,3;228,-7,4;267,-30,34;270,-4,-9;273,2,13;281,-4,6;282,-6,-9;329,-25,27;337,-9,19;347,-12,2;353,6,2;394,-23,18;400,-11,2;408,-3,8;428,-7,10;435,-2,5;475,-36,28;483,-6,18;485,-2,-7
rua||uberlandia|alto dos pinheiros|35572226|8,-2048236,-4542522;14,-7,-2;20,-4,6;78,-39,29;86,0,3;94,-9,17;104,-3,-2;114,-8,5;120,-10,12;159,-19,18;165,-3,6;170,-5,4;175,-5,4;185,-6,8;197,-6,14;200,-1,0;203,0,2;206,-2,11;209,-6,-7;212,-2,8;215,3,-3;218,-1,5;224,-14,3;230,3,5;236,-8,3;281,-27,19;299,-7,12;300,4,-10;306,-7,10;307,0,9;312,1,1;315,-5,1;318,1,-3;330,-15,11;340,-12,7;349,-8,17;355,-4,6;379,-18,15;396,0,-1;402,4,8;408,-5,1;414,-14,2;420,-1,3;423,-5,-7;425,0,15;426,4,-2;431,-6,7;432,-5,-3;508,-57,59;516,-7,3;524,-3,0;525,-7,10;534,2,12
rua||um|centro|35577034|21,-2046380,-4542909;71,44,32;82,-35,11;95,55,7;110,-5,5;120,13,3
rua||um|furnastur|35579792|30,-2054039,-4561884
rua||um|ponte vila|35570001|108,-2059405,-4560749
rua||um|ponte vila|35579708|1,-2053542,-4558725;5,16,-3;9,-3,-3;19,8,-2;20,-16,195;24,-12,-17;51,-11,-94;63,-30,-23;70,-29,-36;71,31,4;78,27,86;81,-30,-83;91,15,19;111,-3,25;121,7,-10;133,7,20;134,-1,29;136,1,-28;153,1,13;160,4,9;163,0,0;166,1,8;172,-26,9;173,27,1;200,9,35;260,-21,-86;280,-4,22
rua||um|sao luiz|35577034|12,-2045416,-4544114;13,4,-18;14,-5,25;15,10,-50;16,-10,50;21,13,-48;22,-12,14;27,12,-13;28,-12,15;33,17,-31;34,0,28;39,4,-31;40,3,35;46,6,-12;51,-2,-24;56,17,-22;70,-3,2;81,6,-10;82,-2,10;87,-6,7;94,18,-18;99,-8,5;105,12,-6;106,4,-12;111,-3,7;117,5,-7
rua||um|tino pereira|35573354|420,-2050482,-4542872;425,7,-14;430,-9,12;435,7,1;440,-9,11;445,7,-6;450,-11,14;455,8,-6;460,-10,14;465,7,-6;470,-12,14;475,7,0;480,-8,11;485,8,-4;490,-1,13;495,1,-7;500,-12,13;505,8,-2;510,-14,9;515,9,-2;520,-9,12;525,5,-3;530,-4,9;535,2,-2;540,-7,11;545,5,-3;550,-10,15;555,7,-9;565,1,11;570,-18,21;580,1,1;585,12,-4;590,-11,18;595,2,-8;600,-8,9;605,10,-1;610,-12,11;615,11,-2;620,-14,10;625,7,-5;630,-16,16;635,11,-6;645,1,8
