avenida|presidente|kennedy|centro|39695000|17,-1795921,-4200844;26,-116,254;32,1,-6;41,-9,-12;45,4,-13;48,12,17;57,-16,-26;58,23,13;67,-11,-28;72,38,28;80,-15,-27;81,-14,-9;88,-12,16;89,17,-28;93,8,1;95,-7,-5;97,4,-5;104,18,3;105,-8,-13;120,25,1;129,-16,-25;144,19,-6;145,-7,-8;153,-4,-7;156,23,2;160,-9,-17;161,-1,2;168,9,-9;177,-4,-10;184,26,-2;188,-3,-18;192,-2,-3;193,-4,0;200,14,-9;205,-14,0;209,5,-7;214,25,-2;216,-4,4;217,-18,-5;224,20,-5;225,-9,-9;232,9,-3;241,2,-7;242,-4,2;248,6,-6;250,16,-23;256,4,-6;272,11,-8;280,-9,-6;284,6,-5;300,4,-9;304,-3,-11;311,-11,-30;312,14,20;314,-2,-14;320,4,-7;321,-20,-13;323,1,-2;326,16,9;328,8,-8;335,-19,-18;336,13,7;344,2,-5;348,1,-9;351,-22,2;352,18,-6;366,3,-10;367,-16,-10;368,22,3;376,-3,-9;391,-17,-13;392,13,-1;401,-17,-7;408,22,-8;411,-28,-3;415,16,-1;423,-1,-13;424,10,0;439,-8,-26;440,16,-6;442,-3,0;450,-5,-15;455,-18,3;463,8,-18;471,-2,-9;472,13,4;482,51,-17;486,-50,-4;487,-14,5;495,-1,-21;496,-135,296;503,126,-299;504,27,4;510,-5,-9;511,-14,-10;512,28,-1;520,-14,-12;521,-17,2;526,22,-12;527,-24,10;535,5,-14;536,14,6;543,-15,-12;544,15,-3;551,-17,-6;552,16,-10;559,-14,-6;560,13,0;567,-11,-3;575,-5,-6;591,9,-21;599,-3,-5;600,5,-2;609,-12,-13;611,-7,-6;613,9,6;615,-11,-16;620,20,22;625,-39,-31;628,21,16;630,-7,-19;634,10,6;638,-3,-2;640,-35,-49;642,13,-7;645,0,30;646,-22,-32;648,32,48;658,-6,-6;662,4,-16
beco||rua joaquim gomes de macedo|centro|39695000|1,-1795861,-4201240;560,-18,-1
beco||sem denominacao dois|antonio ferreira|39695000|10,-1792974,-4191397;27,10,-3;28,19,-2;122,-17,-17
beco||sem denominacao|centro|39695000|26,-1796310,-4200121
beirada||do rio coio|corrego coio|39695000|7,-1798288,-4200515
cabeceira||do bananal|corrego bananal|39695000|5,-1789484,-4189015
cabeceira||do bananal|vieiras|39695000|15,-1787813,-4188335
cabeceira||pontarate|pontarate|39697000|5,-1796914,-4182879;7,92,-421
comunidade||jacutinga|jacutinga i|39695000|1,-1802928,-4204294
comunidade||jacutinga|jacutinga|39695000|1,-1800714,-4205136;4,222,-281;16,1619,-292;26,-4780,1195
continuacao||bananeira de cima|comunidade santa cruz|39695000|26,-1794272,-4204833
continuacao||da comunidade dos jovinos|santa cruz|39695000|10,-1796958,-4197960
continuacao||do morumbal|morumbal|39695000|1,-1801519,-4199411
continuacao||fazenda lidio pimenta|comunidade santa cruz|39695000|2,-1788024,-4202496;7,548,340
continuacao||lisardos|santa rosa|39695000|6,-1800408,-4183367;9,1794,-391;11,-17,441;13,-24,-202;17,-147,549;19,-6,6;27,51,398;38,-44,-400
continuacao||quebra coco|comunidade santa cruz|39695000|3,-1792906,-4202960;9,0,-1130;10,577,1071;11,-270,-344;13,220,-712;16,-842,-1441;20,117,601;21,1452,719;22,109,20;25,-2608,-510;31,2663,520;33,75,-134
continuacao||ribeirao|comunidade santa cruz|39695000|2,-1793415,-4202385;3,1589,-129;20,-516,421
corrego|santa|cruz|comunidade santa cruz|39695000|2,-1791644,-4201595;3,429,-559;4,16,-31;5,-2003,-105;6,347,82;7,1710,140;8,-940,360;10,164,-580;11,-883,77;12,43,3;15,160,113;16,34,7;19,346,171;22,75,68;25,115,-25
