alameda||do vale|chacaras encosta do sol|35044810|1,-1886041,-4193206;3,1,11;381,-274,169;444,158,-19;671,14,-28;1150,-98,92
alto||da boa vista|mae de deus|35053010|532,-1886240,-4197078
avenida||bela vista|kennedy|35051040|60,-1887586,-4198179;200,-38,21;210,-18,-6
avenida||bela vista|kennedy|35051782|160,-1887713,-4198162;170,17,1
avenida||cristiano ferreira varella|vila isa|35044214|59,-1888451,-4194665;109,-19,72;119,0,6;129,-4,9;139,-3,10;381,49,-182;403,-5,27;428,-53,143;459,67,-196
avenida||da vertente|altinopolis|35053740|49,-1886122,-4196967;51,-9,5;53,19,-2;57,-12,12;70,12,1;77,7,-26;92,10,21;96,8,2;97,25,-23;102,-18,19;112,7,-6;117,286,-38;120,-280,36;126,5,-2;127,4,-19;135,3,4;137,10,-8;140,-13,18;155,18,-22;160,5,23;168,5,-12;172,6,2;178,11,-13;181,3,-11;192,-6,18;198,13,-2;208,-61,23;211,61,-29;212,12,7;214,10,1;219,-139,-3;221,127,-11;223,11,-10;225,10,9;227,-2,-3;231,13,-8;232,-15,23;236,10,17;237,8,-41;239,-15,2;241,26,2;242,-11,23;245,22,-37;250,-12,29;254,6,4;255,19,-31;260,-3,31;265,10,-25;271,14,-5;277,-1,-1;285,11,-3;286,-16,35;294,-2,4;306,22,-9;312,2,5;318,4,0;336,9,-5;346,22,1;356,5,0;358,18,-7;364,-16,2;371,-21,-10;376,38,9;377,7,-12;381,15,4;389,5,-1;390,-7,7;395,3,-29;396,-2,31;400,10,5;401,34,10;406,-31,-11;407,41,43;410,-35,-43;416,3,4;417,24,11;422,-8,-10;429,69,-10;437,-3,2;443,0,-10;444,-60,19;447,54,-4;471,50,-9;475,-17,-11;476,-37,35;485,100,-60;536,-46,64;550,18,-1;556,0,-5;647,47,-9;657,15,-11;661,11,-6;669,2,0;681,-1,-3;731,45,-29
avenida||vaticano|gra duquesa|35057720|31,-1884420,-4195672;37,3,2;43,-12,-2;55,-6,-13;67,-6,-3;79,-13,-22;82,8,17;92,-6,-15;103,-10,8;110,-8,-14;115,-19,-6;119,18,9;120,-7,-19;126,-9,-2;127,12,10;130,2,-8;131,-20,1;139,-2,0;149,47,25;150,-58,-39;159,-8,-5;169,-7,-6;179,-8,-10;189,-7,-3;195,-5,-10;234,-22,-25;235,-10,4;243,-12,-3;246,8,-14;251,-22,-9;255,10,12;258,0,-12;270,-6,-10
avenida||veneza|gra duquesa|35057730|60,-1884480,-4195327;70,2,-9;73,-19,18;79,-6,-8;83,-4,-13;95,-17,-19;127,0,1;133,-9,-7;147,-2,-10;159,-11,-10;171,-6,-10;172,14,-22;183,-23,9;188,16,-16;195,-33,-1;196,24,-6;202,6,4;207,-32,-4;212,11,-15;215,-14,-8;222,8,-1;223,-19,8;232,13,-15;244,-13,-11;248,54,47;272,-54,-45;282,-17,-13;294,-15,-9;308,-9,-20;338,-11,-7;344,39,36;356,-56,-47;364,1,-5;368,-6,0;382,-12,-11;383,16,12;385,-19,11;393,-17,-4;398,8,-25;408,68,57;426,-76,-63;440,73,61;445,-106,-69;456,-1,-13;465,12,6;470,-19,-14;480,-19,-20;481,-2,19;497,-14,-5;507,-2,-8;510,15,-14;520,-9,-4;534,-14,-12;537,-24,19;540,22,-25;544,0,0;547,-29,11;548,19,-18;555,-13,28;556,8,-29;565,-24,14;576,7,-25;585,-31,8;586,19,-23;595,-26,3;596,22,-3;602,-3,-1;614,-14,-5;618,-11,-7;622,0,-4;627,-15,10;628,17,-15;631,-24,13;632,20,-11;633,-21,9;635,4,-1;637,-6,-1;640,17,-14;647,-26,8;658,13,-21;663,-17,8;670,14,-14;673,-36,3;676,28,-3;683,-13,15;697,-34,-24;877,-14,-14;917,-130,-119;1055,23,-8;1865,563,561;6697,-441,-423
avenida||veneza|gra duquesa|35057750|710,-1884924,-4195731;724,-4,-18;738,-10,-9;750,-25,-6;760,-1,-22;762,-6,3;770,-7,-12;776,1,-2;782,3,-4;796,-11,-14
avenida||veneza|santo agostinho|35057730|980,-1885098,-4195948;998,-45,-48;1008,-25,-28;1300,-94,-154;4500,-123,-58
corrego||monte verde|corrego cascalheira|35000001|75,-1877696,-4198862;77,18,-48;78,20,-34;79,130,-320
corrego||monte verde|governador valadares|35000001|19,-1876683,-4199038
corrego||monte verde|monte verde|35000001|80,-1877499,-4199332;81,27,-15;82,8,-59;83,-3,0;84,85,-231;85,58,-36;86,6,0;87,-15,-5;88,52,-14;90,-70,-80;91,69,-11;92,-4,4;93,-50,-62;94,4,-23;95,4,14;96,-138,454
corrego||monte verde|monte verde|35100400|89,-1877340,-4199706;97,39,-1140;98,-51,-110;99,858,-839;100,83,-56;101,-3,-2;102,235,-83;103,-3,12;104,43,-19;105,-2,2;106,-1219,2185;107,0,0
