acesso||estrada terramare|terramare|37177000|3,-2073751,-4590899;228,657,1739;230,105,157;355,797,2618;431,-1253,-3213;489,1178,3286
alameda||dos manacas|parque das aguas|37177000|338,-2074312,-4592129
alameda||dos resedas|parque das aguas|37177000|553,-2074198,-4592081
avenida|dona|agostinha|sapolandia|37177000|2,-2076405,-4592422;3,-7,5;13,15,3;23,6,4;33,11,7;59,22,5;74,-9,-9;75,19,13;79,0,0;80,-4,-6;85,14,12;86,3,-7;96,1,-4;140,45,24;176,33,14;196,10,5
avenida|doutor|olavo pinheiro|centro|37177000|50,-2076353,-4591606;60,2,-3;78,-5,-1;88,-5,0
avenida|doutor|olavo pinheiro|cidade nova|37177000|9,-2076301,-4591605;13,-10,1;20,2,-18;22,6,-3;30,-8,8;35,-15,21;40,7,-24;45,-16,21;57,-15,0;75,-8,8;85,-7,-3
avenida|doutor|olavo pinheiro|cidade velha|37177000|7,-2076755,-4591519;60,401,-93;97,-42,28;102,3,-15;103,-6,11;111,-12,-5;112,20,-8;122,-18,1;136,-11,2;139,-6,18;149,-7,0;167,-14,-6;173,-9,1;174,-4,-4;184,-3,5;185,-1,13;194,-10,-16;195,-5,17;200,-2,-26;207,-13,28;210,10,-16;217,-16,14;218,4,-11;223,-10,10;225,-4,0;226,6,-14;227,-13,18;236,-3,-16;237,-2,18;242,-7,-9;250,-16,0;272,-20,0;275,30,4;277,-22,8;282,-18,-6;285,9,6;301,-2,5;302,-16,-20;315,3,27;316,-19,-18;320,2,16;325,11,2;328,-17,-13;332,-1,1;335,-3,17;342,-11,-13;345,15,14;355,-22,3;356,36,-16;365,-38,16;368,-16,-14;373,-1,20;378,-5,-22;381,6,15;385,-9,8;398,-165,8;399,151,-6;400,-10,-20;405,1,23;409,-2,1;413,-5,1;415,-9,-3;416,7,-22;426,-8,3;430,-11,4;431,5,17;436,-6,-15;446,-9,4;447,2,15;448,-3,-20;453,-6,21;458,-9,-14;468,-17,-3;471,8,32;478,-16,-25;483,7,10;487,-8,14;497,-18,-12;509,2,7;522,-1,-17;527,-18,22;532,12,-26;539,-16,21;541,-8,5;560,11,-18;564,-10,2;574,-7,2;582,-6,-1;583,11,41;585,-7,-19;590,-8,-26;600,19,6;736,-46,-1;794,413,-75
avenida|santo|antnio|santo antonio|37177000|21,-2078040,-4602633;23,-18,35;33,13,-12
avenida|santo|antonio|santo antonio|37177000|14,-2078007,-4602684;22,-25,63;30,-4,6;40,-6,8;60,-12,24;80,-22,22;90,-3,12;100,-3,13;130,-20,37;132,-1,5;134,-1,1;136,10,-3;138,-1,2;140,1,4
avenida||beira lago|parque das aguas|37177000|30,-2075110,-4592631;55,45,23;71,70,159;75,-195,187;101,56,48;115,103,-301;120,-72,311;151,-81,-40;161,-16,-24;185,132,-333;197,-7,29;199,32,9;215,56,119;229,-123,277;265,25,-465;285,-64,0;340,-67,299;395,61,-231;419,0,-25;421,-12,49;443,-7,15;467,-12,18;491,-2,20;746,25,255;814,50,39
avenida||bela vista|santo antonio|37177000|20,-2078130,-4602789;75,-143,-219;77,-160,-267;190,79,131;200,-6,-7;270,312,476;280,17,35;297,-24,-26
avenida||boa vista|santo antonio|37177000|30,-2078092,-4602736;32,-190,-310;45,141,235;70,-20,-32;85,-115,-183;100,102,145;212,-10,-29;220,0,21
avenida||brasil|ap do sul|37177000|1,-2080257,-4599238;2,-98,-50;9,9,8;10,95,8;29,-100,-7;52,49,1;53,159,49;63,-156,-45;68,298,85;75,-267,-81;76,105,25;93,-109,-1;106,29,-17;109,-9,7;125,17,6;130,19,-2;149,69,18;157,10,0;159,5,-3;160,-7,16;209,74,8;350,50,11;353,13,13;354,-3,-9
avenida||brasil|centro|37177000|6,-2076287,-4591803;7,0,4;9,-9,-4;10,4,0;18,-4,0;20,-4,-6;22,-3,6;25,-2,4;26,2,-13;27,-8,10;31,-17,-15;32,11,8;39,-9,3;40,1,-7;61,-23,11;64,-8,-12;71,10,22;74,-14,-27;89,-2,2;92,-14,1;97,5,17;104,-10,-31;131,-9,22;133,-11,28;143,3,-27;149,-10,15;153,6,-15;163,-25,8;179,-5,-4;181,-3,6
avenida||brasil|cidade velha|37177000|130,-2076397,-4591805;132,-1,-6;150,-4,7;160,-16,-5;166,-4,-2;176,-9,-2;178,-15,1;207,-6,16;208,-6,-15;220,-17,3;222,-9,1;231,18,6;233,-19,-7;235,5,-5;241,0,-2;247,-7,15;254,-4,-12;259,8,1;265,-18,9;266,-2,-5;272,3,-7;277,-15,13;289,-15,1;291,-4,0;292,8,-10;293,-16,11;294,9,-11;303,-8,6;308,-9,-10;321,-12,13;330,-2,-9;333,-17,4;334,8,-10;347,-7,14;351,-18,-3;367,-19,-6;376,19,-7;396,-19,6;400,-162,-9;401,153,2;412,-6,3;421,-5,10;422,-8,-15;431,-9,20;440,-4,-27;441,-3,15;469,-51,17;474,15,-17;479,3,13;484,-18,-20;485,44,9;495,-46,5;505,-7,4;506,-1,-23;516,-13,2;525,0,15;530,-12,-10;545,78,0;550,-93,-4;557,2,21;613,94,-17
avenida||do ipe|parque das aguas|37177000|21,-2075305,-4592018;30,13,-2;35,9,-17;49,5,2;58,6,2;61,105,-88;63,107,-100;66,-190,160;72,-1,12;75,215,-171;87,-4,-10;99,17,-5;103,-210,161;111,225,-176;134,-186,165;148,4,-10;162,16,-15;173,24,-22;178,-19,17;185,23,-18;192,-9,14;197,21,-22;206,-10,4;209,10,-10;222,10,9;228,166,-140;230,-26,10;244,30,-13;252,-156,123;313,197,-158;425,63,-46;451,12,-5;471,1,-13;481,25,-10;491,2,-4;800,91,-76;801,-38,34
avenida||guape|santo antonio|37177000|2,-2077973,-4602665;5,1,11;8,42,8;10,-362,-159;22,10,2;30,214,96;32,-204,-89;42,3,1;58,17,4;70,228,104;74,-214,-99;76,196,89;79,-199,-77;85,6,8;89,12,1;94,-3,-13;103,12,25;118,4,-20;123,9,12;124,12,-4;133,-3,50;140,19,-42;162,10,4;165,-7,19;175,24,8;192,6,-14;195,3,18;201,18,3;205,5,9;212,-10,-28;224,7,0;225,7,24;234,6,-7;247,17,25;253,19,7;300,44,10
avenida||joaquim flauzino|centro|37177000|35,-2075889,-4591719;47,-9,-14;63,-138,-145;275,-27,-20;285,-8,-11;299,-5,-18;333,-31,-28;351,-7,-10;361,-9,-4;371,-5,-4;385,-5,-17;411,1,-16;421,-20,-2
avenida||joaquim flauzino|cidade nova|37177000|20,-2075876,-4591719;32,0,-2;48,-17,-26;108,-46,-45;132,-24,-27;242,-59,-70;250,-10,-11;266,-4,-6;280,-28,-26;330,-19,-19;342,-9,-10;362,-15,-17;366,-7,-7;382,6,-12
avenida||marginal|alto sumare|37177000|7,-2077582,-4590864;19,625,-608;20,82,-43;22,-560,465;25,466,-422;35,-10,0;43,-8,12;63,-10,-1;73,-52,13;77,33,-10;87,-15,1;100,-382,414;103,373,-406;105,-1,4;121,-20,4;123,1,5;153,-33,3;159,-9,5;165,-21,14;175,-2,-11;239,-55,47;263,-25,33;277,-5,9;305,-19,21;315,-6,9;406,-59,103;427,-15,-21;430,4,34;447,-54,-43;460,42,61;480,5,-19;510,-42,59;520,-7,-9;529,-1,24;544,-7,11;584,-16,15;695,-69,66;735,-23,30;770,594,-490;773,2,-19;775,-4,2;779,-17,0;789,-7,8;835,-616,573;845,-13,6;933,-13,19;965,-44,52;985,-35,42;1005,-4,7;1025,-11,14;1076,-76,98;1123,20,-23;1230,-100,118
