acesso||rua tupis|canaa|32415603|207,-2001936,-4409306
beco|sao|judas tadeu|sol nascente|32425165|96,-1999752,-4406541;98,-1,5;107,-9,7;109,-9,13;120,23,-28;150,-25,40
beco|sao|judas tadeu|vila ideal|32425155|199,-1999761,-4406565
beco|sao|judas tadeu|vila ideal|32425165|76,-1999749,-4406540;145,-15,14;146,6,-19;147,1,8;148,0,7;149,-12,14
beco||sao judas tadeu|vila ideal|32425165|80,-1999752,-4406573;87,29,28;89,8,6;376,-36,-41;388,7,-35;392,6,0
beco||tres|aguia dourada|32405522|93,-2002753,-4403069;94,10,-82;97,-1,2;99,-1,0
beco||tres|marilandia terceira secao|32404702|2,-2000813,-4404531;7,-16,-73;17,2,14;27,-2,3;35,0,-3;37,4,9;47,4,23;48,-2,-19;49,-1,6;57,3,25
beco||tres|parque elizabeth|32404611|1,-2000811,-4404526;3,-8,-7;5,-4,-15;9,-5,19;14,-6,-83;16,6,17;25,15,54;34,-13,-48;39,3,30
beco||vinte e tres|piratininga|32423505|17,-1999659,-4405527;18,-5,-36;20,5,-8;21,-4,52;22,-7,-36;24,14,15;26,-4,-22;44,-10,19
beco||vinte e tres|sol nascente|32423480|21,-1999842,-4405857;22,-18,-8;23,10,0;25,-8,4;258,6,5
rua|padre|jose campos taitson|centro|32400532|706,-2002092,-4406588;742,-21,-21;820,55,82
rua|padre|jose campos taitson|dea marly|32412067|699,-2002170,-4406598;701,23,-14;709,21,3;715,0,-5
rua|padre|jose campos taitson|estrela do sul|32400532|144,-2002618,-4406448;147,9,-11;160,20,9;163,13,-18;164,5,-3;168,-20,10;170,5,3;172,9,-8;183,7,-3;193,4,-15;202,13,9;207,4,-5;208,1,4;219,-2,-9;226,16,8;231,1,-3;238,6,3;250,10,-10;251,-16,-6;263,-31,20;266,57,-17;268,0,8;278,18,-12;297,14,-6;300,12,-1;324,1,3
rua|padre|jose campos taitson|parque estrela do sul|32400532|25,-2002708,-4406423;47,10,-8;59,19,-6;60,-16,15;62,-10,4;71,8,-12;72,15,11;79,13,-14;84,-6,0;87,16,-6;95,1,-8;107,18,-2;121,297,-82;352,-86,13;364,1,-21;376,20,23;388,1,14;391,10,-34;392,22,5;403,-14,-7;406,3,26;408,26,-6;418,28,-19;425,-56,1;436,33,-2;448,2,-14;485,37,-5;505,9,-1;517,16,-17;520,30,19;529,-32,-14;541,21,7;544,-9,-10;553,-39,-9;565,74,-14;568,-6,25;575,0,1;579,16,-13;586,12,1;589,-5,15;606,-76,-4;611,15,9
rua|padre|jose campos taitson|parque estrela do sul|32412067|628,-2002199,-4406589;644,15,-3;656,9,-6
rua|professor|vicente de oliveira torres|canal|32415250|500,-2001963,-4407846;520,12,-12;550,89,-93;590,44,19;600,58,-6
rua|professor|vicente de oliveira torres|pantana|32412190|2,-2001184,-4408399;422,55,-24;565,83,-24;665,41,-6
