alameda||raquel resende de carvalho|sao cristovao|37223000|741,-2111424,-4478069
avenida|presidente|medici|centro|37223000|20,-2114985,-4474471;34,-15,-67;63,-205,-400;146,182,361;156,3,-4;163,-20,-11;166,15,4;171,-26,-15;177,4,4;178,13,-2;188,-4,-6;198,-8,-10;203,-11,4;210,5,-9;215,-12,-1;222,8,-10;227,-14,-3;232,9,-6;237,-17,0;245,-3,-6;255,-11,-15;265,0,-1;276,9,-24;277,-5,17;289,-18,-15;294,12,-12;302,-4,-10;318,-2,-12;326,-11,-10;336,-2,-7;346,-6,-11;380,-15,-26;390,-7,-5;400,1,-9;415,-27,-49;433,5,21;445,-1,-8;451,1,-2;456,1,-9;467,-5,-7;470,-3,-4;476,-5,-3;477,4,-2;484,-5,-12;495,-5,-10;498,-2,0;503,2,-1;509,-2,-10;510,-12,-1;515,16,21;518,-20,-22;528,12,-13;555,-5,-28;570,-2,-12;577,-13,-2;580,10,-6;585,-2,-5;590,-3,-7;597,-5,4;609,-23,-18;630,23,-25;633,3,-1;649,-11,-24;652,4,3;660,-2,-7;665,0,0;672,-3,-7;675,-1,-5;682,0,-1;689,-11,-12;696,3,-14;713,-14,-11;714,8,2;726,-9,-4;732,-9,-12;737,-4,1;760,-10,-19;767,-9,5;796,-15,-26;805,-7,8;861,-42,-63;883,-5,-15;894,-4,-5;895,-2,-3;905,-9,-15;965,-12,-39;975,-7,-11;984,4,-9;998,0,-10;1009,-12,-9;1012,3,-4;1021,-9,-16;1032,5,-5;1033,-8,-4;1044,4,-5;1100,-11,-48;1130,-13,-36;1142,-8,-13;1154,-3,-3;1166,-4,-17
avenida|presidente|medici|jose mizael ribeiro|37223000|1439,-2115525,-4475696;1457,-8,-9;1467,-8,-13
avenida|presidente|medici|nossa senhora aparecida|37223000|13,-2115584,-4475804;1091,178,438;1123,-3,-29;1125,-3,-14;1145,-1,-9;1155,5,-7;1167,-12,-9;1179,-9,-3;1181,-4,-22;1191,-4,-3;1200,4,-16;1203,-13,-6;1215,1,-7;1234,1,-29;1237,-6,11;1247,-5,-11;1253,-7,-9;1260,12,-7;1275,-9,-5;1285,-8,-9;1299,-1,-13;1302,4,-14;1304,-1,-5;1309,-4,14;1324,-3,-28;1325,-5,6;1345,-5,-9;1365,-9,-29;1375,-11,-5;1405,-2,-22;1415,0,-9;1421,-12,-13;1439,-17,-13;1495,-16,-58;1521,-10,-14
avenida|presidente|medici|tiradentes|37223000|20,-2114915,-4474399;142,-24,-21
fazenda||campo limpo|serra|37223000|411,-2114687,-4474836
fazenda||do cajuru|casa|37223000|1,-2112144,-4474936;2,-4,-18
fazenda||do recreio|fazenda do recreio|37223000|15,-2115459,-4483010
fazenda||mantiqueira|pontal|37223000|21,-2117340,-4482624
fazenda||mato dentro|pontal|37223000|8,-2120217,-4482438
fazenda||moenda|serra|37223000|8,-2113114,-4480106
fazenda||recanto dos dourados|recanto dos dourados|37223000|70,-2111700,-4478088
fazenda||recanto dos dourados|serra|37223000|6,-2111296,-4478094;12,-355,135
fazenda||ribeirao|ribeirao|37223000|11,-2113970,-4483944
fazenda||vargem do trigo|serra|37223000|7,-2112852,-4479636
praca||do padroeiro|centro|37223000|66,-2115232,-4474905;80,-4,-5;98,-7,-18;108,-8,-19;118,7,12;130,-9,-18
praca||dos bandeirantes|centro|37223000|2,-2115461,-4474941;6,-3,61;22,-3,-38;38,1,15;48,-1,3;96,-25,43;106,33,3;126,20,8;136,4,4;164,19,9;184,13,2;198,13,19;214,10,3;230,8,6;236,-12,-27;252,-4,-4;259,-63,-97;270,49,82;290,-9,-18;308,-8,-10;356,-28,-38;372,-1,-3
praca||fernao dias|centro|37223000|26,-2115235,-4474851;42,9,52;54,0,-7;60,0,-5;66,-4,-3;70,12,40;78,-19,-59;88,3,-7;114,-36,24;154,-36,3;164,-9,1;180,-19,2;184,43,-1;200,-108,108;208,17,-40;216,-32,65;248,67,-131;292,22,51;300,6,6;342,40,-1;352,6,-6;372,27,5
praca||jose batista de carvalho|sao sebastiao|37223000|22,-2114420,-4473774;38,-13,-1;42,7,-3;44,-11,4;52,-11,2;76,-24,-1;96,-16,0;114,-15,5;128,-7,-1;134,-13,4;136,-5,0;146,-3,3;152,-8,6;160,-4,1;170,-11,6;180,-2,6;182,-9,6;196,-5,-1;206,-9,9
praca||marcio antonio braga|centro|37223000|30,-2115243,-4474620;37,-8,24;80,4,-44;87,-23,5;88,18,-11;98,-2,-10;101,-18,5;115,-20,-2
regiao||da ressaca|pontal|37223000|14,-2117951,-4482337
rodovia||mg 332|tiradentes|37223000|180,-2114956,-4474351
rua|dona|regina necolau|centro|37223000|28,-2115239,-4474728;33,23,3;45,2,11;180,-11,-9
rua|dona|regina necolau|tiradentes|37223000|274,-2115180,-4474503;275,5,-4;285,0,17;297,5,11;322,-8,20;327,12,6
rua|doutor|ari alves carvalho|tiradentes|37223000|40,-2114997,-4474453
rua|doutor|sebastiao resende|varzea|37223000|8,-2115149,-4474808;26,18,-14;27,3,-6;34,2,4;42,8,5;50,8,-7;82,26,-12;94,14,-18;100,7,5;102,-22,1;110,31,1;118,-1,-9;119,-2,3;126,17,-8;127,-12,0;134,22,-1;135,-12,-4;142,8,14;143,-1,-13;150,11,6;151,-2,-11;158,7,5;159,0,-4;166,3,2;167,-1,-11;174,9,10;175,1,-7;182,8,-4;183,-2,9
rua|intendente|abelard batista teixeira|nossa senhora aparecida|37223000|29,-2115562,-4475706;30,-7,-4;37,1,7;38,-3,-12;45,-11,19;55,-4,3;65,-8,3;66,-3,-13;73,-3,17;83,-5,5;84,-1,-11;94,-9,5;95,-1,16;101,-2,-1;104,0,-12;108,15,-11;109,-24,30;110,42,-38;112,-39,23;119,-8,19;120,-6,-13
rua|maestro|antonio tome|centro|37223000|27,-2114993,-4474604;65,-4,-37;75,0,-10;87,-3,-9;97,2,-8
rua|maestro|antonio tome|varzea|37223000|101,-2115005,-4474721;102,1,-13;110,1,2;123,-4,-3;131,6,-7;139,-3,-16;147,7,-2;155,-6,-14;163,4,2;171,1,-3;179,4,-14;187,1,-10;195,1,-17;224,2,-18;232,1,-17;291,6,-58;303,5,1
rua|maestro|jose pedro teixeira|tiradentes|37223000|11,-2115074,-4474528;14,-5,11;21,5,2;24,-1,10;31,0,-1;34,-3,10;39,16,70;41,-13,-71;44,-1,10;47,14,70;48,-8,-5;51,-3,-112;54,-2,54;55,14,66;58,-4,2;61,-5,-70;63,13,80;64,-16,-72;68,10,74;71,-9,-70;73,13,74;74,-10,-63;79,12,73;80,-4,-4;81,-8,-72;84,-4,10;89,15,72;90,-1,-2;91,-8,-66;99,10,81;100,-2,-4;112,0,15;114,9,21;119,-6,-21;122,-2,15;127,8,-10;130,-4,6;134,1,12;139,2,-12;143,-1,8;152,2,8
rua|maestro|romeu resende de aguiar|varzea|37223000|8,-2114986,-4474923;16,-3,1;28,-15,1;29,-2,4;39,-4,-1;42,-3,-6;52,-9,-8;62,-11,7;72,-4,3;78,-16,-6;86,-3,-2;100,-12,-1;112,-15,-1;117,-2,4;126,-8,-11;127,-3,7;132,-6,-4;142,2,4;161,-24,3;164,-5,-13;171,-5,13;174,-4,-9;178,97,14;188,8,3;191,-111,-15;196,122,14;204,-141,-19;222,164,18
rua|ministro|gabriel passos|sao sebastiao|37223000|11,-2114403,-4473784;19,-5,-10;40,12,-21;79,-28,-31;80,5,-11;92,0,-4;95,-13,10;100,5,-14;106,3,-11;126,-11,-13;140,-20,-5;145,-3,10;154,-4,-17;157,-9,3;165,-5,-11;173,-6,8;181,-12,-11;193,-9,-5;201,-7,-6;211,-4,-6;223,-10,-8;231,-2,-1;243,-14,-11;255,-10,-11;277,-10,-8;283,-4,-4;289,-8,-9;299,-2,-1
rua|prefeito|adalberto de paula pereira|centro|37223000|10,-2115157,-4474803;20,-1,16;40,-6,17;50,0,13;70,-11,29;103,-6,10;135,-21,12;181,-45,24;186,2,-3;193,-3,5;197,-6,5;200,-8,-44
rua|prefeito|alberto ribeiro de carvalho|varzea|37223000|118,-2115180,-4474987;130,5,0;142,16,-6;144,13,0;148,-6,-4;156,10,-4;176,16,12;189,14,-9;205,10,2;207,0,2;209,-1,2;216,15,17;219,6,-21;227,-2,15;228,6,2;235,3,2;242,2,5;250,11,5;253,1,-3;261,10,1;268,-8,9;271,14,-5;276,1,10;279,9,-3;287,13,0;288,-12,4;295,18,2;300,-10,3;303,17,-5;306,-2,8;309,1,-10;325,9,11;331,9,1;337,2,-5;343,6,7;351,9,2
rua|prefeito|antonio bolognani|varzea|37223000|14,-2115110,-4474768;25,-4,-7;32,15,2;33,-12,-11;38,17,6;41,-7,-1;46,9,-2;49,-2,-4;80,25,-2;87,5,-17;88,3,14;96,12,-9;101,-5,-5;104,9,5;109,3,-9;112,3,9;117,3,-16;120,9,15;125,-7,-15;128,12,9;133,-4,-12;141,3,0;149,8,0;157,10,-10;165,7,-2
rua|prefeito|francisco braga neto|jose mizael ribeuro|37223000|28,-2115543,-4475671;42,-3,-1;48,-7,7;56,-7,3;64,-6,5;74,-12,3;92,-8,11;100,-5,2;110,-9,6
rua|prefeito|francisco braga neto|nossa senhora aparecida|37223000|31,-2115545,-4475662;39,-7,5;42,0,-4;47,-9,0;55,-9,11;63,-4,2;71,-7,6;79,-7,5;87,-5,2;95,-4,6;103,-11,3;1415,98,-36
rua|prefeito|joao paula de resende|nossa senhora aparecida|37223000|22,-2115520,-4475631;25,-3,6;30,-3,-2;31,-3,10;40,-7,-8;43,2,11;50,-13,-1;53,11,4;58,-10,-6;61,-2,11;68,-7,-7;70,-10,-1;71,7,10;79,-3,4;86,-7,0;89,-11,7;94,3,-6;97,2,10;104,-8,-3;107,-11,9;112,5,-6
rua|prefeito|sebastiao rodrigues dos santos|centro|37223000|6,-2115289,-4474961;10,58,-9;14,-65,13;30,-14,13;36,-5,3;39,69,-35;44,-76,33;97,127,-57;103,-181,88;110,3,-12;113,-13,12;115,193,-90;117,17,3;125,-209,96;126,0,-12;131,222,-78;137,-240,92;141,250,-104;147,-258,107;151,260,-113;158,-264,101;159,276,-97;169,12,-1;179,8,-3;322,-302,121
rua||7 de setembro|centro|37223000|41,-2115333,-4474852;42,5,-6;52,-2,-5;55,5,27;68,-9,-40;73,-9,4;81,-5,-26;86,8,6;96,1,-13;97,-5,1;112,2,-8;115,-13,-6
rua||alexandre pinto de resende|tiradentes|37223000|8,-2115126,-4474514;9,19,-11;17,-11,24;18,-5,-3;19,18,88;27,-13,-77;28,-4,-2;31,18,93;36,-24,-84;37,12,6;39,12,91;40,-6,-9;45,9,8;46,-22,-86;49,7,5;52,9,87;54,-14,-81;59,7,0;63,15,98;64,-6,-7;66,-15,-85;69,-6,-61;75,29,165;76,-20,-87;80,15,86;89,-12,-85;93,18,92;94,-5,3;99,4,13;104,-2,0;111,7,7;120,-6,2;123,5,6;130,-3,7;140,-1,10;150,2,13
rua||antonio quirino da silva|nossa senhora aparecida|37223000|11,-2115645,-4475794;25,-5,-9;26,10,2;39,-10,-5
rua||brasil|varzea|37223000|26,-2115045,-4474707;28,-74,-255;29,7,3;31,57,237;34,10,-2;41,-16,-11;42,11,6;50,-5,-7;51,-9,-4;58,7,-8;66,-1,-5;71,-8,-1;74,6,-4;79,-16,-16;82,9,7;116,-13,-33;132,-2,-9;133,-14,1;150,4,-20;189,-18,-178;192,7,142;199,-3,-8;200,4,4;208,1,-9;209,-8,-3;216,4,-3;217,-4,-1;224,2,-12;225,-6,7;232,7,-13;235,-7,3;240,7,-8;248,-2,-10;256,-3,-5;305,-4,-53;314,6,-7
rua||cinco|nossa senhora aparecida|37223000|70,-2115831,-4475903;328,1,-15
rua||da serra|nossa senhora aparecida|37223000|30,-2115413,-4475485
rua||do padroeiro|centro|37223000|33,-2115249,-4474854;53,-2,-18;75,-10,-14;172,-19,-95;190,-4,-13;212,-4,-21;217,-7,-7;222,7,-1;227,-9,-12;230,6,5;237,-7,-12;240,8,0;245,-8,-9;254,8,-5;261,-6,-7;275,4,-16;278,1,5;287,5,-16;295,0,-10
rua||do pinheiro|centro|37223000|20,-2115336,-4475150;30,-11,8;40,-7,7;52,-10,5;61,1,6;62,-9,2;76,-14,12
rua||do porto|sao sebastiao|37223000|19,-2114396,-4473855;35,20,-2
rua||dois|nossa senhora aparecida|37223000|132,-2115715,-4475893;133,-31,6;142,24,-2;162,-12,6;202,-50,28;203,-29,7
rua||edson gameleira de oliveira|centro|37223000|51,-2115435,-4475320
rua||edson gameleira de oliveira|nossa senhora aparecida|37223000|32,-2115425,-4475325;48,-7,5
rua||i|nossa senhora aparecida|37223000|12,-2115575,-4475766;22,-10,7;32,-9,2;42,-7,8;54,-8,6;55,-1,9;67,-11,4;74,-5,-7;79,1,12;86,-13,-3;91,1,8;98,-1,-7;101,-11,11;108,-1,1;111,-7,0;118,-2,0;121,-4,9;128,-1,-1
rua||jose pinto ramalho|nossa senhora aparecida|37223000|12,-2115591,-4475807;22,2,5;25,-15,4;37,-4,4;42,-9,0;49,0,8;61,-10,6
rua||luiz jorge nicolau|nossa senhora aparecida|37223000|35,-2115489,-4475524;44,-9,9;45,-8,-5;56,-4,9;66,-7,11;75,-4,-7;76,-2,3;85,-13,2;95,-6,8;742,-10,-1
rua||l|nossa senhora aparecida|37223000|7,-2115703,-4475748;23,-11,-7;33,-2,-13;45,-1,-6
rua||marcio antonio braga|centro|37223000|125,-2115284,-4474672;135,-3,-3;144,-2,-11;145,0,3;154,-2,-10;159,-7,-4;171,-5,-6;181,-1,-20;188,-6,14;193,3,-19;199,-2,-9
rua||maria coelho de resende|tiradentes|37223000|12,-2115034,-4474524;22,0,7;32,4,9;42,0,6;52,-1,12;61,13,144;62,-12,-135;70,20,114;71,-3,-9;72,-19,-95;77,9,6;79,13,99;82,-19,-95;89,8,11;92,-5,-1;116,2,11;126,-1,17;136,-1,15;148,-7,11;158,11,8;168,4,5;178,-1,17;190,1,7;210,-4,27
rua||milton caputo flores|centro|37223000|220,-2115228,-4474536
rua||minas gerais|sao sebastiao|37223000|7,-2114458,-4473871;19,-7,3;26,-8,-4;29,0,5;39,-14,8;47,-10,6;50,13,-16;62,-14,8;63,-8,9;74,2,-5;75,-8,8;83,-10,6;84,4,-7;90,-10,2;99,-9,11;100,6,-7;102,-7,-16
