acesso||sem denominacao|barroca|37175000|8,-2095517,-4584493
avenida||felicidade vilela|planalto|37175000|72,-2094805,-4582012;82,-1,36;370,-27,-63
avenida||felicidade|planalto|37175000|75,-2094563,-4581834;86,-26,-30;96,-8,-2;105,-179,-119;115,11,-2;116,147,104;126,-6,-7;127,-7,10;130,-6,-18;135,1,5;145,-14,-4;176,-35,-31;182,108,74;185,-109,-65;195,-6,-7;215,-27,-18;225,-7,-8;230,15,7;245,-44,-30;250,31,20;255,-35,-32;595,25,27;700,185,132;730,-31,-25
avenida||jose orlando mendes|bel vista|37175000|157,-2093540,-4582632;167,-32,-7;172,6,4;189,15,0;207,31,39
avenida||jose orlando mendes|bela vista|37175000|67,-2093621,-4582689;75,-21,-10;87,8,8;107,25,11;122,10,18;128,6,13;133,-2,-15;141,6,6;150,1,17;151,10,-10;166,0,14;176,7,8;192,15,8;198,4,9;212,6,5;226,11,8;238,10,12;242,1,1;260,18,12;298,14,15
avenida||jose orlando mendes|centro|37175000|3,-2093669,-4582722;13,7,2;19,9,8;98,27,31
avenida||jose vilela da costa|aeroporto|37175000|54,-2094202,-4582984;56,-16,-17;404,-111,66;434,9,-11;444,12,-5;454,10,-2;464,8,-7;514,41,-19;524,14,-10;534,17,-12;554,1,0;614,51,-17;634,7,-3;644,7,-4;654,13,-5;674,15,-8;710,52,-29;730,5,-6;736,9,-1;740,5,-2;750,9,-9;766,10,1;770,16,-7;780,3,-5;788,6,-6
avenida||jose vilela da costa|novo horizonte|37175000|423,-2094345,-4582938;429,10,-5;439,5,-10;449,9,-4;455,14,-7;457,5,-7;485,23,-8;505,29,-11;515,12,-12;517,-7,14;525,7,-19;535,10,-2;545,13,-4;555,-2,-1;615,51,-20;625,7,-6;635,6,-6;655,11,-6;685,23,-12;715,41,-15;725,6,-5;737,1,-4;745,19,-13;753,-4,9;755,17,-17;775,16,1;785,3,-8;795,7,-6;835,31,-16;845,9,-5;855,7,-1;865,14,-12;870,-16,33;875,21,-34;885,11,-7;890,-16,31;902,16,-10;905,7,-25;924,15,12;955,6,-28;965,13,-2;980,15,6;1025,-6,-10;1039,6,-10;1049,4,-3
avenida||jose vilela da costa|rosario|37175000|1044,-2093798,-4583194;1074,23,-26;1084,-1,-4;1094,4,-7;1174,61,-57;1184,3,-5
avenida||jose vilela da costa|santa maria|37175000|6,-2094688,-4582742;9,-2,-28;16,18,8;19,-10,-9;26,19,9;29,-9,-12;36,17,5;39,-13,-11;46,18,6;49,0,-11;56,4,11;59,-1,-11;66,27,-2;69,-15,-5;76,1,11;79,3,-17;80,5,18;89,3,-22;99,10,-9;100,3,21;110,12,-6;115,-6,-16;125,7,-1;130,19,10;133,-14,-17;139,9,-3;149,9,-6;150,5,21;159,2,-21;160,1,14;169,5,-17;174,11,14;179,1,-24;190,13,17;194,4,-7;211,24,-33;222,-1,25;239,18,-26;260,1,17;262,5,-9;264,13,-6;269,-10,-11;278,26,9;285,-12,-14;286,21,4;295,-16,-8;302,43,-2;314,-4,3;315,-14,-16;325,0,0;335,0,0;336,21,11;345,-5,-18;346,14,8;354,10,-4;358,13,-4;362,7,-1;367,6,-3;374,13,-6;375,-37,-10;380,26,-7;385,-15,7;395,4,-9
avenida||xv de novembro|centro|37175000|10,-2093982,-4582550;16,-9,10;19,5,-10;26,-16,7;29,7,6;35,-5,5;36,-2,-8;43,-5,12;44,-1,3;55,-10,9;56,2,-6;66,-6,2;67,2,6;86,-14,12;95,0,9;104,-10,1;108,-5,6;112,-3,0;115,4,12;120,-14,0;127,4,8;139,-3,8;140,-6,-6;144,-3,-6;145,3,19;148,-11,-8;155,3,17;158,-6,-10;161,-9,25;173,7,4;183,-7,-6;188,-12,-1;200,-6,14;205,1,2;206,-20,17;213,13,-12;220,-6,0;255,-8,27;256,-9,-8;260,-4,9;270,-7,10;272,-5,33;275,14,-29;292,-18,27;306,-26,13;316,-3,-4;320,15,-8
