acesso||rodovia mg 050|vila santa maria|35680108|10,-2006128,-4460906
rodovia||mg 050|fazendinha|35680001|95,-2007432,-4464017
rodovia||mg 050|piaguacu|35680001|483,-2005933,-4454973
rodovia||mg 050|santa monica|35680108|49,-2006167,-4456397;85250,-5,31;85260,3,-19
rodovia||mg 050|universitario|35680001|88,-2006008,-4459754
rodovia||mg 431 km36 8|calambau|35681000|38,-2002888,-4458671;42,24,95
rodovia||mg 431|barragem benfica|35681000|117,-2012277,-4453801;421,-2537,663;886,-143,-381
rodovia||mg 431|calambau|35681000|34,-2002017,-4459352;35,-1012,761;37,2185,-1261;38,-1975,1361;40,-435,97;42,1058,-470;43,-1386,782;44,1910,-510
rodovia||mg 431|carneiros|35681000|40,-1999242,-4460038;115,1854,-155
rodovia||mg 431|condominio lago das garcas|35684899|4,-2011913,-4453928;16,-87,-22
rodovia||mg 431|condominio lago do sol|35680037|1,-2014128,-4452516;2,73,-72;4,-8,95;6,38,29;13,133,-58;14,19,-15;15,11,-13;17,20,-39;18,18,-9;19,-1,-44;21,3,-20;22,2,-18;24,41,-27;25,9,-28;29,71,-85;30,-61,48;31,0,14;32,-24,32;33,-23,22;37,-43,80;39,-44,9;40,167,-36;41,-188,62;42,-17,-10;43,-20,25;45,-32,1;46,-28,-11;47,-3,3;48,-22,-9;49,-13,-18;50,126,32;51,45,9;52,-28,32;55,-45,54;56,-29,16;57,-18,-3;59,-38,-12;62,-51,-48;63,30,-58;64,11,-1;65,18,5;67,37,16;68,261,-236;69,-200,247;82,-141,-50;126,-6,112;370,284,-217
rodovia||mg 431|conjunto habitacional jadir marinho de faria|35681245|45,-2005732,-4457059
rodovia||mg 431|fazenda da chacara|35680081|46,-2006507,-4457327;467,67,23
rodovia||mg 431|morro do engenho|35681000|85,-2010521,-4456018;2782,471,-129
rodovia||mg 431|olimpio moreira|35680783|48,-2007451,-4456583
rodovia||mg 431|paulas|35680001|3,-1997003,-4459925;4,-27,82;5,-1522,-16;38,-691,-181;65,-267,-264;67,160,-39;70,237,-49;72,-317,252;74,3,-38;81,2454,23;90,-664,-90
rodovia||mg 431|paulas|35681000|13,-1997391,-4460225
rodovia||mg 431|regiao fraga|35681000|58,-2014956,-4452691
rodovia||mg 431|vila santiago|35681245|1,-2007160,-4456952;27,101,-143;29,-5,7;30,-1,2;36,-227,348;143,129,-208
rodovia||mg 431|vila tavares|35681245|23,-2007050,-4457050;117,49,-54;121,-12,22;125,-3,-2;127,-3,-1
rua||01|retiro dos farias|35681000|3,-2005359,-4470164;15,-45,-153;20,-51,-120;23,5,-7;25,76,252;30,-89,-234;35,81,213;40,262,165;45,-280,-185;50,-101,-161;55,110,172;68,179,58;70,-299,-214;73,15,-20;75,73,113;84,101,-63;85,-111,45;90,81,-87;95,-111,53;101,84,-79;105,-28,56;114,-141,-4;115,120,10;117,-124,-18;124,124,-110;125,93,120;185,-95,-123;195,-9,-9;205,-19,-20
rua||02|retiro dos farias|35681000|10,-2005348,-4470298;20,-14,-4;30,-21,-2
rua||06|retiro dos farias|35681000|13,-2005431,-4470505;19,19,-20;22,5,-3;26,6,-10;27,-2,1;45,32,-40;103,-49,58
rua||07|retiro dos farias|35681000|22,-2005298,-4470527;32,-79,-76;72,-101,-113;82,-16,-16;95,0,0;102,-11,-14;110,-8,-8;112,41,-20;116,-1,65;118,144,11;119,-60,76;120,105,112;132,-258,-277;142,-6,-10
rua||acesso a mg 431|centenario|35681000|45,-2005342,-4457060
rua||sem denominacao 1|brejo alegre|35681996|7,-2001666,-4465934;10,54,-139;22,-29,68;90,-17,35;93,38,-94;95,-79,174;105,-76,144;106,-55,75;107,18,-55;108,249,-458;122,-41,96;135,-11,8;280,45,-86;285,-5,-4;290,12,-13;379,101,-308;495,92,-33;500,2,14;551,60,-182;555,22,-23;593,-88,201;615,102,-240;890,-406,830;910,100,-220;918,410,-732;920,3,-2;995,137,-255;1505,-263,473;2794,507,-765
rua||sem denominacao 1|cachoeirinha|35684899|20,-2016525,-4461374
rua||sem denominacao 1|cachoerinha|35681994|7,-2016477,-4461346;10,-430,247;15,434,-245;20,1,-7;21,23,-26;22,-3,4;25,-49,69;30,-193,-11;33,149,33;35,3,2;39,-8,4;40,82,-75;46,-103,81;48,-11,-28;50,206,-45;55,-202,77;56,195,90;60,338,-177;65,-532,100;69,13,520;70,524,-629;79,-635,56;80,354,-204;81,-298,266;85,-1,4;90,397,-250;98,-419,263;100,218,-265;105,272,150;110,-161,-304;120,78,137;125,71,168;130,-154,-316;140,85,204;150,-23,-55;160,31,159;170,-29,4;175,8,5;179,1,-5;180,-30,22;195,-41,61;200,-94,146;205,49,-144;206,-236,-4;225,221,66;231,-17,39;235,8,-17;240,-13,42;250,-6,5;255,-9,17;257,17,50;270,-30,-14;273,5,5;275,11,7;279,5,18;280,-28,-24;285,2,23;295,-3,21;297,22,-54;300,-28,49;305,-5,7;310,-16,18;315,22,-9;320,-29,19;330,-8,16;340,-1,8;345,-7,26;355,-6,11;357,-13,27;359,22,-37;360,-24,33;362,-4,9;365,2,-3;375,-5,12;380,-9,-1;386,-4,29;390,-2,-8;400,-4,15;405,-3,16;410,-9,-13;422,-4,12;430,-11,57;440,0,6;446,-8,46;630,415,-614;3810,-210,117;9999,105,-111
rua||sem denominacao 1|condominio jussara|35681000|40,-2011955,-4454272
rua||sem denominacao 1|joao paulo ii|35684899|4,-2006973,-4461284;8,0,0;30,65,-202;34,-10,5;42,-2,0;46,-8,3;56,-13,2;58,12,-3;132,-68,13
rua||sem denominacao 1|sao jose de pedras|35681995|45,-2000995,-4465239;78,164,154;102,7,6;115,121,19;116,-101,-18;118,249,29;130,212,315;143,-847,-296;179,-13,38;200,19,-43;364,-7,55;400,-9,-25
rua||sem denominacao 1|sao jose de pedras|35681996|4,-2001679,-4465924;8,14,-18;56,-64,26;60,26,9;66,-54,-25;76,12,8;90,40,37;110,-3,9
rua||sem denominacao 1|vale dos ipes|35681386|13,-2011902,-4460009;77,-37,-68;84,11,14;101,-14,-20;104,3,-1;121,-14,-20;141,-14,-8;146,14,0
rua||sem denominacao 2|brejo alegre|35681996|40,-2001624,-4465871;46,-11,13;55,18,-17;60,-23,21;561,25,-77;839,49,91;910,5,5;920,-15,-29;930,-4,-13;940,-30,-45;952,-17,0;963,1,-32;979,-12,-8;989,-4,-8
rua||sem denominacao 2|cachoerinha|35681994|4,-2016905,-4460855;20,-8,-50;40,-5,-18;60,37,11;70,6,2;80,-3,31;90,-4,5;110,-25,21;120,144,-87;125,70,-56;130,-165,92;140,15,-29;150,-10,28;160,51,19
rua||sem denominacao 2|cidade nova|35681065|67,-2009932,-4459034;68,3,-7;97,15,-13
rua||sem denominacao 2|condominio jussara|35681000|25,-2011995,-4454232;35,-18,34
rua||sem denominacao 2|sao jose de pedras|35681995|35,-2000743,-4465209;37,-16,-2;41,-16,-3;51,-13,-4;129,-245,262
rua||sem denominacao 2|vitoria|35684899|138,-2005695,-4454044
rua||sem denominacao 3|barragem benfica|35681000|140,-2012302,-4453882;142,-17,-13;144,-5,-1;150,1,-3
rua||sem denominacao 3|brejo alegre|35681996|10,-2001269,-4467092;21,-9,-64;25,7,25;90,52,11
rua||sem denominacao 3|cachoerinha|35681994|30,-2016737,-4460861;50,29,-34;80,11,34;90,-69,32;120,-74,85
rua||sem denominacao 3|cidade nova|35681065|59,-2010039,-4459057;60,16,5;61,9,3;62,7,4;63,8,3;64,19,9;65,3,-3;66,16,-1
rua||sem denominacao 3|sao jose de pedras|35681995|131,-2001186,-4465021
rua||sem denominacao 3|vale dos ipes|35681386|125,-2012026,-4460018;170,-23,-67;205,-2,5;2004,30,67
rua||sem denominacao 4|barragem benfica|35681000|135,-2012344,-4453866;136,28,14
rua||sem denominacao 4|brejo alegre|35681996|8,-2001435,-4466561;10,-93,-119;14,63,106;16,7,-3;30,-13,-11;40,11,-52;50,-9,-2;51,8,-21;53,-30,55;55,28,-58;60,22,-22;65,-7,-1;70,4,13;78,32,-104;80,-22,84;90,9,-10;95,-4,-15;115,23,-29;140,-24,-38;200,-122,4;305,-29,67;485,186,207
rua||sem denominacao 4|cidade nova|35681065|28,-2010105,-4458971;29,10,-9;30,5,-9;31,9,-8;32,5,-12;33,4,-10;34,5,-7;35,12,-11;36,4,-8;37,6,-5
rua||sem denominacao 4|sao jose de pedras|35681995|130,-2001202,-4464874;131,31,5
rua||sem denominacao 4|vitoria|35684899|34,-2005794,-4454108;48,-8,13;60,-9,15;84,-4,3;120,-2,5
rua||sem denominacao 5|barragem benfica|35681000|50,-2012420,-4453780
rua||sem denominacao 5|brejo alegre|35681996|20,-2001996,-4466363;32,288,-32;40,1,-2;41,-20,7;42,-2,2;45,2,-4;48,-20,24;50,-109,-5;51,115,-5;54,-38,33;56,-120,92;57,47,-45;58,67,-40;59,-8,0;60,-157,-46;61,193,12;62,-34,38;64,-79,47;65,23,-20;67,-25,20;69,-21,15;70,57,-80;71,-44,75;72,5,-2;74,-19,17;75,-16,2;77,14,-5;79,-44,29;80,-48,-108;81,21,128;83,-6,4;84,66,-40;85,-76,50;86,33,-18;90,10,-170;92,-22,184;99,11,-21;100,60,-474;115,-113,577;120,-19,-87;125,4,-20;130,-41,-39;135,-14,-16;154,-148,-434;170,271,501
rua||sem denominacao 5|sao jose de pedras|35681995|121,-2001178,-4464945
