acesso||avenida pedro henrique krambeck|sao pedro|36036445|2075,-2177512,-4338863
avenida|presidente|juscelino kubitscheck|benfica|36092060|8020,-2167690,-4343249;8040,74,-21;8400,34,-6;9000,30,1;9040,56,-1;9080,18,-1;9100,28,14
avenida|presidente|juscelino kubitschek|barbosa lage|36083750|2635,-2172146,-4339680;2653,18,-8;2655,12,-7;2657,0,3;2677,39,-21;2685,96,22;2693,-22,-22;2699,-5,-6;2701,-88,-3;2707,91,0;2713,-3,-6;2721,3,-11;2727,-6,-2;2735,-27,17;2743,-1,-8;2751,1,-6;2765,2,-28;2771,3,-1;2773,4,-3;2775,6,-1
avenida|presidente|juscelino kubitschek|barbosa lage|36085000|2945,-2171860,-4340100;2955,53,-104;3045,-36,8;3081,405,-938;3801,61,-21
avenida|presidente|juscelino kubitschek|barreira do triunfo|36092060|10314,-2166003,-4343186;10325,27,-3;10334,-45,5;10338,27,10;10354,14,6;10355,43,-15;10364,-2,12;10414,58,4;10424,20,-23;10454,37,10;10486,66,-11;10496,22,-3;10508,20,-1;10518,4,0;10541,30,-23;10563,-74,14;10578,60,4;10592,45,0;10604,11,-7;10611,-23,-12;10620,34,12;10626,8,-6;10636,12,-18;10640,-8,23;10643,-12,-16;10662,32,0;10723,20,-12;10725,15,4;10727,-17,-5;10730,36,3;10732,6,5;10734,10,32;10736,-5,-23;10738,4,-10;10741,-13,-26;10745,26,17;10749,-14,-4;10750,15,38;10753,-3,-52;10759,11,6;10776,7,27;10800,40,32;10805,10,-39;10826,-9,16;10839,56,-27;10840,-38,4;10850,12,1;10858,9,-7;10862,9,2;10869,31,-35;10880,-28,49;10886,58,-10;10899,-33,-22;10900,6,16;10910,6,-3;10920,8,13;10960,35,22;10964,38,-45;11008,2,-12;11012,8,29;11016,3,-25;11018,17,8;11022,1,-13;11028,6,-5;11034,12,67;11041,64,-73;11053,0,-58;11066,-45,68;11069,66,-24;11076,-44,19;11081,59,-22;11090,-43,8;11092,-3,3;11093,60,-12;11099,2,-26;11113,-331,147;11119,350,-125;11126,-69,21;11129,64,-25;11183,74,-17;11271,78,-7;11273,10,0;11301,9,-13;11423,-24,16;11723,150,-6;12000,-131,241
avenida|presidente|juscelino kubitschek|barreira do triunfo|36092235|1299,-2166020,-4343209;10205,-110,-36;10215,20,2;10240,-18,44;10269,84,-4;10279,10,-14;10289,8,8;10292,-16,13;10299,30,-8;10311,24,-2
avenida|presidente|juscelino kubitschek|benfica|36090000|417,-2169186,-4343245;815,370,-179;819,10,-7;823,6,-3;5577,-1028,887;5645,29,-45;5653,15,-25;5677,24,-32;5679,7,-4;5685,17,-29;5695,0,0;5699,22,-36;5703,4,-7;5713,10,-12;5723,7,-10;5739,16,-26;5749,8,-20;5969,159,-221;5971,-2,-3;5973,-12,-9;5979,16,-2;6000,46,-41;6030,24,-30;6040,3,-1;6050,8,-11;6060,18,-12;6190,46,-34;6200,20,-2;6210,11,-2;6220,5,1;6225,2,-41;6229,19,7;6230,-1,23;6240,6,-8;6242,1,-5;6244,12,5;6245,-7,-25;6246,26,25;6263,-9,-23;6267,23,-12;6313,27,-6;6315,5,1;6325,16,8;6329,-9,-15;6341,9,-2;6353,10,-8;6365,15,-4;6389,8,-15;6401,14,3;6413,16,-4;6425,-3,-8;6452,23,4;6453,11,-8;6465,20,-14;6471,-3,-9;6479,29,-13;6491,-5,26;6497,14,10;6503,-2,-21;6513,14,-3;6519,14,-4;6529,5,-3;6537,9,-3;6563,39,-12;6573,2,39;6575,-5,-63;6595,7,35;6763,144,-77;6771,2,3;6773,9,11;6851,61,-23;6863,14,3;6869,4,-23;6899,-31,17;6911,99,-38;7029,155,-74;7685,-985,462;7695,6,-4;7800,109,-90;7900,4,-4;8286,456,-140;8875,138,-104;8895,4,-6;8899,2,10
avenida|presidente|juscelino kubitschek|benfica|36092060|30,-2168157,-4343446;7736,12,-6;7756,21,19;7778,13,7;7786,-16,37;7788,11,20;7790,21,-52;7802,1,-1;7812,20,12;7860,28,5;8710,-32,-7
avenida|presidente|juscelino kubitschek|ceramica|36081000|190,-2173687,-4338882;200,8,-14;210,5,-9;214,7,6;218,-8,-16;222,-3,-1;230,0,-5;234,18,-1;240,1,-4;242,-8,-13;246,2,5;248,7,-4;250,3,-1;273,-41,78;1129,54,34
avenida|presidente|juscelino kubitschek|francisco bernardino|36099899|54,-2173560,-4339244;109,75,-183;113,27,-16;164,8,-8;270,-192,489;274,-3,-7;276,7,-2;284,-3,-1;290,-23,-7;294,23,15;302,-5,-32;313,12,-7;314,0,1;315,1,-13;324,-1,1;325,-13,-2;330,18,-4;340,-3,-4;350,2,-12;360,6,-6;370,8,-11;371,-5,2;373,-3,2;380,12,-19;385,-15,-14;395,21,-32;438,19,-3;442,1,-29;443,-3,-19;446,11,-5;448,-6,-10;450,2,1;451,-13,-22;452,23,15;490,5,-33;500,-28,20;505,17,-47;510,-18,15;514,-14,137;515,43,-164;520,-16,70;524,-25,78;527,38,-162;530,-21,164;531,37,-161;558,-5,4;559,-51,127;567,22,-4;584,36,-149;604,-2,-19;639,-5,29;640,-15,49;641,6,-57;670,6,16;673,63,-146;675,12,13;677,9,-15;681,7,-3;685,-3,-3;687,-6,8;720,-43,84;730,-2,-6;735,-2,55;745,-22,-19;750,11,-42;755,5,48;760,17,-49;765,-17,40;775,23,-80;777,-17,79;778,11,-43;782,14,0;784,4,-5;785,-20,41;787,2,-1;789,124,-184;790,-112,117;791,-21,81;795,-10,-36;830,89,-108;850,19,-2;879,74,-59;900,-12,69;1445,-265,396;1930,212,-423;1932,0,5
avenida|presidente|juscelino kubitschek|jardim natal|36083750|107,-2173143,-4339577;921,-113,13;943,68,1;1035,89,-28;1039,15,-5;1055,2,2;1063,20,-2;1293,-56,16;1295,-21,5
avenida|presidente|juscelino kubitschek|jockey clube|36081000|2595,-2172180,-4339667;2777,-71,13
avenida|presidente|juscelino kubitschek|jockey club|36099899|226,-2172704,-4339635;1555,2,1;1711,84,-8;1821,54,-2
avenida|presidente|juscelino kubitschek|nova era|36087000|4011,-2171128,-4341444;4201,304,-157;5197,514,-433;5229,24,-20;5239,9,-11;5249,0,0;5259,5,-9;5269,0,2;5271,0,0;5279,0,0;5301,21,-28;5311,4,2;5321,0,2;5339,11,-22;5431,75,-63;5503,98,-93;5507,27,-28;5511,2,-1;5515,5,-6;5519,5,-5;5523,2,-3;5527,-3,1;5531,35,-37;5533,0,0;5539,56,-58;5553,-2,-57;5555,-164,230;5571,230,-262;5657,-251,283;5661,-20,18;5671,5,-3;6001,-70,61;6021,12,-15
avenida|presidente|juscelino kubitschek|nova era|36090000|4499,-2170772,-4341630;4785,91,-46;4815,-3,0;4825,-2,1;4835,5,-1;4843,25,-18;4885,20,-19;4897,5,-5;4911,9,-7;4921,8,-8;4931,7,-9;4943,9,-6;4971,26,-34;4983,0,0;4991,15,-2;5027,41,-44;5029,0,0;5035,0,0
avenida||kaicher|centro|36060030|139,-2175739,-4334391;145,5,25;151,2,1;173,-11,-31;181,7,26
avenida||pedro henrique krambeck|jardim casablanca|36036445|16,-2176762,-4336911;26,82,122;142,-5,-5;150,-14,-16;160,6,10;180,-29,-51;190,-7,-23;200,-9,2;210,-10,-21;220,-2,0
avenida||pedro henrique krambeck|martelos|36036445|18,-2176910,-4337182;19,-21,6;24,-37,-65;182,48,122;184,8,-5;186,6,27;225,-106,-285;230,64,224;235,-63,-208;238,58,190;245,-53,-178;247,-5,15;250,10,-5;255,-3,7;265,4,5;295,0,8;335,234,422;375,-38,-37;569,-189,-370;677,7,26;747,149,305;886,-153,-298;1001,216,368;1002,-184,-317;1003,173,303;1010,-171,-286;1020,3,6;1030,15,19;1060,-80,-238;1066,111,287;1068,-6,-24;1074,8,30;1080,1,14;1106,57,117;1148,-33,-35
avenida||pedro henrique krambeck|santos dumont|36036445|557,-2177574,-4338701
avenida||pedro henrique krambeck|sao pedro|36036445|50,-2177094,-4337597;52,-1,-26;53,7,-29;102,-402,-952;131,-66,-138;134,26,49;212,550,1493;214,1,-1;215,-55,-173;216,50,167;218,7,-16;224,-44,-90;226,6,-16;230,-26,-52;308,-104,-411;542,-451,-1015;1071,477,1093;1089,-5,-21;1091,0,-1;1099,-7,-4;1111,-2,-7;1131,-8,-20;1161,15,70;1211,-51,-200;1241,-16,-68;1245,6,1;1249,-5,-2;1255,2,-5;1385,-23,-80;1393,8,13;1395,-8,-22;1399,-3,-22;1415,-16,-29;1417,7,0;1419,20,8;1421,-24,-29;1576,-233,-433;1825,47,57;1840,17,8;1875,-69,-71;1897,-85,-174;1934,-26,-152;1975,49,216;1985,27,48;1995,-40,-73;2777,202,352;3111,-338,-729;3113,10,-120;3330,35,-190
beco||jorge knopp|favela do rato|36050430|25,-2173174,-4334527;27,-2,-1;29,14,-4;31,2,6;33,-12,5;465,13,-7
praca|presidente|kennedy|jardim paineiras|36016170|2,-2176924,-4335411;4,10,3;6,46,2
prolongamento||jorge knopp|progresso|36050430|11,-2172940,-4334530;39,107,72;40,7,9;45,-4,-11;57,-10,1;114,-89,-82;115,-34,22;118,-20,-9;121,0,2;139,31,-10;141,109,44;143,-45,-31;144,22,-23;145,-18,22;146,9,30;147,9,-32;149,0,17;150,7,-5;152,17,22;153,1,3;154,1,17;156,4,-1;170,-26,-46;180,13,6
rua|padre|kill|costa carvalho|36070350|29,-2176422,-4333142;39,-4,16;47,11,8;50,-25,-34;52,5,5;53,8,15;54,1,-5;56,-6,6;57,23,16;60,-12,-17;62,7,13;64,-4,4;65,15,9;68,-12,-7;75,15,13;78,-3,-4;82,5,0;83,-2,17;90,27,27;93,-17,-24;101,8,12;111,-1,-6;119,8,13;129,-25,-35;137,25,38;147,31,42
rua||adolfo kirchmaier|martelos|36036630|20,-2177217,-4337025;25,-8,-4;35,13,-1;42,4,3;45,4,-11;50,11,3;52,11,-2;53,-14,-2;65,13,-9;74,16,2;93,3,-11;97,31,-21;100,-1,10;105,2,-18;109,8,8;110,8,-16;113,4,7;117,7,-8;120,10,-25;121,0,23;127,6,-10;132,4,2;133,8,-12;134,9,1;144,18,-5;147,-20,-6;156,22,3;159,-7,-5;163,9,-6;166,9,-3;167,-6,-1;174,15,0;178,8,-1;180,1,-5;182,7,-1;184,6,-6;185,-19,5;189,13,-6;196,12,-4;197,-27,5;199,47,-21;200,-1,-3;221,-5,3;223,9,-3
rua||alan kardec|costa carvalho|36070390|14,-2176555,-4332918;20,25,4;22,3,-9;30,-15,0;40,11,8;50,21,-4;60,12,5;65,1,4;112,36,-4;190,54,1;200,11,3;209,6,4;210,22,17;219,-10,-15;220,-1,-5;226,5,-5;229,8,7;232,-3,15;245,21,-18;256,13,2;266,9,0;267,-8,-6;269,9,13;273,12,-1;275,11,-6;276,-16,55;280,13,-31;296,0,-23;306,12,16;316,5,-11;326,-7,9;336,30,-23;346,-3,19;348,13,0
rua||alfredo kelmer|santo antonio|36071460|151,-2177516,-4331459;152,6,14
rua||alfredo kelmer|santo antonio|36071540|5,-2177509,-4331422;10,-1,-3;20,3,-21;26,-6,-8;30,-6,-7;45,17,45
rua||arno krambeck|igrejinha|36091236|1,-2170882,-4348690;2,-2,0;3,14,-51;105,-20,54;115,-38,72;125,-3,16;135,31,-63;155,11,-32;165,17,-33;167,9,-16;177,5,-17;209,16,-28;219,9,-14;229,0,-8;235,6,-3;239,2,-12;241,9,-7;242,9,3;243,-7,-11;256,-2,-16;295,21,-8;297,-3,-5
rua||fuad kyrillos|costa carvalho|36070244|16,-2176156,-4333050;23,30,-25;24,-5,8;25,11,-11;30,-25,20;37,6,-5;50,-22,15;60,-8,9
rua||irene pinto kneipp|nova era|36087075|25,-2171034,-4342002;50,10,5;53,-5,-1;65,-8,-21;75,-17,-8;86,-1,17;121,-18,-28;340,75,72;350,-5,-14
rua||jacob kirchimeyer|sao pedro|36037340|25,-2177543,-4337986;45,-14,9;55,-8,5;65,-2,3;69,-7,1;75,-5,1;390,-3,13
rua||jacob kirchmeyer|sao pedro|36037340|17,-2177583,-4337970;20,43,-19;30,-7,3;40,-13,7;50,-9,4
rua||jorge knopp|favela do rato|36050430|455,-2173276,-4334553;491,1,-10
rua||jorge knopp|progresso|36050430|15,-2172843,-4334594;16,18,2;22,-6,7;23,-17,-9;27,13,2;28,-31,3;33,14,1;43,-32,-76;45,-18,-16;47,41,98;50,-39,-18;51,26,13;65,3,-5;80,-20,-3;82,-1,-11;106,-19,4;108,-12,-2;116,-8,3;120,-7,-2;123,-6,6;124,-5,-3;127,-25,36;132,21,-31;139,-9,-6;151,-10,4;154,0,-37;157,2,39;159,-7,5;161,0,-4;162,4,-20;168,-7,7;171,-6,-4;176,-15,-10;187,17,54;188,-18,-30;189,-4,-5;191,17,4;193,-17,-4;195,-5,5;202,-7,0;207,0,11;216,4,-28;217,-13,20;220,-8,1;233,-8,-4;236,0,11;240,3,4;245,-7,-11;253,-5,2;258,-3,-18;260,-8,21;263,1,-4;272,-12,8;287,-10,-7;288,2,2;294,-11,-4;296,-11,-3;297,13,-8;303,-8,14;314,-11,-7;315,-5,1;331,-11,0;333,0,0;355,-7,0;367,-18,-13;373,-24,5;377,10,-6;385,-5,2;434,8,1;436,0,0;440,-30,3;442,0,0;444,24,-5;445,-22,4;447,-15,5;448,16,-2;449,-24,7;450,-15,5;451,15,-5;459,-38,5;461,20,-3;465,-24,10;467,4,-9;471,1,-1;475,-6,1;488,-15,22;490,0,2;500,1,6;510,-9,7;544,103,-47
rua||jose kirchmaier|martelos|36036440|5,-2176606,-4336653;80,-27,60;90,2,-2;99,15,3;100,-13,46;107,17,-36;110,-11,21;120,9,10;129,11,3;130,-8,12;139,13,-12;140,-14,9;150,15,-1;151,1,9;160,1,-3;161,7,5;171,1,4;175,1,2;179,4,15;180,1,-32;185,1,40;190,4,14;200,-4,5;207,6,-2;227,-4,18;228,-8,-6;230,6,11;235,0,10;240,9,-3;245,-5,20;250,24,-8;255,-28,8;283,-7,29;284,-3,0;301,7,4;305,7,20;310,-12,-3;316,13,-1;319,4,-9;322,3,12;324,9,2;325,1,23;352,1,-12;380,3,30;400,-18,26;408,0,3;410,2,16;425,-28,-8;430,15,35;432,-8,10;445,8,-17;453,-4,16;454,-16,14;455,13,-8;457,-8,9;459,3,-4;461,-6,6;476,-7,1;477,-5,2;490,-17,-6;495,26,5;497,-18,-4;500,-15,-1;506,-10,-8;510,-13,4;515,1,21;518,-26,-15;520,1,-4;522,-13,9;530,1,2;555,19,-6;557,-5,0;559,-22,0
rua||jose lourenco kelmer|martelos|36036230|1110,-2176928,-4336878;1112,-1,-2;1114,-2,-2;1116,0,0;1126,-11,-12;1150,-7,-35;1200,-39,27;1210,-65,-20;1220,1,2;1240,-15,-8
rua||jose lourenco kelmer|martelos|36036330|665,-2176661,-4336722;675,10,12;687,12,7;695,-35,-33;715,-15,-16;725,-15,-22;929,-27,-33;937,6,10;939,-17,-20;949,-5,0;953,8,-13;955,2,7;959,-2,-2;969,-14,-16;977,-16,-9;999,-15,6;1000,-1,-7;1001,-12,1;1004,0,1;1006,-9,-8;1013,3,-3;1015,-12,-4;1017,-11,-4;1018,-75,33;1019,61,-38;1036,18,-7;1048,-5,30;1052,6,6;1056,-15,-13;1062,-10,2;1064,-3,6;1065,-3,-20;1066,-10,16;1069,-15,-12;1074,30,-43;1075,-25,44;1080,3,-5;1086,-8,0;1087,-26,0;1089,10,1;1094,12,-11;1100,-10,1;1102,-9,2;1104,-15,-6;1300,-209,-58;1330,-46,-32;1340,-2,-1;1350,-5,-5;1360,-5,4;1370,2,-6;1372,-13,-6;1374,2,-1;1376,-4,1;1378,-5,-4;1380,-6,-4;1386,1,2;1396,-21,-8
rua||jose lourenco kelmer|morro do imperador|36036330|425,-2176303,-4336752
rua||jose lourenco kelmer|sao pedro|36036330|115,-2176984,-4336894;1119,40,5;1131,-6,-6;1137,-26,19;1153,-2,-31;1155,-6,19;1165,10,-22;1175,-10,21;1185,-15,-17;1187,-28,11;1193,-3,-19;1207,-12,2;1217,-3,-6;1416,-208,-108;1430,-6,-10;1440,-4,3;1450,-11,2;1460,4,-59;1500,-5,38;1510,-15,-20;1516,-13,-26;1518,-4,-39;1520,8,-7;1522,29,6;1526,-5,-6;1528,-4,0;1532,5,-6;1534,21,-9;1536,16,-6;1546,-1,-7;1552,11,1;1554,1,-6
rua||k|jardim casablanca|36036254|54,-2176550,-4336956;56,5,7;58,3,-8;76,27,-3;84,-5,15;86,9,-1;92,7,2;102,7,-3;114,13,13;120,24,21;122,4,9;132,-24,-26
rua||k|jardim casablanca|36099899|23,-2176579,-4336960;47,33,11;57,-1,-4;59,9,-5;61,5,4;89,24,-14;91,8,5;96,2,-4;97,-10,-6;99,21,10;107,8,11;111,-8,-2;119,6,12;129,8,16;131,12,10;133,-4,-3;137,9,1;147,11,3
rua||k|sao benedito|36061220|369,-2174789,-4333170
rua||luiz kelmer|borboleta|36035500|3,-2175486,-4337839;4,3,4;5,18,8;6,1,5;7,7,0;8,-7,0;15,31,16;17,17,22;29,-4,-4;45,-24,-24;55,13,-4;65,10,4;107,9,50;117,-13,-38;127,22,53;137,-3,17;142,11,18;144,5,21;147,-2,-30;157,-4,25;193,49,-47;195,3,-7;197,-6,12;200,-51,15
rua||lygia lucas kamil|santa isabel|36087760|15,-2171426,-4342503;20,9,-2;26,-3,-12;30,25,-24;32,5,-14;34,10,-20;35,-35,63;36,40,-79;39,21,-27;40,11,-18;41,5,-11;42,-1,4;44,12,-28;45,-2,-2;46,10,-8;48,-27,45;50,32,-69;51,1,11;52,-16,6;55,-12,26;56,3,14;57,-65,117;59,47,-98;60,-46,97;61,38,-72;63,-10,12;64,-8,12;66,-10,9;68,-3,20;71,-17,28;91,17,-27;105,11,-31;130,20,-6;131,-10,-8;135,6,-3;150,7,-7;152,1,3;155,0,-10;175,2,-18;177,4,-5;185,13,-12;206,8,-5;210,2,-7;270,12,-22
rua||maria da gloria kirchmaier|borboleta|36035730|6,-2176244,-4337876
rua||paulo kneipp|bom clima|36046330|15,-2172791,-4336271;25,-21,2;45,-18,15;49,-13,4;75,-21,25;77,-13,7;85,-11,9;90,35,-29;97,-41,35;105,-39,33;109,16,-18;115,-15,17;121,-11,8;133,-15,13;150,-12,9;185,-48,47;195,-6,15;200,-9,10;210,-5,14;220,-12,5;245,-12,2;270,66,-69;280,-6,6;290,-10,13;330,-42,45
rua||sebastiao estanislau kistenmacker|distrito industrial|36092200|22,-2167547,-4343742;33,18,-1;35,-7,2;37,-29,11;39,-9,8;61,49,-20;70,16,-12
rua||taizo kitamura|benfica|36090654|90,-2168457,-4343874;117,-15,-3;650,-38,16;660,-6,7;663,2,-1;665,9,-3;668,1,0;669,8,0;670,27,-9;671,-24,0;673,1,3;678,0,1;688,0,-1;689,7,-6;692,129,-41;698,-125,45;700,17,-6;725,16,-12;745,41,-17;753,14,-8;755,12,-3;765,-4,-11;775,14,9;785,18,-7
travessa||jorge knopp|favela do rato|36050430|4,-2173163,-4334511;9,-55,-24;15,6,18;17,18,-1;19,-4,0;24,-44,-26;29,57,25;32,-11,1;34,38,9;35,-27,-7;36,28,9;37,0,3;456,-97,-51;457,-3,2;462,4,9;465,15,16;493,-15,-24;497,18,21
travessa||pedro kuehrler|jardim esperanca|36072180|101,-2176928,-4329212;364,-10,-12
