comunidade||pimentas 11|comunidade pimentas|37200001|13,-2126827,-4505903
estrada||sem denominacao 1|madeira|37209899|900,-2121879,-4501195
estrada||sem denominacao 1|serrinha|37206746|100,-2126860,-4500567;172,-264,159
estrada||sem denominacao 2|serrinha|37209899|210,-2127302,-4501147
fazenda|santa|cruz 7|serrinha|37209899|4,-2131355,-4498371
fazenda||valinhos 2|serrinha|37209899|20,-2129241,-4501037
rodovia||br 265|aeroporto|37205232|135,-2126534,-4498401;145,71,-107;147,-110,172;1465,183,-274;1497,-32,48;1517,-12,23;1535,-25,23;1601,-11,19;1625,-29,41;1645,48,-65;1660,-173,246;1661,80,-79;1664,-56,65;2085,-70,114
rodovia||br 265|agua limpa 2|37208419|29,-2123789,-4502625;35,-114,53;49,-40,14;75,19,-16;95,36,-19;97,-10,0;101,15,-7;125,103,-55;1321,11,-4;1325,-232,114;1395,280,-148
rodovia||br 265|br 265|37209899|156,-2122853,-4504644;265,766,-1147;1100,-649,944
rodovia||br 265|dharmaville|37206679|169,-2123206,-4503918
rodovia||br 265|distrito industrial|37205840|2000,-2126690,-4498314;2100,32,-48
rodovia||br 265|dona julieta|37207709|32,-2124737,-4501718;56,-28,24;96,53,-51
rodovia||br 265|fonseca|37200001|335,-2127747,-4489546
rodovia||br 265|gato preto|37207860|100,-2123378,-4503789;150,36,-11;320,-854,1372;1645,610,-444;1655,7,-23
rodovia||br 265|granja sao jorge|37209899|1114,-2122517,-4505051
rodovia||br 265|jardim floresta|37206679|601,-2126388,-4499943;625,-4,-29
rodovia||br 265|morada do sol|37207829|28,-2123671,-4502685;1480,-66,79
rodovia||br 265|ouro branco|37207589|19,-2126064,-4500942
rodovia||br 265|parque bocaina|37206679|45,-2126444,-4499680;621,55,-230
rodovia||br 265|parque bocaina|37206746|145,-2126469,-4499669;170,14,-36
rodovia||br 265|queixada|37200001|1522,-2122073,-4505791
rodovia||br 265|residencial jardins|37206679|282,-2123549,-4502911;290,5,9
rodovia||br 265|santa efigenia|37206706|200,-2126427,-4498817;456,-84,-393
rodovia||br 265|serra azul|37207659|157,-2125283,-4501311
rodovia||br 265|serra verde|37205899|205,-2126520,-4498989
rodovia||br 265|serra verde|37206706|6,-2126521,-4499269;10,-7,19;11,-33,200;298,29,-168
rodovia||br 265|serrinha|37205840|101,-2126899,-4500569;141,-114,62;161,-74,22;171,-43,6;181,0,0;201,2,1;202,365,-185;221,-437,195;227,-21,-6;229,-263,-26;231,258,28;291,-78,-15
rodovia||br 265|vista alegre|37205840|2,-2126987,-4497721;4,-11,16;8,-2,7;10,-3,2;12,0,0
rua||10|vista do lago|37201574|17,-2120654,-4498464;27,5,-6;37,4,0;47,9,-7;57,10,-9;67,10,0;77,12,-2;87,1,-5;97,8,-6;107,8,-4;236,166,-85;246,11,-6;256,12,-3;266,2,-4;276,3,-5
rua||11|vista do lago|37201598|11,-2120424,-4498540;21,13,-11;30,9,7;31,-1,-6;40,7,4;41,4,-9;51,1,-13
rua||12|vista do lago|37201594|50,-2120513,-4498369;60,2,-2;70,13,-8;80,7,-4;90,12,-3;100,-1,-2;110,13,-6;120,9,-4;130,11,-9;140,12,-6;150,1,-3;160,9,-4;170,8,-5;180,1,0;190,20,-7
rua||13|judith candido de andrade|37201560|16,-2120821,-4498547
rua||13|vista do lago|37201560|350,-2120570,-4498381;360,5,9;370,5,7;380,6,7
rua||15|vista do lago|37201576|15,-2120605,-4498467;25,2,7;35,4,6;45,3,10;55,4,3;65,8,18;75,2,5;85,7,10;95,4,6;105,3,5
rua||16|judith candido de andrade|37201578|56,-2120645,-4498715;66,0,-15
rua||16|vista do lago|37201578|10,-2120567,-4498494;15,0,2;20,6,8;25,3,-3;30,-5,10;35,9,-2;40,-3,12;45,3,-2;50,0,13;55,4,-10;60,1,17;65,3,-6;70,-3,9;75,8,-6;80,-1,15;85,3,-5;90,0,11;95,9,-1;100,-4,15;105,7,-2;110,-1,13;115,2,-2;120,1,6;125,4,3;130,3,9;135,-2,-1;140,4,8;145,3,-4
rua||17|vista do lago|37201580|10,-2120530,-4498516;15,3,-3;20,1,8;25,5,-2;30,-2,14;35,9,-4;40,-3,11;45,7,-3;50,-3,11;55,8,-3;60,-4,11;65,9,0;70,-7,4;75,12,3;80,-5,12;85,5,-6;90,-5,14;95,10,-5;100,-1,11;105,10,0;110,-8,13;115,8,-9;120,-3,14;125,5,-3;130,-3,6;135,14,8;140,-11,4;145,17,6
rua||18|vista do lago|37201592|10,-2120485,-4498542;20,2,6;30,4,16;40,7,8;50,1,5;60,6,5;65,10,18;70,-8,-5;75,12,7;80,-9,0;85,16,6;90,-11,-1;95,6,5;100,-2,4;105,14,11;110,-8,-3;115,11,9;120,-3,6;125,8,-1;130,-4,7;135,8,1;140,-8,1
rua||19|vista do lago|37201596|55,-2120417,-4498522;65,2,14;70,-5,-3;75,4,8;80,-5,-5;85,14,11;90,-3,-1;95,14,14;100,-12,-1;105,9,6;110,-7,2;120,3,7;130,1,5;140,9,18
rua||1|judith candido de andrade|37203189|17,-2120883,-4498618;22,11,1;27,-1,-5;32,4,4;37,2,-11;42,9,5;47,0,-5;52,2,3;57,4,-8;62,8,4;67,3,-11;72,7,8;77,1,-11;82,14,2;87,-7,-11;92,11,7;97,-3,-9;102,13,3;107,-9,-8;112,19,4;117,-5,-8;122,6,7;127,-1,-9;132,14,2;137,-9,-7;142,26,-5;147,-4,-4;152,19,7;157,-16,-7;162,18,-1;167,-9,-8;172,12,4;177,-3,-7;182,6,-5;187,1,-2;192,10,6;197,-1,-15;202,12,6;207,-5,-7;212,13,7;217,-3,-16;222,13,4;227,-6,-1;232,10,0;237,-3,-7;242,11,1;247,0,-3;252,12,-3;257,-8,-4;262,14,2;267,-5,-3;277,8,-7;287,8,-11
rua||20|alto dos ipes|37209899|18,-2120405,-4498681;28,-3,-3;38,5,39;48,0,-19;148,-7,-74;158,-2,-11;168,-3,-13;178,3,-9;188,-7,-9;198,4,-9;208,6,-11;218,-3,-10;228,4,7
