alameda||das gaivotas|caminho das aguas|37200780|21,-2121499,-4499716;31,-6,-2;41,-3,-17;51,-4,-10;61,-7,-4;71,-11,-12;81,0,-10
avenida|doutor|gammon|centro|37200248|35,-2122812,-4499866;45,-6,0;47,11,-1;51,-22,-4;191,5,122;256,-33,-165;462,-148,145;472,62,-123;480,108,108;486,-8,-99;498,-5,82;506,-10,-9;516,22,-8;532,-6,-22;542,-17,-6;556,20,-12;586,1,-22;600,-9,-24
avenida||evaristo gomes guerra|centro|37209214|181,-2122931,-4500286;183,-10,-5;191,3,-1;201,-22,2;213,-16,1;227,-4,5;235,-6,-17;241,-14,8;271,-25,-8;283,-2,-1;291,-10,-3;305,-9,4;313,-17,-10;325,-6,-4;345,-15,-11;355,-1,-2;365,-9,-7;375,-14,-6;385,-10,-1;409,-10,-13;415,-15,-7;425,-2,2;429,-16,-5;431,6,1;435,-19,-4;439,-7,-10
avenida||evaristo gomes guerra|jardim gloria|37209214|52,-2122793,-4500286;60,-9,2;70,-9,-7;100,-35,-4;110,-11,1;112,-804,-348;116,793,348;120,-10,-1;130,-9,-2;158,-14,-1;180,-14,2;208,-39,-6;220,-24,2;238,-4,-2;244,-18,-1;256,-7,-5;264,-4,4;270,-10,-4;278,-2,-13;282,-15,17;346,-44,-19;358,-9,-7;364,-162,-102;368,149,92;378,-7,-7;388,-8,-4;390,-9,0;400,-572,-329;402,566,326;412,-575,-331;450,521,294;456,40,9;460,-14,2;472,-5,-2;493,-243,-69;496,170,29;498,56,34;501,-16,8;505,-225,-87;507,224,76;509,-211,-69;510,220,67;511,-18,1;513,-218,-78;516,222,71;519,-12,-1;520,-16,-15;530,23,11;531,-224,-68;533,200,67;536,-197,-71;537,20,18;540,186,45;541,-216,-57;543,-17,23;546,9,-22;549,-6,7;556,-11,-15;557,-46,-11;558,41,12;559,1,3;564,217,47;569,-234,-52;571,220,60;572,-1,-11;579,14,17;580,-25,-20;581,-214,-54;583,-4,1;585,219,68;588,-6,-13;591,2,2;595,-223,-72;601,197,67;604,0,-12;605,-218,-52;608,-4,3;615,-3,0;616,6,-12;625,-12,0;626,-6,-4;631,220,72;690,8,-19;700,-21,9;712,-9,-2;715,37,17;720,-49,-14;724,-14,0;730,-6,-6;733,0,-3;743,0,4;744,-11,-1;756,-10,-4;835,-146,-47;840,-2,-6;845,-9,0;855,-7,-1;856,7,-6;864,-17,-5;865,15,2;872,-17,-8;880,-4,-19;884,-9,5;890,2,-5;894,-9,2;903,23,21;906,-32,-34;907,34,34;911,-12,-20;918,-26,-29;919,22,33;922,-31,-41;927,24,32;930,-26,-37;935,3,39;945,0,0;946,-6,-46;955,-4,26;975,-23,-49;983,23,34;1005,-14,-19;1031,0,0;1046,7,8;1049,-16,-23;1050,5,-4;1058,6,7;1060,-21,-4;1061,5,-20;1065,2,12;1071,-16,-13;1083,-4,-5;1090,4,-2;1095,-6,-5;1105,-10,-14;1111,-10,-10;1112,12,12;1115,-12,-8;1116,9,-3;1120,-5,-8;1130,-3,-6;1180,-148,-193;1190,166,227;1192,-37,-52;1201,-49,-28;1202,42,17;1212,-3,0;1217,11,14;1218,-14,-21;1219,10,16;1222,-16,-29;1227,11,-13;1235,-16,6;1237,12,23;1243,-4,-8;1250,-21,-14;1253,11,19;1256,4,-48;1257,-2,37;1258,-20,-20;1260,2,-2;1265,-8,6;1268,-10,-28;1269,5,16;1281,-13,3;1286,14,-18;1287,-8,5;1296,-4,-30;1299,-7,28;1300,-5,-45;1307,4,29;1317,-12,-12;1339,-29,-2;1350,27,-10;1351,-31,-32;1400,6,-9;1405,-9,3;1408,3,-8;1415,-7,-5
avenida||evaristo gomes guerra|jardim gloria|37209228|55,-2122790,-4500283;65,-8,1;75,-12,-4;81,-4,-1;85,-13,1;105,-23,0;115,-8,1;119,-10,-1;125,-3,-5;135,-12,0;145,-14,4
avenida||luiz gomide|sub estacao|37203030|1,-2122139,-4497973;455,-315,-751;480,34,94;481,-39,-73;1105,338,973;1125,-11,-33;1135,-6,-12;1145,26,28;1181,14,89;1185,-22,-60;1397,65,98;1600,69,103;1650,48,55;1690,-54,-61;1710,103,67;1730,4,4
comunidade||garitao|garitao|37209899|100,-2130204,-4515225
rua|capitao|garibaldi|costa pinto|37206645|25,-2125941,-4499823;61,5,-3;62,0,-8;68,-8,11;72,1,1;81,1,6;89,-5,10;121,-235,299;147,210,-270;159,-159,211;167,-41,45;181,143,-172;191,-7,6;195,42,-57;200,-161,205;201,108,-144;211,-6,11;240,108,-146;262,-55,66;272,1,8;280,-11,6;281,-300,396;286,298,-387;293,-304,372;296,4,12;301,9,-15;311,5,-7;321,12,-8;328,206,-272;329,2,7;331,-199,253;335,195,-249;336,1,4;339,-2,14;340,-29,31;342,30,-42;351,-178,224;357,160,-208;368,-14,29;371,18,-29;375,-67,85;376,48,-66;385,6,32;391,-153,154;396,143,-177;400,-153,200;405,22,-33;430,114,-149;435,-14,26;436,11,-21;440,-6,9;444,-10,5;467,17,-6;501,-33,41;507,-12,13;516,-59,85;517,55,-80;520,-17,31;526,-33,41;530,28,-38;535,-11,7;537,4,1;540,-8,5;542,-4,68;544,-28,-21;545,28,-52;546,-30,52;549,30,-52
rua|capitao|garibaldi|jardim floresta|37206645|19,-2125905,-4499864;20,-4,-8;188,-5,12
rua|dona|maria mesquita goulart|centro|37200440|80,-2123544,-4499514;90,-5,-85;98,1,-51;104,0,9;114,-4,17;130,3,5;138,-4,-4;160,8,30;168,-7,19;188,-6,9;191,-4,26;196,11,-10;230,-5,47;234,1,-27;244,5,41;254,-6,13
