alameda||franklin do couto gontijo|valparaiso|38703084|8,-1858179,-4650297;26,-5,6;38,-10,14;126,-49,70;128,2,-6
avenida|irmao|garcia|boa vista|38705103|95,-1859524,-4651054;125,-22,1;153,-24,20;184,-31,-27;200,-25,8;280,-46,5;281,-8,15;300,4,-10;310,-28,3;316,-18,3;330,-8,4
avenida||osvaldo guimaraes|guanabara|38701169|9,-1858332,-4652655;23,-3,-21;30,7,4;31,-4,-10;47,-15,-16;100,3,-34;110,-4,-15;168,-22,-41;173,-16,-29;197,-13,-26;210,10,14;11300,15,39;11600,3,6
beco||do gigante|vila garcia|38703214|20,-1857801,-4650354;25,-10,16;26,9,-18;29,-6,18;33,5,-1;36,-1,-17
estrada||abelha gh|pindaibas|38715000|14,-1865168,-4627682;145,-856,292;1000,829,1402;1563,-854,-1257;1586,0,99;1605,469,-1425
estrada||faenda abelha gj|pindaibas|38715000|11,-1864909,-4627717;1565,-1375,198
fazenda||godura|gordura|38713000|1168,-1860925,-4610605;1171,718,695
fazenda||goncalves|cabral|38717000|10,-1854975,-4680457
fazenda||gordura|arraial dos afonsos|38702267|1,-1856244,-4644755;2,-977,415;3,570,-15;4,153,190
fazenda||gordura|gordura|38710000|9,-1863022,-4612693
fazenda||grota|chumbo|38713000|1332,-1864340,-4618351;1335,-712,-176
fazenda||gurita|alagoas|38709899|8,-1848050,-4670283;9,0,0;10,-558,-805;11,-114,-130;12,-36,-42;3190,173,204;3826,226,2334;3827,-67,-442;3849,428,-936;3859,-428,65
fazenda||prata gigante|anga|38715000|11,-1861238,-4633388
fazenda||sape gs|pindaibas|38715000|1635,-1863578,-4628494
fazenda||sape gt|pindaibas|38715000|1668,-1862520,-4626078
fazenda||sape gy|pindaibas|38715000|1664,-1862630,-4625865
fazenda||serra grande|cabeceira do chumbo|38713000|1173,-1855146,-4612971;1174,-282,294;1212,-1362,-2693;1215,91,-96;1217,1275,477
fazenda||varzea grande estrada para gui|santana de patos|38711000|401,-1883431,-4663994;684,1743,1404
mata||da guariroba|guariroba|38709899|4178,-1856762,-4675615;4271,-2687,2367;4279,632,-545
outros||fazenda mata da guariroba|guariroba|38709899|4177,-1857715,-4676066
passagem||fazenda guariroba|guariroba|38709899|4182,-1854012,-4677497
praca|dona|genoveva|centro|38700102|863,-1858579,-4651638
praca||g|jardim aquarius|38703642|5,-1857879,-4649187;9,16,3;21,5,-1;31,12,1;41,5,2;51,10,2
praca||g|nova floresta|38703642|376,-1857226,-4649254
praca||joao pinto goncalves|nova floresta|38703270|9,-1857144,-4649569;15,4,3;19,-5,-3;25,13,6;33,2,-11;665,6,4
propriedade||fazenda mata da guariroba|guariroba|38709899|14,-1859890,-4675469
ribanceira||fazenda mata da guariroba|guariroba|38709899|2997,-1859670,-4675393
rincao||fazenda mata da guariroba|guariroba|38709899|2992,-1858786,-4676182
rua|conego|getulio|conego getulio|38700150|22,-1859258,-4651378;34,-21,-1;39,11,14;50,-18,-11;63,-11,9;64,-6,-15;72,-1,3;77,-16,15;97,-7,-7;99,8,-1;115,-39,-9;209,-82,7;216,6,-2;218,-10,-3;260,-53,0;266,-3,2;282,-7,-3;286,-9,2;289,19,-5;290,-23,6;300,-6,-2;305,10,3;315,-13,3;330,-15,-15;335,-5,2;340,-4,5;345,3,6;369,-16,-1;384,2,60;389,-48,-59;399,-4,2;400,-15,-14;407,2,14;421,-16,0;438,5,-14;449,-22,12;461,-14,-6;468,17,1;477,-39,3;478,25,-8;482,-9,-5;849,-346,0;863,-15,6;877,-31,-6;905,0,0;919,-1,8;933,-20,-5
rua|conego|getulio|conego getulio|38700205|179,-1860182,-4651335;480,382,-52;485,77,7;487,-9,0;500,1,-6;525,-26,8;531,-6,-5;532,6,0;537,12,7;540,-26,-9;552,31,-3;560,-70,2;591,24,8;601,-42,-4;619,-13,-3;621,37,4;635,-64,-11;642,18,2;682,-14,2;690,-3,0;698,-16,-2;707,5,3;709,-14,3;716,8,-4;722,-19,-4;747,-60,3;763,-12,1;767,39,-8;784,-19,1;787,7,6;794,-27,-8;810,-10,0;813,2,11;825,39,-66;828,-45,58;844,-23,10;888,-37,-12;900,-13,-5;910,-14,9;932,-20,-3;938,11,9;946,-4,-4;950,-19,0;999,-19,5;1008,-34,-4;1030,-17,1;1032,-7,-2;1043,8,2;1045,3,19;1046,-17,-21;1050,-7,5;1051,22,46;1087,-55,-44;1110,-28,-19;1115,-7,20;1126,-8,-8;1135,-5,6;1136,2,12;1138,-8,-18;1143,0,8;1154,-6,-7;1159,-2,14;1161,8,-9;1169,-27,-1;1170,11,-2;1180,-13,-7;1181,-11,10;1186,-2,-8;1243,-27,19;1249,-19,-9;1258,-31,-9;1273,18,8;1285,-14,-7;1309,-17,2;1329,-27,1;1387,-46,11;1395,-1,-4;1407,-12,44;1425,-20,-47;1449,-17,-2;1500,-84,-2
rua|major|gote|alto caicaras|38700001|20,-1856676,-4651480;1199,-339,-255
rua|major|gote|alto caicaras|38700207|1647,-1856680,-4651473;1691,52,-5;1707,15,3;1747,16,-3
rua|major|gote|alto caicaras|38702054|70,-1856437,-4651436;250,159,55;262,-50,-17;1815,192,50;2265,15,-34;2823,-263,-35;4544,35,13;4556,13,3;4580,21,6
rua|major|gote|aurelio caixeta|38702054|16,-1858078,-4651474;172,166,1;190,-65,-6;200,9,2;222,5,4;226,12,-2;240,16,1;260,14,-4;292,18,5;302,25,-2;306,-2,2;334,12,-9;348,16,7;360,14,2;368,10,0;374,5,0;406,21,1;416,6,-6;420,8,9;422,2,-13;428,10,11;444,36,-1;480,1,0;500,20,-5;506,6,3;510,3,-8;514,6,8;520,7,-7
rua|major|gote|caicaras|38700001|725,-1857511,-4651488;739,17,34;747,-16,-66;767,25,71;781,21,-39;813,17,7;815,0,9;819,47,-8;821,7,-2;839,1,4;871,27,23;875,1,12;877,-2,-22;889,22,-10;944,-25,38;974,73,-38;986,20,10;1000,18,-5;1070,63,1;1072,-18,-1
rua|major|gote|caicaras|38702054|22,-1857148,-4651463;36,12,13;54,5,3;56,4,7;88,14,6;533,-554,-51;561,26,-14;613,39,18;615,-2,-12;633,17,-14;637,20,40;639,1,5;641,-24,-22;657,25,1;659,-1,-1;661,3,-2;667,6,8;673,-28,-4;675,47,24;681,5,-9;683,9,-3;808,299,67;947,-74,-78;967,14,2;991,11,-7;1015,24,4;1027,12,-8;1043,7,3;1055,15,7;1067,10,-1;1077,15,8;1079,-2,-13
