corrego||dos almeidas|corrego dos almeidas|36157000|80,-2144421,-4328923;230,-109,-75;250,-16,-23;426,5,6
escadao||sem denominacao|comunidade da ponte|36157000|3,-2149907,-4331711;105,-19,15;115,-6,16;622,24,-53
estrada||do piau|piau|36157000|2,-2152640,-4328822
estrada||municipal 020|entrada de piau|36157000|3,-2150676,-4331392;153,12,-25
estrada||para o sopra vento|entrada de piau|36157000|49,-2150606,-4331235;349,70,-46
fazenda|sao|tome|estrada mg 133|36157000|28,-2144712,-4326433
fazenda||serrote|serrote|36157000|34,-2149684,-4327424
povoado||cemig|cemig|36157000|1,-2150452,-4337325;2,-18,22;6,19,12;8,34,49;10,73,-46;11,89,-49;12,39,-23;13,-430,-33;14,412,20;16,-75,-14;18,121,-113;19,-36,54;22,-414,-62;23,7,83;24,-11,-16;25,-6,-20;26,5,-20;27,439,101
praca|doutor|julio guilhom|centro|36157000|84,-2150974,-4332152;86,9,-13;88,5,-7;90,11,-16;92,8,-9;94,-3,-6;96,6,-21
praca|doutor|julio guilhon|centro|36157000|85,-2150973,-4332153;87,18,8;89,3,-29;91,-1,1;93,2,-1;95,18,-106
praca||pio xii|centro|36157000|50,-2150856,-4332018;59,-16,23;61,0,0;63,0,-5;84,2,-44
rodovia||mg 133|estrada mg 133|36157000|31,-2147466,-4327987;36,-2524,345;37,-1964,18;133,-494,4
rodovia||mg 133|piau|36157000|32,-2154239,-4326671;39,517,-264
rodovia||mg 133|serrote|36157000|29,-2146934,-4326879;32,-1197,-621;36,-3179,-189
rua|capitao|antonio cedrola|centro|36157000|17,-2150618,-4331602;25,-13,-81;44,3,2;47,-20,19;48,-14,3
rua|capitao|francisco jose|centro|36157000|52,-2150488,-4331628
rua|capitao|francisco jose|comunidade da ponte|36157000|5,-2150541,-4331629;14,-29,11;25,115,-22;27,13,1;33,26,-10;37,9,2;44,58,-10;45,-149,39;49,196,-63;51,7,4;53,10,-20;55,-208,81;57,6,-8;65,199,-70;101,341,-126;105,-24,41;109,31,-5;111,10,-11;113,2,37;115,20,0;117,11,4;119,6,21;121,14,0;123,5,-3;125,1,4;127,25,22;157,-522,57;195,42,-14;296,45,-26;305,10,-12;308,21,19;315,-16,-16;316,15,-1;324,5,-15;327,1,-2;329,1,0;331,16,-4;336,1,-2;346,5,2;358,16,6;400,64,-18;477,54,-44;520,76,13;533,6,-28;565,24,-9;569,14,4;573,2,1;577,12,8;581,10,6;599,32,24;628,26,30;653,12,-12;680,4,25;691,7,7;720,26,26;721,3,-10;743,-248,-83
rua|capitao|francisco jose|rosario|36157000|760,-2149814,-4331676
rua|doutor|augusto goncalves|dos paivas|36157000|17,-2150886,-4333110;71,-4,226;132,14,-182;147,9,394;156,-4,-38;160,1,-7;164,-2,-20;167,-57,-440;168,130,42;169,-177,-67;171,-16,-10;209,87,375;227,21,-26;230,-10,-52;236,5,-43;240,0,-10;250,2,-23;263,5,-2;281,6,199;297,1,-253;301,-23,43;319,21,269;320,-2,-320;325,-2,-17;331,5,-24;390,-18,-38;400,-19,12;420,5,-27;428,-3,-5;435,37,539;442,-61,-563;450,-4,-10;470,-16,-18;550,-59,-26;580,-21,-11;582,-9,-5
rua|doutor|dilermano cruz|centro|36157000|37,-2150731,-4331745;39,2,13
rua|doutor|dirlemano cruz|centro|36157000|41,-2150737,-4331688
rua|doutor|loures|centro|36157000|15,-2150977,-4332293;58,109,-437;89,-103,538;91,-1,-24;93,-22,-52;95,9,22;97,-6,-41;99,15,-4;102,2,-2;161,-7,-36
rua|major|felipe palhares|centro|36157000|12,-2150640,-4331722;15,-90,-75;16,116,180;18,-9,-3;19,13,-108;20,-17,73;21,3,-36;22,-3,17;26,-11,1;27,-28,-66;28,32,50;29,-20,-34;30,24,28;31,-32,-35;32,6,-5;34,35,18;35,-28,-4;36,-43,-54;37,-5,-7;68,71,74;75,-2,68;77,-48,-105
rua|nossa senhora|do rosario|rosario|36157000|13,-2150355,-4331542;25,-39,-18;183,-40,-21;193,22,10;211,-57,-10;217,69,14;220,15,11
rua|padre|ezequiel|rosario|36157000|8,-2150431,-4331620;15,-79,31;25,26,-7;64,134,-38;132,-73,19;144,24,-10;150,1,-11;207,-64,40;210,120,-58;217,-210,78;219,-1,-8
rua|santa|rita|dos paivas|36157000|34,-2150849,-4333246
rua|sao|jose|dos paivas|36157000|185,-2150745,-4333323;210,9,-3
rua|vereador|eloi coelho filho|rosario|36157000|9,-2149984,-4331732;23,60,62;63,-93,-57;80,58,13;90,-7,-9;100,30,38;110,-5,3;115,5,1;120,8,30;323,-97,-71;337,-15,-21
rua||adolfo lopes da silva|rosario|36157000|2,-2149970,-4331660;16,-73,1;323,35,-47;333,0,1;353,7,0;363,15,10;375,-6,4;377,7,8;380,-43,14
rua||alair lourenco da silva|rosario|36157000|11,-2149887,-4331668;16,2,31;17,29,8;18,-11,-7;20,2,3;22,11,4;910,-45,-37
rua||antonio tobias zambelli|centro|36157000|4,-2150789,-4332030;5,6,-8;6,9,-9;9,1,-8;11,-47,43;12,15,-13;14,14,1;15,6,-15;22,16,-10;24,5,-10;27,9,-10
rua||cabeleireira vera lucia barros alvim|centro|36157000|16,-2150581,-4331645;30,20,-9;39,61,-23;40,-63,14;42,23,5;43,48,-13;50,10,-2;90,-53,9;105,5,-2;114,13,-1;155,23,-1
rua||constanca de castro|centro|36157000|61,-2150881,-4332597;84,-43,107;97,13,-54;100,-19,290;104,12,-16;106,-11,-16;110,0,-17;114,-1,-41;115,-3,-15;116,52,-245;117,-55,229;118,12,-46;120,-3,-14;122,4,-18;124,-1,-8;126,4,-14;128,16,-57;129,-2,15;130,13,-30;132,7,-15;134,3,-12;138,-1,-16;141,13,-48;143,7,-5;146,-1,-13;155,-72,89;159,15,0;195,47,-44;198,-7,17;220,7,-21
rua||da amizade|dos paivas|36157000|28,-2150684,-4333366;30,0,7;35,6,-10;40,4,16;47,9,2;50,-7,2;51,27,-6
rua||divino espirito santo|dos paivas|36157000|13,-2150807,-4333216;21,27,-9;29,9,0;31,32,-10;39,-9,2;65,-72,16;85,3,0;92,43,-9;95,-23,5;101,40,-10;125,-7,3
rua||dos paivas|dos paivas|36157000|16,-2150831,-4333131;48,-1,6;52,3,-2;55,103,-142;81,-89,133;97,-20,7;140,111,-22;142,-104,54;144,20,-36;148,21,-5;150,-11,-4;158,-24,8;162,-25,3;166,-19,8;190,172,-40;194,-4,-16;220,-3,-12
rua||doze de outubro|dos paivas|36157000|20,-2150918,-4333282;30,4,-16;50,33,-2;60,-14,4;70,33,-17;95,24,-7;100,-12,5;170,30,-4;175,38,-5;177,18,-2;180,-42,3;190,23,0;200,11,-4;208,18,-2;235,5,-1;237,11,-3;240,15,-20;241,-3,3;245,7,-17;255,10,-14;260,2,14;262,3,-6;268,11,-12;271,1,-9;272,2,2;315,35,-47;334,10,-7;335,18,-24;380,33,-44
rua||e|dos paivas|36157000|135,-2150719,-4333140;136,7,-20;174,-7,21;176,1,-7
rua||joaquim leonel|rosario|36157000|1,-2150665,-4331459;2,69,-81;4,-28,24;6,2,-18;8,-1,-1;10,7,-14;12,17,-9;14,5,-3
rua||jose calderaro|rosario|36157000|4,-2150463,-4331500;10,116,-22;12,1,-2;16,-11,-2;18,-2,7;20,-325,204;25,48,-57;26,258,-142;28,-95,57;35,78,-43;57,-26,-11;65,-8,5;115,-26,-4;116,-2,4;122,-21,1;126,130,-17;130,-169,30;148,-90,59;150,75,-43;160,-84,50;165,77,-43;175,-8,5;183,-80,48;187,67,-37;190,11,-8;195,-13,7
