estrada||br 146|corrego da barra|37700001|515,-2178991,-4644150
rodovia||br 146|ceramica togni|37719899|12,-2189826,-4657595
rodovia||br 146|pocos de caldas|37701892|2,-2176048,-4643927;5,-2824,-770;6,774,1106;7,-892,-1101;10,598,1701;11,-1926,-2050;12,1307,302;13,549,1753;15,-1945,-1840;16,1921,1794;20,1099,-1293;27,-1101,1264;31,24,42;45,-248,-771;125,195,932;133,-3,47;135,-13,38;137,-61,44;145,35,7;155,-82,33;225,-94,69;315,21,-74;330,7,-5;500,303,-9
rodovia||br 146|ribeirao das antas|37700001|1,-2194916,-4659916;2,15,-14;3,32,-43;4,-13,-26;5,-5,-5;6,477,265;7,-507,-257;8,-1,-1;9,-2,3;10,-22,67;11,13,-52;12,-6,7;13,0,1;30,1010,979;31,33,-22;131,-24,-445;1400,2656,1645
rua||12|parque primavera|37706262|37,-2176294,-4652795;40,76,39
rua||13|parque primavera|37706263|36,-2176300,-4652822
rua||14|parque primavera|37719899|43,-2176410,-4652975
rua||16|parque primavera|37719899|22,-2176524,-4653028
rua||2|parque primavera|37719899|6,-2176998,-4651812;9,15,-30;10,0,0;52,-17,50
rua||3|parque primavera|37719899|26,-2177067,-4651902;27,3,-20;28,2,-11;29,0,-17;30,-2,-23;31,-4,-40;32,4,-19;33,4,65;34,4,-103;38,16,-42;41,-19,77;45,14,-72;50,6,-23
rua||4|parque primavera|37719899|46,-2177010,-4651946;48,14,-62;49,2,-39;51,6,-10;55,11,-87
rua||5|parque primavera|37719899|18,-2176956,-4651938
rua||6|parque primavera|37719899|31,-2176602,-4652846;55,-7,104;71,-195,-116
rua||9|parque primavera|37719899|861,-2176410,-4652555;881,-21,24;932,-32,32
rua||caminho 1|parque pinheiros|37706263|7,-2181126,-4652132;11,-37,-27;20,-91,-153;25,248,283;306,25,-9
rua||caminho 2|chacaras santa clara|37710300|460,-2182146,-4651656;470,-42,15
rua||caminho 2|corrego da serra|37700001|90,-2177819,-4650905;121,-93,38;122,6,-8
rua||caminho 2|santa clara|37710300|1,-2181893,-4651593;9,-55,-17;10,226,-2;151,-98,65;239,-119,3;259,-48,-21;269,-46,-51;390,-15,-17;400,15,-4;420,-54,-4;430,-39,25
rua||caminho 3|chacaras santa clara|37710300|57,-2181905,-4651433;281,-148,-10;344,26,-7;360,-32,5;364,-7,-12;370,-66,47;390,-26,-39;395,3,50;400,-24,-47;410,-21,-1
rua||caminho 3|chacaras santa clara|37719899|221,-2181978,-4651439;364,-112,-12
rua||caminho 3|santa clara|37710300|201,-2181867,-4651437;261,-135,1
rua||caminho 6|chacaras santa clara|37719899|151,-2182374,-4651128;153,-3,28;213,0,49;230,-61,63;293,1,29;313,4,8;330,-13,0;355,-10,57;370,-44,-34;379,36,53;380,-7,-21;400,-20,20;401,26,24
rua||sem denominacao 1|bortolan|37718200|90,-2178273,-4663909;110,0,-22
rua||sem denominacao 1|chacara pocos de caldas|37719899|70,-2181347,-4648785
rua||sem denominacao 1|condominio campo agua espraiada|37700001|2010,-2180476,-4651346
rua||sem denominacao 1|fazenda baeta|37700001|36,-2187155,-4656066
rua||sem denominacao 1|jardim bandeirante|37701000|55,-2181858,-4656617;265,-41,41;285,-4,12;325,-17,38;335,-2,12
rua||sem denominacao 1|recantos das garcas|37719899|368,-2193408,-4658252
rua||sem denominacao 1|residencial alamedas|37701892|11,-2181166,-4658767;30,-46,-9;40,-170,162;67,112,96;85,16,-218;109,-42,182;111,17,-167;119,-19,161;127,19,-161;129,-24,153;169,-23,-39;239,-40,-53;347,306,-86;394,-21,-1;427,-36,19;487,-48,12;633,-124,52;645,-5,-10;658,0,0;822,1,-124
rua||sem denominacao 2|condominio campo agua espraiada|37719899|9,-2180590,-4651417;39,26,17
rua||sem denominacao 3|chacara pocos de caldas|37719899|7,-2181159,-4648673;675,-18,13;700,-28,62;800,19,-36;801,-14,1
rua||sem denominacao 3|residencial alamedas|37716404|1511,-2181013,-4658626
rua||sem denominacao 4|residencial alamedas|37716400|1518,-2181015,-4658641;1556,-30,11;1602,-26,10
rua||sem denominacao 6|residencial alamedas|37716406|72,-2181114,-4658666
rua||sem denominacao 7|residencial alamedas|37716408|270,-2180992,-4658747
travessa||1|bortolan|37704780|11,-2178256,-4664163;16,0,-18;19,1,32;26,-16,5;30,10,25;36,-12,-15;79,3,11;89,-9,12;163,21,-66
travessa||2|bortolan|37704431|5,-2178263,-4664131;10,5,4;11,4,2;19,49,52;20,-57,-58
