1a travessa da rua||sem definicao|sol nascente|38750000|40,-1838285,-4603916;44,-2,5;46,12,-25
assentamento|santa|maria|sao pedro da ponte firme|38754000|2,-1794007,-4632884;4,-7801,-2475;5,750,4440;6,-863,-18;7,4088,-5658;8,-2712,5577;10,1740,-4244;11,669,6447;12,-1598,-990;14,1612,-278;15,-1503,1864;16,-144,-3160;17,2954,2354;18,457,-114;19,-1759,-1629;20,607,467;21,-1430,-13;22,3166,-1235;24,-3458,1042;25,3689,-406;32,-1485,476;33,298,159;36,14,-4133;63,-2181,2508;901,-1511,1591
assentamento||assentamento nova conquista|nova conquista|38750000|1,-1785436,-4640613;4,-730,323;5,621,212;7,1173,-241;12,-274,15;23,-1337,-41;41,1338,177
assentamento||assentamento nova conquista|nova conquista|38754000|4,-1784992,-4640386;5,174,162;7,-2210,299;8,933,7;9,-341,307;37,-161,-528;58,-187,38
assentamento||bananeira boa esperanca|assentamento|38750000|13,-1834900,-4630238
assentamento||bananeira|assentamento|38750000|13,-1834901,-4630761
assentamento||banco da terra|assentamento|38750000|13,-1835289,-4630306
assentamento||barreirao|assentamento|38754000|52,-1790140,-4637474
assentamento||barreirao|cabaceiras|38754000|1,-1789910,-4637997;4,29,-301;5,-123,117;6,-225,266;8,-35,385;12,2689,-2774;41,-1656,1646
assentamento||boa esperanca|assentamento|38750000|13,-1834986,-4629684
assentamento||do banco da terra boa esperanc|assentamento|38750000|13,-1835568,-4630520
assentamento||nova conquista|cabaceiras|38754000|15,-1787135,-4640776
assentamento||nova conquista|nova conquista|38754000|1,-1785441,-4640618;2,-174,228;3,74,301;4,-618,-195;5,-137,44;6,578,41;7,19,67;9,-740,525;13,1612,-661;14,-335,-3;41,518,95
assentamento||nova conquista|sitio campo alegre|38754000|58,-1785785,-4640420
assentamento||pa barreirao|cabaceiras lote 2|38754000|5,-1787935,-4639910
assentamento||pa barreirao|cabaceiras|38750000|11,-1787128,-4640772;12,-449,471
assentamento||pa barreirao|fazenda retiro|38750000|14,-1787379,-4640081
avenida|dona|mindoia|barro preto|38750000|645,-1841270,-4642357;655,-6,-13;665,-10,-13;695,-31,-47;705,-1,-2;715,-4,-10;725,-15,-31;739,-15,-6
avenida|dona|mindoia|centro|38750000|722,-1841230,-4642315;732,-4,-10;742,-5,-6;752,-12,-17;762,-4,-7;772,-9,-8;782,-2,-4;792,-3,-9;802,-9,-14;806,-8,-9;822,-7,-23;832,-19,-26;842,-5,-3;852,3,-13;862,-10,-7;872,-9,-10;888,-12,-17;890,-17,-20;892,-2,-7;912,-3,-27;922,-16,-8;942,-6,-16;972,-19,-22
avenida|engenheiro|eli pinheiro|aleixo araujo|38750000|161,-1841450,-4642557;555,-14,59;1065,58,-280
avenida|engenheiro|eli pinheiro|centro|38750000|900,-1841429,-4642626;920,17,-12;930,3,-14;932,2,-19;950,0,-14;980,11,-25;1010,1,-67;1020,17,-79;1030,-12,63
avenida|engenheiro|nilton alves nascimento|aleixo araujo|38750000|90,-1842202,-4642842;450,111,11;500,-16,3;550,-83,6;770,384,-59;790,28,-9
avenida|engenheiro|nilton alves nascimento|centro|38750000|925,-1841936,-4642840;931,-11,2;941,-7,6;951,-5,32;961,-17,-8;971,-14,-12;1222,-7,2;1267,-75,24
avenida|engenheiro|nilton alves nascimento|setor industrial|38750000|220,-1841386,-4642972;511,0,-4
avenida|presidente|tancredo neves|sao pedro da ponte firme|38754000|11,-1803584,-4642083;20,7,-15;37,46,-28
avenida|sao|tiago|saltador|38750000|117,-1842228,-4640785;174,14,18;205,-14,-9;215,-11,-5;225,-7,-3;235,-8,-1;245,-12,-6;252,-10,-5;255,-8,-3;260,64,16;265,-73,-17;300,35,1;310,-11,-12;315,-83,-15;325,-10,-8;330,63,18;335,-75,-24;360,24,-1;365,-64,-11;370,54,10;375,-63,-15;380,41,7;385,-48,-9;390,49,7;400,-17,-6;410,-10,-4;420,-12,-5;430,-2,0;440,-13,-8;450,-23,-11;460,-12,-4;470,-11,-2;480,-13,-7;511,-48,4;521,-11,-9;531,-12,7;541,-1,-1;551,-17,-1;561,-6,-2;571,-9,-1;581,-8,0;591,-7,-1;610,-54,-20;611,-2,16;620,-7,-18;621,-1,14;630,-15,-15;631,13,17;640,-22,-20;641,11,18;650,-14,-18;651,0,17;660,-22,-19;661,12,15;670,-38,-11;671,34,11;680,-54,-17;690,-8,-5;691,12,17;700,-26,-19;701,16,16;710,-30,-17;711,13,15;720,-19,-16;721,19,16;730,-32,-18;731,22,18;741,-11,-2;750,-31,-17;751,26,16;760,-32,-17;761,19,20;770,-27,-20;780,-11,2;781,4,10;790,-9,-12;791,3,10;801,-9,-1;810,-12,-10;811,5,13;820,-14,-14;821,16,4;830,-28,-8;831,1,15;840,-9,-16;841,5,17;851,-10,-3;860,-33,-16;861,202,34;870,-213,-33;880,-12,0;888,-10,-5;890,-2,1
avenida||antonio araujo|aeroporto|38750000|500,-1841888,-4641970;550,-5,20;560,-11,14;570,-4,18;590,-8,17;598,-6,12;600,-4,7;630,-11,38;660,-15,43;670,-3,11;680,-4,10;686,-3,10;700,-4,6;708,-4,12;710,-8,20;730,-11,21;750,-10,30;760,-4,9;770,-3,10
avenida||antonio araujo|aleixo araujo|38750000|25,-1841743,-4642297;35,-7,17;45,-8,11
avenida||antonio araujo|centro|38750000|20,-1841756,-4642304;30,-7,14;40,-5,12;50,-4,13;60,-2,14;70,-4,10;75,2,11;76,-6,-6;77,1,30;81,6,-10;90,-15,16;95,7,2;100,-19,5;105,17,4;110,-19,5;115,14,4;120,-18,8;125,10,12;126,-13,-5;130,-5,8;135,18,1;140,-18,6;144,0,5;145,11,3;150,-11,2;155,1,6;160,-10,6;165,8,10;175,-2,11;184,-14,1;240,-7,17;260,-8,15;280,-6,15;300,-6,12;310,-5,15;351,-25,106;355,2,8;357,-3,-8;365,5,20;367,-7,6;371,-1,11;375,-2,-4;385,-2,8;395,-19,14;405,2,7;420,27,-88;435,-29,103;445,-11,26;453,-7,-3;455,39,-45;463,-34,59;475,-4,24;481,-7,13;485,6,6;489,-9,5;495,20,10;501,-26,12;505,-4,-1;507,-11,-9;515,6,28;525,-27,75;527,8,-52;535,-14,88;537,2,-76;545,-10,89;555,-21,9
avenida||antonio araujo|planalto|38750000|565,-1842016,-4641574;585,-22,24;605,-9,18;611,79,12;615,-16,-39;619,-63,27;625,-2,1;790,11,-66;805,-36,139;810,34,-113;815,-41,124;825,-4,17;830,28,-96;835,-30,104;837,-7,4;839,2,0;852,24,-89;854,12,19;856,-13,8;858,-5,4;860,-8,15;865,-18,63;870,27,-43;880,142,18;890,-43,0;895,-150,141;896,39,-137;900,-18,27;920,11,26;928,7,-4;930,-34,33;931,5,-15;951,-18,6;960,-4,23;970,-9,5;980,-14,-1;990,4,12;995,9,7;1000,-9,11;1002,-6,11;1005,8,22;1011,-1,7;1015,-5,5;1016,-1,-16;1020,-6,12;1025,0,22;1030,-3,-10;1035,-2,19;1040,-1,-1;1045,-3,10;1047,0,0;1049,2,5;1055,-5,7;1061,-8,13;1065,-5,0;1069,-14,40;1075,5,4;1083,-3,13;1085,-1,-2;1095,-7,17;1105,-4,6;1110,5,-35;1111,-12,49;1115,2,17;1120,1,-46;1130,-6,18;1138,-5,6;1141,-6,51;1145,-6,13;1146,6,-44;1150,-6,12;1155,-3,41;1159,-2,7;1160,1,-38;1162,-3,5;1169,-2,37;1170,1,-29;1175,-6,40;1180,2,-32;1181,-5,41;1185,-3,-12;1190,5,-21;1200,-7,17;1204,0,11;1210,-1,-2;1212,-3,10
avenida||antonio araujo|saltador|38750000|1191,-1842275,-4640970;1195,-7,18;1205,3,11;1215,-2,14;1220,-1,-42;1225,-4,43;1229,0,11;1230,0,-38;1235,-10,50;1240,8,-38;1245,-11,50;1250,6,-45;1255,-13,62;1260,7,-46;1262,-3,6;1263,-8,52;1265,-4,13;1270,11,-58;1275,-13,68;1285,-1,6;1295,-6,18;1300,-1,-39;1305,-11,53;1315,2,12;1330,-8,-18;1340,-6,16
