acesso||rodovia|fazenda pedra|36270000|2,-2106856,-4371495;5,834,188;11,228,-1514
avenida|capitao|conde|peixoto|36270000|10,-2109208,-4370777;12,11,-13;13,37,-90;14,-66,113;21,-77,47;22,133,-113;26,-7,21;30,-71,9;35,-78,74;36,-136,-85;40,-46,221;42,217,-161;45,-72,36;46,-7,-11;47,-11,28;48,82,-70;49,-92,70;50,60,-49;51,-90,62;52,101,-56;53,-109,65;54,102,-63;59,92,-129;64,-187,160;83,-19,26;85,206,-45;88,-64,-19;89,-149,80;257,203,-213;303,-387,383;9999,237,-211
avenida|coronel|vilela|volta grande|36270000|18,-2105551,-4375146;21,-94,-88;22,39,6;47,-16,-6;54,-9,8;62,16,0;69,-5,-8;71,11,-25;85,8,21;93,9,1;113,12,12;125,24,24;135,-21,-6;159,34,30;161,-11,-16;175,16,38;199,-5,-4;204,-7,-26;206,2,2;215,-1,34;257,-1,60;260,-8,-24;261,7,15;262,-12,1;305,20,15
avenida|expedicionario|jose pinto de carvalho|centro|36270000|1,-2106238,-4376060;84,197,165;104,2,19;110,19,16;114,-5,-15;137,-118,-102;174,143,154;180,-13,-13;186,22,12;411,-74,-91
avenida|expedicionario|jose pinto de carvalho|volta grande|36270000|10,-2105964,-4375661;40,144,249;47,26,44;50,14,22;192,-32,-50;200,21,39;286,-155,-285;287,66,124;300,-37,-57;302,28,57;334,87,160;382,14,5;392,-15,-17;402,-6,-11;451,30,39;476,21,65;478,8,13;486,-39,145;524,140,-5;526,4,8;533,11,-7;538,-2,8;543,9,1;553,4,1;554,-5,5;556,7,2;564,5,2;565,-1,-8;573,8,14;576,-1,2;579,10,-7;594,9,13;602,0,5;611,12,-8;612,6,16;638,8,8;661,-25,-22;703,-170,-206
avenida|nossa senhora|aparecida|costa da mina|36270000|33,-2105870,-4375823
avenida|nossa senhora|aparecida|volta grande|36270000|2,-2105729,-4375721;471,-69,-42;480,33,33
avenida|nossa senhora|das gracas|canjamba|36270000|1,-2103079,-4370155;3,8,18;4,8,-1;11,37,-49;17,33,-24;18,-26,39;21,30,-43;25,13,-11;26,-2,19;29,3,-16;33,7,-11;35,9,-5;37,10,-6;39,5,-7;41,15,3;42,28,19;45,-21,-30;47,6,-3;49,15,0;53,282,-157;56,1,7;86,-2,-23;104,-3,3
avenida|princesa|isabel|capetinga|36270000|20,-2107690,-4376406;617,-88,-87;618,-7,-25;1509,510,-117;1599,3,35;1697,6,33;1709,0,11;1729,0,5;1885,4,17;1913,4,12;1941,-1,33;1961,-15,86;1963,-2,16;2008,-306,101;2239,-14,-9;2291,-13,-8;2293,2,-6;2309,-8,2;2311,-8,-7;2339,-21,-27;2359,100,75;2367,-119,-99;2383,33,34;2395,-54,-55;2975,-91,-108
avenida|princesa|isabel|centro|36270000|10,-2106394,-4376166;17,-123,-114;44,111,107;48,-14,4;50,-9,1
avenida||do castelo|simao tamm|36270000|2,-2105703,-4365811;3,-227,-38;4,216,42;5,-36,5;6,12,-1;8,-17,-8;9,-205,-21;10,86,12;12,-16,5;14,-90,-20;15,-25,-4;18,-27,-26;26,2,30;28,-56,-17;36,-22,37;178,207,-12;180,47,8;351,105,-4
