alameda||dos diamantes|vale da prata|33825570|12,-1975345,-4414678;24,14,-13;34,20,-15;44,12,-3;75,-4,-5;95,40,-32;115,132,-114;135,-87,76;196,14,-6;205,2,-9;208,-2,7;219,13,-17;220,1,3;231,10,-10;239,3,-2;244,-8,1;245,11,-2;251,-54,41;255,68,-48;257,-90,75;264,94,-79;267,6,-2;275,-1,-8;288,39,-29;293,-32,23;298,5,2;304,-75,54;305,77,-63;314,17,-7;315,-6,-5;324,5,5;325,-2,-7;344,18,-9;368,15,-12;380,-78,63;386,6,-2
avenida||b direita|porto seguro|33863050|36,-1977655,-4406322;847,-1,2
avenida||dois|san genaro|33823580|235,-1976168,-4415454;247,-2,-11;279,-21,-21;291,-12,-2;303,-16,-17;315,-3,-9;327,-11,-7;351,-17,-25;367,15,16;455,-43,-52;463,-5,-7;475,14,24;477,-28,-38;481,-12,-3;483,-3,-9;497,-19,-23;2016,61,64
avenida||dois|san genaro|33825365|328,-1976215,-4415519;340,-7,-4;344,-2,-1;350,-8,-21;352,-4,1;356,-27,-27;483,-50,-45;490,13,-10;495,-48,-29;497,19,17;501,-16,-20;513,-10,-3;514,35,16;518,-8,-8;520,-13,-13;521,-25,-7;530,59,38;532,-45,-42;578,-28,-33;604,-46,-45;614,-1,-9;630,-25,-28;670,15,16;2006,165,196;2024,-10,-16
avenida||dois|san genaro|33825580|33,-1976075,-4415282;63,-5,-17;75,-2,-9;81,-8,-23;113,-2,-7;123,-3,-5;131,-4,-3;137,-6,-13;149,-3,-15;191,-9,-17;195,-5,-11;197,-3,-10;209,-1,1;217,-16,-18;221,2,-6;231,-11,-15
avenida||d|liberdade|33822800|116,-1983001,-4408461;138,-11,-7;145,-7,-3;148,2,-6;151,-12,-7;158,2,-8;161,-15,-2;168,22,8;171,-26,-19;178,10,6;181,-17,-17;188,13,7;191,-16,-6;198,2,2;208,1,-1;211,-22,-15;218,14,2;221,-25,-7;228,18,-1;231,-22,-9;238,13,6;241,-11,-8;248,9,1;251,-15,-15;261,-5,-5;264,11,7;271,-9,-18;280,-9,2;281,-1,-9;291,1,-12;296,11,11;301,-7,-10;306,0,-4;309,124,-84;311,-122,74;321,-8,-14;331,1,-12;341,-11,-11;346,17,-1;351,-7,-9;361,-1,-1;364,8,2;371,-4,-15;374,16,-9;381,-12,4;391,11,-10;401,2,-4;411,19,-18;414,15,-12;421,-25,18;431,9,-5;441,2,-7;451,16,-4;461,5,-6;471,9,-7;481,8,8;484,30,21;491,-22,-21;501,14,8;504,22,26;514,7,0
beco||acesso a rua irma dulce|veneza|33820310|17,-1977214,-4414376;629,49,25;631,-9,-1;633,88,77;635,-113,-87;637,-23,-17;722,17,8
beco||cosme e damiao|florenca|33823730|10,-1976866,-4414479;20,3,-8;30,3,-7;38,-9,29;503,33,-23;506,-2,5;510,5,1
beco||dois|fortaleza|33903000|2,-1981491,-4402102;4,10,17;5,4,0;7,3,2;9,5,-2;10,-21,-15;11,28,25;12,9,3;15,4,-6;17,17,11;19,-1,-2;20,-5,7;23,7,-8;24,-20,-3;26,10,-1;28,3,11;30,1,-6;71,12,7;155,-65,-31
beco||dois|jardim sao judas tadeu|33903404|259,-1979078,-4402593;269,-1,0;342,2,-14;344,6,-2;352,-4,14;354,13,-30;356,-3,-8
beco||dois|landi|33903000|5,-1978229,-4398483;10,3,-10;15,-6,20;20,0,4;25,8,-3;30,-14,-14
