acesso||para o ifmg|esplanada|33805488|800,-1975942,-4409027
alameda||canarios i|jardim colonial|33809004|10,-1978188,-4411095;22,-7,-4;44,-6,0;57,-15,-1;68,-8,-9;70,-40,-15;87,56,27;88,-9,-10;98,41,18;107,-55,-15;131,-35,-13;132,-14,-26;141,1,16;142,-9,1;143,-8,-4;144,1,-5;227,49,23
alameda||choppins i|jardim colonial|33809041|10,-1978569,-4410652;390,-5,4;395,-15,13;400,19,-10;410,-19,11
alameda||das itaunas|jardim colonial|33809092|11,-1978873,-4409564;14,-3,1;36,-8,-14
alameda||dos ipes|vale das acacias|33830010|17,-1974699,-4414115;19,-143,124;29,1,9;65,16,-41;71,0,1;117,40,-45;119,0,-2;121,7,1;185,45,-19;236,-31,13;239,86,-26;261,-88,25;270,21,-4;280,103,-20;330,-30,7;357,90,-19;370,-66,14;381,-195,97;498,337,-122;501,41,-16;510,-36,14;511,48,-10;516,-32,6;517,37,-13;520,-30,11;521,1,-12;533,48,-3;545,57,-10;567,-22,3;577,-337,66;579,341,-67;600,39,-3;620,-284,56;628,12,-2;629,13,-2;630,11,-2;636,40,-4
alameda||falcoes ii|jardim colonial|33809055|5,-1978092,-4410867;12,5,-33;13,-5,20;34,-1,9;60,-7,28;75,0,-13;85,1,-7;86,35,21;93,-48,27;95,7,-17;98,-2,5;102,-12,20;103,5,0;110,16,-43;114,-22,54;115,7,-8;119,-10,14;120,-1,20;124,-3,-8;125,-12,19;126,17,-34;129,-2,41;130,-27,18;136,6,3;140,5,-25;180,6,-9
alameda||ingazeiros|vale das acacias|33830330|48,-1974062,-4413829;120,-56,120;140,30,-41;162,-74,76;172,82,-79;180,-76,97;192,-14,1;202,104,-138;223,-92,126;380,-21,20;400,-82,-15;421,0,8;433,-22,-11
avenida||ipanema|botafogo|33933402|145,-1979314,-4400858;157,12,-7;163,6,1
avenida||ipanema|botafogo|33933570|27,-1979303,-4400847;100,-70,2;116,-6,6;126,33,-10;132,8,-1;146,20,0
avenida||ipanema|urca|33933570|22,-1979501,-4400842;25,-1,8;29,-285,35;31,279,-30;33,-123,4;48,106,-11;80,-22,5;86,-82,1;88,70,4;90,-7,-6;97,9,17;110,-20,-20;115,-51,9;139,1,1;140,48,-6;150,-131,8;151,80,-3;160,37,-9;182,-57,9;220,-174,28;225,125,-18;230,25,17;237,-17,-12;240,-8,-5;249,7,4;250,-15,-10;280,-57,22;290,-19,10;292,9,-5;300,-29,-9;330,250,-23;395,-196,29;401,-29,-4;410,-77,-4;420,-7,14;430,-13,1;431,13,4;441,1,2;450,-21,1;451,-9,-8;460,-2,4;470,-30,4;475,11,10;480,-14,-11;485,13,9;486,-16,-7;495,4,3;505,-9,3;510,-5,-5;515,-12,10;525,-13,-2
avenida||itau|hawai|33935315|400,-1981444,-4400828;401,-8,13;402,-16,-15;405,12,11;407,-6,-3;409,0,-3;410,-3,-2;411,-6,-2;412,-7,-1;413,-32,-6;415,34,14;417,-20,-2;421,6,-6;423,8,0;424,5,-10;427,-44,4;430,39,2;431,-47,-12;432,42,3;444,-5,3;446,-6,-9;448,0,3;452,-6,-2;730,445,185;736,9,-9;750,-25,-9;756,1,-4;772,-18,-6;972,80,23;984,-21,-1;996,-1,-6
avenida||itau|luar da pampulha|33935315|455,-1981658,-4400894;461,7,-3;463,11,10;473,-6,5;479,15,5;485,8,-3;497,20,20;501,-3,-1;521,17,-7;557,3,6;571,31,3;572,22,6
beco||arco iris|florenca|33823370|1,-1976187,-4414553;2,-5,20;3,-34,-3;4,4,18;5,13,4;8,10,-20;9,-2,6;10,0,9;11,-13,9
beco||itamarati|vila bispo de maura|33938458|55,-1982631,-4401448;113,-3,-18;118,3,28;119,2,-11;120,-3,6;183,3,-3;192,-17,-20
beco||tres irmaos|rosaneves|33840230|28,-1974114,-4408468
rua|dom|pedro i|fazenda castro|33826031|300,-1975182,-4415203;670,-12,2
rua|princesa|isabel|flamengo|33933120|12,-1978673,-4400608;13,-4,18;15,-7,4;17,-12,3;22,18,-16;34,-10,7;44,-6,12
rua|profeta|isaias|landi|33930000|30,-1978580,-4399170;42,16,-11;44,0,-4;58,24,-8;60,9,-8;66,-8,-67;68,9,74;80,3,1
rua|profeta|isaias|maria helena|33930030|25,-1978486,-4399238;29,-59,48;37,-49,16;47,-5,4;50,52,-83;311,-56,83
rua|santa|isabel|granjas primavera|33940110|521,-1982239,-4401881;531,11,6;541,14,16;551,1,1
rua|santa|isabel|santa isabel|33940110|17,-1982008,-4401823;19,-28,12;21,18,-14
rua|santa|izabel|maria helena|33930420|10,-1979046,-4399718;13,-5,-8;22,6,-16;25,-13,4;34,21,-17;35,-8,7;49,6,-11;60,3,-1;61,-4,-7;70,4,-6;73,-3,-4;80,9,-14;85,-7,-2;89,1,-10;90,6,8;100,9,-28;109,-12,3;114,1,-6;118,22,-9;120,-18,-6;121,-2,7;125,12,-13;130,-9,-2;135,3,-18
rua|santo|antonio do itambe|jardim alvorada|33938130|3,-1983349,-4403850;10,25,72;12,-3,-5;15,-9,-11;22,1,-2;28,7,-7;40,-4,-15;46,3,-7;50,-4,1;62,-3,-13;64,-9,-5;68,10,-10;83,-1,13;85,4,-3
rua||a condominio imperial|sonia|33935232|270,-1980384,-4401308
rua||antoniela gomes condominio imperial|sonia|33935232|270,-1980420,-4401304
rua||arco iris|rosaneves|33840100|158,-1974356,-4409518;160,8,-1;208,20,8
