alameda||das oliveiras|vale das acacias|33830155|29,-1974353,-4413845;31,-14,8;35,-12,-1;43,-44,9;54,57,-17;55,-62,18;56,41,-21;62,-24,0;83,-25,23;85,2,-3;86,15,-8;90,-29,3;92,18,0;116,-28,5;126,-4,0;146,-22,7;147,25,-1;150,-15,-4;151,2,6;155,5,-1;162,-31,3;171,-4,4;174,-4,-5;186,-15,8;187,10,1;196,-21,1;209,4,-8;215,-8,22;233,-22,-10;244,-15,-1;246,10,2;266,-29,-2;284,-18,3;313,60,-5;320,-86,13;333,-10,8;345,-12,7;349,10,-23;417,-97,79;427,-3,11;431,21,-28;444,4,-30;454,-11,19;460,-17,14;461,-7,39;463,-24,38;465,24,-44;480,-33,45;503,-32,22;513,7,-6;528,45,-42;549,-61,47;570,13,-6;574,-13,-3;576,-4,-4;782,-6,10
avenida|doutor|ailton de oliveira|neviana|33808050|24,-1977610,-4410169;35,-4,-9;36,10,-1;44,12,7;48,-12,2;55,6,-34;65,-8,12;66,11,-2;67,-5,2;84,23,-12;87,-16,2;99,11,-12;102,312,-317;107,-295,302;125,17,-9;132,152,-148;135,-117,98;144,172,-145;147,-199,177;156,43,-29;157,-40,17;167,11,-10;168,-26,50;172,-76,53;206,142,-123;211,-13,-2;212,15,4;223,-4,-1;235,-7,-13;249,21,-13;252,13,1;255,-17,-28;264,17,19;269,-1,1;273,4,-4;281,2,-4;286,39,-21;287,-41,34;292,115,-102;296,-114,95;297,3,-21;301,4,6;312,-46,58;314,-56,58;317,120,-140;319,9,-4;322,13,-13;332,13,0;333,-14,-8;335,34,-21;342,-18,23;352,7,-13;353,-2,-7;362,11,-8;363,-10,10;375,12,-5;376,36,-29;392,68,-98;409,0,0;412,-67,90
avenida||antonio goncalves oliveira|veneza|33820520|27,-1977536,-4413756;47,271,-334;85,-34,68;102,-243,324;103,-17,-2;104,14,10;105,236,-324;107,4,-6;110,3,-30;112,-10,25;118,0,-6;120,-7,13;123,-51,91;128,-39,50;132,83,-127;153,-218,268;161,5,-12;201,160,-171;203,1,7;205,-15,12;207,-18,22;215,13,-34;217,-24,51;218,39,-76;229,-48,87;241,-38,27;251,-6,17;258,70,-98;281,-101,148;362,49,-78;391,-18,40;395,-11,14;556,190,-249;592,21,-44;908,-264,367;1331,44,-66;1339,-53,85
avenida||das oliveiras|nossa senhora da piedade|33913060|26,-1978561,-4402286;30,11,2;32,-5,-4;34,1,-7;36,5,-3;48,5,-1;56,2,-7;60,4,-7;90,19,-12;96,6,-8;100,-7,-9;106,4,4;110,0,-6;120,14,-8;132,5,-3;144,13,-12
avenida||deodoro de oliveira|florenca|33823380|158,-1976107,-4414666;160,9,-14;170,-6,-8;180,14,-14;190,-5,-18;208,14,-29;210,8,-20;222,1,-4;254,6,-13;262,16,-21;304,0,-4;326,17,-54;328,7,-14
avenida||deodoro de oliveira|san genaro|33823380|10,-1975999,-4415029;80,-7,94;193,-24,-153;201,2,-4;213,-11,-15;225,-5,-7;243,-8,-6;250,8,-15;261,-14,-15;271,-2,1;281,1,-7;301,-21,-19;321,-12,-13;324,84,268;330,-80,-263;331,-8,-22;334,104,276;340,-94,-258;341,-17,-24;350,10,7;351,-22,0;360,15,-5;361,-5,-14;370,-5,-1;390,-17,-21;391,-1,0;400,-2,-20;401,3,15;410,-5,-16;411,-4,4;415,3,-20;420,-7,5;421,7,-6;430,-7,-10;431,0,3;432,150,269;440,-154,-279;441,1,-5;442,150,285;448,-3,-7;450,-155,-281;451,6,-2;452,146,273;460,-143,-277;461,-9,-4;462,152,276;470,-159,-276;471,8,-7;474,144,271;480,-75,-140;481,-75,-146;490,61,113;491,-68,-115;500,144,259;501,-141,-277;511,-10,-1;520,10,11;521,-9,-23;525,164,336;527,-3,-23;530,-152,-295;531,-13,-28;532,7,17;534,-1,-8;538,-4,-8;540,-1,-3;541,-9,-4;545,185,387;549,1,11;550,-184,-404;560,-5,-1;570,-12,-6;580,-11,-11;619,128,247;687,-11,-18;836,-24,-46;890,-6,-7
avenida||deodoro de oliveira|san genaro|33825438|551,-1976188,-4415395;561,-11,-8;571,-16,-11
beco||oito|landi|33925330|25,-1978215,-4398900;102,19,-13
beco||oito|vila bispo de maura|33938438|1,-1982772,-4401363;3,4,-13
beco||onze|urca|33933600|341,-1980158,-4400424;343,10,0;345,-14,-2;370,14,-11
beco||quarenta e oito|veneza|33821057|159,-1977765,-4413860;160,-10,12
