acesso||estrada real|estrada real|34500001|9,-1992476,-4381742;10,-2,12;11,35,-64;12,88,-61;13,33,-18;14,57,-76;15,115,-110;16,-110,91;20,-800,880;22,644,-756;24,208,193;30,-677,399;40,23,29;49,-194,5;50,171,-35;55,-171,35;60,164,-28;78,67,61;159,-190,79;283,-164,22;493,202,-174;615,-172,48;645,857,-668;663,-923,645
alameda||das rosas|borges|34720095|151,-1984125,-4385864;161,4,122;211,-45,-10;321,-36,56;341,9,123;360,-85,-81;400,29,29;411,-20,-33;431,193,-116;453,-9,9;501,9,14;581,-105,197;591,4,3
caminho||do rio|rio vermelho|34500001|1,-1973348,-4376418
condominio||jardim real|ravena|34739899|1,-1979705,-4376703;2,131,63;3,13,-3;4,-122,-108;5,2,-262;6,18,-58;7,-20,-99;8,40,-55;9,-3,-26;10,8,40;11,7,13;12,4,-3;13,28,30;14,33,7;15,9,-32;16,-42,-104;17,-35,-122;18,-1,-13;19,13,-9;20,-43,-138;21,-21,-43;22,-98,26;23,-11,-3;24,12,294;25,-19,17;26,78,71;28,49,-67;29,5,-12;30,62,-100;31,28,15;32,7,-6;33,11,8;34,30,-1;36,3,21;37,101,-80;38,6,9;39,-7,11;40,1,15;41,-7,2;42,-75,-56;43,-6,-5;44,-10,0;45,1,1;46,-51,-39;47,-9,23;48,32,241;49,-10,-127;50,25,113;51,19,2;52,40,103;53,13,28;54,-262,-76;55,-86,-43;56,4,-8;57,2,-24;58,1,-21;59,-24,118;60,102,17;61,-15,19;62,-20,79;63,-6,-8;64,239,26;65,69,-8;66,1,-1;67,-31,0;68,-8,66;69,7,29;70,5,66;71,4,23;72,-73,-73;73,-5,22;74,8,-102;75,-224,277;76,10,-28;77,9,-20;78,-1,-18;79,10,-23;80,1,-18;81,-1,-12;82,1,-34;83,-3,-14;84,0,-10;85,1,-18;86,1,-8
condominio||jardim real|santa luzia|34739899|16,-1979407,-4379584
contorno||pedra rosa|nova canaa|34516300|61,-1975090,-4371537;62,115,49;65,-154,-178;67,214,309;68,-20,-10;90,-10,-44
contorno||pedra roxa|nova canaa|34516300|21,-1975631,-4371533;71,28,114;73,3,-65
estrada||do retiro|siqueira|34516300|276,-1977704,-4373829;78290,0,-2
estrada||do retiro|vale dos coqueiros|34516300|98,-1975496,-4372714
estrada||gabriel ribeiro|maquine|34739899|100,-1981608,-4375856;820,-89,-114;950,-20,-31
estrada||gabriel ribeiro|ravena|34739899|985,-1981697,-4375968
