acesso||sobradinho|sobradinho|34739899|90,-1986777,-4383983
avenida||albert scharle|paciencia|34535100|6,-1991021,-4381912;12,16,7;18,-12,10;24,-2,1;48,-5,11;58,141,-507;84,25,-8;104,13,1;116,16,-5;126,5,3;142,16,-3;168,26,0;176,10,-7;180,1174,946;185,6,5;191,7,7;205,-42,-34;224,-14,-10;226,-14,-11;238,-6,-6;249,19,17;251,-3,-11;255,-11,-1;258,-1125,-963;259,1117,948;261,-10,-1;264,-1128,-951;276,-8,2;282,-7,-8;307,1132,945;309,-20,-18;311,-21,-12;312,-1112,-914;315,1088,901;317,-15,-11;324,-1081,-883;336,-10,11;345,1079,865;348,-1082,-855;355,1075,844;360,-1082,-833;361,1084,837;363,-15,-12;365,13,-6;367,-29,-12;371,51,44;372,-1110,-845;387,1050,797;397,8,-17;400,-1011,-826;407,997,828;431,-57,-43;439,3,-2;445,-21,-10;553,-364,-231;589,336,199;607,-2,-21;625,3,23;627,-20,-37;635,-9,10;647,-4,-11;657,-10,0;665,-29,-27;673,-15,-7;678,-898,-604;738,9,-21;755,877,621;796,-22,-11;800,-31,-23;830,-1,2;833,44,24;843,-15,-4;854,-46,-29;855,37,26;856,-37,-29;866,-759,-690;867,794,716;876,-52,-34;886,-735,-696;890,5,-9;891,767,722;1064,-768,-69;1089,-412,-292;1092,985,268;1094,-26,6;1124,21,-7;1126,-183,19;1130,137,-2;1136,-6,1;1137,30,-14;1139,-46,22;1140,7,-6;1153,-13,9;1161,-12,0;1168,8,-3;1175,-13,32;1178,-9,-27;1187,-9,-3;1197,-5,4;1198,2,-9;1204,-6,5;1207,-4,3;1214,-15,-4;1217,10,2;1220,-17,-7;1229,0,12;1231,-2,-1;1252,-15,-4;1259,1,15;1267,-15,-13;1273,-1,-3;1283,-15,-2;1294,-10,2;1297,-1,0;1310,-23,-10;1315,8,11;1316,-20,-17;1327,7,18;1370,-41,-3;1380,-12,-1;1387,10,1;1390,-23,-7;1392,-16,4;1397,22,7;1400,-282,-13;1411,263,13;1423,-10,4;1430,-2,-18;1435,10,11;1441,-29,-14;1445,-30,28;1458,16,-12;1465,-24,-5;1475,-22,5;1486,-6,7;1489,-9,-12;1490,42,3;1506,-17,-13;1512,-7,14;1518,-3,-10;1520,124,-6;1532,-129,10;1550,-35,-13;1564,1,3;1576,-10,-18;1604,-97,26;1616,74,-7;1617,-22,3;1618,15,6;1626,-18,0;1630,-9,-11;1635,-17,26;1636,13,-15;1646,-17,-4;1657,5,3;1665,-3,3;1678,-5,-19;1681,-25,15;1686,-5,-4;1698,-6,-1;1701,-6,1;1710,-14,-9;1711,4,12;1719,-7,-1;1720,-18,-3;1724,-13,-4;1736,-3,4;1745,20,3;1747,-4,-6;1757,-15,-1;1767,-11,2;1778,527,18;1782,-539,-22;1812,-45,-1;1860,-11,13;1885,-171,-126;1886,3,-2;2009,-231,-368;2012,375,488;2028,-143,-116;2040,17,36;2044,-241,-550;2050,250,560;2055,-19,-15;2062,-2,-13;2065,-6,-1;2068,-175,-572;2080,-60,131;2098,220,407;2101,-7,3;2112,-9,-20;2118,6,4;2120,-12,-18;2121,9,22;2129,-6,-9;2131,7,3;2135,-10,-10;2139,-31,12;2141,-27,-191;2147,45,156;2149,-48,-85;2153,39,83;2175,-66,-116;2177,265,299;2183,-18,-5;2187,-254,-297;2189,232,294;2190,-153,-200;2196,20,-8;2199,-105,-100;2200,82,88;2217,-10,14;2219,-8,-7;2221,-14,-17;2223,9,11;2225,-4,-3;2247,-8,-11;2249,-2,-5;2255,1,-11;2257,-11,-3;2260,0,1;2270,3,-6;2296,-26,-39;2301,-9,-24;2326,4,17;2338,0,-2;2363,-16,-15;2370,-5,-13;2375,-15,-7;2385,-3,-10;2396,1,-8;2399,-10,-14;2406,16,29;2416,-17,-18;2436,-2,-3;2447,-26,-45;2457,-27,0;2481,5,-6;2499,1,-22;2500,42,54;2504,-2,-16;2511,-38,-61;2515,-5,-5;2517,8,-12;2524,4,6;2557,-13,-49;2558,17,23;2580,-4,-25;2601,-20,-7;2603,9,19;2604,-12,-38;2605,2,12;2611,1,-1;2620,83,-119;2630,-85,81;2645,-11,-5;2655,24,-17;2656,-2,9;2658,22,-23;2670,-10,1;2671,-8,10;2673,-5,-17;2681,-38,33;2708,63,-50;2733,-33,76;2756,34,-87;2768,8,-5;2805,4,-5;2815,25,-40
avenida||joao pinheiro da silva|vila santo antonio de padua|34515410|6,-1989200,-4380176
avenida||joao pinheiro da silva|vila santo antonio de padua|34739899|25,-1988947,-4379801;37,-11,-38;41,-12,-12;51,-1,-2;63,-7,-13;75,-10,-9;91,-5,-10;113,-2,-5;119,-15,-16;136,70,90;195,-94,-126;211,-3,-5;213,-2,-11;217,-8,0;225,-7,-11;234,-20,-82;237,8,65;239,8,7;249,-14,-17;261,-5,-3;265,-4,-1;295,4,-19;297,-1,-12;333,-19,7;334,19,-38;340,-4,-8;341,-37,7;357,-8,-7;363,-7,-13;371,-6,-8;380,28,-4;381,-34,-4;389,125,175;390,-97,-196;397,-40,21;406,26,-23;419,-22,12;484,12,-30;562,-33,-50;724,53,72
avenida||jose candido da silveira|ana lucia|34710138|8,-1987593,-4390392;10,6,-29;18,-10,13;2996,-12,-416;3250,36,156;3252,-5,69;3262,18,48;3270,-2,31;3300,-14,-6;3314,4,21;3326,1,20;3332,-3,17;3338,-3,7;3340,-3,13;3346,-1,0;3356,-5,0;3450,4,25;3500,-3,-330
avenida||raul soares|nossa senhora de fatima|34600360|41,-1985975,-4386227;45,19,-23;47,-15,15;55,-151,78;61,-22,1;68,-32,-22;73,193,-35;81,-8,2;86,-27,0;93,14,-2;95,4,0;109,-29,13;121,-4,15;123,-184,9;133,165,-9;188,-34,18;202,-206,-50;220,206,47;237,-45,-10;238,18,15;250,-25,1;260,-17,-1;274,-4,-1;285,29,13;286,-40,-22;304,-116,-43;310,105,40;311,26,18;318,-41,-32;321,35,34;331,-21,-9;334,-24,-27;336,-157,-30;340,122,26;344,22,-8;348,-27,19;368,-6,-3;374,-21,-7;388,-1,1;394,-27,-7;441,10,3;445,22,6;454,-51,-18;461,17,9;466,-23,-19;470,-11,8;480,-44,-15;485,50,32;490,-22,-26;497,-8,6;505,-21,-6;542,-10,-7;550,28,2;558,-33,-1;560,-4,-8;609,-57,-9;615,-2,-1;617,341,85;620,-337,-84;622,3,-5;629,-13,4;639,-10,-14;653,-13,6;742,-69,-29;750,54,23;754,-71,-38;766,-9,-5;780,71,34;966,-13,2;978,-24,-2;994,-8,-3
beco||estrela do sul|nossa senhora de fatima|34600430|433,-1986418,-4386610;440,4,-73;447,-12,39;450,13,-32;452,-4,2;460,-7,28;470,-2,3;481,4,-16;495,4,-10;501,14,-3
chacara||recanto dos sonhos|vale verde|34500001|45,-1982398,-4373594
estrada||do siqueira|siqueira|34516300|5,-1977426,-4374390;1100,-44,10
estrada||soares|ravena|34739899|23,-1975246,-4374581;100,76,-255
nucleo||agua e sol|ravena|34739899|16,-1980416,-4375580;20,-7,20;30,13,12;176,13,100;177,5,-2;333,24,-150
