comunidade||campestre 2|campestre|36215000|2,-2129703,-4357494;3,57,-166
distrito||bom retiro|bom retiro|36218000|26,-2123740,-4349420;32,7,-41;256,-39,48;266,-11,2
estrada||galego|galego|36215000|5,-2128405,-4357027;55,-339,-164
fazenda||boa fe|bom retiro|36218000|6,-2123957,-4347217
fazenda||indaia|bom retiro|36218000|7,-2124331,-4347990
praca||jose batista machado|centro|36215000|2,-2124629,-4355916;4,16,4;14,-2,-11;16,3,-2;18,5,-6;32,-2,-13;34,-2,-11;52,-2,-23;60,-10,-7;72,-5,-13
praca||juscelino kubtscheck|sagrado coracao de jesus|36215000|14,-2124301,-4356045;31,10,2;39,9,1
rodovia||mg 448|bom retiro|36215000|448,-2123510,-4347792
rodovia||mg 448|centro|36215000|17,-2124758,-4356009;60,40,57;168,-10,-103
rodovia||mg 448|olhos dagua|36215000|78,-2124231,-4353729;486,13,20;592,-40,-73
rodovia||mg 448|professor saturnino|36215000|35,-2124600,-4355337
rua|santa|luzia|sagrado coracao de jesus|36215000|22,-2124288,-4355932;25,3,0;28,-29,1;29,26,-13;33,-17,21;40,-4,-19;45,37,18;48,-45,0;50,9,-7;58,-16,1;60,-2,5;131,-12,-3;151,10,-4
rua|sao|luiz|sagrado coracao de jesus|36215000|2,-2124154,-4355921;5,21,9;9,-95,-11;13,-6,-3;31,18,2;117,-10,5;125,65,7
rua|sao|vicente de paula|centro|36215000|29,-2124581,-4355749;33,-34,-372;35,3,-10;39,-4,-4;65,11,20;81,6,30;95,4,16;100,15,56;101,-12,-47;109,4,6;117,-3,10;131,2,8;139,13,14;171,23,17;178,-35,-55;190,-16,0;201,30,96;205,1,13;219,3,11;221,-21,-108;229,27,115;243,27,11;245,-15,2;257,-17,16;265,0,-3;268,-1,-83;275,-1,100;276,0,-79;283,3,89;290,2,-122;295,0,139;310,-6,-89;333,6,124;335,8,-97;350,-23,8;359,12,102;380,-12,-49;389,9,84;392,1,-82;394,-5,-6;402,22,14;407,-18,85;412,1,-76;419,-1,87;420,0,-78;427,-7,88;450,-20,-65;459,20,92;464,0,-81;472,0,14;477,-3,88;478,9,-65;482,-11,-24;495,0,100;505,10,12;513,-7,12;521,1,8;538,-2,-65;550,-3,21;557,0,80;564,1,-78;574,7,18;588,-10,7;594,2,16
rua|sao|vicente de paula|professor saturnino|36215000|47,-2124586,-4355539;638,1,-84;652,-3,5;676,-8,26;692,5,4;718,4,15;738,7,61;740,-2,-29;742,1,27;766,-12,18;780,3,23;846,-14,47;850,4,23;855,5,0
rua||antonio augusto mendes|sagrado coracao de jesus|36215000|11,-2124237,-4356036;13,144,31;17,-75,-23;19,-31,-13;21,8,9;25,-8,-3;26,-10,8;65,-23,-5;70,7,-4;109,10,1;110,-1,7;156,44,-2;163,23,3;177,15,-3;180,-13,5;185,37,9;237,45,6;243,22,10;249,-20,-4;251,-11,-9;252,-7,-6;255,46,22;263,14,-5;279,13,14;297,58,17;306,53,7;314,-17,-14;315,43,34;316,-46,-12;318,-5,0;320,-23,-12;322,13,4;324,-19,-8;328,-4,0;329,-40,-15;338,27,15;341,-22,-14;343,11,6;345,19,9
rua||antonio salomao|sagrado coracao de jesus|36215000|20,-2124359,-4355833;25,17,3;76,-8,34;84,-10,4;96,17,11;100,-27,25;107,18,15;118,-30,21;122,31,17;126,-7,11;128,-18,11;226,24,-179;247,-5,35;249,7,17;287,-2,59;299,12,-28;301,-10,13;303,-2,8
rua||antonio simplicio da costa|sagrada familia|36215000|49,-2124543,-4356305;63,21,-6;65,-2,-11;71,13,-20;74,2,1;75,-6,3;76,-125,-344;78,130,332;83,-6,-12;99,-6,-20;109,3,-10;123,0,-16;135,0,-13;149,-124,-216;159,8,-21;179,77,213;195,-19,35;199,-20,-31;222,-42,-230
rua||augustinho machado de melo|bom retiro|36215000|11,-2123907,-4349194;18,-105,78;21,115,-97;23,16,-12;33,5,4;37,-3,-5;52,-50,66;57,62,-79;65,3,-7;66,-50,71;69,52,-78;72,-37,57;78,4,4;79,44,-58;81,0,-18;92,-34,60;94,0,-3;97,45,-59;100,-36,54;103,45,-68;108,-41,58;110,15,-14;111,18,-51;112,-10,51;114,-1,-12;116,7,-2;130,27,-31;140,9,-14;154,26,-35;172,-1,15;186,6,-29;188,4,16;189,-192,171
rua||a|centro|36215000|5,-2124807,-4355874;6,-16,-19;7,8,28;17,-7,-18;107,-5,-14
rua||bias fortes|sagrado coracao de jesus|36215000|2,-2124200,-4355996;10,10,31;13,2,-59;21,-3,24;29,0,13;31,59,306;35,-12,-12;42,-54,-295;51,9,11;52,-9,-6;59,18,36;63,-17,-24;69,4,12;82,4,15;84,10,5;103,-6,1;107,10,17;129,-10,20;139,5,9;150,-6,0;151,9,11;160,-8,14;165,12,-6;169,0,33;172,-15,35;182,4,11;186,8,-50;192,-7,20;194,-9,9;207,15,-11;219,12,11;221,-12,49;224,-8,-14;225,3,12;226,9,-3;228,-7,3;231,5,-37;238,6,47;240,-16,19;317,-5,23;319,6,-42;321,12,10;327,-7,42;333,3,-82;371,-7,50;393,11,10;397,13,15;401,9,3;729,-21,9
rua||b|centro|36215000|5,-2124846,-4355870;6,-2,7;10,10,-89;11,-4,-4;111,-8,50;119,-2,32
