corrego||barreira de cima|corrego barreira|39725000|41,-1885162,-4240781
estrada||corrego do pau d alho|corrego do pau alho|39725000|8,-1887293,-4237215
praca|santa|efigenia|centro|39725000|12,-1882706,-4243966;108,16,-8;126,-47,49;127,2,-37;130,11,50;136,40,-38;162,-5,33;166,36,-23;174,-31,29;186,8,3;202,-40,-6;220,56,13
praca||cirilo moreira|centro|39725000|15,-1882941,-4243927;18,50,0;20,-206,142;25,189,-136;26,-96,69;29,70,-212;35,11,149;49,18,-6;51,-21,7;54,-6,-121;64,6,22;76,-16,-77
rua|dona|nazinha|centro|39725000|10,-1882159,-4243907;15,-22,-4;25,-3,1;30,13,7;40,-17,-12;50,-15,5;56,-6,-8;60,-9,4;70,-11,-2;80,-15,1;90,-5,-2;100,-13,-3;110,-12,2;120,-18,-1;131,-56,31;140,32,-30;141,-10,-7
rua|escrivao|jose moreira|centro|39725000|63,-1883080,-4243987;134,6,14;154,27,25;165,-69,-126;220,95,208;224,-8,-17;298,16,12;315,-30,-47;316,23,35;325,-24,-28;328,13,17;335,-22,-33;338,9,16;345,-18,-20;347,1,-16;353,-7,-6;355,-4,5;358,32,28;361,-35,-46;412,357,53;418,-353,-59;423,-28,-67;424,1,17;431,-5,7;438,23,23;446,-12,-25;460,-8,-10;490,-8,-41;514,-3,-30;525,-38,-158;554,84,136;564,-61,-84;599,18,116;623,-14,-23;625,4,-14;633,-6,-8;635,5,-9;688,0,24;728,4,-177;734,-10,-23;774,6,-54;784,7,-1;790,6,-21;796,0,-3;805,-20,69;810,21,-73;815,-14,51;835,9,-58;837,-6,37;845,16,-49;848,4,-7
rua|intendente|amaral|centro|39725000|21,-1881556,-4243889;31,-4,-14;41,-2,-17;61,-2,-1;70,19,9;71,-18,-25;80,10,-23;81,-13,14;82,8,12;91,-30,-14;95,24,-10;102,-2,-15;111,-5,3;112,1,-6
rua|monsenhor|domingos|centro|39725000|1,-1882736,-4243944;11,97,-374;38,-93,344;72,44,-105;86,-17,91;100,21,-123;110,39,66;114,-6,-7;120,3,-3;122,-44,-3;135,15,-66;153,-46,128;165,12,10;171,-1,-20;181,7,-11;191,1,-12;207,11,-15;209,3,8;241,-4,-38;321,29,-140;323,1,-10;409,28,-145;420,-30,162;441,30,-174;470,35,-64;471,-29,0;480,40,3;481,-30,-9;500,58,5;501,-46,-8;505,10,0;510,53,9;530,-90,95;534,108,-85;540,10,-5;550,-57,32
rua|monsenhor|francisco|centro|39725000|9,-1882588,-4244012;13,11,-22;63,9,-14;70,-8,11;73,8,-23
rua|padre|tiago haendriks|centro|39725000|8,-1882568,-4243919;10,-2,14;60,4,-38;75,71,69;85,-69,-48;105,16,-18;117,-3,-31;121,0,-16;135,1,13;145,-4,-15;147,3,-43;183,3,21;185,3,3
rua|prefeito|jose nestor|centro|39725000|35,-1881518,-4243827;40,-104,-42;41,-33,5;45,-41,18;51,52,-16;55,-17,2;60,72,1;61,-44,-14;71,14,5;80,80,-6;91,-88,119;95,6,-10;120,86,-104;130,16,7;140,-19,-5
rua|santo|antonio|centro|39725000|33,-1882435,-4243609;230,-214,-298;247,33,-4;280,22,30;290,9,0;291,44,52;295,129,-32;296,-157,-19;297,-2,38;318,40,-7;338,16,6;348,4,9;368,21,19;393,75,-36
rua|sao|geraldo|centro|39725000|57,-1882935,-4243879;59,-5,-1;60,7,-1;63,-7,-5;64,4,5;70,-3,7;81,-211,42;87,-25,15;95,225,-51;100,8,-10;101,-232,56;105,211,-42;107,-211,43;125,199,-38;129,-5,15;136,-10,-6;148,-7,4;152,-9,3;185,-38,-6;186,6,-3;190,-2,2;200,-20,-2;201,5,12;211,-15,2;220,47,-15;250,-65,-1;254,-21,-2;258,-2,6;267,27,2;285,93,-12;301,-149,14;303,8,-7;305,-5,6;312,116,-1;314,-111,11;350,-34,14
rua|sao|lucas|centro|39725000|6,-1882540,-4244212;8,-18,8;10,-13,1;16,-1,-17;20,-17,-7;21,19,9;25,-12,-5;35,-9,-2;45,-11,3;146,-32,-17
rua|sao|marcos|centro|39725000|35,-1882651,-4244137;40,-11,-6;51,-60,-21;55,34,10;60,-13,-7;67,1,9;70,-12,-13;80,-4,1;90,-42,-10;100,-4,-7;280,87,27
rua|sao|mateus|centro|39725000|30,-1882535,-4244212;35,0,-24;40,6,0;45,1,-13;50,0,4
rua|sao|paulo|centro|39725000|10,-1882446,-4244224;30,6,14;31,22,14;40,-5,5;51,-2,-7;61,15,2;70,-6,4;76,0,0;80,14,4;190,20,-15
rua|sao|pedro|centro|39725000|15,-1882360,-4244216;20,13,-12;25,-6,2;30,11,-8;265,-30,35
