alameda||jacarandas|andrequice|33060030|6,-1963384,-4377739;7,22,3;8,23,7;9,8,2;10,8,-1
avenida||jacarei|sao benedito|33120090|208,-1979529,-4392759;232,-25,1;244,-11,-1;256,-5,-1;262,-12,0;268,-1,2;280,-9,-11;282,1,7;284,5,2;292,-21,-10;304,-7,1;314,-4,-16;730,-4,17;740,2,-3
avenida||rio de janeiro|padre miguel|33082245|16,-1981378,-4389292;26,0,4;29,12,-19;36,-18,29;39,14,-18;49,-8,16;63,-5,11;73,-7,7;74,2,-4;88,-2,17;91,0,-3;93,-1,12;94,-1,-7;99,-33,31;103,30,-21;104,-15,11;110,-12,9;112,-6,5;115,-3,8;121,-7,4;129,32,-25;130,-39,83;131,47,-83;140,-50,75;149,-105,141;150,102,-165;151,7,79;155,-81,66;156,75,-59;159,-25,38;165,-93,48;186,92,-58;195,81,-183;203,-186,253;206,94,-65;216,0,0;226,-15,11;234,-11,9;242,-9,0;249,84,-81;250,-1,-10;254,-90,96;260,-7,1;264,96,-87;281,-57,69;290,41,-32;295,-181,155;299,171,-139;300,-105,55;301,-69,100;304,175,-161;310,-119,73;321,114,-61;336,-9,0;379,-39,22;406,-23,11;416,-15,8;426,-4,2;446,-17,12;452,-6,3;466,-1,3;474,-10,16;484,-9,3;494,-7,3;504,-2,4;514,-10,8;517,5,4;529,-9,11;562,1,-11;572,-11,18;582,1,2;590,-10,10;602,-3,6;610,0,0;612,-4,28;616,1,-7;652,-4,17
beco|sao|joao|palmital|33140560|1,-1976716,-4393102;6,5,21;9,1,-52;11,0,44;12,-3,-3;26,-5,-4;34,1,-15;42,7,-2;50,-2,0;54,-5,-20;57,6,14;59,-1,-14;62,0,-1;73,8,-11;74,-2,10;82,-11,-16;83,14,-3;95,0,-18;97,-2,4;117,4,-7
beco|sao|jose|baronesa|33115140|2,-1979096,-4391202;3,29,-10;4,-2,-11;5,4,3;6,-13,1;7,-2,3;15,-23,16;16,9,7;17,-13,-25;18,17,7;19,-19,-5;20,21,1;21,-22,15;22,14,-6;25,-8,-8;26,0,26;28,6,0;30,2,-13;31,-19,16;39,18,-20;122,-35,15;123,9,0;125,-7,2
beco|sao|jose|baronesa|33115330|6,-1979629,-4391221;10,-27,7;11,5,-18;13,0,2;14,12,-5;15,14,-34;18,9,46;19,-20,-14;21,2,7;22,-2,-3;25,11,-13;27,16,7;28,-6,3;30,10,3;33,3,-10;34,3,7;35,3,-2;38,-17,2;39,-24,-16;41,-16,17;43,60,17;45,-38,-31;49,-8,13;50,-60,48;53,121,-21;63,-8,-2;65,-87,12;105,25,-29;119,-11,7;125,-5,0;155,3,19;275,15,3;280,4,7;282,3,2;300,9,5;305,0,-2;320,14,13;325,-11,-5;330,24,10;395,-16,-7;405,3,7;410,20,2;411,-2,7;420,2,-4
beco|sao|jose|sao benedito|33125290|5,-1979239,-4394333;6,3,-4;7,0,2;513,9,-2
beco||bom jesus|baronesa|33115035|35,-1979878,-4391104;39,0,1;40,6,13;50,14,-22;55,2,-26;185,107,-100
beco||bom jesus|baronesa|33115038|8,-1980014,-4390962;37,-2,8
beco||bom jesus|baronesa|33115310|19,-1979868,-4391096;55,18,-31;64,-28,-33;65,10,59;787,56,-111
beco||bom jesus|baronesa|33120310|1,-1979979,-4390993;2,9,-22;3,38,-19;4,-25,12;5,-69,29;6,0,-4;7,57,-15;8,-51,25;9,142,-74;12,-125,83;15,117,-125;16,-23,69;18,8,-2;20,0,-17;22,21,-14;23,-48,37;41,57,-51;50,5,-24;51,-22,45;60,-77,42;67,113,-136;74,-2,2;79,-180,146;91,171,-141;210,-54,113
