alameda||do oitti|recanto da mata|33060620|31,-1981785,-4378908;33,183,-170;34,105,-57
avenida||inacio loyola de oliveira|palmital|33140830|5,-1977564,-4393639;9,-25,2;11,71,17;12,-49,81;16,12,-95;20,-15,-2;21,31,20;22,7,9;31,-8,-12;32,-21,65;51,5,-63;52,-8,6;61,4,-3;123,-19,91;496,5,-87;913,-3,56;919,-7,37;920,9,-9;924,5,-36;929,-4,-7;931,20,-3;938,-34,-25;940,28,3;941,-20,-2;942,14,8;948,-21,-30;949,2,-1;950,12,-10;952,-20,6;956,3,-8;958,38,0;960,-25,-16;1230,-2,127
avenida||inacio loyola de oliveira|sao cosme|33130690|912,-1977584,-4393554;934,-1,-22;935,-4,-5
avenida||inacio loyola de oliveira|sao cosme|33140830|962,-1977596,-4393645;982,3,4;984,11,-1;1010,-29,-144;1046,20,125;1048,1,-3;1052,-2,-6;1072,-5,-23;1078,-4,-19;1080,-3,-23;1082,6,43;1088,-5,-25;1090,22,-20;1094,-20,21;1099,17,-15;1100,-15,-5
avenida||joaquim lourenco de oliveira|conjunto cristina|33110220|31,-1978364,-4391875;118,206,-515;123,-314,366;128,298,-406;175,-222,396;204,-38,95;215,-8,-21;231,31,33;235,-6,-2;237,8,2;238,-9,-7;240,-138,-170;241,148,186;245,-8,-10;246,10,-5;248,-5,6;250,11,-6;260,1,13;275,16,-2;298,-2,33;305,18,-24;306,-6,34;315,21,-18;336,-2,45;348,0,9;360,9,7;365,20,-33;371,12,54;372,-25,-8;375,27,11;440,27,1;458,13,-6;471,7,-15;478,18,4;483,-11,-28;495,6,-10;498,20,20;518,12,-9;538,-1,-16;560,32,-14;580,-12,-32;581,22,-37;631,15,-17;640,-8,22;650,9,-11;660,23,1;669,-4,-31;680,15,10;683,-11,-13;697,7,-16;708,18,13;723,-3,-31;747,9,-13;761,4,-6;766,22,9;786,20,-11;789,-17,-12;803,2,-20;806,15,15;815,-4,-19;826,17,-2;827,-7,-15;863,2,-39;877,19,30;891,-18,-17;936,-3,-27;960,0,0;1024,-39,-98;1036,-94,-200;1048,82,179;1059,-13,-8;1060,3,-2;1072,-1,-22;1079,-14,4;1084,2,-3;1089,0,5;1096,-1,-20;1099,-3,-4;1108,4,0;1115,-12,-1;1119,-8,-15;1120,12,-2;1132,-9,-11;1135,-6,16;1144,1,-26;1147,-1,9;1156,2,-10;1159,-13,2;1168,3,-19;1171,-8,12;1180,6,-21;1183,-8,5;1192,5,-14;1195,-8,1;1204,7,-3;1207,-7,-16;1216,-3,0;1219,-7,2;1228,6,-9;1231,-9,7;1240,8,-20;1243,-11,-2;1257,-4,-10;1258,5,1;1259,-12,-2;1261,-15,3;1270,27,-6
avenida||joaquim lourenco de oliveira|cristina|33110220|297,-1978513,-4392267
avenida||oceania|baronesa|33115140|23,-1979114,-4391287;27,2,-3;41,-11,16;58,-4,25;67,-1,8;69,-1,4;73,1,4;75,2,-60;80,-3,47;82,-6,21;84,5,-1;86,13,-43;92,-16,47;98,9,-44;104,-3,12;106,-19,50;108,5,2;110,17,-46;118,-11,60;119,-3,-23;121,6,20;127,-5,13;129,-2,5;135,7,13;136,-14,2;146,-28,96;147,42,-91;149,-1,6;151,-7,4;159,-8,7;166,-1,-4;173,-27,120;179,23,-110;188,-15,16;190,9,5;201,2,7;210,-8,-5;212,1,13;213,16,-3;221,-11,-5;222,-7,12;234,3,13;235,-1,-7;246,-10,18;251,-2,6;254,-2,11;255,10,-7;257,-3,8;258,-6,-11;260,-69,6;265,63,15;267,-3,4;269,10,11;271,2,16;277,7,4;278,-71,-49;284,10,14;294,11,-1;300,-72,-43;308,33,12;309,60,41;310,-14,-11;312,60,59;315,-76,-74;320,-39,-11;322,66,38;332,10,12;378,25,23;394,9,15;400,12,7;410,7,4;420,28,20;438,7,8;468,13,12;482,3,6;498,15,11;516,6,7;534,12,5;548,21,42;550,-4,-9;554,-13,55;560,-12,0;564,20,-24;570,-29,30;572,36,-41;578,-49,50;580,-18,12;588,-11,2;600,-21,15;602,-4,0;614,-18,8;628,-11,7;638,-10,5;652,-10,9;662,-7,-2;674,-13,7;817,-211,138;846,194,-145;927,-31,53;936,-13,19;953,13,-15;955,-2,14;957,-7,5;959,-3,1;961,-11,12;963,-3,6;967,-5,3;982,-13,4;995,2,4;998,-26,-4;999,14,10;1001,-2,2;1011,-6,-1;1015,-9,17;1017,-5,-2;1026,-2,-6;1027,1,2;1029,-16,7;1031,-1,24;1035,-2,-24;1036,3,-12;1037,-12,22;1043,-5,20;1048,5,-28;1049,0,-3;1060,-1,1;1061,-38,17;1072,25,-18;1073,-33,25;1080,-4,0;1085,3,0;1088,-12,17;1090,-14,-6;1097,16,0;1108,-12,9;1109,6,8
avenida||oceania|chacaras del rey|33115140|59,-1979136,-4390763;320,-82,47;326,6,-10;499,154,-80;533,26,-64;537,-1,8;539,-7,-27;541,9,32;543,-7,5;545,10,1;547,0,-3;551,-6,11;553,0,1;555,-10,20;557,3,7;559,-5,3;561,-38,23;563,21,-11;565,-8,2;567,-18,13;569,-11,3;571,40,-22;573,-47,27;579,-5,2;581,35,-13;589,-41,13;597,-8,6;601,-9,4;605,-7,3;615,-5,4;657,-16,7;659,-11,10;663,-8,3;665,-3,1;667,-10,2;673,0,4
avenida||oito|frimisa|33045090|35,-1975337,-4388134;37,-78,-154;39,7,14;45,-8,-17;50,146,190;61,-152,-204;63,-13,-15;115,91,124;201,-79,-246;253,14,-39;265,-3,-10;277,14,-9;289,8,-12;301,2,-12;313,0,-3;325,9,-19;363,11,-22;375,7,-11;387,4,-13;399,7,-5;411,3,-15;423,6,-8;730,-5,420;1015,-94,-152
avenida||oito|frimisa|33045170|50,-1975308,-4388136;90,-14,-42
avenida||oito|palmital|33140000|210,-1976978,-4393212;1808,-8,-1
avenida||ortocrim|belo vale|33113010|279,-1978029,-4391046;309,4,-14
avenida||ortocrim|belo vale|33113012|15,-1977869,-4391121;159,-263,200;165,-2,-3;169,29,-40;253,44,-59;435,55,-100;500,99,99
beco||das orquideas|sao benedito|33120000|160,-1978746,-4392645;161,0,-4
