acesso|agricultor|rua pedro sobrinho|fundo de pasto margem da linha ferrea|36240027|2,-2144093,-4363881;20,25,-45;23,26,-39;87,11,-28;126,24,-27;335,-242,1316
acesso||rua a|sao miguel|36247899|9,-2146219,-4355711;15,-20,-7;35,-126,44
acesso||rua manoel de paiva escada|corrego do ouro|36244180|297,-2145469,-4353492
alameda||herminia chaves pedro|centro|36240090|6,-2145767,-4355221;11,1,-3;26,-2,-19;29,0,5;39,-3,-12;40,-2,-1;45,0,-2;46,2,7;48,3,-2;51,-1,-14;52,4,10;53,-4,-7;58,-4,0
alameda||pedro matias|sao sebastiao|36246066|8,-2147072,-4355254;14,-16,10;17,0,1;18,13,-6;27,-9,20;30,1,-5;37,4,14;40,1,0;45,19,5;46,-20,-2;48,4,5;55,9,5
arraial||pinho novo|pinho novo|36247899|33,-2141497,-4359851;80,10,-97;365,-174,-516
arraial||soledade|soledade|36247899|124,-2142236,-4358968
avenida|deputado|wilson modesto ribeiro|graminha|36242268|152,-2145290,-4355379;168,17,-3;169,-4,-3;174,218,49;176,-213,-58;179,3,-12;184,0,8;194,7,-2;195,4,-4;197,11,-3;203,125,121;206,-126,-124;207,10,-8;209,12,-2;214,-17,8;216,4,-9;224,7,2;234,8,-2;237,20,-21;240,-13,9;254,8,-11;255,-12,5;268,21,9;275,-1,-31;291,13,11;297,3,2;307,7,8;317,18,10;320,-7,-10;325,19,9;329,-1,-7;330,-4,-2;333,2,2;342,10,-2;356,7,10;360,8,-8;361,-2,12;367,6,-2;370,2,1;377,5,7;380,0,-9;383,7,13;387,0,1;390,5,-4;397,3,10;404,8,-1;409,2,-3;414,8,11;421,3,-10;424,-1,7;435,9,-2;445,6,4;452,6,4;453,31,-5;455,-21,5;462,-7,-3;465,10,-3;469,-7,3;482,23,13;492,19,7;502,5,-4;520,4,45;522,-6,-37;550,-10,49;570,-22,-5;580,0,0;584,-4,3;585,36,3;592,-40,-5;601,29,13;608,-41,-13;618,-15,-11;628,4,-2;632,-13,-5;638,-22,1;639,54,21;642,24,5;649,-36,-18;650,-52,-7;664,60,16;680,-75,-19;689,35,4;698,-44,-4;715,23,-8;719,-1,1;725,-12,0;728,-32,-2;737,27,1;745,-5,-2;755,-21,4;765,-11,4;775,4,-2;787,-21,-1;792,23,-8;798,15,6;800,-37,1;806,-16,12;808,-2,-2;810,-9,-14;813,10,13;823,-6,13;826,-9,-16;828,6,9;833,-2,17;845,2,14;879,16,1;881,16,6;882,-20,-3;891,35,10;892,-51,-11;902,36,8;906,10,-6;908,4,11;911,11,-10;918,23,20;923,-14,-10;929,2,-3;930,11,13;931,-4,1;933,21,-2;944,-16,1;957,100,20;1010,-82,-2;1020,3,15;1060,23,-5;1100,1,10;1274,170,-87;1303,12,-96;1313,18,-2;1329,38,7;1339,-8,-23;1349,10,3;1355,254,-107;1359,-239,111;1361,4,0;1381,8,-5;1399,13,4;1401,13,-4;1413,1,-13;1423,15,2;1433,6,-1;1470,-3,1;1490,15,2;1500,-10,-4;1553,140,-73;1554,-89,39;1572,11,-9;1578,26,3;1603,131,-59;1678,-59,26;1792,100,-43;1838,33,-35;1846,13,7;1858,7,5;1878,20,-18;1908,32,-15;1925,-40,35;1928,67,-51;1935,-56,28;1958,74,-53;1964,10,-5;1965,-45,43;1966,-21,-1;1968,100,-10;1969,-59,-5;1975,-18,11;1978,-38,2;2005,89,-21;2006,56,-31;2021,-41,12;2055,34,-17;2085,23,-13;2097,10,2;2123,13,-1;2131,21,-12;2135,-8,-14;2155,31,18;2165,11,-4;2170,-2,3;2185,65,0;2195,-54,-12;2215,78,-10;2225,-45,20;2866,447,210;2868,2,46;2870,9,30;2900,21,53;2910,-4,20;2926,23,24
avenida|doutor|joao lopes|patrimonio dos paiva|36247899|100,-2140135,-4363170;102,-21,-13;103,0,-41;104,-3,9;105,11,-16;106,9,19;107,3,-25;109,7,-21;110,-12,31;112,5,-13;114,6,-4;401,76,-51;403,8,-3;405,16,-15;407,25,-30
avenida|presidente|castelo branco|nossa senhora de fatima|36240270|145,-2146401,-4355805;203,376,148;216,10,-3;221,-19,-15;231,-1,-21;257,-26,1;269,-15,-30;276,28,0;279,-33,-15;296,17,10;299,-20,-4;306,15,-2;315,-35,-9;317,-4,-12;326,14,12;336,-11,-6;346,-9,-9;355,-22,-6;356,19,5;357,-25,-8;367,-16,-14;383,-2,-10;386,27,19;391,-35,-20;406,22,11;416,-3,-3;436,-9,-8;446,-11,-9;456,-8,-3;476,-9,-17;501,-44,-26;537,-27,-12;549,-9,-5;567,-16,2;573,-15,2;580,7,-8;585,-18,18;595,-5,-6;600,1,-3;605,-9,48;606,5,-45;630,-44,24;644,8,16;646,0,0;649,28,4;651,-18,-17;654,-15,33;659,39,-13;671,-42,5;709,-19,37;720,-1,-7;723,-5,14;725,2,1;731,-7,-3;739,-7,20;746,-2,2;749,-13,-12;767,-8,-2;777,-10,-4;778,0,6;789,-14,-6;807,-7,10;810,-9,-11;813,-4,0;817,2,-7;819,-9,-5;820,-11,9;825,4,-4;835,-3,0;840,-17,-12;845,6,5;855,-5,-9;863,-2,3;869,-10,-5;871,0,-12;878,2,-22;879,-6,13;888,2,-20;889,-7,4;901,-1,0;909,-1,-5;915,-8,-9;918,16,-3;919,-5,-9;921,4,-13;926,0,19;940,0,-21;944,6,-12;946,3,0;947,-18,-1;955,10,2;961,-1,-15;975,10,-4;985,3,-10;994,10,-3;995,-4,-1;1005,8,-6;1006,2,-6;1013,-1,-1;1025,7,-13;1026,-4,8;1035,7,-17;1045,8,-5;1055,12,-9;1056,-6,2;1065,5,-14;1066,0,11;1075,2,10;1076,1,-27;1085,4,-11;1086,3,2;1093,-3,-2;1096,9,-3;1103,4,-4;1111,12,-4;1115,2,-3;1116,-7,0;1121,14,4;1130,2,3;1131,14,-2;1147,8,2;1187,32,-5
avenida|presidente|castelo branco|sao miguel|36240270|1164,-2146384,-4355976;1170,5,-2;1174,2,-8;1774,-3,16
avenida|presidente|getulio vargas|centro|36240075|9,-2145416,-4355253;19,-10,11;27,-6,-1;37,2,5;41,-19,8;57,6,29;61,-11,-25;65,-2,-4;69,-32,-11;83,20,3;85,-11,16;87,5,21;95,-11,-16;101,-13,0;109,1,2;129,-27,9;133,1,-11;141,-11,2;143,5,-4;149,19,3;157,-70,27;171,32,-6;197,-52,1;209,-4,0;223,-11,19;227,1,-10;231,-14,-4;235,0,-13;265,-1,6;269,-23,-19;273,-9,35;277,1,-21;279,-5,-7;287,6,5;289,-12,-1;305,-22,-1;309,12,7;311,-7,58;313,1,-41;339,-27,-12;343,-8,10;373,-12,-10;377,-14,25;391,-14,-33;397,-4,5;399,15,7;413,-20,-10;425,-21,10;439,-16,30;447,2,-15;453,-8,-16;459,3,-5;467,0,9;469,-11,-20;477,-14,16;485,-1,-4;493,-11,4;507,-3,16;547,-51,-16;563,-25,3;605,-25,-13;629,-8,-14;635,-9,0;637,-1,-4;641,-4,-3;645,-20,8;647,160,18
avenida|presidente|getulio vargas|centro|36240078|64,-2145428,-4355246;74,-18,6;96,-19,2;110,-5,4;120,-11,8;138,-9,16;150,-10,-9;160,-14,10;186,-21,6;190,-4,6;200,-51,19;204,-12,7;210,2,-3;216,1,4;262,-48,-36;276,-1,7;300,-23,2;316,-17,-6;320,0,5;324,-17,3;330,-1,-5;342,-5,-3;346,-3,0;358,-18,-2;364,5,1;368,-6,2;378,-18,-7;384,-2,-1;414,-17,10;418,-13,-2;432,-17,-10;456,-17,19;468,-8,-4;476,-14,-5;488,-21,-5;510,-5,5;520,-17,-2
avenida||francisco inacio de almeida|boa vista|36246380|87,-2146911,-4354213
avenida||gustavo carlos de sa|dores|36249000|8,-2151043,-4361329;50,-42,-56;71,43,49;217,-7,-7;243,166,135;340,-18,-2;350,21,16;450,173,124;489,-96,-52;490,48,36;500,-41,-38;513,94,86;750,75,93;766,-55,-60;775,77,65;778,-24,18;798,-3,30;820,-1,16;844,-1,8;868,-6,19;878,-4,19;894,-4,15;902,3,1;912,0,10;930,4,24;962,25,18;974,5,8;1022,26,31;1036,1,22;1038,-5,3;1056,11,22;1076,-3,9;1096,5,17;1122,2,22
avenida||palmira|corrego do ouro|36244195|5,-2145701,-4353970;6,-4,2;8,-3,-11;13,12,19;23,6,3;28,-3,7;33,11,3;34,-4,1;37,2,6;42,-1,3;46,5,5;47,3,2;50,-1,-4;70,4,16;74,-69,136;75,99,14;76,-38,-135;78,7,-7;80,41,67;84,-22,-49;85,2,-12;87,0,12;103,3,15;106,-13,-1;110,-82,151;113,102,-144;116,-17,0;120,14,-7;125,3,11;130,10,8;135,-11,0;151,7,18;163,0,20;166,1,-14;170,11,4;178,1,30;199,8,-6;202,6,2;207,6,9;208,0,4;216,-6,-3;217,8,7;224,8,1;227,3,7;232,-4,-2;237,14,7;240,-11,4;248,8,0;249,-6,10;254,16,-10;257,-13,17;258,8,8;261,14,-15;265,-15,20;267,-2,10;276,3,-12;280,7,9;295,11,16;297,10,10;302,-8,-18;303,10,28;309,1,3;315,10,21;322,-11,-21;346,3,12;354,21,-3;362,-15,25;374,6,-1;386,-14,31;387,20,-20;394,15,15;397,-7,-9;409,17,16;417,6,2;427,1,12;457,1,7;477,16,10;487,1,8;497,8,2;523,-14,12;530,33,4;548,8,13;562,42,9;576,7,4;586,9,0;597,-42,83;606,52,-75;610,-31,34;615,39,-32;622,-368,-508;631,376,538;641,1,-2;657,-13,15;661,-9,9;731,-51,17
avenida||rui barbosa|centro|36240108|8,-2145473,-4355370;18,-16,-11;28,-13,-17;52,-22,-16;62,-2,-9;71,-7,-9;78,2,4;80,17,-13;81,-19,21;89,-3,-2;90,-3,-14;103,-2,6;108,-16,-17;110,0,-8;118,2,-1;120,-3,-6;125,6,16;134,-9,-24;139,-10,2;149,-11,-13;150,8,-3;158,-6,-14;164,-9,-8;172,-6,-3;180,-16,-18;196,0,-3;200,-5,4;201,11,8;210,-11,-20;214,-7,-3;228,-4,-10;239,1,36;251,-11,-25;258,-12,-31;262,-2,-8;267,1,24;278,-10,-34;282,-1,1;292,-5,-4;301,14,32;304,-21,-42;308,-1,-4;320,-6,-8;325,10,28;334,-22,-33;337,8,22;348,-38,-60;400,-22,-19;422,0,-5;429,40,56;436,-51,-66;439,43,56;446,-45,-60;447,53,60;451,-24,-12;454,-40,-49;463,36,34;470,-38,-47;485,15,27;486,-22,-34;490,-4,-12;500,-10,-1;502,3,-10;515,15,34;517,-7,-7;523,1,-7;541,-7,-5;549,-20,-8
beco||2|santo antonio|36240370|500,-2146683,-4357956
beco||amorins|quarto deposito|36246290|45,-2146434,-4354327;56,7,-11;75,-45,35;545,5,-3;547,-5,4;585,-25,25;820,49,-44
beco||carvalho leite|graminha|36242264|21,-2145333,-4355407;31,8,-1;41,-3,-15;44,4,10;46,-14,13;48,-4,-6;68,25,6
beco||cinco|corrego do ouro|36244159|56,-2145403,-4353223;86,-9,13;1108,19,-13;1110,-32,26
beco||da rua machado de assis|corrego do ouro|36244159|733,-2145607,-4353492;735,-14,5;739,14,-10
beco||jose justino de assis|nossa senhora das gracas|36247899|33,-2146187,-4356072;86,6,23
beco||sem denominacao|conceicao do formoso|36248970|18,-2142759,-4336063
beco||sem denominacao|quarto deposito|36246320|615,-2147276,-4354354;645,-4,10
beco||tamoios|sao sebastiao|36246150|15,-2147121,-4355399;27,30,-24
caminho||sem denominacao|agua espraiada|36246250|321,-2147976,-4354440
comunidade||mandembo|usina|36247899|443,-2146996,-4349254
escadao||sem denominacao|graminha|36242312|1243,-2144950,-4355415;1293,30,-24
escadao||sem denominacao|quarto deposito|36246371|457,-2147374,-4354345;715,4,4
escada||joao bernardino silva|sao miguel|36247899|605,-2146239,-4355773;647,0,0
escada||sem denominacao|corrego do ouro|36244255|45,-2145285,-4353029
escada||sem denominacao|da gloria|36247899|229,-2145797,-4356032;239,56,28
escada||sem denominacao|das gracas|36247899|10,-2146066,-4355928;373,1,20
escada||sem denominacao|nossa senhora das gracas|36247899|357,-2146058,-4355929;361,-23,8
escada||sem denominacao|quarto deposito|36246371|10,-2147388,-4354286;15,0,-8
estrada|sao|joao da serra formoso|formoso|36240027|230,-2143688,-4336593
estrada|sao|joao da serra|usina|36240096|7,-2148502,-4348025
estrada|vereador|pedro marques da silva|formoso|36240027|6,-2142776,-4336191
estrada|vereador|pedro marques da silva|francesa|36247899|15,-2148906,-4353292;18,0,-35;20,-5,5;35,2,69;40,-1,50;47,11,-6
estrada||br 040|barra|36242420|2743,-2143172,-4355244;2763,21,-12
estrada||br 040|barra|36242448|42,-2143443,-4355229;110,58,-36;120,14,9;130,10,-1;2662,-69,13
estrada||br 040|francesa|36247899|1,-2148978,-4353606;2,-1130,43;5,918,-106;170,15,26
estrada||calaboca|cala boca|36240001|369,-2148253,-4355462;381,-23,-18
estrada||campo alegre|campo alegre|36240001|14,-2141997,-4352117;141,-7,334;261,-31,-73;275,10,7;315,-39,-48
estrada||campo alegre|ponte preta|36244460|17,-2143478,-4351391
estrada||campo alegre|rio pinho|36244460|120,-2142125,-4351724;125,-27,-8;136,153,-53
estrada||da pedreira|quarto deposito|36246311|505,-2146442,-4354087;509,3,13;525,-1,11;545,1,11;553,-23,-86;563,4,21;573,4,10;583,0,-7
estrada||da ponte preta|ponte preta|36244258|625,-2144442,-4352178;1610,387,832;2181,-401,-855;2183,4,13;2203,4,4;2213,19,19;2215,-1,12;2217,6,15;2218,6,9;2219,19,41;2223,5,4;2225,-20,-31;2226,37,57;2227,-38,-66;2230,58,80;2233,-30,-38;2243,8,12;2274,33,36;2284,7,7;2288,2,10;2293,-107,-156;2306,109,162;2313,27,-3;2319,-99,-86;2326,5,5;2333,120,110;2335,-138,-92;2343,156,104;3110,-56,-39;3118,15,17;3128,-1,0;3148,23,18;3188,27,22;3193,1,-4;3288,115,214
estrada||da ponte|ponte preta|36244258|75,-2144285,-4351462;1531,-14,-23
estrada||da ponte|ponte preta|36244344|601,-2143899,-4351072
estrada||da ponte|ponte preta|36247899|98,-2144586,-4349810;100,163,-306
estrada||da soledade|da gloria|36242214|29,-2145257,-4357568;30,-12,-17;34,-25,2;529,-49,74;565,51,-25;575,0,7;585,12,-10;595,15,-5;600,-10,9;627,35,-16;637,2,0;647,11,-8;657,12,7;677,20,-7;885,-74,30;896,10,-12
estrada||mantiqueira de baixo|mantiqueira de baixo|36240027|1080,-2144380,-4365186
estrada||para ewbank|tres pontes|36247899|2,-2151353,-4348005;5,48,-141
estrada||para patrimonio da serra|patrimonio da serra|36240001|1,-2148677,-4351005;2,3,526;14,-2,-188;20,51,241;21,0,3;24,-6,152;51,-1,-227;53,6,34;59,6,55;67,-8,37;105,-20,-125;134,37,372;325,-30,-473;335,-5,-41;1600,-170,-1769;1701,152,490;1850,42,1516;1908,-20,62;1948,18,-74;2000,-13,-57;3141,-57,-330;3151,15,4;3171,-13,28;3190,3,26;3217,18,14;3437,49,185;3690,5,286;3692,-18,-40;3702,0,16;3730,21,35;3751,110,-19;3770,-65,81;3820,-16,36;3894,-42,33;3900,-11,9;3920,-22,13;3940,-21,9;4000,-37,7;4150,-70,-10;4200,-37,-3;4260,-87,28;4280,-22,21;4310,-15,13;4330,-27,6
estrada||para pedreira|quarto deposito|36246311|424,-2146471,-4354140;426,5,-6;446,10,23;452,-5,8;464,4,16;470,3,9;476,6,11;486,5,12;494,1,4;504,1,3;510,4,19;516,7,5;534,-26,-93;536,26,107;546,8,8;586,29,-7
estrada||para taquarucu|taquarucu|36240001|58,-2154482,-4357222
estrada||patrimonio dos paivas|mantiqueira de baixo|36240001|1,-2143456,-4364368
estrada||ponte preta|ponte preta|36247899|2,-2144359,-4350651;3,-11,-278;8,-170,1013;10,-33,60;80,155,-279;999,-165,315;1989,-4,16
estrada||real|mantiqueira|36248500|301,-2144991,-4365651;999,-114,-21
estrada||rio pinho|rio pinho|36244460|15,-2140573,-4351632;300,-387,45;900,374,-37;901,16,-9;902,4,-2
estrada||santos dumont sao joao da serra|usina guary|36246290|171,-2148505,-4345404
