alameda||das dracenas|portal vila rica|36302729|90,-2110038,-4421380;104,-11,5;154,20,-25;347,-8,6;349,-4,3
avenida||oito de dezembro|bonfim|36307250|1,-2113962,-4424778;2,-15,-13;3,52,-90;4,-6,-3;17,37,-144;18,28,58;125,-29,47;277,-34,39;281,-24,22;301,-19,19
avenida||oito de dezembro|centro|36307250|3,-2113432,-4425454;7,-171,74;9,18,79;10,154,-159;13,-5,22;21,-176,66;29,170,-60;30,-9,-12;31,8,20;33,-164,103;38,140,-98;45,-145,93;51,161,-72;56,-29,-41;58,-138,96;59,-7,3;72,1,-6;73,-8,-2;77,159,-41;80,-8,-19;88,-6,15;93,-170,73;99,167,-57;100,6,-12;104,-5,-6;105,-5,23;106,4,-12;107,-176,71;112,129,-91;117,33,50;126,-4,-24;133,2,26;138,-7,-22;149,-1,33;156,-10,-15;161,4,19;168,-18,-10;183,2,30;184,-8,-22;199,4,28;202,-10,-25;204,0,5;207,-3,17;210,-9,-3;217,8,17;218,-7,-13;226,-13,10;229,6,20;241,-9,9;253,-3,2;272,-30,-1;293,19,17;295,-21,5;296,1,-4;303,-3,19;308,-4,-13;310,-20,-32;315,5,64;322,9,-14;325,-13,11;332,9,-6;334,-12,6;354,-4,2;358,-2,4;372,-9,12;382,-7,4;391,4,14;393,-7,5;415,-24,28;574,-94,89;586,-9,9;600,-8,8;604,-1,-3;622,-14,20;626,-4,2;644,-11,17;648,-3,-1;666,-12,16;670,0,1;686,-9,10;696,-7,13
avenida||santos dumont|matozinhos|36305180|17,-2113513,-4423432;22,189,-275;28,-4,11;30,-4,-1;72,76,-112;124,-67,127;126,-13,-1;130,-15,17;145,-38,69;281,283,-506;288,4,-8;360,0,-14;370,5,8;372,-1,8;374,-5,-26;378,5,32;380,0,-1;382,-7,6;385,9,-34;390,-2,32;391,-6,2;393,5,11;395,-2,-16;397,-5,17;414,0,13;415,3,11;419,4,17;420,-6,9;426,4,-23;427,-2,-3;436,-6,14;438,-5,7;440,6,-3;441,-3,8;445,-1,12;446,-260,374;465,246,-348;475,-12,20;481,13,19;489,-12,-11;491,11,-31;493,4,61;535,-17,-5;547,-19,14;549,17,4;553,-1,14;557,-33,-34;567,7,26;586,-27,3;587,22,10;589,14,16;590,-37,-25;595,13,19;600,-13,-17;604,-5,9;610,-7,8;611,20,10;614,-23,-10;616,-1,11;618,-3,4;622,-5,5;626,-10,9;629,33,-13;630,-23,20;634,-6,4;644,-7,27;654,-13,10;662,-3,9;668,9,-12;674,-9,8;680,8,5;690,-16,7;691,83,-46;693,-34,-12;695,-3,5;697,-13,9;700,-44,56;701,42,-49;709,-1,8;720,-41,58;721,11,-29;723,-9,9;725,15,-15;727,-14,22;730,-12,25;731,13,-20;735,0,5;737,-34,19;740,4,5;751,7,0;759,-2,14;760,-8,-16;761,9,15;764,-15,-4;765,9,10;766,-2,29;780,-47,20;790,-11,16;800,-2,5;820,-3,6;832,-9,9;840,-9,8;850,-2,-5;860,0,25;870,0,-10;872,-10,13;874,-5,5;895,76,-91;900,-95,113;908,3,2;909,65,-97;915,-8,18;916,-61,87;920,-12,-1;921,75,-88;926,-81,95;944,-3,4;954,-2,4;955,58,-72;964,-63,79;967,57,-68;969,-1,0;979,-10,7;983,2,4;986,-59,73;998,-27,41;1025,71,-90;1027,8,11;1037,-78,84;1110,0,-21;1126,8,3;1128,-7,11;1130,-19,28;1140,-27,45;1145,41,-56;1147,-11,15;1148,-11,11;1149,36,-3;1150,-43,21;1151,45,-20;1152,-50,18;1153,23,-22;1154,-7,3;1155,5,-2;1160,-18,27;1162,-15,18;1163,-8,10;1164,19,-16;1165,-23,26;1166,6,-9;1200,-47,15;1225,33,-6;1237,-14,10;1241,-1,3
avenida||santos dumont|vila santa terezinha|36305180|2,-2112973,-4424395;3,3,-10;4,9,4;7,-16,6;10,-4,13;16,-10,-1;22,-13,10;35,15,-15;37,-8,6;39,11,-4;43,-66,63;44,-7,5;45,9,-1;47,-4,15;49,-5,7;55,17,-42;57,-4,11;59,-26,48;75,38,-65;77,10,-11;85,18,-20;87,-15,0;125,-41,72;298,-16,96;300,20,-87;304,-30,70;308,3,-11;309,-5,34;310,7,-3;311,-13,7;314,13,-48;315,-11,54;316,17,-60;317,-16,84;318,21,-95;319,-23,77;320,30,-78;321,-29,78;322,10,-3;323,-19,21;324,34,-116;325,-22,102;326,24,-99;327,-30,118;350,15,-27;470,-9,5;480,-8,4;482,16,23;490,3,8;1272,-524,760;1278,0,-6;1286,-8,-6;1290,0,2;1292,-6,-9;1311,-14,-25;1323,-12,-3;1326,-2,1;1333,7,9;1335,-13,-14;1336,-15,-18;1363,-12,1
beco||sem denominacao|bom pastor|36305198|13,-2113177,-4423056;15,-13,-10;23,-6,1
beco||sem denominacao|bonfim|36300001|25,-2114641,-4426016;33,-1,3;35,-4,7;37,6,0;43,-5,21
beco||sem denominacao|centro|36300070|3,-2113354,-4426045;121,12,-3
beco||sem denominacao|centro|36300212|2,-2113334,-4426424;5,-9,-2;6,6,-9;9,4,3
beco||sem denominacao|colonia do marcal|36302016|1,-2109650,-4423078;2,-1,-6;3,-16,-3;4,8,-2;5,-5,-3
beco||sem denominacao|januario|36300001|33,-2123609,-4437412
beco||sem denominacao|sao sebastiao da vitoria|36316000|5,-2124455,-4441428;105,-11,-29;107,-11,18
estrada||sem denominacao|bonfim|36300001|42,-2116009,-4426558;43,-1,16
estrada||sem denominacao|rio acima|36307531|75,-2116434,-4426574
estrada||sem denominacao|vila brasil|36307598|22,-2115405,-4425266
estrada||sem denominacao|vila brasil|36307606|70,-2115276,-4424702
estrada||sobe e desce|morro grande|36314899|4,-2117895,-4426342
praca||afonso dalle|centro|36301012|312,-2113042,-4425118;316,28,-6;320,-3,4;324,-2,9;328,7,-4;330,-8,7;336,-6,2;338,5,1;342,1,2
praca||dos democratas|colonia do marcal|36302120|310,-2111500,-4423344
praca||jose nicolau dinalli|centro|36301008|39,-2112900,-4425203;41,7,-7;49,7,-2;53,0,-2
rua|expedicionario|lino detomi|colonia do marcal|36302836|1,-2109334,-4423097;3,-14,32;9,32,-49;15,11,9;20,-4,-1;25,11,9;30,-6,-2;44,-9,-30;50,18,-26;56,-1,0;58,-12,1;60,23,-16;64,-54,81;69,17,-31;70,42,-63;74,-44,77;76,-9,22;96,73,-137;133,-52,84;135,7,-13;146,6,10;153,-5,-20;155,5,-4;157,6,-8;159,3,-3;163,9,-8;171,14,-36;173,8,-12;175,4,-15;177,-23,61;179,41,-76;180,-6,9;182,-25,54;185,0,-10;203,22,-48
rua|fiscal|antonio damaso|centro|36300010|15,-2113010,-4425478;29,18,10;31,2,0;36,0,3;41,16,-1;44,-11,3;46,9,-1;49,9,4;50,-2,-7;52,-9,4;53,21,-4;55,-17,13;56,4,-8;60,0,5;64,13,-21;69,9,11;90,6,5;93,9,-7;94,7,-6;99,-3,-9;103,-3,-2;107,-2,-1;108,-5,5;110,25,-5;111,-17,-15;119,11,-7;121,4,-1;125,14,-2;129,-5,-13;142,0,-1;152,12,-2;154,-9,-12;166,11,-2;168,-6,-8;170,16,-3;175,-106,79;182,91,-90;184,4,0;189,-2,-14;199,12,8;203,0,-12;207,16,5;213,2,-9
rua|imigrante|marcos davim|colonia do marcal|36302264|27,-2110829,-4422715;32,5,-10;39,-7,12;40,-8,11;45,3,2;50,-7,10;52,-4,3;55,10,-10;58,-17,33;67,8,-15;90,-16,18;91,6,-1;95,-2,4;96,-6,10;99,6,-5;100,-17,25;110,7,-9;121,5,-13;130,-13,31;150,-9,19;160,-4,5;180,-15,28;184,0,6;190,-8,12;232,-6,2;241,38,-61;266,-40,82;267,14,-28;270,-24,42;276,-8,11;290,-6,8;329,5,19;331,6,-19;333,-13,16;339,40,-73;341,-9,18;347,14,7;351,-16,-1
rua|marechal|deodoro|centro|36300074|1,-2113591,-4426147;4,-3,-2;10,2,-4;11,9,9;12,-14,-6;13,62,43;16,-61,-48;17,24,16;24,-30,-21;25,32,26;28,-18,-15;29,18,24;30,-29,-27;33,30,26;34,-46,-31;35,55,26;36,-31,-15;37,31,18;38,-1,-4;40,4,-2;43,-2,7;44,3,-1;45,-2,4;47,1,9;48,11,-8;51,-8,10;52,16,-1;56,-1,1;57,-11,1;60,15,-1;67,-5,4;73,-2,-1;74,1,-1;75,10,4;82,7,-13;85,-2,19;87,3,3;90,-9,5;94,16,-8;111,8,15;116,12,-3;120,8,7;121,-19,-2;122,15,-7;123,-14,12;124,22,-7;125,-19,6;127,7,5;130,12,-5;131,-2,12;132,3,-12;140,5,6;144,2,5;145,-3,4;148,4,-3;149,-1,2;153,-5,7;156,9,-11;157,-8,9;158,16,-5;161,0,3;162,-4,10;166,2,-3;167,2,-9;169,1,10;172,3,10;173,0,-11;179,3,2;180,2,8;181,1,-4;186,1,6;190,8,-5;191,-5,0;196,10,3;200,4,14;201,-6,-7;204,10,8;209,0,-8;218,4,14;222,-1,-1;225,4,-4;227,-6,8;228,-11,-2;230,17,1;232,6,12;236,11,1;237,-13,-12;238,11,12;239,8,-31;240,-8,33;241,4,-5;242,2,5;253,-3,-1;254,51,-85;259,-44,89;260,-5,17;263,11,-15;265,-2,5;269,0,1;273,3,-1;277,1,6;281,6,3;286,2,23;288,28,-34;289,-31,17;294,9,16;295,-3,-9
