alameda||dos jequitibas|portal vila rica|36302720|13,-2110108,-4421260
avenida|sao|joanense|vila brasil|36307598|464,-2115368,-4425293
avenida|sao|joanense|vila brasil|36307599|10,-2115383,-4425251;22,41,199;27,-37,-126;32,103,319;34,-4,7;35,6,16;36,-4,-11;38,0,8;40,4,7;50,0,2;60,-2,9;70,-31,-115;100,33,124;150,-6,41;160,-28,-206;162,-4,-9;170,40,233;200,1,8;525,-112,-468;529,13,63;1327,43,135;1335,-4,-16;1381,-13,-40
fazenda||jatoba|emboabas|36300001|7,-2125436,-4420449
rua|engenheiro|nelson jose janoni|bonfim|36307734|4,-2114600,-4425378;8,2,-2;10,-9,-10;12,-9,-4;18,-64,-62;20,-8,-9;22,-13,-10;26,-23,-26;34,-18,-7;42,-3,-9;44,-7,-1;46,-2,-6;48,-1,-8;50,-7,-2;60,100,-145;63,-72,-277;80,-36,408;82,-3,-8;84,2,-6;90,-5,-3;94,-11,-30;95,-12,-4;96,7,-11;98,-2,-6;100,-10,-19;104,-4,-12;108,10,-7;120,-1,-11;185,33,-260;351,139,31;355,-10,-30;420,-118,-9;430,8,-9;434,10,-5;481,91,16;485,22,33;489,-7,-11;491,-21,-37;493,2,14;520,15,10;522,-6,1;528,-10,-30;530,-6,2;544,-62,3;558,17,-12;560,-3,-5;562,31,8;570,-76,10;600,-30,34;606,-11,63;608,2,12;610,-4,0;612,0,13;614,33,-124;616,-30,132;617,16,-101;618,-19,108;619,15,-93;620,-16,109;621,8,-107;625,2,25;627,0,11;629,0,5;631,-2,8;635,-1,18;636,-12,73;638,-3,3;640,2,10;644,-6,9;650,2,-10;654,0,11;670,-10,16
rua|irma|maria juliana|007|36307426|65,-2114386,-4426083;93,36,-38;97,-16,14;99,3,-2;123,-18,21;434,-18,-3
rua|sao|joao|sao jose operario|36309308|1,-2114051,-4426950;2,-4,-18;3,3,8;4,-4,-12;5,-1,4;6,-3,-18;8,4,-13;10,0,-8;15,0,25;16,-1,-32;20,-5,-6;26,-2,-9;29,4,39;34,-4,-45;37,4,40;40,-15,-40;41,17,40;46,-6,-58;49,1,46;53,1,-12;56,-8,-30;59,-2,37;60,-5,-43;69,10,26;70,-9,-35;73,4,35;86,-12,-39;89,12,27;95,-1,-11;103,-5,-6;109,-2,1;115,-8,-3;121,1,-20;129,7,10;133,2,-34;139,-15,6;144,10,20;347,37,137
rua|sao|joao|tejuco|36309308|102,-2114084,-4427094;106,-5,-5;112,-2,-3;124,-3,-10;132,-2,-3;136,-6,-13;146,-2,-2;147,-3,36;148,5,-34;156,-11,-13;157,15,39;161,11,-4;162,-28,-42;168,5,-1;170,-4,-3;178,-2,-5;186,1,-7;188,-12,-1;191,13,25;196,-14,-31;201,9,21;202,-1,-35;203,1,40;206,-20,-33;209,25,11;210,-24,-11;216,2,-7;222,-9,-7;251,21,24;256,-40,-40;257,34,38;262,-40,-43;269,24,17;270,-27,-21;275,18,15;280,-21,-25;282,-5,3;283,19,21;288,-22,-26;290,4,-23;297,9,43;299,-16,2;300,37,-4;304,-4,4;306,-20,-10;314,-31,-23;326,-3,-13;336,-13,-2;337,27,17;338,-30,-21;341,26,17;343,-24,-20;348,-9,-6;349,24,22;352,-26,-26;354,27,25;357,-8,-13;359,-24,-20;398,-5,2;418,-12,-16;427,-7,8;470,4,-35;473,-4,-1;475,-2,-21;480,3,5;489,-28,-18;490,24,9;508,-10,0;509,-5,-23;510,7,9;516,4,-8;519,-10,-7;524,7,-11;533,-19,-45;542,-1,45;546,0,-15;554,23,-5;570,-14,-8;576,-7,-7;578,6,-7;586,-4,-3;593,-10,-11;598,7,2
rua|sao|jose|emboabas|36309346|5,-2129256,-4412217;10,65,-218;14,-55,124;16,-4,25;18,0,17;25,23,-85;30,-26,53;33,-8,126;37,-3,19;38,0,25;41,4,-35;49,-5,49;50,-2,-173;51,5,157;52,-5,-149;53,2,180;55,66,-324;56,-73,384;59,16,-168;68,49,-188;71,-50,206;75,51,-200;80,-29,36;85,25,-26;89,-49,309;92,19,-256;95,1,125;104,2,-136;110,42,-100;111,-6,31;2757,-57,154
rua||alipio jose rodrigues junior|bonfim|36307740|15,-2114744,-4425392;17,5,-1;19,3,23;20,-5,0;66,11,71;68,5,-24;78,-6,-26;80,-5,18;84,2,6;90,2,-4;96,21,8;106,2,1;108,-4,6;120,20,15;123,-64,-119
rua||do jacaranda|matozinhos|36305116|40,-2112581,-4423684;59,26,35;75,0,7;76,-44,-13;98,4,20;111,26,27;120,-43,-4;136,13,13;137,22,7;301,-2,-97;403,-35,72;404,-3,3
rua||do januario|januario|36300001|1,-2123451,-4437557;2,-81,34;4,51,-24;7,-126,478;8,-59,-250;10,114,-182;14,-55,24;16,-7,1;17,-89,54;18,75,-63;21,11,97;22,-31,-104;23,32,112;24,30,168;25,-16,-157;26,-74,-128;28,18,183;31,55,-156;33,-75,6;35,63,-9;37,-1,-5;38,-74,-39;40,11,59;42,25,-32;44,-29,31;47,9,-5;49,-3,8;53,-7,6;55,-4,8;57,-11,6;65,-11,49;67,2,-12;69,42,-71;97,57,214;99,1,-19;101,-47,-19;105,155,-246;112,-84,377;114,2,4;118,-42,-341;144,29,335;145,-1,131
rua||do jatoba|matozinhos|36305060|22,-2112736,-4423605;27,15,-25;60,11,44;71,22,-28;113,37,34;114,-11,9;144,17,24;147,22,-17;214,45,30;227,19,-6;248,14,15;251,9,-21;403,-185,-94;404,73,30
rua||jangadeiro|sao judas tadeu|36307066|14,-2113145,-4424754;18,3,4
rua||jaspe|colonia do marcal|36302202|11,-2111516,-4422456;21,-22,2;31,-3,-2;41,-13,-4;51,-10,4;61,-10,-2;71,-10,-1
rua||jau|vila brasil|36307598|513,-2115368,-4425344
rua||joao jacob|centro|36300064|5,-2113316,-4425930;6,16,-9;7,-5,13;8,-2,-7;9,3,8;40,19,17;43,-56,-68;44,66,83;45,-29,-3;47,16,-9;49,-41,-31;51,54,38;53,-24,-22;54,19,25;55,-65,-65;57,69,70;60,1,-9;61,-20,-14;62,7,-2;64,-1,22;67,-38,-64;68,62,69;69,-36,-37;70,41,51;73,-66,-82;74,58,91;75,-53,-89;76,54,79;80,-9,-7;81,-53,-61;84,26,-9;87,-12,5;91,3,8;99,3,3
rua||jovelina ana de jesus|tejuco|36309504|3,-2114438,-4428130;5,-2,9;6,-6,-10;7,-4,18;8,2,-13;9,-10,13;12,5,-18
rua||jurua|matozinhos|36305112|12,-2112710,-4423523;30,-3,5;34,-21,41;48,13,-35;50,7,-6;96,-26,55;110,6,11
rua||j|cidade verde|36301379|20,-2111313,-4425030;47,2,-16;50,11,0;61,13,-16;65,3,-14;73,12,-7;93,5,-10;99,33,-35;202,-12,21;232,17,-20;295,-3,-9;305,0,3;347,9,-11;348,4,0;351,1,-22;353,1,17;369,2,-7
rua||manoel jose|centro|36300052|1,-2113098,-4425994;5,-52,-15;9,11,9;19,14,-4;20,4,6;22,-4,-9;44,12,-3;46,-10,26;48,21,-17;50,-20,18;56,-15,1;78,51,-20;79,3,2;81,8,-3;82,1,8;151,-18,-3;178,-4,-1
rua||pedro ferreira junior|003|36301010|18,-2112868,-4425225;28,5,-21;38,7,-3;46,-1,-9;50,-1,-4;52,1,0;54,1,-1;66,7,-8;72,0,0;78,0,-16;80,5,-1
rua||pedro ferreira junior|centro|36301010|19,-2112869,-4425235;21,-33,-17;25,30,23;27,11,-24;37,7,-7;57,10,-6;61,-8,-6
rua||projetada j|jardim central|36307633|31,-2114292,-4423984;51,44,-59;91,-29,39;95,16,-33
rua||silva conceicao de jesus|jardim central|36307169|1,-2113662,-4424481;2,-2,-8;3,11,1;4,-1,-11;5,5,-7;6,7,11;9,3,-25;15,15,-18;45,11,-20;47,3,-4;49,0,-12;51,-13,17;53,24,-29;113,-36,64
travessa|sao|jose|emboabas|36309346|1,-2129223,-4412243;6,-2,-3;7,15,-2;10,-6,8;69,-24,-2;115,-10,1
travessa|sao|jose|tejuco|36309346|19,-2114244,-4427713;20,-4,-13;25,4,-3;43,-6,-3
travessa||jacaranda|colonia do marcal|36302332|36,-2111014,-4422814;38,4,-7;40,3,-10;49,-6,3;55,4,-18;67,7,-7;77,-1,-1
trevo||de sao januario|januario|36300001|132,-2123664,-4437290;136,7,-3
