alameda||reginaldo silva neto|bonfim|36307461|3,-2114333,-4425548;5,-6,6;13,-52,59;17,-4,-1;80,38,-50
avenida|conselheiro|belizario leite andrade neto|centro|36307044|33,-2113293,-4425479;91,-2,11;96,6,20;100,3,9;120,11,32
avenida|presidente|tancredo neves|centro|36300001|13,-2113541,-4426007;15,13,15;19,-5,-8;21,1,-12;29,10,-9;37,0,19;41,7,0;45,8,4;53,-13,2;59,11,11;61,-1,7;73,6,4;85,16,1;91,6,-1;119,23,18;127,-2,12;143,18,-1;147,0,1;155,13,4;165,12,6;183,7,20;187,4,-6;191,2,4;195,3,-1;215,18,16;229,9,19;231,-1,-3;241,11,-17;263,12,22;269,1,9;271,-3,6;285,27,2;303,2,9;305,-2,5;313,-3,18;323,10,-5;325,11,-4;333,-1,7;339,-3,7;355,22,10;363,6,7;367,-1,1;371,2,8;395,11,11;401,7,6;409,1,8;413,2,3;425,25,-16;437,-23,50;463,12,14;469,12,-6;483,5,12;487,2,4;495,2,7;499,-1,-1;509,11,10;521,3,13;523,0,2;539,6,11;541,-2,9;543,6,7;555,8,-1;565,4,5;573,-7,9;575,6,5;579,0,10;587,13,-7;591,-3,12;595,-9,-1;599,7,1;603,4,4;609,3,7;615,4,6;621,0,3;629,0,13;635,7,0;637,-1,2;643,-4,14;649,1,8;651,9,-4;655,-7,5;657,1,-3;659,7,3;663,5,7;669,5,4
avenida||antonina de almeida neves|solar da serra|36302600|30,-2109899,-4422585;75,0,-11;79,-14,60;89,-18,3;90,-89,136;91,88,-131;95,28,-56;100,-38,60;110,-3,4;120,1,9;126,-9,11;130,-4,4;149,-5,9;150,-6,15;151,14,-24;152,-47,11;153,33,19;180,-19,44;194,0,-26;198,-11,24;262,-6,54;264,-2,4;274,-5,9;284,0,2;286,-9,8;290,-12,25;294,7,1;302,-42,64;310,39,-36;312,-44,43;322,-2,11;400,-15,20;420,-9,5;430,-6,17;440,-5,8;450,-7,11;465,82,-150;468,-87,173;475,75,-155;486,-92,169;495,72,-142;496,-97,144;497,98,-122;499,-4,6;500,-13,13;502,-73,126;510,-4,0;512,5,6;515,103,-187;517,-51,60;531,5,39;535,-14,6;538,-55,114;543,46,-110;545,1,6;549,-16,11;566,-16,117;572,-40,-13;573,53,-104;574,-54,113;580,-8,14;592,-3,4;594,-37,71;596,23,-55;600,3,12;610,-6,3;611,70,-133;614,-81,123;615,62,-108;620,-54,124;631,51,-100;643,-7,28;650,-57,96;651,46,-81;652,-53,85;660,-11,13;661,66,-109;720,-44,69;721,22,-50;741,-56,107;743,21,-48;745,8,-18;751,-16,36;761,-3,4;770,-23,56;771,21,-48;775,-12,-7;777,-1,17;780,-20,51;785,17,-42;795,1,8;797,-7,10;811,-1,2;820,-12,29;825,14,-32;827,-21,31;830,-2,15;838,-4,6;839,-3,-7;840,-1,18;841,-4,-10;843,-1,12;850,-3,6;853,-2,1;941,-11,7;945,-6,27;955,-3,2;1001,-9,9;1017,-2,2;1019,-13,12;1021,4,7;1041,-5,17;1079,-27,24;1080,-1,6;1084,-12,23;1971,31,-44
avenida||n|cidade nova|36300436|10,-2111914,-4425856;14,-232,92;16,21,-10;18,231,-89;81,-83,41;116,-149,47;395,130,-43;600,50,-12
avenida||n|cidade nova|36300440|1500,-2111705,-4425959
avenida||n|cidade nova|36301050|59,-2112278,-4425744;77,21,21
estrada||valo novo|bahia|36314899|3,-2140053,-4451724;4,986,14;14,-1201,1;15,-25,0;25,375,-17
estrada||valo novo|valo novo 2|36314899|14,-2135049,-4449389
praca||francisco neves|centro|36300136|7,-2113483,-4426249;12,14,-5;15,-14,-13;16,15,14;23,-13,-19;24,14,12;32,-3,26;35,-1,-52;38,7,38;43,-5,-41;46,11,23;50,6,-10;51,-18,-5;56,47,-4;57,-40,-9;63,6,6;83,-39,32
rua|expedicionario|jose carazza neto|fabricas|36301200|7,-2112650,-4424810;11,6,3;21,9,-3;30,4,2;31,3,2;33,1,2;34,3,-6;37,7,11;51,0,-1;59,5,8;61,-1,-4;80,18,2;85,-9,-2;86,24,0;89,-9,10;92,18,-8;97,-11,18;98,13,-14;104,6,1;117,-17,12;125,13,23
rua|ferroviario|amaury jose noronha|colonia do marcal|36302122|15,-2111426,-4423415;16,5,6;18,8,-1;20,3,0;22,3,0;25,-10,-11;35,8,5;39,11,-4;41,12,7;45,-18,-4;47,20,9;49,4,-5;51,-3,-14;55,8,-2;62,-25,14;73,30,-17;90,-15,14;100,7,1;106,4,-10;110,12,10;120,-1,-4;125,1,-11;127,6,0
rua|frei|norberto|centro|36300110|1,-2113258,-4426070;10,-26,42;42,9,-6;87,15,51;95,-4,3;105,1,2;117,-6,-21;119,8,6;121,0,-4;125,-8,-26;127,-2,-2;135,8,6;139,2,3;141,-3,-4;159,-7,-20;161,1,0
rua|maestro|jose candido das neves|rio das mortes|36315000|1,-2118841,-4432833;2,-2,-11;3,1,14;5,-8,12;30,-3,-16;36,-1,4;38,1,20;42,-7,12;54,8,-7;67,-8,9;68,-1,2;69,1,8;72,1,-13;74,-39,-7;85,27,40;88,4,-19;89,-13,22;90,12,-13;92,-7,3;98,-10,17;100,-21,3;102,1,0;104,-4,-10;106,35,3;108,-29,-18;110,2,1;119,21,35;129,-4,3;141,-15,-6;157,-9,-4;159,-14,10;189,-16,19;284,25,-40;286,1,8;306,-19,21;316,-7,8;320,-7,2;330,-5,13;333,5,6;337,-11,6;342,-1,-11;350,-11,17;353,8,3
rua|maestro|telemaco neves|tejuco|36300150|6,-2113857,-4426604;9,8,-3;10,-6,-1;15,11,0;16,-16,2;18,15,-8;23,8,0;26,5,-17;27,-1,17;31,3,1;34,-3,-8;35,15,3;40,1,-7;42,-2,-2;89,27,-4;92,15,-3;93,0,-2;99,3,0;102,-1,6;109,10,-6;112,-1,10;117,7,-11;122,-2,-2;128,-1,4;132,21,-1
rua|major|maciel bianchini do nascimento|solar da serra|36302606|54,-2109856,-4422029;380,-12,-18
rua|prefeito|otavio de almeida neves|fabricas|36301156|24,-2112270,-4425340;26,-3,-4;52,5,-6;175,15,30;185,-6,-3;196,0,-4
rua|professora|margarida moreira neves|jardim central|36307066|171,-2113273,-4424603;181,-15,16;225,-36,31;235,-6,8;248,-1,4;250,7,-9;263,-48,39;273,-14,21;288,36,-21;290,-12,15;294,-11,-4;334,-26,26;344,-10,13;345,2,-3;357,-24,14;358,5,1;360,-14,6
rua|professora|margarida moreira neves|sao judas tadeu|36307066|10,-2113104,-4424767;15,-28,29;32,-8,3;33,10,18;35,-13,-8;36,-20,15;113,-24,28;123,-17,10;127,-2,7;129,-1,-6;160,-47,44;170,-28,34;190,63,-44;194,2,-21;200,-20,27;222,34,-33;224,12,-17
rua|vereador|jamil nacif|jardim central|36307636|3,-2114174,-4423819;5,21,23;6,-20,-43;14,45,0;15,14,1;19,48,-17;21,10,1;23,8,-5;42,-13,3;43,99,-26;44,-70,10;46,-24,3;52,-2,3;55,64,-1;62,-40,-5;64,-2,1;97,88,-11;99,16,10;103,29,14;117,-8,-52;119,13,7;121,10,4;140,-23,-7;150,26,7;160,5,-17
rua||alcendino batista do nascimento|bom pastor|36305280|6,-2113603,-4423381;8,-2,15;10,-8,5;14,-25,15;26,-4,6;27,-63,76;29,13,-16;30,-19,21;36,56,-64;50,-9,17;54,-1,-6;66,-10,7;68,1,6;70,0,12;80,-3,4;84,-13,-5;125,-11,25;1272,99,-122
rua||alcendino batista do nascimento|matozinhos|36305280|3,-2113605,-4423391;5,11,7;23,-46,63;53,-12,9;71,-45,45;73,3,6;75,5,-8;77,7,-21;79,11,0;81,25,-8;83,-10,6;85,-11,4;87,-23,13;151,-21,35;159,-33,25;167,-3,1;182,29,-30;184,1,8;192,-17,14;200,-3,10;209,-10,1;210,0,5;213,2,5;215,-9,6;216,-5,-17;219,0,27;220,-33,-16;227,24,26;229,-4,1;234,7,-6;250,5,0;270,-11,1;274,2,3;276,-11,-7;295,-48,71;310,22,-33;311,6,-3;313,-8,2;316,-2,9;317,2,-2;318,0,1;322,-8,3;325,3,1;326,-4,11;343,0,-6;345,-15,6;350,1,1;352,-4,9;365,1,4;366,-4,-18;371,5,21;372,-3,-3;377,-3,7;392,-7,2
rua||amintas novais|007|36307430|11,-2114193,-4426086;36,-27,21;37,8,-11;47,-19,14;48,-6,7;56,1,-3;57,-5,6;61,4,2;63,-12,3;66,16,-5;73,-13,12;87,-2,-5;96,2,-5;97,-20,2;98,12,10;100,-4,5;107,-14,0;118,-6,11;127,2,1;130,-7,10;140,-13,3;147,6,6;150,-25,2;160,-4,16;165,20,-8;181,-19,5
