aglomerado||gurita|agua santa|39165000|1,-1832899,-4322879
avenida||da saudade|centro|39165000|2,-1835862,-4317552;11,-44,-20;35,78,402;113,-4,-74;121,-8,-31;126,-67,-291;147,11,-2;152,17,4
avenida||geraldo gomes de brito|centro|39165000|6,-1836013,-4317073;9,-159,-40;11,5,2;22,8,12;27,7,-1;30,0,0;40,13,13;41,-9,-11;44,4,4;56,11,6;58,-3,0;72,31,-1;73,-43,-24;94,66,29;96,10,5;97,-22,-8;131,16,7;135,22,7;136,10,-9;161,-5,-3;168,16,10;193,16,-3;211,23,1;221,5,-3;230,16,8;239,-2,-1;248,0,5;258,24,-1;296,28,-6;319,20,-11;339,-142,4;349,127,1;702,25,-33;708,16,-4;800,7,0;808,4,8
avenida||maria do amparo lages de aguiar|centro|39165000|4,-1836128,-4317042;11,16,-215;20,-17,-4;31,44,345;41,-27,-325;44,-8,7;53,8,-6;56,-8,161;63,7,-141;65,38,369;70,-40,-219;97,1,-119;119,1,10;131,-2,21;136,-13,20;145,5,1;165,-1,5;190,5,16;240,15,96;242,-8,-31;245,0,-6;255,2,13;260,-5,15;261,9,-8;268,-16,17;297,23,10;302,-3,29;305,6,-10;317,-1,5;365,6,50;374,-5,0;375,5,0;505,24,109;705,26,82
barro||amarelo|barro amarelo|39165000|22,-1838502,-4321186;33,-862,-3252;180,-128,2410;265,1639,1384;475,-2286,-2608
beco||edmundo pascoal|centro|39165000|3,-1836304,-4317142;5,6,-3
corrego||corcorio|barro amarelo|39165000|30,-1839394,-4320076;31,314,-656;35,-260,234
corrego||da lavra|barro amarelo|39165000|22,-1839334,-4320502;26,-200,97
estrada||barro amarelo|barro amarelo|39165000|1,-1840737,-4323083;2,330,1155;3,557,-556;5,-868,-811;6,419,590;8,-286,852;9,352,-648;10,-15,100;11,-717,-1152;12,-98,605;13,937,-1002;14,1028,2345;15,-1588,-1570;16,-549,237;17,567,316;18,1390,106;27,-96,-133;35,-398,-716;46,9,-72;51,-242,173;52,-802,175;75,-283,170;170,754,803;180,721,6;200,329,-385;330,445,396;340,-82,197;2001,-1636,-918
estrada||de serra azul ao bagres|estiva|39165000|9,-1842223,-4319500;17,2367,-188;20,-3402,397;23,344,-523
estrada||do araujo 1|araujo|39165000|4,-1839637,-4316086
estrada||do araujo 2|araujo|39165000|21,-1838716,-4316142
estrada||do corrego simao|corrego simao|39165000|1,-1837935,-4316376;7,834,367;10,-221,-40
estrada||para campo alegre|centro|39165000|705,-1836023,-4316754;711,15,14
estrada||que liga serra azul ao bagres|estiva|39165000|1,-1839261,-4318932;2,2129,1783
estrada||serra azul a guritas|guritas|39165000|200,-1833134,-4322491
grota||da predeira|barro amarelo|39165000|104,-1839953,-4320951
grota||do sobradinho|barro amarelo|39165000|300,-1839142,-4322139
grota||limoeiro|limoeiro|39165000|6,-1834995,-4318756
povoado||barro amarelo|barro amarelo 1|39165000|50,-1838191,-4321189
povoado||barro amarelo|barro amarelo|39165000|10,-1837524,-4320814
povoado||gameleira|gameleira|39165000|3,-1836182,-4326692;7,-119,302
povoado||gameleira|triangulo|39165000|6,-1836208,-4325931;11,182,289
povoado||tamandua|corrego do tamandua|39165000|16,-1832741,-4326092
povoado||tamandua|manja|39165000|6,-1833226,-4326338
praca||aurelio dayrell|centro|39165000|10,-1836199,-4317190;16,-2,-41;38,6,17;54,-17,-18;56,-4,4;106,-8,12;108,-7,15;110,-13,6;112,-4,7;152,-14,22;216,42,0;222,21,3;244,12,-6
praca||bom jesus|centro|39165000|21,-1835990,-4317599;172,59,18;182,-32,-22;194,-7,15;198,-11,-25;222,-14,-51
rodovia||corrego sao joao|municipal|39165000|20,-1839241,-4319698
rodovia||mg 010|barro amarelo|39165000|26,-1838992,-4323868;28,-163,278;29,-315,-1102;33,107,270;34,136,506;35,-117,350;36,95,-546;38,-13,-132;300,121,2121
rodovia||mg 010|fazenda princesa do agreste|39165000|3,-1838856,-4322576
rua|deputado|francelino pereira|centro|39165000|1,-1835919,-4316937;5,10,-1;33,-35,-1;35,-1,1;53,-8,1;68,-4,-7;74,-2,-1;76,-4,6;87,-20,-6;94,-4,0;99,-9,-2;101,-721,-93;120,85,0;124,488,68;146,101,2;147,1,21;164,-14,-25;171,-7,21;178,-374,-57;181,372,58;186,-2,-22;273,-125,0;359,-97,-7;376,153,16;394,-142,-25;400,-87,-13;401,59,6;405,-110,-9;413,88,20;415,-104,-21;420,48,-4;433,-1,14;435,-7,-2;438,7,-13;439,-25,12;462,-6,-11;468,-13,0;554,21,2;568,-43,-7;576,322,49;577,-333,-41;580,6,-12;588,-1,-4;589,-16,18;598,0,-14;609,-3,8;621,-24,-9;622,8,0;624,-10,-3;631,6,6;701,-59,-10;703,-9,24;705,-2,-18;710,-33,-11;720,38,3;725,-24,-1;730,21,0;741,-36,4;742,25,-5;747,-37,1;781,60,6;805,-100,-14;820,8,-3;827,-47,0;850,31,-6;874,-23,-2;880,-6,-2;883,-15,3;887,-6,31;980,-10,-37
