avenida||carmem kilesse|padre teodoro|35703000|1480,-1949659,-4423718;1490,-69,28;1500,-6,1
praca||juscelino kubitschek|jk|35704899|98,-1941972,-4424621;110,7,-31;200,-105,2;216,36,-35;236,-15,17;244,-12,24;258,14,-6;268,-8,28;290,9,11;300,7,11
rua|presidente|kennedy|nossa senhora das gracas|35700483|19,-1945111,-4424776;22,4,4;23,5,3;27,6,-7;32,-4,7;41,18,-8;51,5,-6;80,19,9;90,6,1;100,18,4;111,2,-6;114,23,3;126,1,-2;138,4,-1;139,7,3;145,4,-7;150,2,8;165,16,-9;166,-2,9;175,16,-14;898,629,-75;914,16,-6;920,20,-5;986,34,-8;1002,16,-14;1010,11,-5;1026,9,-2;1030,5,-5
rua|presidente|kennedy|nossa senhora das gracas|35700725|199,-1944950,-4424775;208,3,1;215,0,-5;216,17,9;225,3,-9;226,10,7;231,2,-21;238,2,19;248,-3,12;249,16,-6;261,15,-7;286,21,5;303,11,-4;314,9,6;325,5,-9;330,5,8;331,7,-8;346,11,10;355,13,-14;356,-5,13;369,15,-13;380,7,8;385,13,-6;400,8,8;401,2,-7;413,8,2;416,3,3;425,2,-14;426,-6,17;436,16,-4;437,2,-4;449,16,-1;450,4,8;459,2,-5;462,2,6;476,9,-1;513,2,1;520,47,-7;525,-30,-15;530,37,18;542,-9,-1;545,10,-7;547,14,-4;559,10,10;564,4,6;565,-41,-15;571,44,6;576,5,13;583,2,-19;595,7,18;607,30,-11;608,-13,2;616,13,-7;621,14,-2;630,0,1;637,4,-4;640,6,-2;655,16,-6;671,5,1;700,31,-17;701,-19,-7;708,29,6;724,13,-3;735,-16,0;747,12,-6;750,22,4;759,-10,-5;761,17,-7;763,11,-2;781,11,-7;791,16,3;798,-11,4;804,8,-2;826,27,3;832,17,-11;841,-20,-5;843,3,-2;863,22,-7;885,17,-16;887,2,8;901,12,-3;925,28,-7;955,19,-10;979,18,0;989,12,-14;1013,31,-7
rua|professor|antonio kilesse|jardim primavera i|35703121|92,-1943382,-4420918;122,44,-16;124,2,-2;136,13,-6;148,5,-5;160,13,-6;172,14,-6;184,8,-3;196,7,-2;220,29,-9;232,4,-3;421,144,-92;433,-6,4;445,-9,6;457,-9,7;469,-11,4;481,-11,8;493,-9,4;505,-9,5;537,-45,32;549,-10,4;561,-7,6;573,-10,4
rua||antonio kilesse|jardim primavera i|35703121|125,-1943331,-4420949;135,11,-1;155,15,-7;185,29,-10;538,79,-47;550,-13,9;562,-6,7;570,-19,10
rua||carmem kilesse|iporanga ii|35701220|461,-1948915,-4423995;473,-23,-1;485,-9,7;493,-12,-4;505,-26,12;515,-12,7;705,-185,71;717,-13,7;727,-11,7;737,-9,6;747,-7,1;759,-4,3;771,-15,8;785,-14,6;853,-11,-1;865,-14,4;883,-24,13;889,-6,1;901,-6,4;913,-12,4;927,-12,4;937,-19,6;945,-6,4;961,-24,2;973,-15,7;985,-13,12;997,-3,5;1005,-129,59;1009,119,-66;1021,-17,5;1051,-28,20;1077,-11,3;1093,-41,14;1169,-86,30;1179,-7,10;1189,-14,4;1539,-91,42;1543,-15,0;1545,-14,15;1555,-55,18
rua||carmem kilesse|iporanga|35701220|18,-1948567,-4424178;25,-39,45;32,91,-53;48,-4,1;58,-10,8;68,-8,4;80,-21,4;94,-55,34;96,32,-15;99,-38,19;101,-9,5;104,0,-14;113,-8,17;114,2,-15;120,70,-28;124,-57,33;125,-17,17;137,-8,16;149,-21,-11;160,-14,-11;161,6,12;172,-110,-17;173,96,24;184,-5,-13;185,-5,20;190,-1,-16;195,2,19;196,-17,-9;208,-8,-2;220,-10,4;228,-8,-3;231,2,25;232,-36,1;246,-5,8;254,-12,-3;255,33,-2;267,-8,3;281,-5,1;286,-47,12;298,-14,7;310,-9,-2;322,-16,11;334,-6,3;341,33,-11;346,-47,11;360,-5,4;370,-14,5;377,42,-2;382,-50,8;389,40,-6;413,-14,6;418,-55,9;430,-15,12;442,-8,0;454,-7,-2;470,-15,12;484,-8,4;500,-12,-1;512,-18,8;524,-12,5;532,-6,1;555,-11,43;556,-1,-39;564,-36,34;565,34,-12;568,-7,-14;576,-51,16;592,1,26;595,11,7;597,-48,5;600,6,-24;662,-32,18;699,7,7;700,-21,-4;740,-21,9;760,-24,7;776,-10,6;788,-25,13;836,-38,18;848,-10,0;860,-12,4;872,-8,6;884,-18,9;898,-12,5;918,-11,2;930,-8,10
rua||carmem kilesse|padre teodoro|35701220|1534,-1949771,-4423671;1546,-12,1;1558,-16,11;1570,-18,-2;1584,-29,15;1590,-6,9;1594,-6,-2;1640,-21,6;1660,-24,8;1670,-10,1;1688,-8,0;1700,-24,20;1710,4,-3;1790,-24,17;1800,-16,2;1820,-11,-1;1860,-57,3
rua||carmem kilesse|padre teodoro|35702220|986,-1949415,-4423818;998,-8,10;1010,-14,3;1022,-16,7;1034,-6,3;1046,-17,7;1070,-25,8;1086,-27,15;1092,-21,-6;1104,-4,14;1128,-29,15;1140,-4,-8;1152,-8,13
