corrego||das sombras|corrego das sombras|38980000|23,-1982397,-4613652
estacao||tigre|estacao tigre|38980000|8,-1983074,-4608866
estrada||auto terra vermelha|altolandia|38985000|28,-1983418,-4632340
estrada||do perdicao para bambui|perdicao santa cruz|38980000|675,-1990921,-4600308
estrada||do victor tann|victor tann urubu|38980000|1,-1988279,-4602403;25,1679,-4458;145,-223,195;147,29,-6;162,262,-354;681,-1148,3125
estrada||mata do ribeiro|altolandia|38985000|8,-1987737,-4624200;30,1258,592;40,793,401
estrada||olho do sol|altolandia|38985000|51,-1982229,-4625187
estrada||para altolandia|laranjeira gurita|38980000|21,-1993654,-4614951;30,597,-2889
estrada||para burrachudo|altolandia|38985000|9,-1986788,-4621163;23,490,2869
estrada||para o cemiterio|altolandia|38980000|56,-1989780,-4617030
fazenda||boa vista|fazenda boa vista|38980000|2,-1989411,-4615602;4,4724,1058
fazenda||boa vista|fazenda boa vista|38985000|4,-1988252,-4616178;8,7683,-36;26,-5455,599
fazenda||do albatasar|fazenda boa vista|38985000|22,-1981835,-4615128
fazenda||elvecio faria de oliveira|fazenda boa vista|38985000|19,-1984489,-4615620
fazenda||joao donizete martins|fazenda boa vista|38985000|3,-1988509,-4616130
fazenda||jose aparecido martins|fazenda moraes|38985000|3,-1992233,-4618564
fazenda||jose soares da silva|fazenda boa vista|38985000|2,-1984080,-4616121
fazenda||maria dimas nunes|fazenda boa vista|38985000|4,-1987135,-4614038
fazenda||nerel ramos martis|fazenda moraes|38985000|3,-1987815,-4616328
fazenda||olhos dagua|fazenda moraes|38985000|4,-1993031,-4618174
praca||jose paiva cardoso|centro|38980000|51,-1988679,-4602042;59,7,11;73,10,13;129,-27,3;131,-12,0;147,3,-11;153,-9,1
praca||orozina cardoso coutinho|centro|38980000|11,-1988835,-4601991;23,1,-4;43,17,-4;49,15,-12;67,6,-1;93,21,4;103,8,13;119,4,20;131,9,4;141,0,3;163,-7,26;177,-10,3;187,-5,4;201,-17,13;221,-7,5;243,-27,-6;253,-1,-11;261,2,-6;275,-15,-13;282,-5,-3
praca||pedro antonio de morais|altolandia|38980000|18,-1990032,-4617174
praca||sao sebastiao|altolandia|38980000|6,-1989985,-4617054;17,-26,-47;35,-38,-56;38,-14,15;56,-17,-7;62,9,15;68,8,4;84,3,13;120,12,5;144,16,40;156,13,9;166,11,10;176,13,15;198,8,8
rua||abrao de oliveira|centro|38980000|46,-1988997,-4601937;58,20,37;99,17,13;127,17,30;162,9,28;181,18,12
rua||amadeu jose lucas|centro|38980000|19,-1988859,-4601836;76,-19,-56;80,14,40;94,-21,-54;97,-11,4;114,4,-15;119,-9,1;171,-26,-46;184,3,-14;240,-26,-45;245,-8,3;261,-8,-15;268,0,-10
rua||antonio pedro ferreira|centro|38980000|28,-1988869,-4602170;42,-8,3;60,-9,13;64,-12,21;74,3,-5;78,-3,-12;86,-13,17;94,-13,19;96,-10,9;98,-4,4;100,-8,9;110,-7,8;116,-3,7;178,-3,11;190,-2,8;198,115,-146;208,-1,-1;216,1,-15;234,4,-3;239,-12,5;240,11,-18;247,-7,11;248,9,-15;253,-7,6;254,8,-12;261,-4,1;262,2,-5;267,-1,-8;268,6,-6;277,-10,0;278,10,0;285,-8,-9;286,7,-6;293,-7,-3;294,5,-3;301,-4,-8;302,8,1;309,-8,-9;310,8,6;315,-9,-14;316,9,0;324,3,-3;331,-9,-8;332,7,-4;341,-6,-8;344,8,1;347,-9,-3;348,4,1;356,5,-7;362,5,-10;370,-4,-10;376,1,-6;384,0,-9;392,0,-10;402,1,0;408,-5,-14;418,5,-4;426,-6,-8;434,-3,-4;442,-4,-8
rua||antonio pinho sobrinho|centro|38980000|5,-1988352,-4602203;21,-524,390;31,2,2;39,535,-402;61,19,-16;63,9,-9;93,-529,409;95,3,-6;99,539,-415;107,-524,400;119,18,-10;120,529,-415;155,-505,397;165,9,-8;173,9,-6;253,54,-45;259,5,-7;283,19,-9;297,33,-24;299,11,-8
rua||antonio teixeira da silva|centro|38980000|7,-1989282,-4601835;8,10,-4;9,4,2;56,26,-9;68,11,-6;77,474,-264;86,-461,258;100,43,-27;102,-26,19;132,14,-2;162,100,-68;178,22,-1;189,231,-142;191,-309,164;227,193,-87;296,-98,58;301,123,-64;327,-65,30;427,-10,6;437,73,-47;445,14,-6;446,-1,5;447,9,-12;487,30,-18;511,8,-8;532,15,-4;533,14,-13;544,-20,26;589,59,-47;600,2,0;606,5,2;608,12,-6;620,3,-4;635,47,-28;645,7,-3;694,7,-7;706,12,-4;726,9,-10
rua||belizar|altolandia|38980000|15,-1989780,-4616863;26,-138,-95;27,48,31;31,18,5;33,12,5;35,11,6;37,14,6;46,3,-3;54,42,38;55,-39,-31;58,11,1;59,-10,3;66,17,5;70,7,4;71,-6,0;72,40,49;76,-37,-51;77,7,25;84,9,-9;88,8,5;92,10,14;96,3,7;100,9,12;117,-12,-10;118,-4,-7;120,-87,-72;210,-17,-10;230,-22,-5
rua||francisco martins goncalves|altolandia|38980000|10,-1989964,-4617037;194,28,-12;210,-34,11
rua||jandir coutinho vieira|centro|38980000|2,-1988657,-4602186;8,-8,6;10,20,-11;14,-28,11;23,68,-37;26,-76,41;27,56,-23;32,-15,2;33,8,1;36,-64,24;52,-23,6;63,-3,7;66,-15,-5;75,-8,7;78,2,-8;92,-14,0;100,108,-21;116,-132,19;132,-3,-6;135,-9,0;136,0,-2;138,-11,-4;142,11,4;153,-19,-2;156,6,-3;163,-13,0;164,3,1;170,-3,-2;176,-7,-4;182,0,0;183,-20,-3;188,10,-5
rua||joao antonio da costa|centro|38980000|49,-1988629,-4602094;93,3,-15;106,-22,-38;118,-16,-25;119,4,23;124,4,-6;426,42,64
