ladeira||do hugo|caetes|23918560|5,-2303629,-4418143;6,2,128;9,-27,-91;10,20,67;11,-34,-53;14,23,41;16,-11,-23;19,58,-53;21,-58,-11;22,15,10;24,11,-14;25,4,-3;27,4,21;28,-36,-10;30,-7,-10;31,44,-31;33,-2,18;35,-30,-82;36,-10,44;37,40,23;38,-67,-5;40,98,34;42,-118,-37;44,-7,17;45,-3,12;46,2,0;73,11,-38;100,51,-43;104,-2,-6
rua||da horta|frade|23954000|15,-2297724,-4444310;16,-10,-16;19,-24,-30;20,-5,-21;21,-13,-14;22,-38,28;23,18,20;25,37,-1;26,8,7;42,-31,-59;43,-10,-17;45,-5,-11;48,-2,26;49,19,13
rua||da horta|parque mambucaba|23954000|84,-2300768,-4454257
rua||das hortencias|jacuecanga|23914500|13,-2299506,-4423901;14,13,0;176,81,20;236,61,23;246,2,6;256,-1,5;266,-4,23;274,2,-42;276,-9,0;284,9,43
rua||harmonia|campo belo|23932465|18,-2297972,-4429821;39,4,1;40,-20,1;41,12,1;42,-12,3;43,-17,-6;44,0,-1;47,-7,4;48,-14,5;53,9,0;54,-10,0;58,-6,1;63,-2,-6;64,-10,9
rua||hebreus|belem|23935210|191,-2295583,-4428928;199,2,6;207,3,11;215,7,4;238,5,14;246,7,7
rua||hebreus|parque belem|23935210|104,-2295632,-4428987;108,2,1;114,2,10;122,5,-3;130,1,7;138,9,10;145,9,11;146,-8,-7;154,8,7;162,2,5;231,30,52;239,12,7;247,3,-1;255,10,13;263,0,6;265,2,-2;270,0,11;271,3,0;278,6,6;286,0,6;287,3,-3;294,0,7;295,5,0;302,-2,4;303,8,2;310,-2,3;311,2,1;313,9,27;318,-7,-21;319,4,0;326,-2,13;327,7,-6
rua||hebreus|parque belem|23935337|28,-2295673,-4429050;29,44,-2;30,-9,4;36,-37,3;38,37,-11;39,2,-9;44,4,5;48,-33,19;51,6,1;52,-7,8;59,14,6;60,-7,0;66,-12,-26;68,17,31;69,5,2;75,3,7;76,0,-5;83,3,13;84,3,4;85,6,-3;99,1,7;100,5,-10;106,15,44;109,-16,-29;115,10,12;123,1,0;131,1,8;147,13,14;155,4,7;171,4,10;306,-81,-116
rua||hercules|belem|23935075|71,-2295857,-4429238;75,4,12;87,4,-11;93,2,-2;99,2,0;109,10,-8;145,27,-30;161,-31,-34;177,18,55;178,-10,9;179,45,-50;180,-49,58;181,59,-58;182,-75,65;219,103,-100;231,3,23
rua||hercules|parque belem|23935070|259,-2295933,-4429160
rua||hercules|parque belem|23935075|22,-2295900,-4429191;23,6,3;26,4,-11;29,-5,6;38,11,-10;40,8,-3;41,-73,56;55,74,-67;61,10,4;297,-74,54
rua||h|garatucaia|23918505|1,-2303474,-4417898;3,-11,84;5,0,20;7,-5,13;9,-1,6;11,-2,14;13,-1,11;15,-6,25;17,-1,2;19,0,25;21,-1,16;23,-3,-1;25,-5,31;27,12,-53;29,-15,89;31,-2,-7
rua||h|vila da petrobras|23915140|3,-2300269,-4423022;4,-8,-7;5,-6,8;6,5,-5;7,-8,20;8,-8,-2
rua||novo horizonte|camorim|23912485|13,-2299470,-4426504;20,-16,-25;33,-6,8;40,4,-15;42,7,1;49,-15,-6;64,7,-7;65,-12,-6;69,-3,-10;79,15,-13;84,-6,12;125,30,64;152,-26,-73;329,10,-27;333,-6,-5;340,17,21
rua||novo horizonte|lambicada|23913000|12,-2298904,-4424980;16,23,40;96,-1,30;97,-8,-10;171,-130,20
rua||novo horizonte|lambicada|23913140|3,-2298934,-4424967;8,12,7;91,-7,-2;95,-29,-27
rua||novo horizonte|parque mambucaba|23954400|26,-2300511,-4454110;28,7,4;29,-10,-15;30,13,21;31,-2,-6;32,-3,13;33,12,-3;35,1,8;36,10,13;37,2,-11;38,9,22;39,-6,-19;40,5,20;41,-4,-9;42,19,11;43,-11,-9;45,5,6;49,12,22;50,23,19;53,6,5;55,3,3;56,6,14;57,-33,-51;58,47,53;59,-6,1;60,4,7;63,-6,-11;65,7,8;4246,-52,-58
travessa|filosofo|hipocrates|parque mambucaba|23955560|6,-2300572,-4452734;13,-7,-11;31,-26,-34;32,10,16;33,-15,-24;34,13,6
travessa||belo horizonte|parque mambucaba|23955445|1,-2300793,-4453059;2,-6,0;3,-4,-16;5,0,27;7,3,2;9,-12,14;10,10,-7;11,-35,37;12,-7,4;13,17,-23;16,-12,10;17,-6,9;18,-4,4;22,-5,3;268,59,-42
travessa||harmonia|campo belo|23932470|3,-2298019,-4429863;6,-4,9;50,0,-13;51,1,19;52,1,15;55,7,4;57,-5,-20
travessa||horizonte|parque mambucaba|23953080|10,-2301930,-4453797;752,-1,9
travessa||hosana|parque mambucaba|23954325|19,-2301357,-4453146;25,1,4;34,-2,-8;35,6,13;36,1,-1;43,7,6;59,5,8;64,0,5;65,5,6;75,5,-2;83,5,9;88,9,8;89,-1,0
travessa||novo horizonte|parque mambucaba|23955480|4,-2300486,-4453081;5,2,0;6,2,5;19,-10,-18;20,3,2
