estrada||projetada um|jacuecanga|23913410|4,-2298328,-4422941
rua||da uniao|areal|23932060|4,-2297969,-4429525;31,0,14;33,-12,-19;37,11,30;50,4,35;53,-8,-71;55,3,51;57,-15,-50;67,26,84;71,-5,-24;105,3,35;106,1,6;119,1,7;125,2,25;171,7,11;179,-11,7;181,9,14;183,-8,18
rua||projetada um|piraquara de dentro|23935141|19,-2299641,-4444075
rua||projetada um|piraquara de dentro|23943503|1,-2299676,-4444362;2,-4,-8;3,-38,-45
travessa||cinquenta e um|parque mambucaba|23955385|3,-2300842,-4453050;4,-12,-18;5,-1,-2;6,12,12;41,-1,-4
travessa||sem denominacao primeira na ulisses|parque mambucaba|23954080|74,-2301204,-4453743
travessa||ubatuba|parque mambucaba|23955020|1,-2300790,-4453491;5,16,13;8,-9,3;9,-9,-15;10,11,10;12,-1,1;16,0,-14;22,-9,5;28,-3,-8;250,12,19
travessa||uba|parque mambucaba|23955214|5,-2301184,-4453036;7,12,11;9,-7,3;10,14,19;11,1,-8;14,7,7;15,2,6;16,5,9;17,2,1;18,1,1;19,7,7;20,-4,1;21,15,15;75,-59,-63;79,33,29
travessa||uniao|parque mambucaba|23953020|162,-2301408,-4454067;993,25,29
travessa||uniao|parque mambucaba|23955425|191,-2300584,-4453254;192,1,-11;193,-9,-7;194,3,-2;195,6,9;197,-7,0
travessa||unidos|parque mambucaba|23955230|8,-2300266,-4453655;10,14,17
